elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.5112,2026-06-17T15:34:55.880064,-0.480755,0.000000
1.0143,2026-06-17T15:34:56.383183,-0.480733,0.000000
1.4878,2026-06-17T15:34:56.856649,-0.480779,0.000000
1.9807,2026-06-17T15:34:57.349556,-0.480762,0.000000
2.4388,2026-06-17T15:34:57.807710,-0.480698,0.000000
2.9350,2026-06-17T15:34:58.303831,-0.480595,0.000000
3.4586,2026-06-17T15:34:58.827497,-0.480466,0.000000
3.9328,2026-06-17T15:34:59.301617,-0.480307,0.000000
4.4268,2026-06-17T15:34:59.795680,-0.480006,0.000000
4.9274,2026-06-17T15:35:00.296236,-0.479709,0.000000
5.4343,2026-06-17T15:35:00.803191,-0.479440,0.000000
5.9390,2026-06-17T15:35:01.307921,-0.479126,0.000000
6.4223,2026-06-17T15:35:01.791169,-0.478837,0.000000
6.9259,2026-06-17T15:35:02.294781,-0.478558,0.000000
7.4622,2026-06-17T15:35:02.831037,-0.478248,0.000000
7.9586,2026-06-17T15:35:03.327430,-0.478037,0.000000
8.4570,2026-06-17T15:35:03.825862,-0.477870,0.000000
8.9660,2026-06-17T15:35:04.334918,-0.477733,0.000000
9.4717,2026-06-17T15:35:04.840543,-0.477493,0.000000
10.0066,2026-06-17T15:35:05.375480,-0.477293,0.000000
10.5098,2026-06-17T15:35:05.878698,-0.477064,0.000000
11.0002,2026-06-17T15:35:06.369114,-0.476810,0.000000
11.5026,2026-06-17T15:35:06.871465,-0.476558,0.000000
12.0134,2026-06-17T15:35:07.382314,-0.476349,0.000000
12.5096,2026-06-17T15:35:07.878489,-0.476109,0.000000
13.0094,2026-06-17T15:35:08.378282,-0.475827,0.000000
13.5187,2026-06-17T15:35:08.887574,-0.475574,0.000000
14.0176,2026-06-17T15:35:09.386494,-0.475418,0.000000
14.5180,2026-06-17T15:35:09.886866,-0.475286,0.000000
14.9923,2026-06-17T15:35:10.361190,-0.475146,0.000000
15.4975,2026-06-17T15:35:10.866354,-0.474928,0.000000
15.9876,2026-06-17T15:35:11.356441,-0.474598,0.000000
16.4862,2026-06-17T15:35:11.855129,-0.474259,0.000000
17.0139,2026-06-17T15:35:12.382779,-0.473922,0.000000
17.5063,2026-06-17T15:35:12.875151,-0.473741,0.000000
18.0057,2026-06-17T15:35:13.374612,-0.473493,0.000000
18.5025,2026-06-17T15:35:13.871377,-0.473322,0.000000
19.0010,2026-06-17T15:35:14.369860,-0.473258,0.000000
19.4981,2026-06-17T15:35:14.867010,-0.473157,0.000000
19.9962,2026-06-17T15:35:15.365044,-0.473082,0.000000
20.5297,2026-06-17T15:35:15.898582,-0.473000,0.000000
21.0275,2026-06-17T15:35:16.396391,-0.472782,0.000000
21.5264,2026-06-17T15:35:16.895323,-0.472454,0.000000
22.0175,2026-06-17T15:35:17.386326,-0.472131,0.000000
22.4939,2026-06-17T15:35:17.862820,-0.471880,0.000000
22.9974,2026-06-17T15:35:18.366287,-0.471654,0.000000
23.5013,2026-06-17T15:35:18.870126,-0.471576,0.000000
24.0342,2026-06-17T15:35:19.403087,-0.471480,0.000000
24.5332,2026-06-17T15:35:19.902102,-0.471272,0.000000
25.0248,2026-06-17T15:35:20.393636,-0.471109,0.000000
25.4928,2026-06-17T15:35:20.861628,-0.470826,0.000000
25.9717,2026-06-17T15:35:21.340566,-0.470605,0.000000
26.4797,2026-06-17T15:35:21.848569,-0.470426,0.000000
26.9687,2026-06-17T15:35:22.337582,-0.470296,0.000000
27.4803,2026-06-17T15:35:22.849161,-0.470122,0.000000
27.9904,2026-06-17T15:35:23.359307,-0.470026,0.000000
28.4820,2026-06-17T15:35:23.850889,-0.469885,0.000000
28.9746,2026-06-17T15:35:24.343508,-0.469642,0.000000
29.4900,2026-06-17T15:35:24.858910,-0.469520,0.000000
30.0691,2026-06-17T15:35:25.437958,-0.469379,0.000000
30.5365,2026-06-17T15:35:25.905411,-0.469208,0.000000
31.0294,2026-06-17T15:35:26.398245,-0.469011,0.000000
31.5222,2026-06-17T15:35:26.891058,-0.468926,0.000000
32.0364,2026-06-17T15:35:27.405289,-0.468640,0.000000
32.5386,2026-06-17T15:35:27.907521,-0.468350,0.000000
33.0474,2026-06-17T15:35:28.416259,-0.468117,0.000000
33.5444,2026-06-17T15:35:28.913294,-0.467728,0.000000
34.0539,2026-06-17T15:35:29.422810,-0.467499,0.000000
34.5547,2026-06-17T15:35:29.923584,-0.467307,0.000000
35.0536,2026-06-17T15:35:30.422439,-0.467152,0.000000
35.5558,2026-06-17T15:35:30.924650,-0.467024,0.000000
36.0578,2026-06-17T15:35:31.426697,-0.466776,0.000000
36.5577,2026-06-17T15:35:31.926614,-0.466587,0.000000
37.0921,2026-06-17T15:35:32.460952,-0.466389,0.000000
37.5866,2026-06-17T15:35:32.955472,-0.466226,0.000000
38.0918,2026-06-17T15:35:33.460659,-0.466155,0.000000
38.5866,2026-06-17T15:35:33.955529,-0.466066,0.000000
39.0874,2026-06-17T15:35:34.456247,-0.465930,0.000000
39.5865,2026-06-17T15:35:34.955379,-0.465701,0.000000
40.0869,2026-06-17T15:35:35.455748,-0.465469,0.000000
40.6225,2026-06-17T15:35:35.991358,-0.465218,0.000000
41.1000,2026-06-17T15:35:36.468912,-0.464958,0.000000
41.5980,2026-06-17T15:35:36.966863,-0.464760,0.000000
42.1071,2026-06-17T15:35:37.476001,-0.464574,0.000000
42.6028,2026-06-17T15:35:37.971663,-0.464416,0.000000
43.1071,2026-06-17T15:35:38.475934,-0.464307,0.000000
43.6222,2026-06-17T15:35:38.991124,-0.464246,0.000000
44.1154,2026-06-17T15:35:39.484232,-0.464115,0.000000
44.6078,2026-06-17T15:35:39.976690,-0.463957,0.000000
45.1106,2026-06-17T15:35:40.479469,-0.463872,0.000000
45.6114,2026-06-17T15:35:40.980283,-0.463747,0.000000
46.1009,2026-06-17T15:35:41.469752,-0.463685,0.000000
46.5962,2026-06-17T15:35:41.965042,-0.463581,0.000000
47.0987,2026-06-17T15:35:42.467605,-0.463387,0.000000
47.6390,2026-06-17T15:35:43.007841,-0.463221,0.000000
48.1391,2026-06-17T15:35:43.508012,-0.463150,0.000000
48.6440,2026-06-17T15:35:44.012873,-0.463144,0.000000
49.1217,2026-06-17T15:35:44.490608,-0.463011,0.000000
49.6266,2026-06-17T15:35:44.995459,-0.462949,0.000000
50.1266,2026-06-17T15:35:45.495435,-0.462803,0.000000
50.6223,2026-06-17T15:35:45.991215,-0.462662,0.000000
51.1390,2026-06-17T15:35:46.507879,-0.462656,0.000000
51.6314,2026-06-17T15:35:47.000258,-0.462651,0.000000
52.1327,2026-06-17T15:35:47.501586,-0.462672,0.000000
52.6348,2026-06-17T15:35:48.003646,-0.462683,0.000000
53.1315,2026-06-17T15:35:48.500375,-0.462781,0.000000
53.6305,2026-06-17T15:35:48.999423,-0.462677,0.000000
54.1458,2026-06-17T15:35:49.514723,-0.462586,0.000000
54.6491,2026-06-17T15:35:50.017995,-0.462509,0.000000
55.1476,2026-06-17T15:35:50.516436,-0.462266,0.000000
55.6521,2026-06-17T15:35:51.020967,-0.462126,0.000000
56.1517,2026-06-17T15:35:51.520542,-0.461936,0.000000
56.6550,2026-06-17T15:35:52.023815,-0.461722,0.000000
57.1690,2026-06-17T15:35:52.537930,-0.461506,0.000000
57.6686,2026-06-17T15:35:53.037468,-0.461494,0.000000
58.1602,2026-06-17T15:35:53.529053,-0.461362,0.000000
58.6672,2026-06-17T15:35:54.036086,-0.461330,0.000000
59.1679,2026-06-17T15:35:54.536806,-0.461326,0.000000
59.6686,2026-06-17T15:35:55.037427,-0.461192,0.000000
60.1714,2026-06-17T15:35:55.540295,-0.461130,0.000000
60.6786,2026-06-17T15:35:56.047461,-0.460970,0.000000
61.1829,2026-06-17T15:35:56.551757,-0.460854,0.000000
61.6825,2026-06-17T15:35:57.051372,-0.460800,0.000000
62.1859,2026-06-17T15:35:57.554818,-0.460781,0.000000
62.6811,2026-06-17T15:35:58.049978,-0.460816,0.000000
63.1919,2026-06-17T15:35:58.560791,-0.460816,0.000000
63.7069,2026-06-17T15:35:59.075812,-0.460818,0.000000
64.2119,2026-06-17T15:35:59.580801,-0.460674,0.000000
64.7099,2026-06-17T15:36:00.078818,-0.460550,0.000000
65.2145,2026-06-17T15:36:00.583393,-0.460454,0.000000
65.7117,2026-06-17T15:36:01.080584,-0.460366,0.000000
66.1892,2026-06-17T15:36:01.558121,-0.460390,0.000000
66.6823,2026-06-17T15:36:02.051194,-0.460357,0.000000
67.2098,2026-06-17T15:36:02.578621,-0.460302,0.000000
67.7102,2026-06-17T15:36:03.079069,-0.460226,0.000000
68.2163,2026-06-17T15:36:03.585159,-0.460166,0.000000
68.7163,2026-06-17T15:36:04.085181,-0.460118,0.000000
69.2124,2026-06-17T15:36:04.581287,-0.460067,0.000000
69.7161,2026-06-17T15:36:05.084980,-0.459981,0.000000
70.2195,2026-06-17T15:36:05.588359,-0.459936,0.000000
70.7315,2026-06-17T15:36:06.100369,-0.459894,0.000000
71.2439,2026-06-17T15:36:06.612724,-0.459930,0.000000
71.7427,2026-06-17T15:36:07.111539,-0.460019,0.000000
72.2402,2026-06-17T15:36:07.609125,-0.460086,0.000000
72.7438,2026-06-17T15:36:08.112684,-0.460099,0.000000
73.2275,2026-06-17T15:36:08.596360,-0.459989,0.000000
73.6949,2026-06-17T15:36:09.063730,-0.459922,0.000000
74.1934,2026-06-17T15:36:09.562234,-0.459856,0.000000
74.7223,2026-06-17T15:36:10.091125,-0.459835,0.000000
75.2224,2026-06-17T15:36:10.591314,-0.459843,0.000000
75.6823,2026-06-17T15:36:11.051173,-0.459890,0.000000
76.1702,2026-06-17T15:36:11.539096,-0.459875,0.000000
76.6581,2026-06-17T15:36:12.026940,-0.459837,0.000000
77.1559,2026-06-17T15:36:12.524813,-0.459686,0.000000
77.6558,2026-06-17T15:36:13.024708,-0.459538,0.000000
78.1484,2026-06-17T15:36:13.517246,-0.459494,0.000000
78.6682,2026-06-17T15:36:14.037067,-0.459517,0.000000
79.1684,2026-06-17T15:36:14.537314,-0.459608,0.000000
79.6751,2026-06-17T15:36:15.043960,-0.459589,0.000000
80.1706,2026-06-17T15:36:15.539484,-0.459562,0.000000
80.6568,2026-06-17T15:36:16.025728,-0.459453,0.000000
81.1477,2026-06-17T15:36:16.516531,-0.459363,0.000000
81.6348,2026-06-17T15:36:17.003715,-0.459339,0.000000
82.1322,2026-06-17T15:36:17.501105,-0.459264,0.000000
82.6597,2026-06-17T15:36:18.028619,-0.459277,0.000000
83.1524,2026-06-17T15:36:18.521281,-0.459331,0.000000
83.6525,2026-06-17T15:36:19.021357,-0.459322,0.000000
84.1527,2026-06-17T15:36:19.521599,-0.459256,0.000000
84.6516,2026-06-17T15:36:20.020497,-0.459110,0.000000
85.1942,2026-06-17T15:36:20.563040,-0.459045,0.000000
85.6706,2026-06-17T15:36:21.039466,-0.458994,0.000000
86.1726,2026-06-17T15:36:21.541463,-0.458928,0.000000
86.6612,2026-06-17T15:36:22.030110,-0.458829,0.000000
87.1647,2026-06-17T15:36:22.533610,-0.458584,0.000000
