Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.0200","0.0000","0.0000"
"","0.0400","0.0001","0.0000"
"","0.0600","0.0004","0.0000"
"","0.0800","0.0009","0.0000"
"","0.1000","0.0024","0.0000"
"","0.1200","0.0055","0.0000"
"","0.1400","0.0099","0.0000"
"","0.1600","0.0145","0.0000"
"","0.1800","0.0186","0.0000"
"","0.2000","0.0220","0.0001"
"","0.2200","0.0252","0.0001"
"","0.2400","0.0286","0.0001"
"","0.2600","0.0326","0.0001"
"","0.2800","0.0370","0.0001"
"","0.3000","0.0423","0.0001"
"","0.3200","0.0485","0.0001"
"","0.3400","0.0551","0.0001"
"","0.3600","0.0612","0.0001"
"","0.3800","0.0665","0.0001"
"","0.4000","0.0708","0.0001"
"","0.4200","0.0741","0.0001"
"","0.4400","0.0767","0.0001"
"","0.4600","0.0791","0.0001"
"","0.4800","0.0816","0.0001"
"","0.5000","0.0842","0.0001"
"","0.5200","0.0868","0.0001"
"","0.5400","0.0896","0.0001"
"","0.5600","0.0926","0.0001"
"","0.5800","0.0961","0.0001"
"","0.6000","0.1000","0.0002"
"","0.6200","0.1042","0.0002"
"","0.6400","0.1083","0.0002"
"","0.6600","0.1125","0.0002"
"","0.6800","0.1166","0.0002"
"","0.7000","0.1207","0.0002"
"","0.7200","0.1245","0.0002"
"","0.7400","0.1281","0.0002"
"","0.7600","0.1318","0.0002"
"","0.7800","0.1358","0.0002"
"","0.8000","0.1400","0.0002"
"","0.8200","0.1442","0.0002"
"","0.8400","0.1486","0.0002"
"","0.8600","0.1533","0.0002"
"","0.8800","0.1575","0.0002"
"","0.9000","0.1612","0.0002"
"","0.9200","0.1647","0.0003"
"","0.9400","0.1683","0.0003"
"","0.9600","0.1718","0.0003"
"","0.9800","0.1751","0.0003"
"","1.0000","0.1781","0.0003"
"","1.0200","0.1810","0.0003"
"","1.0400","0.1841","0.0003"
"","1.0600","0.1875","0.0003"
"","1.0800","0.1913","0.0003"
"","1.1000","0.1956","0.0003"
"","1.1200","0.2006","0.0003"
"","1.1400","0.2061","0.0003"
"","1.1600","0.2114","0.0003"
"","1.1800","0.2161","0.0003"
"","1.2000","0.2207","0.0003"
"","1.2200","0.2253","0.0003"
"","1.2400","0.2294","0.0003"
"","1.2600","0.2329","0.0004"
"","1.2800","0.2362","0.0003"
"","1.3000","0.2397","0.0003"
"","1.3200","0.2435","0.0004"
"","1.3400","0.2476","0.0004"
"","1.3600","0.2522","0.0004"
"","1.3800","0.2572","0.0004"
"","1.4000","0.2621","0.0004"
"","1.4200","0.2663","0.0004"
"","1.4400","0.2705","0.0004"
"","1.4600","0.2749","0.0004"
"","1.4800","0.2791","0.0004"
"","1.5000","0.2828","0.0004"
"","1.5200","0.2858","0.0004"
"","1.5400","0.2887","0.0004"
"","1.5600","0.2917","0.0004"
"","1.5800","0.2948","0.0005"
"","1.6000","0.2982","0.0005"
"","1.6200","0.3020","0.0005"
"","1.6400","0.3064","0.0005"
"","1.6600","0.3110","0.0005"
"","1.6800","0.3153","0.0005"
"","1.7000","0.3190","0.0005"
"","1.7200","0.3225","0.0005"
"","1.7400","0.3261","0.0005"
"","1.7600","0.3297","0.0005"
"","1.7800","0.3332","0.0005"
"","1.8000","0.3364","0.0005"
"","1.8200","0.3397","0.0005"
"","1.8400","0.3435","0.0006"
"","1.8600","0.3478","0.0005"
"","1.8800","0.3524","0.0005"
"","1.9000","0.3572","0.0006"
"","1.9200","0.3620","0.0006"
"","1.9400","0.3665","0.0006"
"","1.9600","0.3707","0.0006"
"","1.9800","0.3750","0.0006"
"","2.0000","0.3791","0.0006"
"","2.0200","0.3827","0.0006"
"","2.0400","0.3857","0.0006"
"","2.0600","0.3883","0.0006"
"","2.0800","0.3909","0.0006"
"","2.1000","0.3937","0.0007"
"","2.1200","0.3967","0.0006"
"","2.1400","0.3998","0.0006"
"","2.1600","0.4031","0.0007"
"","2.1800","0.4066","0.0007"
