Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.0050","0.0000","0.0000"
2,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.0200","0.0000","0.0000"
"","0.0400","0.0002","0.0000"
"","0.0600","0.0005","0.0000"
"","0.0800","0.0011","0.0000"
"","0.1000","0.0019","0.0000"
"","0.1200","0.0033","0.0000"
"","0.1400","0.0059","0.0000"
"","0.1600","0.0100","0.0000"
"","0.1800","0.0143","0.0000"
"","0.2000","0.0182","0.0000"
"","0.2200","0.0219","0.0000"
"","0.2400","0.0256","0.0000"
"","0.2600","0.0291","0.0000"
"","0.2800","0.0320","0.0000"
"","0.3000","0.0347","0.0000"
"","0.3200","0.0374","0.0000"
"","0.3400","0.0402","0.0000"
"","0.3600","0.0431","0.0000"
"","0.3800","0.0460","0.0000"
"","0.4000","0.0491","0.0000"
"","0.4200","0.0524","0.0000"
"","0.4400","0.0560","0.0000"
"","0.4600","0.0600","0.0000"
"","0.4800","0.0642","0.0000"
"","0.5000","0.0684","0.0000"
"","0.5200","0.0727","0.0000"
"","0.5400","0.0768","0.0000"
"","0.5600","0.0804","0.0000"
"","0.5800","0.0836","0.0000"
"","0.6000","0.0868","0.0000"
"","0.6200","0.0905","0.0000"
"","0.6400","0.0950","0.0000"
"","0.6600","0.1001","0.0000"
"","0.6800","0.1056","0.0000"
"","0.7000","0.1119","0.0000"
"","0.7200","0.1191","0.0000"
"","0.7400","0.1274","0.0000"
"","0.7600","0.1360","0.0000"
"","0.7800","0.1431","0.0000"
"","0.8000","0.1485","0.0000"
"","0.8200","0.1526","0.0000"
"","0.8400","0.1564","0.0000"
"","0.8600","0.1602","0.0000"
"","0.8800","0.1640","0.0000"
"","0.9000","0.1678","0.0000"
"","0.9200","0.1712","0.0000"
"","0.9400","0.1746","0.0000"
"","0.9600","0.1781","0.0000"
"","0.9800","0.1817","0.0000"
"","1.0000","0.1851","0.0000"
"","1.0200","0.1879","0.0000"
"","1.0400","0.1903","0.0000"
"","1.0600","0.1929","0.0000"
"","1.0800","0.1958","0.0000"
"","1.1000","0.1990","0.0000"
"","1.1200","0.2023","0.0000"
"","1.1400","0.2058","0.0000"
"","1.1600","0.2096","0.0000"
"","1.1800","0.2139","0.0000"
"","1.2000","0.2184","0.0000"
"","1.2200","0.2227","0.0000"
"","1.2400","0.2269","0.0000"
"","1.2600","0.2311","0.0000"
"","1.2800","0.2352","0.0000"
"","1.3000","0.2387","0.0000"
"","1.3200","0.2416","0.0000"
"","1.3400","0.2446","0.0000"
"","1.3600","0.2479","0.0000"
"","1.3800","0.2514","0.0000"
"","1.4000","0.2551","0.0001"
"","1.4200","0.2593","0.0001"
"","1.4400","0.2640","0.0000"
"","1.4600","0.2691","0.0000"
"","1.4800","0.2741","0.0000"
"","1.5000","0.2790","0.0000"
"","1.5200","0.2838","0.0000"
"","1.5400","0.2882","0.0000"
"","1.5600","0.2919","0.0000"
"","1.5800","0.2949","0.0001"
"","1.6000","0.2979","0.0000"
"","1.6200","0.3011","0.0000"
"","1.6400","0.3046","0.0000"
"","1.6600","0.3083","0.0001"
"","1.6800","0.3126","0.0001"
"","1.7000","0.3172","0.0000"
"","1.7200","0.3219","0.0000"
"","1.7400","0.3265","0.0000"
"","1.7600","0.3308","0.0001"
"","1.7800","0.3351","0.0001"
"","1.8000","0.3394","0.0000"
"","1.8200","0.3433","0.0000"
"","1.8400","0.3465","0.0001"
"","1.8600","0.3495","0.0001"
"","1.8800","0.3528","0.0001"
"","1.9000","0.3563","0.0001"
"","1.9200","0.3600","0.0001"
"","1.9400","0.3640","0.0001"
"","1.9600","0.3685","0.0001"
"","1.9800","0.3732","0.0001"
"","2.0000","0.3776","0.0001"
"","2.0200","0.3819","0.0001"
"","2.0400","0.3863","0.0001"
"","2.0600","0.3909","0.0001"
"","2.0800","0.3950","0.0001"
"","2.1000","0.3985","0.0001"
