Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.0200","0.0000","0.0000"
"","0.0400","0.0001","0.0000"
"","0.0600","0.0004","0.0000"
"","0.0800","0.0011","0.0000"
"","0.1000","0.0030","0.0000"
"","0.1200","0.0062","0.0000"
"","0.1400","0.0095","0.0000"
"","0.1600","0.0125","0.0000"
"","0.1800","0.0153","0.0000"
"","0.2000","0.0183","0.0000"
"","0.2200","0.0215","0.0000"
"","0.2400","0.0251","0.0000"
"","0.2600","0.0289","0.0000"
"","0.2800","0.0326","0.0000"
"","0.3000","0.0366","0.0000"
"","0.3200","0.0407","0.0000"
"","0.3400","0.0446","0.0001"
"","0.3600","0.0479","0.0001"
"","0.3800","0.0509","0.0000"
"","0.4000","0.0540","0.0001"
"","0.4200","0.0574","0.0001"
"","0.4400","0.0614","0.0001"
"","0.4600","0.0661","0.0001"
"","0.4800","0.0715","0.0001"
"","0.5000","0.0778","0.0001"
"","0.5200","0.0846","0.0001"
"","0.5400","0.0919","0.0001"
"","0.5600","0.0993","0.0001"
"","0.5800","0.1056","0.0001"
"","0.6000","0.1108","0.0001"
"","0.6200","0.1155","0.0001"
"","0.6400","0.1200","0.0001"
"","0.6600","0.1246","0.0001"
"","0.6800","0.1291","0.0001"
"","0.7000","0.1332","0.0001"
"","0.7200","0.1367","0.0001"
"","0.7400","0.1398","0.0001"
"","0.7600","0.1429","0.0002"
"","0.7800","0.1462","0.0002"
"","0.8000","0.1494","0.0001"
"","0.8200","0.1522","0.0001"
"","0.8400","0.1546","0.0002"
"","0.8600","0.1570","0.0002"
"","0.8800","0.1597","0.0002"
"","0.9000","0.1627","0.0002"
"","0.9200","0.1659","0.0002"
"","0.9400","0.1693","0.0002"
"","0.9600","0.1730","0.0002"
"","0.9800","0.1770","0.0002"
"","1.0000","0.1814","0.0002"
"","1.0200","0.1858","0.0002"
"","1.0400","0.1899","0.0002"
"","1.0600","0.1941","0.0002"
"","1.0800","0.1987","0.0002"
"","1.1000","0.2031","0.0002"
"","1.1200","0.2070","0.0002"
"","1.1400","0.2103","0.0002"
"","1.1600","0.2137","0.0002"
"","1.1800","0.2173","0.0002"
"","1.2000","0.2211","0.0002"
"","1.2200","0.2251","0.0002"
"","1.2400","0.2295","0.0002"
"","1.2600","0.2343","0.0003"
"","1.2800","0.2390","0.0003"
"","1.3000","0.2434","0.0003"
"","1.3200","0.2478","0.0003"
"","1.3400","0.2523","0.0003"
"","1.3600","0.2562","0.0003"
"","1.3800","0.2594","0.0003"
"","1.4000","0.2624","0.0003"
"","1.4200","0.2656","0.0003"
"","1.4400","0.2692","0.0003"
"","1.4600","0.2730","0.0003"
"","1.4800","0.2773","0.0003"
"","1.5000","0.2818","0.0003"
"","1.5200","0.2865","0.0003"
"","1.5400","0.2910","0.0003"
"","1.5600","0.2952","0.0003"
"","1.5800","0.2994","0.0003"
"","1.6000","0.3036","0.0003"
"","1.6200","0.3076","0.0003"
"","1.6400","0.3112","0.0004"
"","1.6600","0.3145","0.0004"
"","1.6800","0.3180","0.0004"
"","1.7000","0.3217","0.0004"
"","1.7200","0.3255","0.0004"
"","1.7400","0.3296","0.0004"
"","1.7600","0.3340","0.0004"
"","1.7800","0.3384","0.0004"
"","1.8000","0.3426","0.0004"
"","1.8200","0.3465","0.0004"
"","1.8400","0.3505","0.0004"
"","1.8600","0.3548","0.0004"
"","1.8800","0.3590","0.0004"
"","1.9000","0.3628","0.0004"
"","1.9200","0.3664","0.0004"
"","1.9400","0.3700","0.0004"
"","1.9600","0.3738","0.0004"
"","1.9800","0.3778","0.0005"
"","2.0000","0.3821","0.0005"
"","2.0200","0.3866","0.0005"
"","2.0400","0.3913","0.0005"
"","2.0600","0.3957","0.0005"
"","2.0800","0.3998","0.0005"
"","2.1000","0.4039","0.0005"
"","2.1200","0.4080","0.0005"
"","2.1400","0.4120","0.0005"
"","2.1600","0.4153","0.0005"
"","2.1800","0.4183","0.0005"
