Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.0200","0.0000","0.0000"
"","0.0400","0.0002","0.0000"
"","0.0600","0.0005","0.0000"
"","0.0800","0.0016","0.0000"
"","0.1000","0.0043","0.0000"
"","0.1200","0.0083","0.0000"
"","0.1400","0.0122","0.0000"
"","0.1600","0.0155","0.0000"
"","0.1800","0.0183","0.0000"
"","0.2000","0.0212","0.0000"
"","0.2200","0.0245","0.0000"
"","0.2400","0.0280","0.0000"
"","0.2600","0.0315","0.0000"
"","0.2800","0.0350","0.0000"
"","0.3000","0.0388","0.0000"
"","0.3200","0.0428","0.0000"
"","0.3400","0.0469","0.0000"
"","0.3600","0.0513","0.0000"
"","0.3800","0.0561","0.0000"
"","0.4000","0.0614","0.0000"
"","0.4200","0.0665","0.0000"
"","0.4400","0.0709","0.0000"
"","0.4600","0.0751","0.0000"
"","0.4800","0.0794","0.0000"
"","0.5000","0.0838","0.0000"
"","0.5200","0.0883","0.0000"
"","0.5400","0.0928","0.0000"
"","0.5600","0.0971","0.0000"
"","0.5800","0.1010","0.0000"
"","0.6000","0.1048","0.0000"
"","0.6200","0.1087","0.0000"
"","0.6400","0.1125","0.0000"
"","0.6600","0.1158","0.0000"
"","0.6800","0.1185","0.0000"
"","0.7000","0.1209","0.0000"
"","0.7200","0.1233","0.0000"
"","0.7400","0.1260","0.0000"
"","0.7600","0.1290","0.0000"
"","0.7800","0.1324","0.0000"
"","0.8000","0.1359","0.0000"
"","0.8200","0.1396","0.0000"
"","0.8400","0.1437","0.0000"
"","0.8600","0.1479","0.0000"
"","0.8800","0.1520","0.0000"
"","0.9000","0.1559","0.0000"
"","0.9200","0.1599","0.0000"
"","0.9400","0.1644","0.0000"
"","0.9600","0.1690","0.0001"
"","0.9800","0.1731","0.0000"
"","1.0000","0.1771","0.0000"
"","1.0200","0.1816","0.0000"
"","1.0400","0.1867","0.0001"
"","1.0600","0.1924","0.0001"
"","1.0800","0.1987","0.0001"
"","1.1000","0.2055","0.0001"
"","1.1200","0.2123","0.0001"
"","1.1400","0.2187","0.0001"
"","1.1600","0.2241","0.0001"
"","1.1800","0.2281","0.0001"
"","1.2000","0.2315","0.0001"
"","1.2200","0.2348","0.0001"
"","1.2400","0.2382","0.0001"
"","1.2600","0.2418","0.0001"
"","1.2800","0.2458","0.0001"
"","1.3000","0.2501","0.0001"
"","1.3200","0.2545","0.0001"
"","1.3400","0.2586","0.0001"
"","1.3600","0.2623","0.0001"
"","1.3800","0.2660","0.0001"
"","1.4000","0.2697","0.0001"
"","1.4200","0.2732","0.0001"
"","1.4400","0.2762","0.0001"
"","1.4600","0.2788","0.0001"
"","1.4800","0.2815","0.0001"
"","1.5000","0.2845","0.0001"
"","1.5200","0.2877","0.0001"
"","1.5400","0.2911","0.0001"
"","1.5600","0.2949","0.0001"
"","1.5800","0.2989","0.0001"
"","1.6000","0.3032","0.0001"
"","1.6200","0.3076","0.0001"
"","1.6400","0.3120","0.0001"
"","1.6600","0.3164","0.0001"
"","1.6800","0.3210","0.0001"
"","1.7000","0.3254","0.0001"
"","1.7200","0.3291","0.0001"
"","1.7400","0.3323","0.0001"
"","1.7600","0.3355","0.0001"
"","1.7800","0.3389","0.0001"
"","1.8000","0.3425","0.0001"
"","1.8200","0.3465","0.0001"
"","1.8400","0.3510","0.0001"
"","1.8600","0.3559","0.0001"
"","1.8800","0.3609","0.0001"
"","1.9000","0.3655","0.0001"
"","1.9200","0.3699","0.0001"
"","1.9400","0.3743","0.0002"
"","1.9600","0.3784","0.0002"
"","1.9800","0.3818","0.0001"
"","2.0000","0.3848","0.0001"
"","2.0200","0.3879","0.0002"
"","2.0400","0.3912","0.0002"
"","2.0600","0.3947","0.0002"
"","2.0800","0.3985","0.0002"
"","2.1000","0.4027","0.0002"
"","2.1200","0.4074","0.0002"
"","2.1400","0.4124","0.0002"
"","2.1600","0.4172","0.0002"
"","2.1800","0.4220","0.0002"
