group,video,max_deflection_mm,peak_to_peak_mm,px_per_mm,px_per_square,grid_confidence,median_score,nframes,mode,sqrt_area_mm,caliper_length_mm,proximal_length_mm,area_mm2,size_mode,size_ok,norm_defl,norm_p2p
2.5%_formalin_1day,2.5%_formalin_1day_1.MOV,1.9440519545622024,2.2494698458731293,47.0,47.0,100.0,0.9977180063724518,2212,ncc,13.634131537415145,29.47004371707452,11.358195330993528,185.88954277953826,manual,True,0.171158524563968,0.19804817405586586
2.5%_formalin_1day,2.5%_formalin_1day_2.MOV,1.177546925939086,1.275272178950892,47.0,47.0,5.536899316250854,0.9939786493778229,908,,13.62516378893251,29.577988463368467,11.208404820256886,185.64508827523767,manual,True,0.10505927871296299,0.11377820478486822
2.5%_formalin_1day,2.5%_formalin_1day_3.MOV,0.8343968953244707,0.9467244115346914,47.0,47.0,4.3061722666218225,0.9934788942337036,605,,13.587917701746768,29.20254427482531,11.239300027018102,184.6315074694432,manual,True,0.07423922248882651,0.0842333961420075
5%_formalin_2day,5%_formalin_tricep_1.MOV,1.9471213448132147,2.09616491312601,46.0,46.0,9.797703731470747,0.9843707978725433,882,,12.973671900078577,30.20997719491364,11.702943419844885,168.31616257088848,auto,True,0.1663787711313247,0.17911433371296204
5%_formalin_2day,5%_formalin_tricep_2.MOV,1.7879640721432395,1.871827171039529,46.0,46.0,100.0,0.9979842305183411,743,ncc,12.388577121695171,31.37427274931172,12.986269468442211,153.47684310018903,auto,True,0.13768111592695279,0.1441389442586445
5%_formalin_2day,5%_formalin_tricep_3.MOV,1.3998801648770063,1.401103736882728,46.0,46.0,7.79223223566746,0.9911256730556488,672,,13.581163982622158,31.33681890814164,12.245287662741502,184.44801512287336,auto,True,0.11431990847682529,0.11441983034386681
5%_formalin_2day,5%_formalin_tricep_4.MOV,1.361064834059782,1.387696210508057,46.0,46.0,4.9360621114063,0.9807829856872559,792,,17.06777881635474,30.591042958074507,12.408931017541747,291.3090737240076,auto,True,0.10968429368619488,0.11183043958793516
70%_EtOH_1day,70%_EtOH_1days_1.MOV,2.3612083482858965,3.6832675151528353,49.0,49.0,11.037604235835472,0.9932495951652527,712,,13.511190542936875,28.816911886290384,12.335666974946458,182.55226988754686,auto,True,0.19141310746159676,0.2985868151785787
70%_EtOH_1day,70%_EtOH_1days_3.1.MOV,0.7903914395128161,0.6263893141033393,49.0,49.0,2.9526908492093527,0.9845404028892517,744,,13.022359267798794,27.550279657464426,12.318452549711424,169.58184089962515,auto,True,0.0641632085136645,0.05084967544223023
70%_EtOH_1day,70%_EtOH_1days_3.MOV,0.5730856476277082,0.5596406857401339,49.0,49.0,4.791675938542094,0.9902768135070801,507,,13.102406378014201,27.7407676069338,12.504359922691695,171.67305289462723,auto,True,0.0458308662875041,0.04475564436725406
70%_EtOH_1day_core_removed,70%_EtOH_1days_1_forearm_core_taken_out.MOV,3.994427799789368,4.087934725124793,49.0,49.0,100.0,0.9974445700645447,496,ncc,14.199931953072406,32.293821062248114,11.688818936485664,201.6380674718867,manual,True,0.3417306591447916,0.3497303489204242
