frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1674.500,647.500,1.0000,0.0043,0.0040,-0.0015
1,0.04,1674.416,647.543,0.9985,0.0024,0.0023,-0.0006
2,0.08,1674.415,647.544,0.9985,0.0023,0.0023,-0.0006
3,0.12,1674.381,647.510,0.9981,0.0020,0.0016,-0.0013
4,0.16,1674.347,647.512,0.9973,0.0015,0.0009,-0.0012
5,0.2,1674.326,647.478,0.9969,0.0020,0.0005,-0.0019
6,0.24,1674.282,647.620,0.9958,0.0011,-0.0005,0.0010
7,0.28,1674.220,647.664,0.9945,0.0026,-0.0017,0.0019
8,0.32,1674.279,647.599,0.9946,0.0008,-0.0005,0.0006
9,0.36,1674.107,647.894,0.9932,0.0078,-0.0041,0.0066
10,0.4,1674.116,647.934,0.9929,0.0084,-0.0039,0.0075
11,0.44,1674.174,648.065,0.9927,0.0105,-0.0027,0.0102
12,0.48,1674.200,648.244,0.9924,0.0140,-0.0021,0.0139
13,0.52,1674.170,648.284,0.9922,0.0150,-0.0028,0.0147
14,0.56,1674.192,648.297,0.9926,0.0151,-0.0023,0.0150
15,0.6,1674.204,648.326,0.9928,0.0157,-0.0021,0.0155
16,0.64,1674.199,648.298,0.9928,0.0151,-0.0022,0.0150
17,0.68,1674.199,648.378,0.9928,0.0168,-0.0022,0.0166
18,0.72,1674.124,648.397,0.9928,0.0174,-0.0037,0.0170
19,0.76,1674.116,648.420,0.9926,0.0179,-0.0039,0.0175
20,0.8,1674.123,648.436,0.9924,0.0182,-0.0037,0.0178
21,0.84,1674.128,648.469,0.9927,0.0188,-0.0036,0.0185
22,0.88,1674.100,648.534,0.9924,0.0203,-0.0042,0.0198
23,0.92,1674.125,648.549,0.9923,0.0205,-0.0037,0.0201
24,0.96,1674.076,648.536,0.9918,0.0204,-0.0047,0.0199
25,1.0,1674.101,648.556,0.9923,0.0207,-0.0042,0.0203
26,1.04,1674.155,648.378,0.9920,0.0169,-0.0031,0.0166
27,1.08,1674.078,648.511,0.9921,0.0199,-0.0047,0.0194
28,1.12,1674.147,648.481,0.9921,0.0190,-0.0032,0.0187
29,1.16,1674.148,648.424,0.9918,0.0179,-0.0032,0.0176
30,1.2,1674.097,648.522,0.9919,0.0200,-0.0043,0.0196
31,1.24,1674.047,648.588,0.9916,0.0216,-0.0053,0.0210
32,1.28,1674.019,648.579,0.9912,0.0216,-0.0059,0.0208
33,1.32,1673.998,648.441,0.9914,0.0190,-0.0063,0.0179
34,1.36,1673.989,648.430,0.9916,0.0189,-0.0065,0.0177
35,1.4,1673.966,648.463,0.9913,0.0196,-0.0070,0.0184
36,1.44,1673.862,648.610,0.9916,0.0233,-0.0091,0.0214
37,1.48,1673.839,648.640,0.9916,0.0240,-0.0096,0.0220
38,1.52,1673.838,648.715,0.9915,0.0254,-0.0096,0.0236
39,1.56,1673.825,648.720,0.9917,0.0257,-0.0099,0.0237
40,1.6,1673.849,648.740,0.9917,0.0259,-0.0094,0.0241
