frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1851.000,542.500,1.0000,0.0381,0.0038,-0.0379
1,0.04,1850.795,542.556,0.9988,0.0367,-0.0007,-0.0367
2,0.08,1850.661,543.175,0.9985,0.0234,-0.0037,-0.0231
3,0.12,1850.872,543.614,0.9992,0.0134,0.0010,-0.0134
4,0.16,1850.883,543.837,0.9987,0.0086,0.0012,-0.0085
5,0.2,1850.664,544.162,0.9985,0.0038,-0.0036,-0.0013
6,0.24,1850.799,544.283,0.9992,0.0015,-0.0006,0.0013
7,0.28,1850.881,544.381,0.9994,0.0037,0.0012,0.0035
8,0.32,1850.944,544.554,0.9994,0.0077,0.0026,0.0073
9,0.36,1850.794,544.604,0.9990,0.0084,-0.0007,0.0084
10,0.4,1850.813,544.645,0.9991,0.0093,-0.0003,0.0093
11,0.44,1850.842,544.831,0.9985,0.0134,0.0003,0.0134
12,0.48,1851.012,544.973,0.9978,0.0170,0.0041,0.0165
13,0.52,1851.025,544.964,0.9979,0.0169,0.0044,0.0163
14,0.56,1851.047,544.998,0.9977,0.0177,0.0048,0.0171
15,0.6,1850.879,545.091,0.9981,0.0192,0.0011,0.0191
16,0.64,1850.937,545.155,0.9984,0.0207,0.0024,0.0205
17,0.68,1850.902,545.136,0.9981,0.0202,0.0017,0.0201
18,0.72,1850.854,545.240,0.9985,0.0224,0.0006,0.0224
19,0.76,1850.880,545.300,0.9987,0.0238,0.0012,0.0237
20,0.8,1850.819,545.307,0.9986,0.0239,-0.0002,0.0239
21,0.84,1850.767,545.414,0.9986,0.0263,-0.0013,0.0263
22,0.88,1850.752,545.469,0.9985,0.0275,-0.0017,0.0274
23,0.92,1850.813,545.541,0.9986,0.0290,-0.0003,0.0290
24,0.96,1850.864,545.626,0.9988,0.0309,0.0008,0.0309
25,1.0,1850.889,545.678,0.9988,0.0321,0.0014,0.0321
26,1.04,1850.909,545.692,0.9987,0.0324,0.0018,0.0324
27,1.08,1850.950,545.743,0.9987,0.0336,0.0027,0.0335
28,1.12,1851.003,545.815,0.9984,0.0353,0.0039,0.0351
29,1.16,1851.025,545.854,0.9983,0.0362,0.0044,0.0359
30,1.2,1851.171,545.952,0.9980,0.0388,0.0076,0.0381
31,1.24,1850.997,546.053,0.9980,0.0405,0.0037,0.0403
32,1.28,1850.999,546.046,0.9979,0.0403,0.0038,0.0402
33,1.32,1850.983,546.146,0.9984,0.0425,0.0034,0.0424
34,1.36,1850.999,546.167,0.9984,0.0430,0.0038,0.0428
35,1.4,1850.963,546.170,0.9984,0.0430,0.0030,0.0429
36,1.44,1850.960,546.315,0.9988,0.0462,0.0029,0.0461
37,1.48,1850.995,546.323,0.9987,0.0464,0.0037,0.0463
38,1.52,1850.992,546.339,0.9987,0.0468,0.0036,0.0466
39,1.56,1851.091,546.418,0.9988,0.0487,0.0058,0.0484
40,1.6,1851.159,546.432,0.9987,0.0492,0.0073,0.0487
41,1.64,1851.153,546.886,0.9981,0.0591,0.0072,0.0587
42,1.68,1851.138,546.353,0.9986,0.0474,0.0069,0.0469
43,1.72,1851.621,546.135,0.9977,0.0456,0.0175,0.0421
44,1.76,1851.499,547.237,0.9968,0.0680,0.0148,0.0664
45,1.8,1851.038,546.481,0.9989,0.0500,0.0047,0.0497
46,1.84,1851.960,546.330,0.9987,0.0527,0.0250,0.0464
47,1.88,1852.261,547.621,0.9980,0.0812,0.0316,0.0748
48,1.92,1851.610,546.894,0.9968,0.0613,0.0173,0.0588
49,1.96,1851.798,546.024,0.9978,0.0451,0.0214,0.0397
50,2.0,1851.542,546.816,0.9968,0.0592,0.0157,0.0571
51,2.04,1851.531,547.341,0.9975,0.0704,0.0155,0.0687
52,2.08,1852.053,546.922,0.9978,0.0653,0.0270,0.0595
53,2.12,1853.477,547.318,0.9970,0.0898,0.0584,0.0682
54,2.16,1852.037,548.020,0.9972,0.0878,0.0266,0.0837
55,2.2,1851.493,547.313,0.9970,0.0696,0.0147,0.0681
56,2.24,1852.909,546.772,0.9982,0.0725,0.0459,0.0562
57,2.28,1853.807,548.924,0.9966,0.1226,0.0656,0.1036
58,2.32,1853.944,549.672,0.9975,0.1383,0.0687,0.1200
59,2.36,1853.666,548.087,0.9970,0.1056,0.0625,0.0851
60,2.4,1854.229,548.956,0.9967,0.1284,0.0749,0.1043
61,2.44,1854.608,550.286,0.9966,0.1574,0.0833,0.1335
62,2.48,1855.354,549.973,0.9958,0.1612,0.0997,0.1267
63,2.52,1855.122,549.463,0.9975,0.1492,0.0946,0.1154
64,2.56,1854.675,549.964,0.9954,0.1522,0.0848,0.1265
65,2.6,1855.079,549.840,0.9969,0.1552,0.0937,0.1237
66,2.64,1855.324,549.665,0.9969,0.1555,0.0990,0.1199
67,2.68,1855.224,550.319,0.9967,0.1656,0.0969,0.1343
68,2.72,1855.473,550.842,0.9955,0.1781,0.1023,0.1458
69,2.76,1855.693,550.324,0.9966,0.1719,0.1072,0.1344
70,2.8,1855.775,550.759,0.9962,0.1806,0.1090,0.1440
71,2.84,1855.711,551.147,0.9961,0.1867,0.1076,0.1525
72,2.88,1855.885,551.087,0.9961,0.1878,0.1114,0.1512
73,2.92,1856.040,551.335,0.9968,0.1942,0.1148,0.1567
74,2.96,1856.135,551.601,0.9965,0.2002,0.1169,0.1625
75,3.0,1856.050,551.518,0.9968,0.1976,0.1150,0.1607
76,3.04,1855.908,551.433,0.9971,0.1943,0.1119,0.1588
77,3.08,1856.030,551.592,0.9968,0.1987,0.1146,0.1623
78,3.12,1855.664,551.521,0.9963,0.1929,0.1065,0.1608
79,3.16,1855.772,551.201,0.9964,0.1884,0.1089,0.1537
80,3.2,1855.872,551.375,0.9968,0.1928,0.1111,0.1576
81,3.24,1855.673,551.339,0.9964,0.1896,0.1067,0.1568
82,3.28,1856.215,551.498,0.9967,0.1994,0.1187,0.1603
83,3.32,1856.746,551.968,0.9947,0.2147,0.1304,0.1706
84,3.36,1856.143,552.065,0.9955,0.2087,0.1171,0.1727
85,3.4,1855.888,551.307,0.9965,0.1918,0.1115,0.1560
86,3.44,1856.326,551.811,0.9958,0.2064,0.1211,0.1671
87,3.48,1856.141,551.820,0.9962,0.2042,0.1170,0.1674
88,3.52,1853.522,549.115,0.9962,0.1230,0.0594,0.1078
89,3.56,1851.929,547.969,0.9973,0.0860,0.0243,0.0825
90,3.6,1850.890,546.973,0.9973,0.0606,0.0014,0.0606
91,3.64,1846.975,543.379,0.9975,0.0869,-0.0849,-0.0186
92,3.68,1840.880,537.995,0.9934,0.2585,-0.2191,-0.1372
93,3.72,1835.168,532.749,0.9944,0.4276,-0.3449,-0.2527
94,3.76,1829.382,528.614,0.9937,0.5842,-0.4724,-0.3438
95,3.8,1822.863,523.629,0.9928,0.7650,-0.6160,-0.4536
96,3.84,1813.767,517.394,0.9906,1.0078,-0.8163,-0.5910
97,3.88,1804.196,511.403,0.9923,1.2561,-1.0272,-0.7229
98,3.92,1798.299,501.902,0.9926,1.4859,-1.1570,-0.9322
99,3.96,1792.312,492.766,0.9935,1.7164,-1.2889,-1.1334
100,4.0,1785.225,486.940,0.9927,1.9184,-1.4450,-1.2618
