frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1796.500,590.000,1.0000,0.0599,0.0159,-0.0577
1,0.04,1796.014,590.061,0.9980,0.0568,0.0060,-0.0565
2,0.08,1795.791,590.830,0.9992,0.0408,0.0014,-0.0408
3,0.12,1795.756,591.798,0.9992,0.0210,0.0007,-0.0210
4,0.16,1795.903,592.145,0.9986,0.0144,0.0037,-0.0139
5,0.2,1795.688,592.831,0.9995,0.0007,-0.0007,0.0001
6,0.24,1795.626,592.824,0.9996,0.0020,-0.0020,-0.0001
7,0.28,1795.674,592.961,0.9997,0.0029,-0.0010,0.0027
8,0.32,1795.766,593.158,0.9992,0.0068,0.0009,0.0067
9,0.36,1795.637,593.078,0.9998,0.0054,-0.0017,0.0051
10,0.4,1795.568,592.853,0.9997,0.0032,-0.0031,0.0005
11,0.44,1795.542,593.035,0.9998,0.0056,-0.0037,0.0042
12,0.48,1795.700,593.179,0.9993,0.0072,-0.0004,0.0072
13,0.52,1795.698,593.285,0.9992,0.0093,-0.0005,0.0093
14,0.56,1795.677,593.132,0.9995,0.0063,-0.0009,0.0062
15,0.6,1795.811,593.293,0.9989,0.0097,0.0018,0.0095
16,0.64,1795.787,593.676,0.9987,0.0174,0.0013,0.0173
17,0.68,1795.700,593.701,0.9991,0.0178,-0.0004,0.0178
18,0.72,1795.692,593.656,0.9991,0.0169,-0.0006,0.0169
19,0.76,1795.641,593.948,0.9997,0.0229,-0.0017,0.0229
20,0.8,1795.624,593.955,0.9998,0.0231,-0.0020,0.0230
21,0.84,1795.608,593.888,0.9997,0.0218,-0.0023,0.0216
22,0.88,1795.617,594.021,0.9998,0.0244,-0.0021,0.0243
23,0.92,1795.606,594.046,0.9998,0.0250,-0.0024,0.0249
24,0.96,1795.639,594.003,0.9997,0.0240,-0.0017,0.0240
25,1.0,1795.647,593.926,0.9996,0.0225,-0.0015,0.0224
26,1.04,1795.732,593.994,0.9995,0.0238,0.0002,0.0238
27,1.08,1795.642,594.267,0.9995,0.0294,-0.0016,0.0294
28,1.12,1795.353,594.021,0.9997,0.0255,-0.0075,0.0243
29,1.16,1795.720,593.319,0.9992,0.0100,-0.0000,0.0100
30,1.2,1796.029,593.772,0.9983,0.0203,0.0063,0.0193
31,1.24,1795.877,594.514,0.9978,0.0346,0.0032,0.0344
32,1.28,1796.136,593.723,0.9988,0.0201,0.0085,0.0183
33,1.32,1796.293,593.872,0.9995,0.0243,0.0117,0.0213
34,1.36,1796.192,594.482,0.9981,0.0351,0.0096,0.0338
35,1.4,1796.336,593.936,0.9997,0.0259,0.0125,0.0226
36,1.44,1796.532,593.881,0.9997,0.0271,0.0165,0.0215
37,1.48,1796.429,594.205,0.9996,0.0316,0.0144,0.0281
38,1.52,1796.382,594.052,0.9997,0.0284,0.0135,0.0250
39,1.56,1796.516,593.986,0.9999,0.0287,0.0162,0.0236
40,1.6,1796.572,594.358,0.9994,0.0357,0.0174,0.0312
41,1.64,1796.532,594.183,0.9998,0.0322,0.0165,0.0276
42,1.68,1796.675,594.110,0.9996,0.0326,0.0195,0.0262
43,1.72,1796.520,594.392,0.9993,0.0358,0.0163,0.0319
44,1.76,1796.353,594.165,0.9996,0.0302,0.0129,0.0273
45,1.8,1796.638,593.820,0.9996,0.0276,0.0187,0.0203
46,1.84,1796.671,594.310,0.9994,0.0359,0.0194,0.0303
47,1.88,1796.394,594.091,0.9998,0.0292,0.0137,0.0258
48,1.92,1796.475,593.561,0.9991,0.0214,0.0154,0.0150
49,1.96,1796.937,594.245,0.9984,0.0381,0.0248,0.0289
50,2.0,1796.766,594.746,0.9991,0.0446,0.0213,0.0391
51,2.04,1796.656,594.195,0.9996,0.0338,0.0191,0.0279
52,2.08,1796.715,593.924,0.9995,0.0302,0.0203,0.0224
53,2.12,1796.605,594.396,0.9992,0.0367,0.0180,0.0320
54,2.16,1796.437,593.989,0.9998,0.0278,0.0146,0.0237
55,2.2,1796.426,593.396,0.9992,0.0185,0.0144,0.0116
56,2.24,1795.614,593.316,0.9994,0.0102,-0.0022,0.0100
57,2.28,1794.858,592.611,0.9982,0.0182,-0.0176,-0.0044
58,2.32,1794.526,591.346,0.9992,0.0389,-0.0244,-0.0303
59,2.36,1793.805,591.032,0.9989,0.0536,-0.0391,-0.0366
60,2.4,1792.732,590.180,0.9989,0.0815,-0.0610,-0.0540
61,2.44,1791.669,588.527,0.9980,0.1206,-0.0827,-0.0878
62,2.48,1790.359,587.149,0.9983,0.1594,-0.1094,-0.1159
63,2.52,1788.762,585.881,0.9975,0.2007,-0.1420,-0.1418
64,2.56,1787.311,583.870,0.9972,0.2508,-0.1717,-0.1828
65,2.6,1786.159,582.120,0.9960,0.2930,-0.1952,-0.2185
66,2.64,1784.848,581.171,0.9957,0.3253,-0.2219,-0.2379
67,2.68,1783.520,579.683,0.9957,0.3660,-0.2490,-0.2683
68,2.72,1782.297,577.921,0.9951,0.4094,-0.2740,-0.3042
69,2.76,1780.877,576.482,0.9933,0.4506,-0.3030,-0.3336
70,2.8,1779.156,574.436,0.9914,0.5051,-0.3381,-0.3753
71,2.84,1777.153,571.915,0.9896,0.5707,-0.3789,-0.4268
72,2.88,1774.494,568.921,0.9854,0.6525,-0.4332,-0.4879
73,2.92,1771.097,565.041,0.9822,0.7577,-0.5025,-0.5671
74,2.96,1767.634,560.971,0.9763,0.8668,-0.5732,-0.6501
75,3.0,1763.741,556.462,0.9575,0.9883,-0.6527,-0.7422
76,3.04,1757.548,551.761,0.9315,1.1443,-0.7791,-0.8381
77,3.08,1751.701,546.139,0.9266,1.3096,-0.8984,-0.9528
78,3.12,1746.138,539.989,0.9284,1.4788,-1.0119,-1.0783
79,3.16,1741.472,534.559,0.9368,1.6248,-1.1071,-1.1892
80,3.2,1741.717,524.965,0.9498,1.7700,-1.1021,-1.3850
81,3.24,1737.033,513.986,0.9480,2.0059,-1.1977,-1.6090
82,3.28,1731.902,507.080,0.9480,2.1814,-1.3024,-1.7500
83,3.32,1727.987,502.893,0.9450,2.2977,-1.3823,-1.8354
84,3.36,1726.236,498.569,0.9487,2.3898,-1.4181,-1.9236
85,3.4,1724.190,494.719,0.9534,2.4779,-1.4598,-2.0022
86,3.44,1721.390,491.158,0.9581,2.5703,-1.5170,-2.0749
87,3.48,1720.517,486.698,0.9678,2.6546,-1.5348,-2.1659
88,3.52,1720.646,482.585,0.9705,2.7220,-1.5322,-2.2498
89,3.56,1719.600,479.310,0.9768,2.7893,-1.5535,-2.3167
90,3.6,1716.378,476.817,0.9849,2.8684,-1.6193,-2.3676
91,3.64,1711.451,473.661,0.9885,2.9786,-1.7198,-2.4320
92,3.68,1708.612,470.879,0.9896,3.0585,-1.7777,-2.4888
93,3.72,1707.301,468.192,0.9899,3.1187,-1.8045,-2.5436
94,3.76,1706.044,465.840,0.9898,3.1727,-1.8302,-2.5916
95,3.8,1704.934,463.072,0.9902,3.2319,-1.8528,-2.6481
96,3.84,1703.510,459.739,0.9917,3.3043,-1.8819,-2.7161
97,3.88,1702.835,456.914,0.9904,3.3596,-1.8956,-2.7738
98,3.92,1701.343,454.302,0.9918,3.4208,-1.9261,-2.8271
99,3.96,1699.198,451.643,0.9932,3.4903,-1.9699,-2.8813
100,4.0,1697.295,448.762,0.9941,3.5608,-2.0087,-2.9401
101,4.04,1695.290,445.932,0.9951,3.6316,-2.0496,-2.9979
102,4.08,1693.402,443.580,0.9928,3.6929,-2.0882,-3.0459
103,4.12,1691.977,441.400,0.9927,3.7461,-2.1172,-3.0904
104,4.16,1690.276,438.695,0.9937,3.8112,-2.1520,-3.1456
105,4.2,1688.299,436.522,0.9919,3.8706,-2.1923,-3.1899
106,4.24,1686.749,434.746,0.9915,3.9184,-2.2239,-3.2262
107,4.28,1685.506,432.725,0.9924,3.9668,-2.2493,-3.2674
108,4.32,1684.364,430.887,0.9940,4.0109,-2.2726,-3.3049
109,4.36,1683.380,429.098,0.9947,4.0523,-2.2927,-3.3414
110,4.4,1682.305,427.250,0.9922,4.0959,-2.3146,-3.3791
111,4.44,1680.781,425.975,0.9926,4.1349,-2.3457,-3.4052
112,4.48,1679.410,424.655,0.9924,4.1730,-2.3737,-3.4321
113,4.52,1678.512,423.570,0.9913,4.2016,-2.3920,-3.4542
114,4.56,1677.637,422.637,0.9908,4.2274,-2.4099,-3.4733
115,4.6,1677.051,420.853,0.9895,4.2642,-2.4218,-3.5097
116,4.64,1676.034,419.623,0.9891,4.2966,-2.4426,-3.5348
117,4.68,1675.268,418.672,0.9914,4.3215,-2.4582,-3.5542
118,4.72,1674.666,417.926,0.9927,4.3410,-2.4705,-3.5694
119,4.76,1673.908,417.082,0.9929,4.3640,-2.4860,-3.5867
120,4.8,1673.084,415.765,0.9930,4.3956,-2.5028,-3.6135
121,4.84,1672.443,414.950,0.9959,4.4168,-2.5159,-3.6302
