frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1708.500,368.000,1.0000,0.1402,-0.0025,-0.1402
1,0.04,1708.524,368.556,0.9937,0.1054,-0.0010,-0.1054
2,0.08,1708.747,369.060,0.9988,0.0751,0.0129,-0.0740
3,0.12,1708.712,369.578,0.9952,0.0430,0.0108,-0.0416
4,0.16,1708.806,369.946,0.9980,0.0249,0.0166,-0.0186
5,0.2,1708.748,370.065,0.9988,0.0171,0.0130,-0.0112
6,0.24,1708.666,370.422,0.9952,0.0137,0.0078,0.0112
7,0.28,1708.557,370.463,0.9945,0.0137,0.0010,0.0137
8,0.32,1708.364,370.690,0.9967,0.0300,-0.0110,0.0279
9,0.36,1708.355,370.816,0.9983,0.0376,-0.0116,0.0358
10,0.4,1708.302,370.900,0.9985,0.0437,-0.0149,0.0411
11,0.44,1708.224,370.899,0.9978,0.0455,-0.0198,0.0410
12,0.48,1708.165,371.181,0.9965,0.0631,-0.0235,0.0586
13,0.52,1708.133,371.171,0.9964,0.0633,-0.0255,0.0580
14,0.56,1708.126,371.228,0.9957,0.0668,-0.0259,0.0616
15,0.6,1708.150,371.308,0.9949,0.0709,-0.0244,0.0666
16,0.64,1708.175,371.371,0.9942,0.0741,-0.0228,0.0705
17,0.68,1708.139,371.375,0.9938,0.0750,-0.0251,0.0707
18,0.72,1708.190,371.488,0.9924,0.0808,-0.0219,0.0778
19,0.76,1708.243,371.681,0.9961,0.0918,-0.0186,0.0899
20,0.8,1708.411,371.727,0.9971,0.0931,-0.0081,0.0927
21,0.84,1708.389,371.589,0.9953,0.0846,-0.0094,0.0841
22,0.88,1708.480,371.334,0.9964,0.0683,-0.0038,0.0682
23,0.92,1708.063,371.678,0.9947,0.0945,-0.0298,0.0896
24,0.96,1708.016,371.354,0.9932,0.0767,-0.0328,0.0694
25,1.0,1707.924,371.638,0.9939,0.0953,-0.0385,0.0872
26,1.04,1708.191,371.917,0.9978,0.1069,-0.0218,0.1046
27,1.08,1708.190,371.787,0.9971,0.0989,-0.0219,0.0965
28,1.12,1707.911,371.722,0.9953,0.1004,-0.0393,0.0924
29,1.16,1708.110,371.797,0.9966,0.1008,-0.0269,0.0971
30,1.2,1708.158,372.025,0.9974,0.1139,-0.0239,0.1113
31,1.24,1708.146,371.881,0.9973,0.1053,-0.0247,0.1024
32,1.28,1708.131,372.015,0.9972,0.1136,-0.0256,0.1107
33,1.32,1708.274,371.968,0.9983,0.1090,-0.0166,0.1078
34,1.36,1708.002,371.880,0.9960,0.1077,-0.0337,0.1023
35,1.4,1708.064,371.727,0.9955,0.0974,-0.0298,0.0927
36,1.44,1708.181,372.034,0.9976,0.1141,-0.0225,0.1119
37,1.48,1708.279,372.094,0.9979,0.1168,-0.0163,0.1157
38,1.52,1708.193,372.057,0.9975,0.1154,-0.0217,0.1134
39,1.56,1707.994,372.049,0.9960,0.1179,-0.0342,0.1129
40,1.6,1707.883,371.930,0.9971,0.1132,-0.0411,0.1054
41,1.64,1707.749,371.983,0.9982,0.1194,-0.0495,0.1087
42,1.68,1707.730,372.043,0.9982,0.1234,-0.0506,0.1125
43,1.72,1707.843,372.156,0.9969,0.1272,-0.0436,0.1195
44,1.76,1707.872,372.132,0.9968,0.1252,-0.0418,0.1180
45,1.8,1707.771,372.117,0.9977,0.1266,-0.0481,0.1171
46,1.84,1707.811,372.215,0.9966,0.1314,-0.0456,0.1232
47,1.88,1707.876,372.345,0.9944,0.1378,-0.0415,0.1314
48,1.92,1707.966,372.370,0.9933,0.1377,-0.0359,0.1329
49,1.96,1708.121,372.188,0.9960,0.1243,-0.0262,0.1216
50,2.0,1707.912,372.402,0.9934,0.1405,-0.0393,0.1349
51,2.04,1707.832,372.011,0.9976,0.1190,-0.0443,0.1105
52,2.08,1707.325,371.955,0.9985,0.1312,-0.0760,0.1070
53,2.12,1706.801,372.447,0.9934,0.1755,-0.1087,0.1377
54,2.16,1706.148,372.486,0.9915,0.2049,-0.1495,0.1401
55,2.2,1704.907,372.840,0.9952,0.2791,-0.2271,0.1623
56,2.24,1704.515,373.123,0.9969,0.3093,-0.2516,0.1800
57,2.28,1703.024,374.750,0.9923,0.4452,-0.3448,0.2816
58,2.32,1697.641,375.045,0.9940,0.7444,-0.6812,0.3001
59,2.36,1687.161,373.773,0.9884,1.3543,-1.3362,0.2206
60,2.4,1672.673,372.035,0.9848,2.2445,-2.2417,0.1119
61,2.44,1655.248,370.480,0.9743,3.3308,-3.3308,0.0148
62,2.48,1635.892,368.818,0.9684,4.5414,-4.5405,-0.0891
63,2.52,1616.952,368.407,0.9581,5.7254,-5.7242,-0.1148
64,2.56,1601.931,368.728,0.9572,6.6637,-6.6631,-0.0947
65,2.6,1593.640,369.519,0.9547,7.1814,-7.1813,-0.0453
66,2.64,1589.899,370.901,0.9540,7.4152,-7.4151,0.0411
67,2.68,1586.402,371.030,0.9572,7.6338,-7.6337,0.0492
68,2.72,1580.021,369.788,0.9534,8.0325,-8.0324,-0.0285
69,2.76,1572.112,368.280,0.9492,8.5277,-8.5268,-0.1227
70,2.8,1565.603,366.688,0.9466,8.9363,-8.9336,-0.2222
71,2.84,1560.979,363.758,0.9426,9.2315,-9.2226,-0.4054
72,2.88,1557.512,359.009,0.9448,9.4654,-9.4393,-0.7021
73,2.92,1553.506,356.141,0.9429,9.7296,-9.6896,-0.8814
74,2.96,1549.371,355.897,0.9379,9.9884,-9.9481,-0.8966
75,3.0,1546.063,355.358,0.9335,10.1974,-10.1549,-0.9304
76,3.04,1544.010,354.254,0.9313,10.3316,-10.2831,-0.9993
77,3.08,1542.631,354.008,0.9345,10.4189,-10.3694,-1.0147
78,3.12,1541.258,354.173,0.9338,10.5032,-10.4551,-1.0044
79,3.16,1539.221,353.931,0.9322,10.6314,-10.5824,-1.0195
80,3.2,1537.434,353.449,0.9312,10.7456,-10.6942,-1.0497
81,3.24,1536.172,353.209,0.9323,10.8255,-10.7730,-1.0647
82,3.28,1535.067,352.918,0.9330,10.8960,-10.8421,-1.0828
83,3.32,1533.464,352.113,0.9338,11.0008,-10.9423,-1.1331
