frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1506.500,609.500,1.0000,0.0660,0.0278,-0.0598
1,0.04,1506.251,610.307,0.9946,0.0484,0.0226,-0.0428
2,0.08,1505.822,610.586,0.9959,0.0393,0.0135,-0.0369
3,0.12,1505.663,611.420,0.9982,0.0218,0.0102,-0.0193
4,0.16,1505.370,611.919,0.9943,0.0096,0.0040,-0.0088
5,0.2,1505.300,612.248,0.9942,0.0031,0.0025,-0.0018
6,0.24,1505.064,612.567,0.9947,0.0055,-0.0025,0.0050
7,0.28,1504.892,612.418,0.9951,0.0064,-0.0061,0.0018
8,0.32,1504.817,612.615,0.9955,0.0097,-0.0077,0.0060
9,0.36,1504.585,612.873,0.9941,0.0170,-0.0126,0.0114
10,0.4,1504.758,613.097,0.9938,0.0185,-0.0090,0.0161
11,0.44,1504.751,613.117,0.9942,0.0189,-0.0091,0.0166
12,0.48,1504.775,613.212,0.9955,0.0205,-0.0086,0.0186
13,0.52,1504.913,613.244,0.9943,0.0201,-0.0057,0.0192
14,0.56,1504.968,613.263,0.9935,0.0202,-0.0045,0.0197
15,0.6,1504.991,613.292,0.9931,0.0207,-0.0040,0.0203
16,0.64,1505.002,613.628,0.9930,0.0276,-0.0038,0.0274
17,0.68,1504.996,613.337,0.9929,0.0216,-0.0039,0.0212
18,0.72,1504.784,613.553,0.9959,0.0271,-0.0084,0.0258
19,0.76,1504.604,613.579,0.9977,0.0290,-0.0122,0.0263
20,0.8,1504.352,613.706,0.9966,0.0339,-0.0175,0.0290
21,0.84,1504.187,613.740,0.9954,0.0364,-0.0210,0.0297
22,0.88,1504.029,613.828,0.9923,0.0399,-0.0244,0.0316
23,0.92,1503.787,613.684,0.9934,0.0410,-0.0295,0.0285
24,0.96,1503.618,613.747,0.9949,0.0445,-0.0330,0.0299
25,1.0,1503.542,613.862,0.9934,0.0474,-0.0346,0.0323
26,1.04,1503.579,613.903,0.9923,0.0474,-0.0339,0.0332
27,1.08,1503.651,613.859,0.9922,0.0457,-0.0323,0.0322
28,1.12,1504.262,614.119,0.9909,0.0424,-0.0194,0.0377
29,1.16,1504.452,614.018,0.9911,0.0388,-0.0154,0.0356
30,1.2,1504.667,614.007,0.9923,0.0370,-0.0109,0.0354
31,1.24,1504.818,614.052,0.9929,0.0371,-0.0077,0.0363
32,1.28,1505.007,614.287,0.9901,0.0414,-0.0037,0.0413
33,1.32,1505.077,614.284,0.9916,0.0413,-0.0022,0.0412
34,1.36,1505.180,614.342,0.9939,0.0424,-0.0000,0.0424
35,1.4,1505.152,614.335,0.9933,0.0423,-0.0006,0.0423
36,1.44,1504.899,614.161,0.9934,0.0391,-0.0060,0.0386
37,1.48,1504.603,614.301,0.9970,0.0433,-0.0122,0.0416
38,1.52,1504.418,614.351,0.9968,0.0456,-0.0161,0.0426
39,1.56,1504.175,614.493,0.9949,0.0504,-0.0213,0.0456
40,1.6,1503.922,614.326,0.9936,0.0498,-0.0266,0.0421
41,1.64,1503.866,614.365,0.9946,0.0512,-0.0278,0.0429
42,1.68,1503.950,614.324,0.9932,0.0495,-0.0260,0.0421
43,1.72,1504.058,614.550,0.9933,0.0525,-0.0237,0.0468
44,1.76,1504.075,614.614,0.9936,0.0536,-0.0234,0.0482
45,1.8,1504.313,614.582,0.9967,0.0509,-0.0184,0.0475
46,1.84,1504.512,614.483,0.9975,0.0476,-0.0142,0.0454
47,1.88,1504.586,614.566,0.9969,0.0488,-0.0126,0.0472
48,1.92,1504.754,614.521,0.9958,0.0471,-0.0090,0.0462
49,1.96,1504.835,614.516,0.9947,0.0467,-0.0073,0.0461
50,2.0,1504.820,614.525,0.9948,0.0469,-0.0076,0.0463
