group,rel_path,mode,seg_ok,sqrt_area_mm,caliper_length_mm,proximal_length_mm,area_mm2,px_per_mm
2.5%_formalin_1day,2.5%_Formalin_30%_glycerin_chicken_5.25.26/2.5%_formalin_1day_1.MOV,manual,True,13.634131537415145,29.47004371707452,11.358195330993528,185.88954277953826,47.0
2.5%_formalin_1day,2.5%_Formalin_30%_glycerin_chicken_5.25.26/2.5%_formalin_1day_2.MOV,manual,True,13.62516378893251,29.577988463368467,11.208404820256886,185.64508827523767,47.0
2.5%_formalin_1day,2.5%_Formalin_30%_glycerin_chicken_5.25.26/2.5%_formalin_1day_3.MOV,manual,True,13.587917701746768,29.20254427482531,11.239300027018102,184.6315074694432,47.0
70%_EtOH_1day,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_1days_1.MOV,auto,True,13.511190542936875,28.816911886290384,12.335666974946458,182.55226988754686,49.0
70%_EtOH_1day_core_removed,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_1days_1_forearm_core_taken_out.MOV,manual,True,14.199931953072406,32.293821062248114,11.688818936485664,201.6380674718867,49.0
70%_EtOH_1day_core_removed,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_1days_1_forearm_core_taken_out_2.MOV,manual,True,14.1359938584339,31.33931135945393,11.634765293374137,199.82632236568097,49.0
70%_EtOH_1day_core_removed,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_1days_2_forearm_core_taken_out.MOV,auto,True,13.913324240462506,33.392756972768794,13.507198013186535,193.58059142024157,49.0
70%_EtOH_1day_core_removed,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_1days_2_forearm_core_taken_out_2.MOV,auto,True,13.593062394942612,33.17604149502268,13.701296691508363,184.771345272803,49.0
70%_EtOH_1day,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_1days_3.1.MOV,auto,True,13.022359267798794,27.550279657464426,12.318452549711424,169.58184089962515,49.0
70%_EtOH_1day,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_1days_3.MOV,auto,True,13.102406378014201,27.7407676069338,12.504359922691695,171.67305289462723,49.0
70%_EtOH_4day,EtOH_fixed_chicken_pneumatic_experiments_6.11.26/70%_EtOH_4days_1.MOV,auto,True,12.622246876114517,26.62258782357549,15.113646946771434,159.32111620158267,49.0
5%_formalin_2day,pneumatics_first_test_5.20.26/5%_formalin_tricep_1.MOV,auto,True,12.973671900078577,30.20997719491364,11.702943419844885,168.31616257088848,46.0
5%_formalin_2day,pneumatics_first_test_5.20.26/5%_formalin_tricep_2.MOV,auto,True,12.388577121695171,31.37427274931172,12.986269468442211,153.47684310018903,46.0
5%_formalin_2day,pneumatics_first_test_5.20.26/5%_formalin_tricep_3.MOV,auto,True,13.581163982622158,31.33681890814164,12.245287662741502,184.44801512287336,46.0
5%_formalin_2day,pneumatics_first_test_5.20.26/5%_formalin_tricep_4.MOV,auto,True,17.06777881635474,30.591042958074507,12.408931017541747,291.3090737240076,46.0
fresh,pneumatics_first_test_5.20.26/fresh_chicken_bicep_1.MOV,auto,True,12.535310019454599,29.00462022795123,12.02127659574468,157.13399728383885,47.0
fresh,pneumatics_first_test_5.20.26/fresh_chicken_bicep_2.MOV,auto,True,12.72699377348779,29.719744825859085,11.295816178479368,161.97637051039698,46.0
fresh,pneumatics_first_test_5.20.26/fresh_chicken_bicep_3.MOV,auto,True,13.179707559654906,30.84662976568485,11.44097034648442,173.7046913580247,45.0
fresh,pneumatics_first_test_5.20.26/fresh_chicken_bicep_4.MOV,auto,True,13.213180848991213,30.988783315225923,11.637763138343962,174.58814814814815,45.0
fresh_double_actuator,pneumatics_first_test_5.20.26/fresh_chicken_double_actuator.MOV,auto,True,9.11362323910877,26.910567421394123,8.206025035357092,83.05812854442344,46.0
fresh_double_actuator,pneumatics_first_test_5.20.26/fresh_chicken_double_actuator_2.MOV,auto,True,8.553523275040916,26.07964730344761,7.795926865642368,73.16276041666667,48.0
