Type,Decellularized (wet weight),Decellularized (dry weight),Chem Pol Round 1 (wet weight),Chem Pol Round 1 (dry weight)
,0.0417,0.0064,,
,0.0238,0.0026,,
,0.0685,0.0059,,
,0.0588,0.0076,,
,0.0376,0.0029,,
,0.0383,0.0063,,
AGAINST THE GRAIN (1000um),0.0458,,0.0256,0.0074
AGAINST THE GRAIN (1000um),0.0412,,0.0251,
AGAINST THE GRAIN (1000um),0.0344,,0.0246,
AGAINST THE GRAIN (1000um),0.0523,,0.0277,0.0085
AGAINST THE GRAIN (1000um),0.0315,,0.0199,
AGAINST THE GRAIN (1000um),0.0481,,0.0269,
PERPINDICULAR TO GRAIN (500um),0.0293,,0.0156,
PERPINDICULAR TO GRAIN (500um),0.0355,,0.0181,
PERPINDICULAR TO GRAIN (500um),0.0143,,0.0065,0.002
PERPINDICULAR TO GRAIN (500um),0.0285,,0.0148,
PERPINDICULAR TO GRAIN (500um),0.0327,,0.0183,
PERPINDICULAR TO GRAIN (500um),0.0392,,0.0215,
ALONG THE GRAIN (500um),0.0418,,0.0189,
ALONG THE GRAIN (500um),0.0573,,0.0287,
ALONG THE GRAIN (500um),0.0676,,0.0357,
ALONG THE GRAIN (500um),0.0296,,0.0137,
ALONG THE GRAIN (500um),0.0216,,0.0103,0.0031
ALONG THE GRAIN (500um),0.0202,,0.0111,
ALONG THE GRAIN (1000um),0.0623,,0.0326,
ALONG THE GRAIN (1000um),0.0497,,0.0326,
ALONG THE GRAIN (1000um),0.03,,0.0156,
ALONG THE GRAIN (1000um),0.0552,,0.0294,
ALONG THE GRAIN (1000um),0.0323,,0.0147,0.0038
ALONG THE GRAIN (1000um),0.0353,,0.0167,
