Type,Decellularized (wet weight),Decellularized (dry weight),Chem Pol Round 1 (wet weight),Chem Pol Round 1 (dry weight),Chem Pol 1 round -> Electropol (wet weight),Chem Pol Round 2 (wet weight),Chem Pol Round 2 (dry weight)
,0.0417,0.0064,,,,,
,0.0238,0.0026,,,,,
,0.0685,0.0059,,,,,
,0.0588,0.0076,,,,,
,0.0376,0.0029,,,,,
,0.0383,0.0063,,,,,
Weird 500 um,0.0192,0.003,,,,,
1000um ALONG,0.0561,0.0044,,,,,
500um ALONG,0.0357,0.0036,,,,,
,0.0344,0.0033,,,,,
1000um ALONG,0.077,0.0065,,,,,
1000um,0.0298,0.0036,,,,,
500um ALONG ,0.0158,0.0028,,,,,
,0.0065,0.0009,,,,,
AGAINST THE GRAIN (1000um),0.0458,,0.0256,0.0074,,,
AGAINST THE GRAIN (1000um),0.0412,,0.0251,,,0.0221,
AGAINST THE GRAIN (1000um),0.0344,,0.0246,,,0.0226,0.0114
AGAINST THE GRAIN (1000um),0.0523,,0.0277,0.0085,,,
AGAINST THE GRAIN (1000um),0.0315,,0.0199,,,0.0167,0.0082
AGAINST THE GRAIN (1000um),0.0481,,0.0269,,,0.0242,
PERPINDICULAR TO GRAIN (500um),0.0293,,0.0156,,,0.0157,0.0069
PERPINDICULAR TO GRAIN (500um),0.0355,,0.0181,,,0.0198,0.0071
PERPINDICULAR TO GRAIN (500um),0.0143,,0.0065,0.002,,,
PERPINDICULAR TO GRAIN (500um),0.0285,,0.0148,,,0.0141,
PERPINDICULAR TO GRAIN (500um),0.0327,,0.0183,,,0.0188,
PERPINDICULAR TO GRAIN (500um),0.0392,,0.0215,,,0.0219,
ALONG THE GRAIN (500um),0.0418,,0.0189,,,0.0192,
ALONG THE GRAIN (500um),0.0573,,0.0287,,enter something,,
ALONG THE GRAIN (500um),0.0676,,0.0357,,,0.0315,
ALONG THE GRAIN (500um),0.0296,,0.0137,,,0.0136,
ALONG THE GRAIN (500um),0.0216,,0.0103,0.0031,,,
ALONG THE GRAIN (500um),0.0202,,0.0111,,,0.0113,
ALONG THE GRAIN (1000um),0.0623,,0.0326,,,0.0435,
ALONG THE GRAIN (1000um),0.0497,,0.0326,,,0.0371,
ALONG THE GRAIN (1000um),0.03,,0.0156,,,0.0164,0.0062
ALONG THE GRAIN (1000um),0.0552,,0.0294,,,0.0279,
ALONG THE GRAIN (1000um),0.0323,,0.0147,0.0038,,,
ALONG THE GRAIN (1000um),0.0353,,0.0167,,,0.0169,
