elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4978,2026-07-20T16:21:19.511422,-0.578155,0.000000
0.9978,2026-07-20T16:21:20.011401,-0.578002,0.000000
1.5094,2026-07-20T16:21:20.523078,-0.577754,0.000000
2.0046,2026-07-20T16:21:21.018221,-0.577619,0.000000
2.4836,2026-07-20T16:21:21.497188,-0.577382,0.000000
2.9558,2026-07-20T16:21:21.969473,-0.577138,0.000000
3.4171,2026-07-20T16:21:22.430775,-0.576907,0.000000
3.9092,2026-07-20T16:21:22.922877,-0.576696,0.000000
4.4020,2026-07-20T16:21:23.415641,-0.576534,0.000000
4.8930,2026-07-20T16:21:23.906593,-0.576443,0.000000
5.3862,2026-07-20T16:21:24.399892,-0.576266,0.000000
5.8723,2026-07-20T16:21:24.885884,-0.576155,0.000000
6.3429,2026-07-20T16:21:25.356542,-0.576062,0.000000
6.8384,2026-07-20T16:21:25.852054,-0.575949,0.000000
7.3160,2026-07-20T16:21:26.329631,-0.575800,0.000000
7.8422,2026-07-20T16:21:26.855865,-0.575654,0.000000
8.3379,2026-07-20T16:21:27.351539,-0.575504,0.000000
8.8055,2026-07-20T16:21:27.819118,-0.575382,0.000000
9.3017,2026-07-20T16:21:28.315299,-0.575195,0.000000
9.8016,2026-07-20T16:21:28.815229,-0.575040,0.000000
10.2993,2026-07-20T16:21:29.312978,-0.574915,0.000000
10.8092,2026-07-20T16:21:29.822801,-0.574765,0.000000
11.2858,2026-07-20T16:21:30.299405,-0.574603,0.000000
11.7883,2026-07-20T16:21:30.801900,-0.574435,0.000000
12.2897,2026-07-20T16:21:31.303324,-0.574307,0.000000
12.7680,2026-07-20T16:21:31.781658,-0.574147,0.000000
13.2737,2026-07-20T16:21:32.287360,-0.574013,0.000000
13.8021,2026-07-20T16:21:32.815757,-0.573824,0.000000
14.2975,2026-07-20T16:21:33.311174,-0.573584,0.000000
14.7697,2026-07-20T16:21:33.783357,-0.573310,0.000000
15.2412,2026-07-20T16:21:34.254899,-0.572987,0.000000
15.6986,2026-07-20T16:21:34.712250,-0.572731,0.000000
16.1988,2026-07-20T16:21:35.212495,-0.572402,0.000000
16.7022,2026-07-20T16:21:35.715824,-0.572090,0.000000
17.1959,2026-07-20T16:21:36.209587,-0.571766,0.000000
17.6774,2026-07-20T16:21:36.691075,-0.571466,0.000000
18.1828,2026-07-20T16:21:37.196491,-0.571136,0.000000
18.6970,2026-07-20T16:21:37.710677,-0.570832,0.000000
19.2025,2026-07-20T16:21:38.216152,-0.570528,0.000000
19.6970,2026-07-20T16:21:38.710617,-0.570325,0.000000
20.1582,2026-07-20T16:21:39.171865,-0.570080,0.000000
20.6558,2026-07-20T16:21:39.669435,-0.569853,0.000000
21.1404,2026-07-20T16:21:40.154021,-0.569634,0.000000
