elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.5341,2026-07-20T17:43:28.741527,-0.507256,0.000000
0.9994,2026-07-20T17:43:29.206805,-0.507104,0.000000
1.5061,2026-07-20T17:43:29.713534,-0.506955,0.000000
1.9992,2026-07-20T17:43:30.206613,-0.506717,0.000000
2.4463,2026-07-20T17:43:30.653775,-0.506490,0.000000
2.9417,2026-07-20T17:43:31.149095,-0.506344,0.000000
3.4328,2026-07-20T17:43:31.640233,-0.506166,0.000000
3.8916,2026-07-20T17:43:32.099020,-0.506011,0.000000
4.3530,2026-07-20T17:43:32.560432,-0.505838,0.000000
4.8350,2026-07-20T17:43:33.042454,-0.505669,0.000000
5.3361,2026-07-20T17:43:33.543498,-0.505542,0.000000
5.8361,2026-07-20T17:43:34.043553,-0.505387,0.000000
6.3273,2026-07-20T17:43:34.534705,-0.505286,0.000000
6.8369,2026-07-20T17:43:35.044344,-0.505192,0.000000
7.3267,2026-07-20T17:43:35.534076,-0.505133,0.000000
7.8246,2026-07-20T17:43:36.032021,-0.505010,0.000000
8.3213,2026-07-20T17:43:36.528728,-0.504894,0.000000
8.7884,2026-07-20T17:43:36.995841,-0.504776,0.000000
9.2850,2026-07-20T17:43:37.492380,-0.504670,0.000000
9.7935,2026-07-20T17:43:38.000954,-0.504541,0.000000
10.2571,2026-07-20T17:43:38.464504,-0.504398,0.000000
10.7479,2026-07-20T17:43:38.955337,-0.504283,0.000000
11.2395,2026-07-20T17:43:39.446906,-0.504190,0.000000
11.7273,2026-07-20T17:43:39.934723,-0.504058,0.000000
12.2219,2026-07-20T17:43:40.429278,-0.503930,0.000000
12.6826,2026-07-20T17:43:40.890053,-0.503766,0.000000
13.1404,2026-07-20T17:43:41.347868,-0.503694,0.000000
13.6176,2026-07-20T17:43:41.824988,-0.503574,0.000000
14.1034,2026-07-20T17:43:42.310838,-0.503475,0.000000
14.5907,2026-07-20T17:43:42.798085,-0.503378,0.000000
15.0607,2026-07-20T17:43:43.268097,-0.503238,0.000000
15.5360,2026-07-20T17:43:43.743418,-0.503131,0.000000
16.0553,2026-07-20T17:43:44.262894,-0.502981,0.000000
16.5263,2026-07-20T17:43:44.733734,-0.502902,0.000000
16.9807,2026-07-20T17:43:45.188073,-0.502797,0.000000
17.4802,2026-07-20T17:43:45.687635,-0.502787,0.000000
17.9432,2026-07-20T17:43:46.150590,-0.502642,0.000000
18.4261,2026-07-20T17:43:46.633558,-0.502526,0.000000
18.9123,2026-07-20T17:43:47.119720,-0.502454,0.000000
19.4070,2026-07-20T17:43:47.614414,-0.502301,0.000000
19.9070,2026-07-20T17:43:48.114438,-0.502154,0.000000
20.3774,2026-07-20T17:43:48.584856,-0.502054,0.000000
20.8556,2026-07-20T17:43:49.063068,-0.501934,0.000000
21.3274,2026-07-20T17:43:49.534836,-0.501786,0.000000
21.8080,2026-07-20T17:43:50.015465,-0.501698,0.000000
22.2910,2026-07-20T17:43:50.498440,-0.501547,0.000000
22.7879,2026-07-20T17:43:50.995366,-0.501430,0.000000
23.2416,2026-07-20T17:43:51.449018,-0.501291,0.000000
23.7335,2026-07-20T17:43:51.940902,-0.501210,0.000000
24.2063,2026-07-20T17:43:52.413754,-0.501130,0.000000
24.6755,2026-07-20T17:43:52.882873,-0.501029,0.000000
25.1444,2026-07-20T17:43:53.351846,-0.501034,0.000000
25.6261,2026-07-20T17:43:53.833484,-0.500944,0.000000
26.0930,2026-07-20T17:43:54.300414,-0.500888,0.000000
26.5864,2026-07-20T17:43:54.793800,-0.500808,0.000000
27.0594,2026-07-20T17:43:55.266802,-0.500746,0.000000
27.5651,2026-07-20T17:43:55.772548,-0.500669,0.000000
28.0986,2026-07-20T17:43:56.306068,-0.500509,0.000000
28.6067,2026-07-20T17:43:56.814164,-0.500419,0.000000
29.1023,2026-07-20T17:43:57.309686,-0.500131,0.000000
29.6068,2026-07-20T17:43:57.814263,-0.500038,0.000000
30.0641,2026-07-20T17:43:58.271527,-0.499830,0.000000
30.5378,2026-07-20T17:43:58.745268,-0.499688,0.000000
31.0372,2026-07-20T17:43:59.244598,-0.499528,0.000000
31.5133,2026-07-20T17:43:59.720742,-0.499368,0.000000
32.0072,2026-07-20T17:44:00.214605,-0.499202,0.000000
32.5153,2026-07-20T17:44:00.722724,-0.499042,0.000000
32.9881,2026-07-20T17:44:01.195539,-0.498920,0.000000
33.4764,2026-07-20T17:44:01.683778,-0.498781,0.000000
33.9509,2026-07-20T17:44:02.158356,-0.498675,0.000000
34.4379,2026-07-20T17:44:02.645295,-0.498549,0.000000
34.9373,2026-07-20T17:44:03.144671,-0.498456,0.000000
35.4011,2026-07-20T17:44:03.608512,-0.498291,0.000000
35.8680,2026-07-20T17:44:04.075450,-0.498184,0.000000
36.3446,2026-07-20T17:44:04.552024,-0.498002,0.000000
36.8486,2026-07-20T17:44:05.056031,-0.497846,0.000000
37.3299,2026-07-20T17:44:05.537279,-0.497707,0.000000
37.8130,2026-07-20T17:44:06.020432,-0.497510,0.000000
38.3035,2026-07-20T17:44:06.510939,-0.497387,0.000000
38.7856,2026-07-20T17:44:06.993026,-0.497269,0.000000
39.2868,2026-07-20T17:44:07.494172,-0.497147,0.000000
39.7902,2026-07-20T17:44:07.997588,-0.497098,0.000000
40.2715,2026-07-20T17:44:08.478894,-0.497021,0.000000
40.7683,2026-07-20T17:44:08.975679,-0.496915,0.000000
41.2509,2026-07-20T17:44:09.458291,-0.496874,0.000000
41.7222,2026-07-20T17:44:09.929634,-0.496806,0.000000
42.1974,2026-07-20T17:44:10.404813,-0.496739,0.000000
42.6815,2026-07-20T17:44:10.888883,-0.496770,0.000000
43.1828,2026-07-20T17:44:11.390206,-0.496723,0.000000
43.6690,2026-07-20T17:44:11.876420,-0.496686,0.000000
44.1469,2026-07-20T17:44:12.354277,-0.496629,0.000000
44.6388,2026-07-20T17:44:12.846185,-0.496563,0.000000
45.1351,2026-07-20T17:44:13.342521,-0.496520,0.000000
45.6225,2026-07-20T17:44:13.829926,-0.496437,0.000000
46.1015,2026-07-20T17:44:14.308900,-0.496374,0.000000
46.5844,2026-07-20T17:44:14.791800,-0.496384,0.000000
47.0845,2026-07-20T17:44:15.291900,-0.496365,0.000000
47.6094,2026-07-20T17:44:15.816809,-0.496320,0.000000
48.1063,2026-07-20T17:44:16.313686,-0.496302,0.000000
48.5516,2026-07-20T17:44:16.759018,-0.496298,0.000000
49.0483,2026-07-20T17:44:17.255678,-0.496318,0.000000
49.5536,2026-07-20T17:44:17.761026,-0.496242,0.000000
50.0364,2026-07-20T17:44:18.243810,-0.496256,0.000000
50.5341,2026-07-20T17:44:18.741498,-0.496258,0.000000
51.0343,2026-07-20T17:44:19.241681,-0.496221,0.000000
51.5298,2026-07-20T17:44:19.737203,-0.496162,0.000000
52.0430,2026-07-20T17:44:20.250401,-0.496099,0.000000
52.5347,2026-07-20T17:44:20.742087,-0.496034,0.000000
53.0359,2026-07-20T17:44:21.243370,-0.495998,0.000000
53.5111,2026-07-20T17:44:21.718571,-0.495946,0.000000
54.0031,2026-07-20T17:44:22.210533,-0.495902,0.000000
54.4843,2026-07-20T17:44:22.691677,-0.495797,0.000000
54.9368,2026-07-20T17:44:23.144215,-0.495738,0.000000
55.3850,2026-07-20T17:44:23.592385,-0.495672,0.000000
55.8867,2026-07-20T17:44:24.094127,-0.495675,0.000000
56.3902,2026-07-20T17:44:24.597600,-0.495658,0.000000
56.8881,2026-07-20T17:44:25.095484,-0.495614,0.000000
57.3895,2026-07-20T17:44:25.596953,-0.495595,0.000000
57.8890,2026-07-20T17:44:26.096382,-0.495566,0.000000
58.3841,2026-07-20T17:44:26.591553,-0.495542,0.000000
58.8352,2026-07-20T17:44:27.042614,-0.495563,0.000000
59.3346,2026-07-20T17:44:27.542012,-0.495578,0.000000
59.8345,2026-07-20T17:44:28.041947,-0.495606,0.000000
60.3262,2026-07-20T17:44:28.533649,-0.495579,0.000000
60.8234,2026-07-20T17:44:29.030819,-0.495563,0.000000
61.3229,2026-07-20T17:44:29.530313,-0.495531,0.000000
61.8446,2026-07-20T17:44:30.052020,-0.495499,0.000000
62.3340,2026-07-20T17:44:30.541376,-0.495469,0.000000
62.8338,2026-07-20T17:44:31.041191,-0.495483,0.000000
63.2883,2026-07-20T17:44:31.495693,-0.495462,0.000000
63.7877,2026-07-20T17:44:31.995176,-0.495432,0.000000
64.2821,2026-07-20T17:44:32.489478,-0.495394,0.000000
64.7698,2026-07-20T17:44:32.977190,-0.495373,0.000000
65.2669,2026-07-20T17:44:33.474340,-0.495341,0.000000
65.7496,2026-07-20T17:44:33.956979,-0.495342,0.000000
66.2382,2026-07-20T17:44:34.445605,-0.495322,0.000000
66.6876,2026-07-20T17:44:34.895025,-0.495338,0.000000
67.1883,2026-07-20T17:44:35.395681,-0.495344,0.000000
67.6957,2026-07-20T17:44:35.903125,-0.495299,0.000000
68.1644,2026-07-20T17:44:36.371854,-0.495266,0.000000
68.6546,2026-07-20T17:44:36.862009,-0.495221,0.000000
69.1514,2026-07-20T17:44:37.358782,-0.495211,0.000000
69.6257,2026-07-20T17:44:37.833091,-0.495189,0.000000
70.1248,2026-07-20T17:44:38.332201,-0.495147,0.000000
70.6039,2026-07-20T17:44:38.811349,-0.495122,0.000000
71.0881,2026-07-20T17:44:39.295505,-0.495102,0.000000
71.5863,2026-07-20T17:44:39.793683,-0.495059,0.000000
72.0575,2026-07-20T17:44:40.264875,-0.494995,0.000000
72.5595,2026-07-20T17:44:40.766886,-0.494942,0.000000
73.0727,2026-07-20T17:44:41.280098,-0.494907,0.000000
73.5595,2026-07-20T17:44:41.766915,-0.494902,0.000000
74.0200,2026-07-20T17:44:42.227429,-0.494883,0.000000
74.4883,2026-07-20T17:44:42.695698,-0.494858,0.000000
74.9560,2026-07-20T17:44:43.163408,-0.494822,0.000000
75.4376,2026-07-20T17:44:43.645000,-0.494818,0.000000
75.9094,2026-07-20T17:44:44.116855,-0.494790,0.000000
76.4194,2026-07-20T17:44:44.626862,-0.494790,0.000000
76.9107,2026-07-20T17:44:45.118172,-0.494730,0.000000
77.3980,2026-07-20T17:44:45.605418,-0.494722,0.000000
77.9029,2026-07-20T17:44:46.110322,-0.494717,0.000000
78.3896,2026-07-20T17:44:46.596986,-0.494678,0.000000
78.8897,2026-07-20T17:44:47.097108,-0.494634,0.000000
79.3895,2026-07-20T17:44:47.596922,-0.494562,0.000000
79.8684,2026-07-20T17:44:48.075864,-0.494509,0.000000
80.3484,2026-07-20T17:44:48.555791,-0.494437,0.000000
80.8224,2026-07-20T17:44:49.029836,-0.494370,0.000000
81.3234,2026-07-20T17:44:49.530790,-0.494264,0.000000
81.8323,2026-07-20T17:44:50.039763,-0.494200,0.000000
82.2917,2026-07-20T17:44:50.499141,-0.494110,0.000000
82.7572,2026-07-20T17:44:50.964606,-0.494035,0.000000
83.2470,2026-07-20T17:44:51.454380,-0.493973,0.000000
83.7523,2026-07-20T17:44:51.959740,-0.493990,0.000000
84.2592,2026-07-20T17:44:52.466609,-0.493998,0.000000
84.7663,2026-07-20T17:44:52.973761,-0.493990,0.000000
85.2596,2026-07-20T17:44:53.467069,-0.493998,0.000000
85.7372,2026-07-20T17:44:53.944610,-0.493949,0.000000
86.1929,2026-07-20T17:44:54.400329,-0.493979,0.000000
86.6895,2026-07-20T17:44:54.896955,-0.493926,0.000000
87.1952,2026-07-20T17:44:55.402613,-0.493973,0.000000
87.6913,2026-07-20T17:44:55.898736,-0.493965,0.000000
88.1657,2026-07-20T17:44:56.373108,-0.493885,0.000000
88.6638,2026-07-20T17:44:56.871173,-0.493837,0.000000
89.1685,2026-07-20T17:44:57.375906,-0.493726,0.000000
89.6626,2026-07-20T17:44:57.870036,-0.493646,0.000000
90.1424,2026-07-20T17:44:58.349779,-0.493574,0.000000
90.6347,2026-07-20T17:44:58.842095,-0.493539,0.000000
91.1355,2026-07-20T17:44:59.342923,-0.493454,0.000000
91.5918,2026-07-20T17:44:59.799236,-0.493448,0.000000
92.0471,2026-07-20T17:45:00.254557,-0.493429,0.000000
92.5416,2026-07-20T17:45:00.748984,-0.493406,0.000000
93.0271,2026-07-20T17:45:01.234553,-0.493432,0.000000
93.5094,2026-07-20T17:45:01.716776,-0.493378,0.000000
94.0089,2026-07-20T17:45:02.216292,-0.493387,0.000000
94.4879,2026-07-20T17:45:02.695283,-0.493362,0.000000
94.9742,2026-07-20T17:45:03.181601,-0.493360,0.000000
95.4985,2026-07-20T17:45:03.705969,-0.493368,0.000000
95.9754,2026-07-20T17:45:04.182822,-0.493426,0.000000
96.4811,2026-07-20T17:45:04.688566,-0.493400,0.000000
96.9764,2026-07-20T17:45:05.183854,-0.493338,0.000000
97.4497,2026-07-20T17:45:05.657086,-0.493304,0.000000
97.9351,2026-07-20T17:45:06.142538,-0.493325,0.000000
98.3849,2026-07-20T17:45:06.592275,-0.493320,0.000000
98.8781,2026-07-20T17:45:07.085539,-0.493288,0.000000
99.3532,2026-07-20T17:45:07.560625,-0.493307,0.000000
99.8413,2026-07-20T17:45:08.048723,-0.493349,0.000000
100.3363,2026-07-20T17:45:08.543759,-0.493317,0.000000
100.8569,2026-07-20T17:45:09.064360,-0.493288,0.000000
101.3261,2026-07-20T17:45:09.533467,-0.493250,0.000000
101.8243,2026-07-20T17:45:10.031698,-0.493254,0.000000
102.3021,2026-07-20T17:45:10.509534,-0.493262,0.000000
102.7992,2026-07-20T17:45:11.006617,-0.493283,0.000000
103.2890,2026-07-20T17:45:11.496409,-0.493258,0.000000
103.7663,2026-07-20T17:45:11.973726,-0.493203,0.000000
104.2761,2026-07-20T17:45:12.483508,-0.493136,0.000000
104.7482,2026-07-20T17:45:12.955603,-0.493061,0.000000
105.2365,2026-07-20T17:45:13.443941,-0.493016,0.000000
105.7651,2026-07-20T17:45:13.972483,-0.493003,0.000000
106.2604,2026-07-20T17:45:14.467799,-0.493038,0.000000
106.7423,2026-07-20T17:45:14.949705,-0.493051,0.000000
107.2415,2026-07-20T17:45:15.448900,-0.493043,0.000000
107.7048,2026-07-20T17:45:15.912190,-0.492987,0.000000
108.1955,2026-07-20T17:45:16.402915,-0.492941,0.000000
108.6912,2026-07-20T17:45:16.898668,-0.492947,0.000000
