Type,Decellularized (wet weight),Decellularized (dry weight),4 Dunks - Chem Pol (wet weight),4 Dunks - Chem Pol (dry weight)
,0.0417,0.0064,,
,0.0238,0.0026,,
,0.0685,0.0059,,
,0.0588,0.0076,,
,0.0376,0.0029,,
,0.0383,0.0063,,
Weird 500 um,0.0192,0.003,,
1000um ALONG,0.0561,0.0044,,
500um ALONG,0.0357,0.0036,,
,0.0344,0.0033,,
1000um ALONG,0.077,0.0065,,
1000um,0.0298,0.0036,,
500um ALONG ,0.0158,0.0028,,
,0.0065,0.0009,,
ALONG 1000um,0.066,,0.0339,
ALONG 1000um,0.0352,,0.345,
AGAINST 1000um,0.0803,,0.429,0.0134
ALONG 500um,0.0379,,0.0305,
ALONG 500um,0.0174,,0.007,
ALONG 1000um,0.0802,,0.0428,0.009
AGAINST 500um,0.036,,0.0139,0.005
AGAINST 500um,0.0385,,0.0158,
ALONG 500um,0.0113,,0.0049,0.0012
ALONG 1000um,0.0633,,0.0249,
AGAINST 1000um,0.0943,,0.0505,
ALONG 1000um,0.731,,0.0389,
