elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4941,2026-07-15T13:51:17.830396,0.000000,2.992870
0.9422,2026-07-15T13:51:18.278451,0.000000,2.992952
1.4049,2026-07-15T13:51:18.741213,0.000000,2.992954
1.9025,2026-07-15T13:51:19.238768,0.000000,2.993013
2.3874,2026-07-15T13:51:19.723681,0.000000,2.993118
2.8632,2026-07-15T13:51:20.199494,0.000000,2.993144
3.3565,2026-07-15T13:51:20.692788,0.000000,2.993230
3.8540,2026-07-15T13:51:21.190320,0.000000,2.993296
4.3487,2026-07-15T13:51:21.685030,0.000000,2.993331
4.8544,2026-07-15T13:51:22.190672,0.000000,2.993395
5.3506,2026-07-15T13:51:22.686858,0.000000,2.993400
5.8350,2026-07-15T13:51:23.171239,0.000000,2.993392
6.3330,2026-07-15T13:51:23.669317,0.000000,2.993392
6.7877,2026-07-15T13:51:24.123992,0.000000,2.993410
7.2438,2026-07-15T13:51:24.580094,0.000000,2.993413
7.7400,2026-07-15T13:51:25.076258,0.000000,2.993394
8.2105,2026-07-15T13:51:25.546762,0.000000,2.993390
8.6914,2026-07-15T13:51:26.027662,0.000000,2.993346
9.1816,2026-07-15T13:51:26.517850,0.000000,2.993374
9.6510,2026-07-15T13:51:26.987333,0.000000,2.993378
10.1493,2026-07-15T13:51:27.485628,0.000000,2.993400
10.6444,2026-07-15T13:51:27.980687,0.000000,2.993408
11.1861,2026-07-15T13:51:28.522381,0.000000,2.993437
11.6545,2026-07-15T13:51:28.990757,0.000000,2.993405
12.1611,2026-07-15T13:51:29.497378,0.000000,2.993477
12.6566,2026-07-15T13:51:29.992914,0.000000,2.993507
13.1433,2026-07-15T13:51:30.479572,0.000000,2.993552
13.6366,2026-07-15T13:51:30.972907,0.000000,2.993614
14.1421,2026-07-15T13:51:31.478372,0.000000,2.993635
14.6419,2026-07-15T13:51:31.978166,0.000000,2.993706
15.1589,2026-07-15T13:51:32.495250,0.000000,2.993795
15.6588,2026-07-15T13:51:32.995099,0.000000,2.993848
16.1677,2026-07-15T13:51:33.504020,0.000000,2.993966
16.6653,2026-07-15T13:51:34.001603,0.000000,2.994098
17.1557,2026-07-15T13:51:34.492032,0.000000,2.994104
17.6488,2026-07-15T13:51:34.985100,0.000000,2.994086
18.1778,2026-07-15T13:51:35.514121,0.000000,2.994085
18.6691,2026-07-15T13:51:36.005377,0.000000,2.994109
19.1251,2026-07-15T13:51:36.461403,0.000000,2.994102
19.5980,2026-07-15T13:51:36.934278,0.000000,2.994110
20.0997,2026-07-15T13:51:37.435959,0.000000,2.994091
20.5797,2026-07-15T13:51:37.916039,0.000000,2.994150
21.0851,2026-07-15T13:51:38.421419,0.000000,2.994182
21.5809,2026-07-15T13:51:38.917173,0.000000,2.994208
22.0879,2026-07-15T13:51:39.424216,0.000000,2.994256
22.6118,2026-07-15T13:51:39.948058,0.000000,2.994373
23.1179,2026-07-15T13:51:40.454147,0.000000,2.994470
23.6090,2026-07-15T13:51:40.945313,0.000000,2.994522
24.1102,2026-07-15T13:51:41.446508,0.000000,2.994616
24.5824,2026-07-15T13:51:41.918731,0.000000,2.994686
25.0590,2026-07-15T13:51:42.395266,0.000000,2.994714
25.5622,2026-07-15T13:51:42.898546,0.000000,2.994691
26.0257,2026-07-15T13:51:43.362006,0.000000,2.994696
26.5300,2026-07-15T13:51:43.866341,0.000000,2.994682
27.0222,2026-07-15T13:51:44.358479,0.000000,2.994710
27.5041,2026-07-15T13:51:44.840402,0.000000,2.994720
28.0025,2026-07-15T13:51:45.338817,0.000000,2.994744
28.4789,2026-07-15T13:51:45.815207,0.000000,2.994805
28.9746,2026-07-15T13:51:46.310899,0.000000,2.994818
29.4490,2026-07-15T13:51:46.785317,0.000000,2.994894
29.9508,2026-07-15T13:51:47.287144,0.000000,2.994987
30.4515,2026-07-15T13:51:47.787832,0.000000,2.995117
30.9572,2026-07-15T13:51:48.293499,0.000000,2.995165
31.4541,2026-07-15T13:51:48.790394,0.000000,2.995238
31.9416,2026-07-15T13:51:49.277855,0.000000,2.995306
32.4467,2026-07-15T13:51:49.782951,0.000000,2.995350
32.9467,2026-07-15T13:51:50.283042,0.000000,2.995413
33.4514,2026-07-15T13:51:50.787745,0.000000,2.995453
33.9749,2026-07-15T13:51:51.311160,0.000000,2.995509
34.4597,2026-07-15T13:51:51.796030,0.000000,2.995477
34.9548,2026-07-15T13:51:52.291126,0.000000,2.995434
35.4576,2026-07-15T13:51:52.793857,0.000000,2.995402
35.9628,2026-07-15T13:51:53.299084,0.000000,2.995434
36.4591,2026-07-15T13:51:53.795389,0.000000,2.995403
36.9598,2026-07-15T13:51:54.296129,0.000000,2.995405
37.4670,2026-07-15T13:51:54.803290,0.000000,2.995419
37.9682,2026-07-15T13:51:55.304469,0.000000,2.995482
38.4695,2026-07-15T13:51:55.805795,0.000000,2.995496
38.9802,2026-07-15T13:51:56.316441,0.000000,2.995512
39.4711,2026-07-15T13:51:56.807417,0.000000,2.995627
39.9682,2026-07-15T13:51:57.304493,0.000000,2.995630
40.4573,2026-07-15T13:51:57.793639,0.000000,2.995704
40.9829,2026-07-15T13:51:58.319160,0.000000,2.995752
41.4760,2026-07-15T13:51:58.812268,0.000000,2.995870
41.9785,2026-07-15T13:51:59.314815,0.000000,2.995838
42.4787,2026-07-15T13:51:59.815011,0.000000,2.995890
42.9819,2026-07-15T13:52:00.318203,0.000000,2.995915
43.4816,2026-07-15T13:52:00.817868,0.000000,2.996018
43.9812,2026-07-15T13:52:01.317487,0.000000,2.996037
44.4711,2026-07-15T13:52:01.807381,0.000000,2.995973
44.9743,2026-07-15T13:52:02.310594,0.000000,2.996010
45.4854,2026-07-15T13:52:02.821703,0.000000,2.995998
45.9919,2026-07-15T13:52:03.328188,0.000000,2.995995
46.4762,2026-07-15T13:52:03.812478,0.000000,2.995982
46.9777,2026-07-15T13:52:04.313990,0.000000,2.996056
47.4817,2026-07-15T13:52:04.817990,0.000000,2.996070
47.9740,2026-07-15T13:52:05.310315,0.000000,2.996026
48.4784,2026-07-15T13:52:05.814646,0.000000,2.995979
49.0024,2026-07-15T13:52:06.338727,0.000000,2.996094
49.4949,2026-07-15T13:52:06.831193,0.000000,2.996187
49.9896,2026-07-15T13:52:07.325872,0.000000,2.996274
50.4973,2026-07-15T13:52:07.833575,0.000000,2.996331
50.9528,2026-07-15T13:52:08.289121,0.000000,2.996467
51.4317,2026-07-15T13:52:08.767962,0.000000,2.996494
51.9341,2026-07-15T13:52:09.270432,0.000000,2.996526
52.4138,2026-07-15T13:52:09.750093,0.000000,2.996562
52.9101,2026-07-15T13:52:10.246347,0.000000,2.996645
53.4351,2026-07-15T13:52:10.771426,0.000000,2.996678
53.9386,2026-07-15T13:52:11.274846,0.000000,2.996698
54.4388,2026-07-15T13:52:11.775058,0.000000,2.996846
54.9352,2026-07-15T13:52:12.271480,0.000000,2.996907
55.4352,2026-07-15T13:52:12.771488,0.000000,2.996938
55.9399,2026-07-15T13:52:13.276230,0.000000,2.996856
56.4586,2026-07-15T13:52:13.794941,0.000000,2.996898
56.9518,2026-07-15T13:52:14.288119,0.000000,2.996952
57.4555,2026-07-15T13:52:14.791784,0.000000,2.996984
57.9559,2026-07-15T13:52:15.292240,0.000000,2.996960
58.4638,2026-07-15T13:52:15.800136,0.000000,2.997094
58.9510,2026-07-15T13:52:16.287283,0.000000,2.997125
