type,group,decell_wet,decell_dry_est,cp1_wet,cp1_dry_est,cp2_wet,cp2_dry_est,cp1_wet_change_pct,cp2_wet_change_pct,cp1_dry_change_pct,cp2_dry_change_pct
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0458,0.00474,0.0256,0.0074,,,-44.1048,,56.09822,
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0412,0.00426,0.0251,0.00738,0.0221,0.0097,-39.07767,-46.35922,73.13532,127.54351
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0344,0.00356,0.0246,0.00724,0.0226,0.0114,-28.48837,-34.30233,103.22907,220.16814
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0523,0.00541,0.0277,0.0085,,,-47.03633,,57.01782,
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0315,0.00326,0.0199,0.00585,0.0167,0.0082,-36.8254,-46.98413,79.53606,151.49827
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0481,0.00498,0.0269,0.00791,0.0242,0.01063,-44.07484,-49.68815,58.93384,113.42225
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0293,0.00303,0.0156,0.00459,0.0157,0.0069,-46.75768,-46.41638,51.30948,127.51665
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0355,0.00367,0.0181,0.00532,0.0198,0.0071,-49.01408,-44.22535,44.897,93.22428
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0143,0.00148,0.0065,0.002,,,-54.54545,,35.12187,
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0285,0.00295,0.0148,0.00435,0.0141,0.00619,-48.07018,-50.52632,47.57949,109.86676
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0327,0.00338,0.0183,0.00538,0.0188,0.00825,-44.0367,-42.50765,59.04225,143.88186
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0392,0.00406,0.0215,0.00632,0.0219,0.00962,-45.15306,-44.13265,55.86965,136.98859
ALONG THE GRAIN (500um),500um (along + perp),0.0418,0.00433,0.0189,0.00556,0.0192,0.00843,-54.78469,-54.06699,28.4975,94.84728
ALONG THE GRAIN (500um),500um (along + perp),0.0573,0.00593,0.0287,0.00844,,,-49.91274,,42.34311,
ALONG THE GRAIN (500um),500um (along + perp),0.0676,0.007,0.0357,0.0105,0.0315,0.01383,-47.18935,-53.40237,50.08272,97.66658
ALONG THE GRAIN (500um),500um (along + perp),0.0296,0.00306,0.0137,0.00403,0.0136,0.00597,-53.71622,-54.05405,31.534,94.90213
ALONG THE GRAIN (500um),500um (along + perp),0.0216,0.00224,0.0103,0.0031,,,-52.31481,,38.65631,
ALONG THE GRAIN (500um),500um (along + perp),0.0202,0.00209,0.0111,0.00327,0.0113,0.00496,-45.0495,-44.05941,56.16395,137.29931
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0623,0.00645,0.0326,0.00959,0.0435,0.0191,-47.67255,-30.17657,48.7095,196.19015
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0497,0.00514,0.0326,0.00959,0.0371,0.01629,-34.40644,-25.35211,86.4105,216.65541
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.03,0.00311,0.0156,0.00459,0.0164,0.0062,-48.0,-45.33333,47.77893,99.66509
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0552,0.00571,0.0294,0.00865,0.0279,0.01225,-46.73913,-49.45652,51.36219,114.40481
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0323,0.00334,0.0147,0.0038,,,-54.48916,,13.66134,
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0353,0.00365,0.0167,0.00491,0.0169,0.00742,-52.69122,-52.12465,34.44694,103.08666
