type,group,decell_wet,decell_dry_est,cp_wet,cp_dry_est,wet_change_pct,dry_change_pct
ALONG 1000um,ALONG 1000um,0.066,0.00683,0.0339,0.00902,-48.63636,32.10583
ALONG 1000um,ALONG 1000um,0.0352,0.00364,0.0345,0.00918,-1.98864,152.08247
AGAINST 1000um,AGAINST 1000um,0.0803,0.00831,0.0429,0.0134,-46.57534,61.22076
ALONG 500um,ALONG 500um,0.0379,0.00392,0.0305,0.00812,-19.52507,106.97927
ALONG 500um,ALONG 500um,0.0174,0.0018,0.007,0.00186,-59.77011,3.47013
ALONG 1000um,ALONG 1000um,0.0802,0.0083,0.0428,0.009,-46.63342,8.41761
AGAINST 500um,AGAINST 500um,0.036,0.00373,0.0139,0.005,-61.38889,34.18353
AGAINST 500um,AGAINST 500um,0.0385,0.00399,0.0158,0.00421,-58.96104,5.55105
ALONG 500um,ALONG 500um,0.0113,0.00117,0.0049,0.0012,-56.63717,2.59696
ALONG 1000um,ALONG 1000um,0.0633,0.00655,0.0249,0.00663,-60.66351,1.17235
AGAINST 1000um,AGAINST 1000um,0.0943,0.00976,0.0505,0.01344,-46.44751,37.7355
ALONG 1000um,ALONG 1000um,0.0731,0.00757,0.0389,0.01036,-46.78523,36.8669
