elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4858,2026-07-29T16:25:18.741969,2.052557,0.000000
0.9761,2026-07-29T16:25:19.232245,2.052704,0.000000
1.4616,2026-07-29T16:25:19.717719,2.052896,0.000000
1.9167,2026-07-29T16:25:20.172866,2.053165,0.000000
2.3865,2026-07-29T16:25:20.642672,2.053397,0.000000
2.8652,2026-07-29T16:25:21.121352,2.053614,0.000000
3.3390,2026-07-29T16:25:21.595187,2.053880,0.000000
3.7984,2026-07-29T16:25:22.054578,2.054139,0.000000
4.2703,2026-07-29T16:25:22.526480,2.054406,0.000000
4.7192,2026-07-29T16:25:22.975326,2.054715,0.000000
5.2062,2026-07-29T16:25:23.462391,2.054944,0.000000
5.6662,2026-07-29T16:25:23.922394,2.055224,0.000000
6.1549,2026-07-29T16:25:24.411097,2.055482,0.000000
6.6029,2026-07-29T16:25:24.859109,2.055694,0.000000
7.0706,2026-07-29T16:25:25.326774,2.055890,0.000000
7.5288,2026-07-29T16:25:25.784992,2.056122,0.000000
8.0342,2026-07-29T16:25:26.290333,2.056318,0.000000
8.5214,2026-07-29T16:25:26.777557,2.056491,0.000000
9.0413,2026-07-29T16:25:27.297437,2.056635,0.000000
9.5087,2026-07-29T16:25:27.764832,2.056752,0.000000
9.9855,2026-07-29T16:25:28.241678,2.056886,0.000000
10.4549,2026-07-29T16:25:28.711022,2.057125,0.000000
10.9368,2026-07-29T16:25:29.192916,2.057307,0.000000
11.4075,2026-07-29T16:25:29.663638,2.057566,0.000000
11.9054,2026-07-29T16:25:30.161587,2.057797,0.000000
12.3605,2026-07-29T16:25:30.616718,2.058133,0.000000
12.8125,2026-07-29T16:25:31.068717,2.058418,0.000000
13.2688,2026-07-29T16:25:31.524953,2.058797,0.000000
13.7289,2026-07-29T16:25:31.985058,2.059155,0.000000
14.1856,2026-07-29T16:25:32.441784,2.059595,0.000000
14.6584,2026-07-29T16:25:32.914606,2.059966,0.000000
15.1561,2026-07-29T16:25:33.412308,2.060354,0.000000
15.6190,2026-07-29T16:25:33.875179,2.060782,0.000000
