Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.2022","0.0010"
"","0.0200","0.2023","0.0010"
"","0.0400","0.2032","0.0010"
"","0.0600","0.2089","0.0011"
"","0.0800","0.2255","0.0013"
"","0.1000","0.2488","0.0016"
"","0.1200","0.2712","0.0017"
"","0.1400","0.2901","0.0019"
"","0.1600","0.3067","0.0021"
"","0.1800","0.3235","0.0023"
"","0.2000","0.3419","0.0025"
"","0.2200","0.3597","0.0026"
"","0.2400","0.3772","0.0028"
"","0.2600","0.3955","0.0030"
"","0.2800","0.4124","0.0032"
"","0.3000","0.4276","0.0034"
"","0.3200","0.4456","0.0036"
"","0.3400","0.4702","0.0040"
"","0.3600","0.5026","0.0044"
"","0.3800","0.5341","0.0047"
"","0.4000","0.5564","0.0050"
"","0.4200","0.5723","0.0052"
"","0.4400","0.5886","0.0053"
"","0.4600","0.6072","0.0056"
"","0.4800","0.6277","0.0058"
"","0.5000","0.6489","0.0061"
"","0.5200","0.6682","0.0064"
"","0.5400","0.6871","0.0066"
"","0.5600","0.7070","0.0069"
"","0.5800","0.7266","0.0072"
"","0.6000","0.7470","0.0075"
"","0.6200","0.7670","0.0078"
"","0.6400","0.7867","0.0081"
"","0.6600","0.8076","0.0084"
"","0.6800","0.8289","0.0088"
"","0.7000","0.8495","0.0091"
"","0.7200","0.8693","0.0094"
"","0.7400","0.8898","0.0097"
"","0.7580","0.9110","0.0100"
"","0.7590","0.9122","0.0100"
"","0.7600","0.9134","0.0100"
"","0.7800","0.9335","0.0103"
"","0.8000","0.9423","0.0103"
"","0.8200","0.9400","0.0101"
"","0.8400","0.9291","0.0097"
"","0.8600","0.9115","0.0091"
"","0.8800","0.8885","0.0085"
"","0.9000","0.8629","0.0079"
"","0.9200","0.8402","0.0074"
"","0.9400","0.8214","0.0069"
"","0.9600","0.8045","0.0066"
"","0.9800","0.7857","0.0062"
"","1.0000","0.7647","0.0058"
"","1.0200","0.7444","0.0054"
"","1.0400","0.7246","0.0050"
"","1.0600","0.7052","0.0047"
"","1.0800","0.6862","0.0044"
"","1.1000","0.6666","0.0041"
"","1.1200","0.6477","0.0038"
