Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.2574","0.0007"
"","0.0200","0.2575","0.0007"
"","0.0400","0.2586","0.0008"
"","0.0600","0.2621","0.0008"
"","0.0800","0.2712","0.0009"
"","0.1000","0.2899","0.0011"
"","0.1200","0.3128","0.0014"
"","0.1400","0.3345","0.0016"
"","0.1600","0.3551","0.0018"
"","0.1800","0.3748","0.0020"
"","0.2000","0.3960","0.0023"
"","0.2200","0.4217","0.0025"
"","0.2400","0.4455","0.0027"
"","0.2600","0.4625","0.0029"
"","0.2800","0.4773","0.0030"
"","0.3000","0.4948","0.0032"
"","0.3200","0.5137","0.0033"
"","0.3400","0.5302","0.0035"
"","0.3600","0.5470","0.0037"
"","0.3800","0.5653","0.0039"
"","0.4000","0.5844","0.0041"
"","0.4200","0.6055","0.0044"
"","0.4400","0.6273","0.0046"
"","0.4600","0.6480","0.0048"
"","0.4800","0.6678","0.0050"
"","0.5000","0.6850","0.0052"
"","0.5200","0.7017","0.0054"
"","0.5400","0.7186","0.0055"
"","0.5600","0.7351","0.0057"
"","0.5800","0.7536","0.0059"
"","0.6000","0.7704","0.0061"
"","0.6200","0.7841","0.0062"
"","0.6400","0.8003","0.0064"
"","0.6600","0.8225","0.0067"
"","0.6800","0.8529","0.0071"
"","0.7000","0.8895","0.0075"
"","0.7200","0.9210","0.0077"
"","0.7400","0.9424","0.0078"
"","0.7600","0.9588","0.0079"
"","0.7800","0.9760","0.0080"
"","0.8000","0.9941","0.0081"
"","0.8200","1.0129","0.0082"
"","0.8400","1.0334","0.0084"
"","0.8600","1.0538","0.0085"
"","0.8800","1.0740","0.0086"
"","0.9000","1.0934","0.0087"
"","0.9200","1.1124","0.0088"
"","0.9400","1.1322","0.0089"
"","0.9600","1.1519","0.0091"
"","0.9800","1.1717","0.0092"
"","1.0000","1.1922","0.0093"
"","1.0200","1.2130","0.0094"
"","1.0400","1.2359","0.0095"
"","1.0600","1.2603","0.0096"
"","1.0800","1.2807","0.0096"
"","1.1000","1.2974","0.0097"
"","1.1200","1.3132","0.0097"
"","1.1400","1.3315","0.0098"
"","1.1600","1.3510","0.0099"
"","1.1800","1.3692","0.0099"
"","1.1980","1.3865","0.0100"
"","1.1990","1.3875","0.0100"
"","1.2000","1.3885","0.0100"
"","1.2200","1.4082","0.0101"
"","1.2400","1.4196","0.0099"
"","1.2600","1.4196","0.0096"
"","1.2800","1.4086","0.0092"
"","1.3000","1.3894","0.0086"
"","1.3200","1.3672","0.0080"
"","1.3400","1.3471","0.0075"
"","1.3600","1.3304","0.0071"
"","1.3800","1.3129","0.0067"
"","1.4000","1.2945","0.0063"
"","1.4200","1.2768","0.0059"
"","1.4400","1.2599","0.0056"
"","1.4600","1.2430","0.0053"
"","1.4800","1.2204","0.0049"
"","1.5000","1.1922","0.0044"
"","1.5200","1.1659","0.0040"
"","1.5400","1.1442","0.0036"
"","1.5600","1.1258","0.0034"
"","1.5800","1.1067","0.0031"
"","1.6000","1.0864","0.0028"
"","1.6200","1.0666","0.0026"
"","1.6400","1.0467","0.0023"
"","1.6600","1.0272","0.0021"
"","1.6800","1.0067","0.0019"
"","1.7000","0.9854","0.0017"
"","1.7200","0.9660","0.0015"
"","1.7400","0.9465","0.0013"
"","1.7600","0.9270","0.0012"
"","1.7800","0.9075","0.0010"
"","1.8000","0.8869","0.0008"
"","1.8200","0.8656","0.0006"
"","1.8400","0.8411","0.0004"
"","1.8540","0.8214","0.0003"
"","1.8550","0.8199","0.0003"
"","1.8560","0.8185","0.0003"
"","1.8760","0.7911","0.0002"
"","1.8960","0.7774","0.0001"
"","1.9160","0.7796","0.0002"
"","1.9360","0.7944","0.0004"
"","1.9560","0.8162","0.0007"
"","1.9760","0.8398","0.0010"
"","1.9960","0.8662","0.0013"
"","2.0160","0.8928","0.0016"
"","2.0360","0.9151","0.0018"
"","2.0560","0.9328","0.0021"
"","2.0760","0.9482","0.0023"
"","2.0960","0.9651","0.0025"
"","2.1160","0.9836","0.0027"
"","2.1360","1.0016","0.0030"
"","2.1560","1.0204","0.0033"
"","2.1760","1.0406","0.0035"
"","2.1960","1.0605","0.0038"
"","2.2160","1.0803","0.0041"
"","2.2360","1.0989","0.0044"
"","2.2560","1.1180","0.0047"
"","2.2760","1.1382","0.0051"
"","2.2960","1.1580","0.0054"
"","2.3160","1.1782","0.0057"
"","2.3360","1.1988","0.0061"
"","2.3560","1.2200","0.0064"
"","2.3760","1.2440","0.0068"
"","2.3960","1.2671","0.0072"
"","2.4160","1.2856","0.0074"
"","2.4360","1.3016","0.0077"
"","2.4560","1.3183","0.0080"
"","2.4760","1.3376","0.0083"
"","2.4960","1.3566","0.0086"
"","2.5160","1.3746","0.0089"
"","2.5360","1.3943","0.0091"
"","2.5560","1.4146","0.0094"
"","2.5760","1.4353","0.0097"
"","2.5960","1.4559","0.0099"
"","2.6070","1.4666","0.0100"
"","2.6080","1.4676","0.0100"
"","2.6090","1.4685","0.0100"
"","2.6290","1.4870","0.0101"
"","2.6490","1.4976","0.0100"
"","2.6690","1.4974","0.0097"
"","2.6890","1.4866","0.0093"
"","2.7090","1.4671","0.0087"
"","2.7290","1.4462","0.0081"
"","2.7490","1.4263","0.0076"
"","2.7690","1.4062","0.0071"
"","2.7890","1.3865","0.0066"
"","2.8090","1.3664","0.0062"
"","2.8290","1.3472","0.0058"
"","2.8490","1.3301","0.0054"
"","2.8690","1.3122","0.0051"
"","2.8890","1.2938","0.0048"
"","2.9090","1.2759","0.0045"
"","2.9290","1.2589","0.0042"
"","2.9490","1.2415","0.0039"
"","2.9690","1.2180","0.0036"
"","2.9890","1.1896","0.0032"
"","3.0090","1.1635","0.0028"
"","3.0290","1.1422","0.0025"
"","3.0490","1.1239","0.0023"
"","3.0690","1.1048","0.0021"
"","3.0890","1.0847","0.0019"
"","3.1090","1.0650","0.0017"
"","3.1290","1.0452","0.0015"
"","3.1490","1.0256","0.0013"
"","3.1690","1.0048","0.0011"
"","3.1890","0.9837","0.0010"
"","3.2090","0.9643","0.0008"
"","3.2290","0.9449","0.0006"
"","3.2490","0.9255","0.0005"
"","3.2690","0.9060","0.0004"
"","3.2790","0.8958","0.0003"
"","3.2800","0.8947","0.0003"
"","3.2810","0.8937","0.0003"
"","3.3010","0.8734","0.0002"
"","3.3210","0.8611","0.0002"
"","3.3410","0.8604","0.0002"
"","3.3610","0.8699","0.0004"
"","3.3810","0.8885","0.0006"
"","3.4010","0.9116","0.0008"
"","3.4210","0.9335","0.0011"
"","3.4410","0.9526","0.0013"
"","3.4610","0.9715","0.0016"
"","3.4810","0.9904","0.0018"
"","3.5010","1.0091","0.0020"
"","3.5210","1.0296","0.0023"
"","3.5410","1.0508","0.0026"
"","3.5610","1.0715","0.0028"
"","3.5810","1.0908","0.0031"
"","3.6010","1.1094","0.0034"
"","3.6210","1.1292","0.0037"
"","3.6410","1.1491","0.0040"
"","3.6610","1.1692","0.0043"
"","3.6810","1.1899","0.0046"
"","3.7010","1.2111","0.0050"
"","3.7210","1.2345","0.0054"
"","3.7410","1.2590","0.0057"
"","3.7610","1.2789","0.0060"
"","3.7810","1.2956","0.0063"
"","3.8010","1.3119","0.0065"
"","3.8210","1.3305","0.0068"
"","3.8410","1.3499","0.0072"
"","3.8610","1.3680","0.0075"
"","3.8810","1.3876","0.0078"
"","3.9010","1.4083","0.0082"
"","3.9210","1.4289","0.0085"
"","3.9410","1.4495","0.0089"
"","3.9610","1.4685","0.0092"
"","3.9810","1.4870","0.0095"
"","4.0010","1.5055","0.0097"
"","4.0210","1.5226","0.0099"
"","4.0340","1.5336","0.0100"
"","4.0350","1.5344","0.0100"
"","4.0360","1.5352","0.0100"
"","4.0560","1.5504","0.0101"
"","4.0760","1.5579","0.0100"
"","4.0960","1.5574","0.0098"
"","4.1160","1.5507","0.0095"
"","4.1360","1.5364","0.0089"
"","4.1560","1.5172","0.0084"
"","4.1760","1.4988","0.0079"
"","4.1960","1.4813","0.0074"
"","4.2160","1.4624","0.0070"
"","4.2360","1.4429","0.0065"
"","4.2560","1.4225","0.0061"
"","4.2760","1.4012","0.0056"
"","4.2960","1.3802","0.0052"
"","4.3160","1.3590","0.0048"
"","4.3360","1.3400","0.0045"
"","4.3560","1.3225","0.0042"
"","4.3760","1.3041","0.0039"
"","4.3960","1.2857","0.0036"
"","4.4160","1.2676","0.0034"
"","4.4360","1.2504","0.0032"
"","4.4560","1.2306","0.0029"
"","4.4760","1.2040","0.0025"
"","4.4960","1.1759","0.0022"
"","4.5160","1.1519","0.0019"
"","4.5360","1.1324","0.0017"
"","4.5560","1.1138","0.0015"
"","4.5760","1.0940","0.0014"
"","4.5960","1.0743","0.0012"
"","4.6160","1.0545","0.0010"
"","4.6360","1.0345","0.0009"
"","4.6560","1.0142","0.0007"
"","4.6760","0.9927","0.0005"
"","4.6960","0.9727","0.0004"
"","4.7120","0.9574","0.0003"
"","4.7130","0.9564","0.0003"
"","4.7140","0.9555","0.0003"
"","4.7340","0.9367","0.0002"
"","4.7540","0.9261","0.0002"
"","4.7740","0.9260","0.0002"
"","4.7940","0.9342","0.0004"
"","4.8140","0.9516","0.0006"
"","4.8340","0.9745","0.0008"
"","4.8540","0.9955","0.0011"
"","4.8740","1.0146","0.0013"
"","4.8940","1.0347","0.0016"
"","4.9140","1.0549","0.0018"
"","4.9340","1.0750","0.0021"
"","4.9540","1.0943","0.0023"
"","4.9740","1.1134","0.0026"
"","4.9940","1.1333","0.0028"
"","5.0140","1.1529","0.0031"
"","5.0340","1.1726","0.0034"
"","5.0540","1.1928","0.0037"
"","5.0740","1.2139","0.0040"
"","5.0940","1.2379","0.0044"
"","5.1140","1.2617","0.0047"
"","5.1340","1.2806","0.0050"
"","5.1540","1.2972","0.0053"
"","5.1740","1.3141","0.0056"
"","5.1940","1.3331","0.0059"
"","5.2140","1.3521","0.0062"
"","5.2340","1.3703","0.0065"
"","5.2540","1.3902","0.0069"
"","5.2740","1.4111","0.0072"
"","5.2940","1.4321","0.0076"
"","5.3140","1.4525","0.0079"
"","5.3340","1.4712","0.0082"
"","5.3540","1.4897","0.0086"
"","5.3740","1.5077","0.0089"
"","5.3940","1.5248","0.0091"
"","5.4140","1.5414","0.0094"
"","5.4340","1.5563","0.0096"
"","5.4540","1.5708","0.0098"
"","5.4700","1.5839","0.0100"
"","5.4710","1.5848","0.0100"
"","5.4720","1.5856","0.0100"
"","5.4920","1.6014","0.0102"
"","5.5120","1.6098","0.0101"
"","5.5320","1.6104","0.0099"
"","5.5520","1.6059","0.0097"
"","5.5720","1.5961","0.0093"
"","5.5920","1.5801","0.0087"
"","5.6120","1.5606","0.0081"
"","5.6320","1.5432","0.0077"
"","5.6520","1.5275","0.0072"
"","5.6720","1.5107","0.0068"
"","5.6920","1.4928","0.0064"
"","5.7120","1.4732","0.0060"
"","5.7320","1.4525","0.0056"
"","5.7520","1.4317","0.0051"
"","5.7720","1.4100","0.0047"
"","5.7920","1.3882","0.0043"
"","5.8120","1.3664","0.0040"
"","5.8320","1.3458","0.0037"
"","5.8520","1.3277","0.0034"
"","5.8720","1.3094","0.0032"
"","5.8920","1.2907","0.0029"
"","5.9120","1.2721","0.0027"
"","5.9320","1.2546","0.0025"
"","5.9520","1.2361","0.0023"
"","5.9720","1.2113","0.0020"
"","5.9920","1.1826","0.0017"
"","6.0120","1.1571","0.0014"
"","6.0320","1.1363","0.0012"
"","6.0520","1.1177","0.0011"
"","6.0720","1.0981","0.0009"
"","6.0920","1.0783","0.0008"
"","6.1120","1.0584","0.0006"
"","6.1320","1.0381","0.0005"
"","6.1520","1.0179","0.0003"
"","6.1560","1.0137","0.0003"
"","6.1570","1.0126","0.0003"
"","6.1580","1.0116","0.0003"
"","6.1780","0.9909","0.0002"
"","6.1980","0.9795","0.0002"
"","6.2180","0.9794","0.0002"
"","6.2380","0.9881","0.0004"
"","6.2580","1.0060","0.0006"
"","6.2780","1.0296","0.0009"
"","6.2980","1.0522","0.0011"
"","6.3180","1.0723","0.0014"
"","6.3380","1.0911","0.0016"
"","6.3580","1.1094","0.0018"
"","6.3780","1.1288","0.0021"
"","6.3980","1.1484","0.0023"
"","6.4180","1.1682","0.0026"
"","6.4380","1.1886","0.0029"
"","6.4580","1.2091","0.0032"
"","6.4780","1.2320","0.0035"
"","6.4980","1.2559","0.0038"
"","6.5180","1.2752","0.0041"
"","6.5380","1.2920","0.0044"
"","6.5580","1.3087","0.0046"
"","6.5780","1.3272","0.0049"
"","6.5980","1.3466","0.0052"
"","6.6180","1.3648","0.0055"
"","6.6380","1.3843","0.0059"
"","6.6580","1.4051","0.0062"
"","6.6780","1.4260","0.0066"
"","6.6980","1.4470","0.0069"
"","6.7180","1.4663","0.0073"
"","6.7380","1.4848","0.0076"
"","6.7580","1.5031","0.0079"
"","6.7780","1.5201","0.0082"
"","6.7980","1.5369","0.0085"
"","6.8180","1.5521","0.0087"
"","6.8380","1.5662","0.0090"
"","6.8580","1.5821","0.0093"
"","6.8780","1.5987","0.0096"
"","6.8980","1.6160","0.0099"
"","6.9030","1.6211","0.0100"
"","6.9040","1.6221","0.0100"
"","6.9050","1.6232","0.0100"
"","6.9250","1.6488","0.0105"
"","6.9450","1.6717","0.0106"
"","6.9650","1.6798","0.0105"
"","6.9850","1.6761","0.0101"
"","7.0050","1.6605","0.0095"
"","7.0250","1.6330","0.0086"
"","7.0450","1.6036","0.0078"
"","7.0650","1.5839","0.0073"
"","7.0850","1.5707","0.0069"
"","7.1050","1.5572","0.0066"
"","7.1250","1.5427","0.0063"
"","7.1450","1.5272","0.0059"
"","7.1650","1.5100","0.0056"
"","7.1850","1.4917","0.0052"
"","7.2050","1.4722","0.0048"
"","7.2250","1.4520","0.0045"
"","7.2450","1.4317","0.0041"
"","7.2650","1.4103","0.0038"
"","7.2850","1.3886","0.0034"
"","7.3050","1.3669","0.0031"
"","7.3250","1.3463","0.0029"
"","7.3450","1.3283","0.0026"
"","7.3650","1.3103","0.0024"
"","7.3850","1.2918","0.0022"
"","7.4050","1.2734","0.0020"
"","7.4250","1.2557","0.0019"
"","7.4450","1.2377","0.0016"
"","7.4650","1.2139","0.0014"
"","7.4850","1.1854","0.0012"
"","7.5050","1.1591","0.0009"
"","7.5250","1.1378","0.0008"
"","7.5450","1.1191","0.0006"
"","7.5650","1.0998","0.0005"
"","7.5850","1.0800","0.0004"
