Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0928","0.0010"
"","0.0200","0.0929","0.0009"
"","0.0400","0.0941","0.0010"
"","0.0600","0.0976","0.0010"
"","0.0800","0.1067","0.0011"
"","0.1000","0.1244","0.0013"
"","0.1200","0.1500","0.0016"
"","0.1400","0.1765","0.0019"
"","0.1600","0.1975","0.0021"
"","0.1800","0.2131","0.0023"
"","0.2000","0.2264","0.0024"
"","0.2200","0.2417","0.0026"
"","0.2400","0.2600","0.0029"
"","0.2600","0.2792","0.0031"
"","0.2800","0.2992","0.0034"
"","0.3000","0.3199","0.0037"
"","0.3200","0.3409","0.0040"
"","0.3400","0.3614","0.0043"
"","0.3600","0.3791","0.0046"
"","0.3800","0.3962","0.0049"
"","0.4000","0.4152","0.0052"
"","0.4200","0.4356","0.0056"
"","0.4400","0.4559","0.0060"
"","0.4600","0.4718","0.0062"
"","0.4800","0.4845","0.0065"
"","0.5000","0.4988","0.0068"
"","0.5200","0.5175","0.0072"
"","0.5400","0.5420","0.0077"
"","0.5600","0.5743","0.0085"
"","0.5800","0.6095","0.0092"
"","0.6000","0.6370","0.0097"
"","0.6170","0.6532","0.0100"
"","0.6180","0.6540","0.0100"
"","0.6190","0.6548","0.0100"
"","0.6390","0.6703","0.0103"
"","0.6590","0.6788","0.0103"
"","0.6790","0.6786","0.0102"
"","0.6990","0.6706","0.0099"
"","0.7190","0.6532","0.0093"
"","0.7390","0.6312","0.0086"
"","0.7590","0.6104","0.0080"
"","0.7790","0.5899","0.0074"
"","0.7990","0.5674","0.0068"
"","0.8190","0.5410","0.0061"
"","0.8390","0.5130","0.0055"
"","0.8590","0.4898","0.0050"
"","0.8790","0.4749","0.0046"
"","0.8990","0.4649","0.0044"
"","0.9190","0.4537","0.0042"
"","0.9390","0.4382","0.0039"
"","0.9590","0.4184","0.0036"
"","0.9790","0.3966","0.0032"
"","0.9990","0.3755","0.0029"
"","1.0190","0.3576","0.0026"
"","1.0390","0.3403","0.0023"
"","1.0590","0.3210","0.0021"
"","1.0790","0.3002","0.0018"
"","1.0990","0.2788","0.0016"
"","1.1190","0.2587","0.0014"
"","1.1390","0.2403","0.0012"
"","1.1590","0.2226","0.0010"
"","1.1790","0.2065","0.0009"
"","1.1990","0.1908","0.0008"
"","1.2190","0.1727","0.0007"
"","1.2390","0.1520","0.0005"
"","1.2590","0.1266","0.0003"
"","1.2630","0.1211","0.0003"
"","1.2640","0.1198","0.0003"
"","1.2650","0.1184","0.0003"
"","1.2850","0.0938","0.0002"
"","1.3050","0.0809","0.0001"
"","1.3250","0.0803","0.0002"
"","1.3450","0.0889","0.0003"
"","1.3650","0.1068","0.0004"
"","1.3850","0.1276","0.0006"
"","1.4050","0.1509","0.0008"
"","1.4250","0.1748","0.0010"
"","1.4450","0.1953","0.0012"
"","1.4650","0.2119","0.0014"
"","1.4850","0.2262","0.0015"
"","1.5050","0.2418","0.0017"
"","1.5250","0.2603","0.0019"
"","1.5450","0.2795","0.0022"
"","1.5650","0.2998","0.0025"
"","1.5850","0.3209","0.0028"
"","1.6050","0.3418","0.0031"
"","1.6250","0.3619","0.0034"
"","1.6450","0.3793","0.0037"
"","1.6650","0.3962","0.0040"
"","1.6850","0.4153","0.0043"
"","1.7050","0.4359","0.0047"
"","1.7250","0.4564","0.0051"
"","1.7450","0.4725","0.0054"
"","1.7650","0.4852","0.0057"
"","1.7850","0.5000","0.0060"
"","1.8050","0.5195","0.0065"
"","1.8250","0.5453","0.0071"
"","1.8450","0.5789","0.0079"
"","1.8650","0.6137","0.0087"
"","1.8850","0.6393","0.0093"
"","1.9050","0.6569","0.0097"
"","1.9230","0.6716","0.0100"
"","1.9240","0.6724","0.0100"
"","1.9250","0.6733","0.0100"
"","1.9450","0.6898","0.0104"
"","1.9650","0.6998","0.0105"
"","1.9850","0.7003","0.0104"
"","2.0050","0.6924","0.0101"
"","2.0250","0.6756","0.0095"
"","2.0450","0.6539","0.0089"
"","2.0650","0.6326","0.0083"
"","2.0850","0.6135","0.0077"
"","2.1050","0.5939","0.0072"
"","2.1250","0.5715","0.0066"
"","2.1450","0.5452","0.0059"
"","2.1650","0.5165","0.0052"
"","2.1850","0.4921","0.0047"
"","2.2050","0.4761","0.0044"
"","2.2250","0.4658","0.0042"
"","2.2450","0.4549","0.0040"
"","2.2650","0.4398","0.0037"
"","2.2850","0.4202","0.0033"
"","2.3050","0.3984","0.0030"
"","2.3250","0.3772","0.0026"
"","2.3450","0.3591","0.0024"
"","2.3650","0.3420","0.0021"
"","2.3850","0.3227","0.0019"
"","2.4050","0.3018","0.0017"
"","2.4250","0.2803","0.0014"
"","2.4450","0.2600","0.0012"
"","2.4650","0.2415","0.0010"
"","2.4850","0.2237","0.0009"
"","2.5050","0.2077","0.0008"
"","2.5250","0.1922","0.0007"
"","2.5450","0.1744","0.0005"
"","2.5650","0.1539","0.0004"
"","2.5740","0.1433","0.0003"
"","2.5750","0.1420","0.0003"
"","2.5760","0.1408","0.0003"
"","2.5960","0.1147","0.0002"
"","2.6160","0.0992","0.0001"
"","2.6360","0.0979","0.0001"
"","2.6560","0.1065","0.0002"
"","2.6760","0.1241","0.0004"
"","2.6960","0.1487","0.0006"
"","2.7160","0.1742","0.0008"
"","2.7360","0.1950","0.0010"
"","2.7560","0.2112","0.0012"
"","2.7760","0.2249","0.0013"
"","2.7960","0.2402","0.0015"
"","2.8160","0.2585","0.0017"
"","2.8360","0.2776","0.0020"
"","2.8560","0.2978","0.0022"
"","2.8760","0.3189","0.0025"
"","2.8960","0.3398","0.0028"
"","2.9160","0.3601","0.0031"
"","2.9360","0.3775","0.0034"
"","2.9560","0.3941","0.0037"
"","2.9760","0.4128","0.0040"
"","2.9960","0.4334","0.0044"
"","3.0160","0.4540","0.0048"
"","3.0360","0.4706","0.0051"
"","3.0560","0.4835","0.0054"
"","3.0760","0.4979","0.0057"
"","3.0960","0.5168","0.0062"
"","3.1160","0.5418","0.0068"
"","3.1360","0.5747","0.0076"
"","3.1560","0.6101","0.0084"
"","3.1760","0.6371","0.0090"
"","3.1960","0.6552","0.0094"
"","3.2160","0.6713","0.0098"
"","3.2270","0.6805","0.0100"
"","3.2280","0.6814","0.0100"
"","3.2290","0.6822","0.0101"
"","3.2490","0.6994","0.0104"
"","3.2690","0.7101","0.0106"
"","3.2890","0.7110","0.0106"
"","3.3090","0.7035","0.0102"
"","3.3290","0.6866","0.0097"
"","3.3490","0.6648","0.0090"
"","3.3690","0.6434","0.0084"
"","3.3890","0.6243","0.0078"
"","3.4090","0.6058","0.0073"
"","3.4290","0.5850","0.0068"
"","3.4490","0.5610","0.0062"
"","3.4690","0.5329","0.0055"
"","3.4890","0.5053","0.0048"
"","3.5090","0.4844","0.0044"
"","3.5290","0.4715","0.0042"
"","3.5490","0.4616","0.0040"
"","3.5690","0.4491","0.0037"
"","3.5890","0.4319","0.0034"
"","3.6090","0.4110","0.0030"
"","3.6290","0.3891","0.0027"
"","3.6490","0.3692","0.0024"
"","3.6690","0.3521","0.0022"
"","3.6890","0.3342","0.0019"
"","3.7090","0.3140","0.0017"
"","3.7290","0.2927","0.0014"
"","3.7490","0.2714","0.0012"
"","3.7690","0.2520","0.0010"
"","3.7890","0.2339","0.0009"
"","3.8090","0.2167","0.0007"
"","3.8290","0.2012","0.0006"
"","3.8490","0.1849","0.0005"
"","3.8690","0.1659","0.0004"
"","3.8800","0.1544","0.0003"
"","3.8810","0.1533","0.0003"
"","3.8820","0.1522","0.0003"
"","3.9020","0.1277","0.0002"
"","3.9220","0.1108","0.0001"
"","3.9420","0.1080","0.0001"
"","3.9620","0.1155","0.0002"
"","3.9820","0.1339","0.0004"
"","4.0020","0.1601","0.0006"
"","4.0220","0.1845","0.0008"
"","4.0420","0.2033","0.0010"
"","4.0620","0.2177","0.0011"
"","4.0820","0.2313","0.0013"
"","4.1020","0.2480","0.0015"
"","4.1220","0.2669","0.0017"
"","4.1420","0.2864","0.0020"
"","4.1620","0.3071","0.0022"
"","4.1820","0.3281","0.0025"
"","4.2020","0.3489","0.0028"
"","4.2220","0.3681","0.0031"
"","4.2420","0.3845","0.0034"
"","4.2620","0.4018","0.0037"
"","4.2820","0.4214","0.0041"
"","4.3020","0.4424","0.0044"
"","4.3220","0.4617","0.0048"
"","4.3420","0.4762","0.0051"
"","4.3620","0.4892","0.0054"
"","4.3820","0.5053","0.0057"
"","4.4020","0.5266","0.0063"
"","4.4220","0.5549","0.0070"
"","4.4420","0.5902","0.0078"
"","4.4620","0.6231","0.0086"
"","4.4820","0.6455","0.0091"
"","4.5020","0.6619","0.0094"
"","4.5220","0.6779","0.0098"
"","4.5310","0.6855","0.0100"
"","4.5320","0.6863","0.0100"
"","4.5330","0.6872","0.0101"
"","4.5530","0.7048","0.0104"
"","4.5730","0.7162","0.0107"
"","4.5930","0.7176","0.0106"
"","4.6130","0.7106","0.0103"
"","4.6330","0.6938","0.0098"
"","4.6530","0.6716","0.0091"
"","4.6730","0.6501","0.0085"
"","4.6930","0.6307","0.0079"
"","4.7130","0.6125","0.0074"
"","4.7330","0.5928","0.0069"
"","4.7530","0.5699","0.0063"
"","4.7730","0.5431","0.0056"
"","4.7930","0.5145","0.0049"
"","4.8130","0.4909","0.0044"
"","4.8330","0.4755","0.0041"
"","4.8530","0.4653","0.0039"
"","4.8730","0.4541","0.0037"
"","4.8930","0.4385","0.0034"
"","4.9130","0.4186","0.0031"
"","4.9330","0.3968","0.0027"
"","4.9530","0.3759","0.0024"
"","4.9730","0.3582","0.0022"
"","4.9930","0.3411","0.0019"
"","5.0130","0.3216","0.0017"
"","5.0330","0.3005","0.0014"
"","5.0530","0.2790","0.0012"
"","5.0730","0.2589","0.0010"
"","5.0930","0.2406","0.0009"
"","5.1130","0.2229","0.0007"
"","5.1330","0.2069","0.0006"
"","5.1530","0.1913","0.0005"
"","5.1730","0.1733","0.0004"
"","5.1860","0.1602","0.0003"
"","5.1870","0.1591","0.0003"
"","5.1880","0.1580","0.0003"
"","5.2080","0.1346","0.0002"
"","5.2280","0.1176","0.0001"
"","5.2480","0.1141","0.0001"
"","5.2680","0.1212","0.0002"
"","5.2880","0.1399","0.0004"
"","5.3080","0.1659","0.0006"
"","5.3280","0.1894","0.0008"
"","5.3480","0.2073","0.0009"
"","5.3680","0.2211","0.0011"
"","5.3880","0.2354","0.0013"
"","5.4080","0.2530","0.0015"
"","5.4280","0.2720","0.0017"
"","5.4480","0.2918","0.0019"
"","5.4680","0.3128","0.0022"
"","5.4880","0.3339","0.0025"
"","5.5080","0.3546","0.0028"
"","5.5280","0.3728","0.0031"
"","5.5480","0.3889","0.0034"
"","5.5680","0.4069","0.0037"
"","5.5880","0.4270","0.0041"
"","5.6080","0.4481","0.0044"
"","5.6280","0.4662","0.0048"
"","5.6480","0.4796","0.0051"
"","5.6680","0.4931","0.0053"
"","5.6880","0.5106","0.0058"
"","5.7080","0.5336","0.0063"
"","5.7280","0.5642","0.0071"
"","5.7480","0.6000","0.0079"
"","5.7680","0.6301","0.0086"
"","5.7880","0.6499","0.0091"
"","5.8080","0.6657","0.0094"
"","5.8280","0.6820","0.0098"
"","5.8360","0.6890","0.0100"
"","5.8370","0.6899","0.0100"
"","5.8380","0.6908","0.0101"
"","5.8580","0.7093","0.0105"
"","5.8780","0.7212","0.0107"
"","5.8980","0.7228","0.0107"
"","5.9180","0.7161","0.0104"
"","5.9380","0.6995","0.0098"
"","5.9580","0.6769","0.0091"
"","5.9780","0.6551","0.0085"
"","5.9980","0.6356","0.0079"
"","6.0180","0.6176","0.0074"
"","6.0380","0.5985","0.0069"
"","6.0580","0.5765","0.0064"
"","6.0780","0.5508","0.0057"
"","6.0980","0.5221","0.0050"
"","6.1180","0.4967","0.0045"
"","6.1380","0.4792","0.0041"
"","6.1580","0.4682","0.0039"
"","6.1780","0.4578","0.0037"
"","6.1980","0.4436","0.0035"
"","6.2180","0.4247","0.0031"
"","6.2380","0.4032","0.0028"
"","6.2580","0.3818","0.0024"
"","6.2780","0.3633","0.0022"
"","6.2980","0.3466","0.0020"
"","6.3180","0.3279","0.0017"
"","6.3380","0.3070","0.0015"
"","6.3580","0.2854","0.0012"
"","6.3780","0.2647","0.0010"
"","6.3980","0.2459","0.0009"
"","6.4180","0.2281","0.0007"
"","6.4380","0.2115","0.0006"
"","6.4580","0.1962","0.0005"
"","6.4780","0.1789","0.0004"
"","6.4910","0.1663","0.0003"
"","6.4920","0.1653","0.0003"
"","6.4930","0.1642","0.0003"
"","6.5130","0.1424","0.0002"
"","6.5330","0.1262","0.0001"
"","6.5530","0.1226","0.0001"
"","6.5730","0.1292","0.0002"
"","6.5930","0.1475","0.0004"
"","6.6130","0.1722","0.0006"
"","6.6330","0.1946","0.0008"
"","6.6530","0.2117","0.0009"
"","6.6730","0.2256","0.0011"
"","6.6930","0.2409","0.0013"
"","6.7130","0.2592","0.0015"
"","6.7330","0.2785","0.0017"
"","6.7530","0.2989","0.0020"
"","6.7730","0.3202","0.0023"
"","6.7930","0.3414","0.0026"
"","6.8130","0.3617","0.0028"
"","6.8330","0.3787","0.0031"
"","6.8530","0.3950","0.0034"
"","6.8730","0.4139","0.0037"
"","6.8930","0.4347","0.0041"
"","6.9130","0.4552","0.0045"
"","6.9330","0.4715","0.0048"
"","6.9530","0.4843","0.0051"
"","6.9730","0.4989","0.0054"
"","6.9930","0.5184","0.0059"
"","7.0130","0.5440","0.0065"
"","7.0330","0.5773","0.0073"
"","7.0530","0.6125","0.0081"
"","7.0730","0.6385","0.0087"
"","7.0930","0.6558","0.0091"
"","7.1130","0.6715","0.0095"
"","7.1330","0.6881","0.0099"
"","7.1370","0.6917","0.0100"
"","7.1380","0.6925","0.0100"
