Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0008"
"","0.0200","0.0001","0.0008"
"","0.0400","0.0011","0.0009"
"","0.0600","0.0072","0.0010"
"","0.0800","0.0241","0.0012"
"","0.1000","0.0493","0.0014"
"","0.1200","0.0740","0.0017"
"","0.1400","0.0956","0.0019"
"","0.1600","0.1160","0.0020"
"","0.1800","0.1368","0.0021"
"","0.2000","0.1593","0.0023"
"","0.2200","0.1801","0.0024"
"","0.2400","0.1966","0.0025"
"","0.2600","0.2117","0.0026"
"","0.2800","0.2270","0.0028"
"","0.3000","0.2436","0.0029"
"","0.3200","0.2618","0.0031"
"","0.3400","0.2795","0.0032"
"","0.3600","0.2977","0.0034"
"","0.3800","0.3187","0.0036"
"","0.4000","0.3407","0.0039"
"","0.4200","0.3625","0.0041"
"","0.4400","0.3829","0.0043"
"","0.4600","0.4012","0.0044"
"","0.4800","0.4191","0.0046"
"","0.5000","0.4359","0.0048"
"","0.5200","0.4525","0.0049"
"","0.5400","0.4682","0.0051"
"","0.5600","0.4808","0.0052"
"","0.5800","0.4930","0.0053"
"","0.6000","0.5092","0.0056"
"","0.6200","0.5322","0.0059"
"","0.6400","0.5652","0.0064"
"","0.6600","0.6060","0.0069"
"","0.6800","0.6388","0.0072"
"","0.7000","0.6589","0.0074"
"","0.7200","0.6752","0.0075"
"","0.7400","0.6929","0.0077"
"","0.7600","0.7122","0.0079"
"","0.7800","0.7316","0.0081"
"","0.8000","0.7503","0.0083"
"","0.8200","0.7698","0.0086"
"","0.8400","0.7895","0.0088"
"","0.8600","0.8083","0.0090"
"","0.8800","0.8277","0.0092"
"","0.9000","0.8469","0.0094"
"","0.9200","0.8650","0.0096"
"","0.9400","0.8844","0.0099"
"","0.9510","0.8957","0.0100"
"","0.9520","0.8967","0.0100"
"","0.9530","0.8978","0.0100"
"","0.9730","0.9187","0.0103"
"","0.9930","0.9317","0.0103"
"","1.0130","0.9328","0.0101"
"","1.0330","0.9246","0.0098"
"","1.0530","0.9067","0.0092"
"","1.0730","0.8839","0.0086"
"","1.0930","0.8613","0.0080"
"","1.1130","0.8414","0.0075"
"","1.1330","0.8241","0.0071"
"","1.1530","0.8060","0.0067"
"","1.1730","0.7867","0.0063"
"","1.1930","0.7672","0.0059"
"","1.2130","0.7469","0.0055"
"","1.2330","0.7265","0.0051"
"","1.2530","0.7062","0.0047"
"","1.2730","0.6863","0.0044"
"","1.2930","0.6663","0.0041"
"","1.3130","0.6447","0.0038"
"","1.3330","0.6242","0.0035"
"","1.3530","0.6055","0.0032"
"","1.3730","0.5862","0.0030"
"","1.3930","0.5632","0.0026"
"","1.4130","0.5335","0.0022"
"","1.4330","0.5029","0.0019"
"","1.4530","0.4818","0.0017"
"","1.4730","0.4709","0.0016"
"","1.4930","0.4620","0.0015"
"","1.5130","0.4498","0.0014"
"","1.5330","0.4332","0.0013"
"","1.5530","0.4146","0.0011"
"","1.5730","0.3952","0.0009"
"","1.5930","0.3752","0.0008"
"","1.6130","0.3551","0.0006"
"","1.6330","0.3339","0.0005"
"","1.6530","0.3126","0.0003"
"","1.6550","0.3105","0.0003"
"","1.6560","0.3094","0.0003"
"","1.6570","0.3084","0.0003"
"","1.6770","0.2874","0.0002"
"","1.6970","0.2750","0.0002"
"","1.7170","0.2746","0.0002"
"","1.7370","0.2847","0.0004"
"","1.7570","0.3047","0.0006"
"","1.7770","0.3283","0.0009"
"","1.7970","0.3503","0.0012"
"","1.8170","0.3705","0.0014"
"","1.8370","0.3888","0.0016"
"","1.8570","0.4065","0.0019"
"","1.8770","0.4239","0.0021"
"","1.8970","0.4399","0.0022"
"","1.9170","0.4561","0.0024"
"","1.9370","0.4708","0.0026"
"","1.9570","0.4827","0.0028"
"","1.9770","0.4951","0.0030"
"","1.9970","0.5117","0.0032"
"","2.0170","0.5343","0.0036"
"","2.0370","0.5659","0.0041"
"","2.0570","0.6048","0.0046"
"","2.0770","0.6362","0.0050"
"","2.0970","0.6556","0.0053"
"","2.1170","0.6722","0.0056"
"","2.1370","0.6910","0.0058"
"","2.1570","0.7112","0.0061"
"","2.1770","0.7307","0.0065"
"","2.1970","0.7495","0.0068"
"","2.2170","0.7689","0.0071"
"","2.2370","0.7887","0.0074"
"","2.2570","0.8076","0.0078"
"","2.2770","0.8269","0.0081"
"","2.2970","0.8460","0.0085"
"","2.3170","0.8640","0.0088"
"","2.3370","0.8837","0.0091"
"","2.3570","0.9051","0.0095"
"","2.3770","0.9273","0.0099"
"","2.3810","0.9319","0.0100"
"","2.3820","0.9330","0.0100"
"","2.3830","0.9342","0.0101"
"","2.4030","0.9571","0.0104"
"","2.4230","0.9709","0.0105"
"","2.4430","0.9716","0.0103"
"","2.4630","0.9618","0.0099"
"","2.4830","0.9420","0.0093"
"","2.5030","0.9164","0.0085"
"","2.5230","0.8923","0.0079"
"","2.5430","0.8719","0.0074"
"","2.5630","0.8528","0.0070"
"","2.5830","0.8354","0.0066"
"","2.6030","0.8186","0.0062"
"","2.6230","0.8001","0.0058"
"","2.6430","0.7812","0.0055"
"","2.6630","0.7618","0.0051"
"","2.6830","0.7416","0.0047"
"","2.7030","0.7214","0.0044"
"","2.7230","0.7013","0.0041"
"","2.7430","0.6816","0.0038"
"","2.7630","0.6613","0.0035"
"","2.7830","0.6396","0.0032"
"","2.8030","0.6199","0.0029"
"","2.8230","0.6015","0.0027"
"","2.8430","0.5818","0.0024"
