Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","-0.0001","0.0008"
"","0.0200","0.0000","0.0009"
"","0.0400","0.0006","0.0009"
"","0.0600","0.0033","0.0009"
"","0.0800","0.0135","0.0010"
"","0.1000","0.0337","0.0012"
"","0.1200","0.0599","0.0014"
"","0.1400","0.0868","0.0016"
"","0.1600","0.1113","0.0018"
"","0.1800","0.1284","0.0019"
"","0.2000","0.1411","0.0021"
"","0.2200","0.1567","0.0022"
"","0.2400","0.1759","0.0023"
"","0.2600","0.1943","0.0025"
"","0.2800","0.2121","0.0027"
"","0.3000","0.2306","0.0028"
"","0.3200","0.2495","0.0030"
"","0.3400","0.2700","0.0033"
"","0.3600","0.2900","0.0035"
"","0.3800","0.3087","0.0036"
"","0.4000","0.3278","0.0039"
"","0.4200","0.3462","0.0041"
"","0.4400","0.3639","0.0043"
"","0.4600","0.3814","0.0044"
"","0.4800","0.3972","0.0046"
"","0.5000","0.4113","0.0048"
"","0.5200","0.4238","0.0049"
"","0.5400","0.4364","0.0050"
"","0.5600","0.4533","0.0053"
"","0.5800","0.4810","0.0057"
"","0.6000","0.5217","0.0061"
"","0.6200","0.5620","0.0064"
"","0.6400","0.5889","0.0065"
"","0.6600","0.6053","0.0067"
"","0.6800","0.6200","0.0068"
"","0.7000","0.6381","0.0071"
"","0.7200","0.6582","0.0073"
"","0.7400","0.6786","0.0076"
"","0.7600","0.6980","0.0078"
"","0.7800","0.7160","0.0080"
"","0.8000","0.7352","0.0082"
"","0.8200","0.7558","0.0085"
"","0.8400","0.7772","0.0087"
"","0.8600","0.7986","0.0089"
"","0.8800","0.8184","0.0091"
"","0.9000","0.8380","0.0093"
"","0.9200","0.8583","0.0095"
"","0.9400","0.8798","0.0097"
"","0.9600","0.9032","0.0100"
"","0.9650","0.9087","0.0100"
"","0.9660","0.9098","0.0100"
"","0.9670","0.9108","0.0100"
"","0.9870","0.9296","0.0101"
"","1.0070","0.9397","0.0101"
"","1.0270","0.9398","0.0099"
"","1.0470","0.9318","0.0096"
