Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0009"
"","0.0200","0.0001","0.0009"
"","0.0400","0.0010","0.0009"
"","0.0600","0.0076","0.0010"
"","0.0800","0.0260","0.0012"
"","0.1000","0.0504","0.0014"
"","0.1200","0.0733","0.0016"
"","0.1400","0.0926","0.0018"
"","0.1600","0.1101","0.0020"
"","0.1800","0.1288","0.0022"
"","0.2000","0.1485","0.0024"
"","0.2200","0.1679","0.0025"
"","0.2400","0.1882","0.0027"
"","0.2600","0.2085","0.0029"
"","0.2800","0.2287","0.0031"
"","0.3000","0.2490","0.0033"
"","0.3200","0.2686","0.0036"
"","0.3400","0.2895","0.0038"
"","0.3600","0.3100","0.0041"
"","0.3800","0.3313","0.0043"
"","0.4000","0.3555","0.0046"
"","0.4200","0.3769","0.0048"
"","0.4400","0.3948","0.0050"
"","0.4600","0.4120","0.0052"
"","0.4800","0.4298","0.0054"
"","0.5000","0.4471","0.0056"
"","0.5200","0.4639","0.0058"
"","0.5400","0.4820","0.0060"
"","0.5600","0.5027","0.0063"
"","0.5800","0.5252","0.0066"
"","0.6000","0.5474","0.0069"
"","0.6200","0.5671","0.0071"
"","0.6400","0.5852","0.0073"
"","0.6600","0.6035","0.0075"
"","0.6800","0.6198","0.0076"
"","0.7000","0.6349","0.0078"
"","0.7200","0.6504","0.0080"
"","0.7400","0.6662","0.0082"
"","0.7600","0.6825","0.0084"
"","0.7800","0.6981","0.0085"
"","0.8000","0.7148","0.0088"
"","0.8200","0.7367","0.0091"
"","0.8400","0.7664","0.0096"
"","0.8570","0.7965","0.0100"
"","0.8580","0.7983","0.0100"
"","0.8590","0.8001","0.0100"
"","0.8790","0.8314","0.0103"
"","0.8990","0.8467","0.0103"
"","0.9190","0.8469","0.0100"
"","0.9390","0.8367","0.0095"
"","0.9590","0.8171","0.0089"
"","0.9790","0.7936","0.0082"
"","0.9990","0.7682","0.0074"
"","1.0190","0.7412","0.0067"
"","1.0390","0.7145","0.0061"
"","1.0590","0.6935","0.0056"
"","1.0790","0.6803","0.0054"
"","1.0990","0.6691","0.0051"
"","1.1190","0.6558","0.0049"
"","1.1390","0.6399","0.0046"
"","1.1590","0.6227","0.0043"
"","1.1790","0.6062","0.0040"
"","1.1990","0.5893","0.0037"
"","1.2190","0.5698","0.0034"
"","1.2390","0.5490","0.0031"
"","1.2590","0.5278","0.0029"
"","1.2790","0.5061","0.0026"
"","1.2990","0.4835","0.0023"
"","1.3190","0.4619","0.0021"
"","1.3390","0.4432","0.0019"
"","1.3590","0.4266","0.0018"
"","1.3790","0.4101","0.0016"
"","1.3990","0.3919","0.0015"
"","1.4190","0.3723","0.0014"
"","1.4390","0.3543","0.0012"
"","1.4590","0.3356","0.0011"
"","1.4790","0.3100","0.0009"
"","1.4990","0.2813","0.0007"
"","1.5190","0.2551","0.0006"
"","1.5390","0.2328","0.0004"
"","1.5590","0.2126","0.0003"
"","1.5660","0.2057","0.0003"
"","1.5670","0.2047","0.0003"
"","1.5680","0.2037","0.0003"
"","1.5880","0.1854","0.0003"
"","1.6080","0.1749","0.0002"
"","1.6280","0.1745","0.0003"
"","1.6480","0.1824","0.0004"
"","1.6680","0.1994","0.0005"
"","1.6880","0.2212","0.0007"
"","1.7080","0.2436","0.0009"
"","1.7280","0.2641","0.0011"
"","1.7480","0.2854","0.0013"
"","1.7680","0.3067","0.0015"
"","1.7880","0.3281","0.0018"
"","1.8080","0.3525","0.0020"
"","1.8280","0.3733","0.0022"
"","1.8480","0.3892","0.0024"
"","1.8680","0.4051","0.0026"
"","1.8880","0.4225","0.0028"
"","1.9080","0.4404","0.0030"
"","1.9280","0.4576","0.0032"
"","1.9480","0.4754","0.0035"
"","1.9680","0.4953","0.0038"
"","1.9880","0.5175","0.0041"
"","2.0080","0.5403","0.0044"
"","2.0280","0.5614","0.0047"
"","2.0480","0.5801","0.0050"
"","2.0680","0.5988","0.0053"
"","2.0880","0.6160","0.0056"
"","2.1080","0.6309","0.0058"
"","2.1280","0.6463","0.0061"
