Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0008"
"","0.0200","0.0000","0.0008"
"","0.0400","0.0005","0.0008"
"","0.0600","0.0016","0.0008"
"","0.0800","0.0045","0.0008"
"","0.1000","0.0145","0.0010"
"","0.1200","0.0359","0.0013"
"","0.1400","0.0632","0.0016"
"","0.1600","0.0865","0.0018"
"","0.1800","0.1044","0.0020"
"","0.2000","0.1217","0.0022"
"","0.2200","0.1418","0.0025"
"","0.2400","0.1647","0.0027"
"","0.2600","0.1833","0.0028"
"","0.2800","0.1980","0.0030"
"","0.3000","0.2144","0.0032"
"","0.3200","0.2350","0.0035"
"","0.3400","0.2576","0.0037"
"","0.3600","0.2783","0.0040"
"","0.3800","0.2967","0.0042"
"","0.4000","0.3153","0.0044"
"","0.4200","0.3345","0.0046"
"","0.4400","0.3544","0.0048"
"","0.4600","0.3734","0.0050"
"","0.4800","0.3901","0.0052"
"","0.5000","0.4090","0.0055"
"","0.5200","0.4309","0.0057"
"","0.5400","0.4504","0.0059"
"","0.5600","0.4673","0.0060"
"","0.5800","0.4840","0.0062"
"","0.6000","0.5000","0.0063"
"","0.6200","0.5148","0.0065"
"","0.6400","0.5317","0.0067"
"","0.6600","0.5543","0.0070"
"","0.6800","0.5849","0.0074"
"","0.7000","0.6177","0.0076"
"","0.7200","0.6438","0.0078"
"","0.7400","0.6629","0.0079"
"","0.7600","0.6807","0.0081"
"","0.7800","0.6995","0.0082"
"","0.8000","0.7194","0.0084"
"","0.8200","0.7397","0.0086"
"","0.8400","0.7581","0.0087"
"","0.8600","0.7760","0.0089"
"","0.8800","0.7946","0.0090"
"","0.9000","0.8133","0.0092"
"","0.9200","0.8326","0.0093"
"","0.9400","0.8524","0.0095"
"","0.9600","0.8732","0.0097"
"","0.9800","0.8955","0.0098"
"","1.0000","0.9179","0.0100"
"","1.0050","0.9232","0.0100"
"","1.0060","0.9242","0.0100"
"","1.0070","0.9253","0.0100"
"","1.0270","0.9439","0.0100"
"","1.0470","0.9534","0.0099"
"","1.0670","0.9529","0.0097"
"","1.0870","0.9443","0.0093"
"","1.1070","0.9275","0.0088"
"","1.1270","0.9073","0.0082"
"","1.1470","0.8865","0.0077"
"","1.1670","0.8646","0.0072"
"","1.1870","0.8430","0.0066"
"","1.2070","0.8223","0.0062"
"","1.2270","0.8028","0.0058"
"","1.2470","0.7847","0.0054"
"","1.2670","0.7663","0.0051"
"","1.2870","0.7473","0.0047"
"","1.3070","0.7287","0.0044"
"","1.3270","0.7092","0.0041"
"","1.3470","0.6886","0.0037"
"","1.3670","0.6674","0.0034"
"","1.3870","0.6462","0.0031"
"","1.4070","0.6262","0.0028"
"","1.4270","0.6059","0.0026"
"","1.4470","0.5853","0.0023"
"","1.4670","0.5624","0.0020"
"","1.4870","0.5356","0.0017"
"","1.5070","0.5100","0.0015"
"","1.5270","0.4917","0.0013"
"","1.5470","0.4787","0.0012"
"","1.5670","0.4644","0.0011"
"","1.5870","0.4471","0.0010"
"","1.6070","0.4295","0.0008"
"","1.6270","0.4120","0.0007"
"","1.6470","0.3919","0.0005"
"","1.6670","0.3713","0.0004"
"","1.6870","0.3534","0.0003"
"","1.6880","0.3525","0.0003"
"","1.6890","0.3517","0.0003"
"","1.7090","0.3348","0.0002"
"","1.7290","0.3242","0.0002"
"","1.7490","0.3227","0.0002"
"","1.7690","0.3283","0.0004"
"","1.7890","0.3432","0.0006"
"","1.8090","0.3658","0.0008"
"","1.8290","0.3867","0.0011"
"","1.8490","0.4058","0.0013"
"","1.8690","0.4263","0.0015"
"","1.8890","0.4449","0.0018"
"","1.9090","0.4609","0.0020"
"","1.9290","0.4768","0.0022"
"","1.9490","0.4927","0.0024"
"","1.9690","0.5072","0.0026"
"","1.9890","0.5224","0.0028"
"","2.0090","0.5422","0.0031"
"","2.0290","0.5695","0.0036"
"","2.0490","0.6024","0.0041"
"","2.0690","0.6317","0.0045"
"","2.0890","0.6529","0.0048"
"","2.1090","0.6704","0.0051"
"","2.1290","0.6883","0.0054"
"","2.1490","0.7075","0.0057"
"","2.1690","0.7278","0.0060"
"","2.1890","0.7474","0.0063"
"","2.2090","0.7657","0.0066"
"","2.2290","0.7846","0.0070"
"","2.2490","0.8037","0.0073"
"","2.2690","0.8226","0.0076"
"","2.2890","0.8422","0.0079"
"","2.3090","0.8623","0.0083"
"","2.3290","0.8839","0.0086"
"","2.3490","0.9064","0.0090"
"","2.3690","0.9278","0.0093"
"","2.3890","0.9468","0.0095"
"","2.4090","0.9649","0.0097"
"","2.4290","0.9860","0.0100"
"","2.4300","0.9871","0.0100"
"","2.4310","0.9882","0.0100"
"","2.4320","0.9894","0.0100"
"","2.4520","1.0107","0.0102"
"","2.4720","1.0215","0.0101"
"","2.4920","1.0207","0.0098"
"","2.5120","1.0108","0.0094"
"","2.5320","0.9931","0.0088"
"","2.5520","0.9707","0.0082"
"","2.5720","0.9471","0.0076"
"","2.5920","0.9265","0.0071"
"","2.6120","0.9091","0.0067"
"","2.6320","0.8915","0.0063"
"","2.6520","0.8708","0.0059"
"","2.6720","0.8485","0.0055"
"","2.6920","0.8271","0.0050"
"","2.7120","0.8072","0.0047"
"","2.7320","0.7891","0.0044"
"","2.7520","0.7712","0.0041"
"","2.7720","0.7525","0.0038"
"","2.7920","0.7338","0.0035"
"","2.8120","0.7145","0.0032"
"","2.8320","0.6942","0.0029"
"","2.8520","0.6732","0.0026"
