Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0010"
"","0.0200","0.0001","0.0010"
"","0.0400","0.0009","0.0010"
"","0.0600","0.0038","0.0010"
"","0.0800","0.0122","0.0012"
"","0.1000","0.0324","0.0015"
"","0.1200","0.0665","0.0018"
"","0.1400","0.0984","0.0021"
"","0.1600","0.1184","0.0023"
"","0.1800","0.1317","0.0024"
"","0.2000","0.1456","0.0026"
"","0.2200","0.1636","0.0027"
"","0.2400","0.1825","0.0029"
"","0.2600","0.1998","0.0031"
"","0.2800","0.2168","0.0033"
"","0.3000","0.2346","0.0034"
"","0.3200","0.2542","0.0036"
"","0.3400","0.2752","0.0039"
"","0.3600","0.2944","0.0040"
"","0.3800","0.3141","0.0042"
"","0.4000","0.3360","0.0045"
"","0.4200","0.3578","0.0047"
"","0.4400","0.3789","0.0049"
"","0.4600","0.3966","0.0050"
"","0.4800","0.4132","0.0052"
"","0.5000","0.4322","0.0054"
"","0.5200","0.4537","0.0057"
"","0.5400","0.4766","0.0059"
"","0.5600","0.4963","0.0061"
"","0.5800","0.5134","0.0062"
"","0.6000","0.5321","0.0064"
"","0.6200","0.5515","0.0066"
"","0.6400","0.5698","0.0068"
"","0.6600","0.5887","0.0069"
"","0.6800","0.6079","0.0071"
"","0.7000","0.6278","0.0073"
"","0.7200","0.6479","0.0075"
"","0.7400","0.6659","0.0076"
"","0.7600","0.6822","0.0077"
"","0.7800","0.6993","0.0078"
"","0.8000","0.7204","0.0080"
"","0.8200","0.7452","0.0082"
"","0.8400","0.7663","0.0083"
"","0.8600","0.7816","0.0083"
"","0.8800","0.7944","0.0083"
"","0.9000","0.8068","0.0083"
"","0.9200","0.8220","0.0084"
"","0.9400","0.8438","0.0087"
"","0.9600","0.8742","0.0089"
"","0.9800","0.9108","0.0091"
"","1.0000","0.9427","0.0091"
"","1.0200","0.9641","0.0090"
"","1.0400","0.9797","0.0090"
"","1.0600","0.9961","0.0090"
"","1.0800","1.0139","0.0090"
"","1.1000","1.0332","0.0091"
"","1.1200","1.0540","0.0092"
"","1.1400","1.0737","0.0092"
"","1.1600","1.0929","0.0092"
"","1.1800","1.1120","0.0093"
"","1.2000","1.1306","0.0093"
"","1.2200","1.1509","0.0094"
"","1.2400","1.1724","0.0094"
"","1.2600","1.1939","0.0095"
"","1.2800","1.2168","0.0095"
"","1.3000","1.2372","0.0095"
"","1.3200","1.2549","0.0095"
"","1.3400","1.2733","0.0095"
"","1.3600","1.2940","0.0096"
"","1.3800","1.3149","0.0096"
"","1.4000","1.3334","0.0096"
"","1.4200","1.3505","0.0096"
"","1.4400","1.3682","0.0096"
"","1.4600","1.3853","0.0096"
"","1.4800","1.4033","0.0096"
"","1.5000","1.4240","0.0097"
"","1.5200","1.4462","0.0098"
"","1.5400","1.4685","0.0098"
"","1.5600","1.4881","0.0098"
"","1.5800","1.5058","0.0098"
"","1.6000","1.5231","0.0098"
"","1.6200","1.5414","0.0098"
"","1.6400","1.5622","0.0099"
"","1.6600","1.5845","0.0099"
"","1.6800","1.6063","0.0100"
"","1.7000","1.6246","0.0099"
"","1.7200","1.6390","0.0099"
"","1.7400","1.6546","0.0099"
"","1.7570","1.6715","0.0100"
"","1.7580","1.6726","0.0100"
"","1.7590","1.6737","0.0100"
"","1.7790","1.6974","0.0100"
"","1.7990","1.7151","0.0099"
"","1.8190","1.7194","0.0097"
"","1.8390","1.7137","0.0093"
"","1.8590","1.6971","0.0087"
"","1.8790","1.6716","0.0080"
"","1.8990","1.6463","0.0074"
"","1.9190","1.6273","0.0069"
"","1.9390","1.6128","0.0066"
"","1.9590","1.5983","0.0063"
"","1.9790","1.5806","0.0059"
"","1.9990","1.5589","0.0055"
"","2.0190","1.5361","0.0050"
"","2.0390","1.5153","0.0047"
"","2.0590","1.4968","0.0044"
"","2.0790","1.4798","0.0041"
"","2.0990","1.4629","0.0039"
"","2.1190","1.4440","0.0036"
"","2.1390","1.4235","0.0034"
"","2.1590","1.4021","0.0031"
"","2.1790","1.3810","0.0028"
"","2.1990","1.3621","0.0026"
"","2.2190","1.3438","0.0024"
"","2.2390","1.3259","0.0023"
"","2.2590","1.3093","0.0021"
"","2.2790","1.2918","0.0020"
"","2.2990","1.2712","0.0018"
"","2.3190","1.2470","0.0016"
"","2.3390","1.2241","0.0014"
"","2.3590","1.2050","0.0013"
"","2.3790","1.1843","0.0011"
