Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0009"
"","0.0200","0.0001","0.0009"
"","0.0400","0.0014","0.0009"
"","0.0600","0.0092","0.0011"
"","0.0800","0.0277","0.0013"
"","0.1000","0.0533","0.0015"
"","0.1200","0.0794","0.0018"
"","0.1400","0.1012","0.0020"
"","0.1600","0.1183","0.0022"
"","0.1800","0.1343","0.0024"
"","0.2000","0.1521","0.0026"
"","0.2200","0.1710","0.0028"
"","0.2400","0.1889","0.0030"
"","0.2600","0.2071","0.0033"
"","0.2800","0.2257","0.0035"
"","0.3000","0.2455","0.0038"
"","0.3200","0.2669","0.0041"
"","0.3400","0.2876","0.0044"
"","0.3600","0.3077","0.0046"
"","0.3800","0.3270","0.0049"
"","0.4000","0.3440","0.0051"
"","0.4200","0.3609","0.0053"
"","0.4400","0.3775","0.0056"
"","0.4600","0.3932","0.0058"
"","0.4800","0.4114","0.0061"
"","0.5000","0.4326","0.0064"
"","0.5200","0.4549","0.0068"
"","0.5400","0.4776","0.0071"
"","0.5600","0.5003","0.0075"
"","0.5800","0.5231","0.0078"
"","0.6000","0.5465","0.0081"
"","0.6200","0.5708","0.0085"
"","0.6400","0.5934","0.0088"
"","0.6600","0.6126","0.0090"
"","0.6800","0.6309","0.0093"
"","0.7000","0.6490","0.0095"
"","0.7200","0.6674","0.0097"
"","0.7400","0.6872","0.0100"
"","0.7430","0.6902","0.0100"
"","0.7440","0.6912","0.0100"
"","0.7450","0.6922","0.0100"
"","0.7650","0.7118","0.0102"
"","0.7850","0.7233","0.0102"
"","0.8050","0.7237","0.0100"
"","0.8250","0.7152","0.0096"
"","0.8450","0.6976","0.0090"
"","0.8650","0.6752","0.0083"
"","0.8850","0.6532","0.0077"
"","0.9050","0.6341","0.0072"
"","0.9250","0.6163","0.0068"
"","0.9450","0.5977","0.0063"
"","0.9650","0.5789","0.0059"
"","0.9850","0.5588","0.0054"
"","1.0050","0.5364","0.0049"
"","1.0250","0.5129","0.0045"
"","1.0450","0.4902","0.0040"
"","1.0650","0.4691","0.0036"
"","1.0850","0.4486","0.0033"
"","1.1050","0.4286","0.0029"
"","1.1250","0.4091","0.0026"
"","1.1450","0.3891","0.0023"
"","1.1650","0.3713","0.0021"
"","1.1850","0.3558","0.0019"
"","1.2050","0.3397","0.0017"
"","1.2250","0.3224","0.0015"
"","1.2450","0.3043","0.0013"
"","1.2650","0.2843","0.0011"
"","1.2850","0.2638","0.0009"
"","1.3050","0.2430","0.0008"
"","1.3250","0.2218","0.0006"
"","1.3450","0.2012","0.0004"
"","1.3650","0.1818","0.0003"
"","1.3690","0.1780","0.0003"
"","1.3700","0.1771","0.0003"
"","1.3710","0.1762","0.0003"
"","1.3910","0.1594","0.0002"
"","1.4110","0.1505","0.0002"
"","1.4310","0.1513","0.0003"
"","1.4510","0.1610","0.0004"
"","1.4710","0.1781","0.0006"
"","1.4910","0.1979","0.0008"
"","1.5110","0.2177","0.0010"
"","1.5310","0.2371","0.0012"
"","1.5510","0.2577","0.0015"
"","1.5710","0.2783","0.0017"
"","1.5910","0.2980","0.0020"
"","1.6110","0.3180","0.0022"
"","1.6310","0.3363","0.0025"
"","1.6510","0.3535","0.0027"
"","1.6710","0.3706","0.0030"
"","1.6910","0.3863","0.0032"
"","1.7110","0.4026","0.0035"
"","1.7310","0.4225","0.0039"
"","1.7510","0.4440","0.0043"
"","1.7710","0.4662","0.0047"
"","1.7910","0.4890","0.0051"
"","1.8110","0.5125","0.0056"
"","1.8310","0.5366","0.0061"
"","1.8510","0.5612","0.0066"
"","1.8710","0.5851","0.0071"
"","1.8910","0.6054","0.0075"
"","1.9110","0.6236","0.0078"
"","1.9310","0.6418","0.0082"
"","1.9510","0.6600","0.0086"
"","1.9710","0.6795","0.0090"
"","1.9910","0.6996","0.0094"
"","2.0110","0.7200","0.0098"
"","2.0230","0.7323","0.0100"
"","2.0240","0.7333","0.0100"
"","2.0250","0.7344","0.0100"
"","2.0450","0.7536","0.0103"
"","2.0650","0.7644","0.0103"
