Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0009"
"","0.0200","0.0001","0.0009"
"","0.0400","0.0022","0.0010"
"","0.0600","0.0114","0.0011"
"","0.0800","0.0278","0.0014"
"","0.1000","0.0496","0.0017"
"","0.1200","0.0729","0.0020"
"","0.1400","0.0915","0.0023"
"","0.1600","0.1074","0.0025"
"","0.1800","0.1232","0.0027"
"","0.2000","0.1402","0.0030"
"","0.2200","0.1605","0.0033"
"","0.2400","0.1835","0.0037"
"","0.2600","0.2084","0.0040"
"","0.2800","0.2337","0.0044"
"","0.3000","0.2571","0.0048"
"","0.3200","0.2777","0.0050"
"","0.3400","0.2959","0.0053"
"","0.3600","0.3142","0.0055"
"","0.3800","0.3329","0.0058"
"","0.4000","0.3519","0.0061"
"","0.4200","0.3719","0.0064"
"","0.4400","0.3919","0.0067"
"","0.4600","0.4118","0.0070"
"","0.4800","0.4317","0.0072"
"","0.5000","0.4517","0.0075"
"","0.5200","0.4721","0.0078"
"","0.5400","0.4922","0.0081"
"","0.5600","0.5127","0.0083"
"","0.5800","0.5338","0.0086"
"","0.6000","0.5561","0.0089"
"","0.6200","0.5799","0.0092"
"","0.6400","0.5983","0.0094"
"","0.6600","0.6137","0.0095"
"","0.6800","0.6319","0.0097"
"","0.7000","0.6512","0.0100"
"","0.7030","0.6540","0.0100"
"","0.7040","0.6549","0.0100"
"","0.7050","0.6559","0.0100"
"","0.7250","0.6738","0.0102"
"","0.7450","0.6842","0.0102"
"","0.7650","0.6836","0.0099"
"","0.7850","0.6722","0.0094"
"","0.8050","0.6530","0.0088"
"","0.8250","0.6337","0.0082"
"","0.8450","0.6154","0.0077"
"","0.8650","0.5965","0.0072"
"","0.8850","0.5802","0.0068"
"","0.9050","0.5653","0.0065"
"","0.9250","0.5450","0.0060"
"","0.9450","0.5183","0.0054"
"","0.9650","0.4921","0.0048"
"","0.9850","0.4704","0.0044"
"","1.0050","0.4510","0.0040"
"","1.0250","0.4317","0.0036"
"","1.0450","0.4114","0.0033"
"","1.0650","0.3907","0.0030"
"","1.0850","0.3708","0.0026"
"","1.1050","0.3508","0.0023"
"","1.1250","0.3305","0.0020"
"","1.1450","0.3106","0.0018"
"","1.1650","0.2907","0.0015"
"","1.1850","0.2713","0.0013"
"","1.2050","0.2518","0.0011"
"","1.2250","0.2310","0.0008"
"","1.2450","0.2096","0.0006"
"","1.2650","0.1870","0.0004"
"","1.2730","0.1779","0.0003"
"","1.2740","0.1768","0.0003"
"","1.2750","0.1756","0.0003"
"","1.2950","0.1547","0.0001"
"","1.3150","0.1432","0.0001"
"","1.3350","0.1438","0.0002"
"","1.3550","0.1543","0.0003"
"","1.3750","0.1733","0.0006"
"","1.3950","0.1951","0.0009"
"","1.4150","0.2180","0.0013"
"","1.4350","0.2402","0.0016"
"","1.4550","0.2615","0.0019"
"","1.4750","0.2811","0.0022"
"","1.4950","0.2991","0.0025"
"","1.5150","0.3176","0.0028"
"","1.5350","0.3364","0.0031"
"","1.5550","0.3558","0.0035"
"","1.5750","0.3761","0.0038"
"","1.5950","0.3958","0.0042"
"","1.6150","0.4151","0.0045"
"","1.6350","0.4348","0.0049"
"","1.6550","0.4550","0.0053"
"","1.6750","0.4759","0.0057"
"","1.6950","0.4958","0.0061"
"","1.7150","0.5160","0.0065"
"","1.7350","0.5369","0.0069"
"","1.7550","0.5598","0.0074"
"","1.7750","0.5834","0.0078"
"","1.7950","0.6009","0.0081"
"","1.8150","0.6169","0.0084"
"","1.8350","0.6357","0.0088"
"","1.8550","0.6552","0.0092"
"","1.8750","0.6740","0.0095"
"","1.8950","0.6933","0.0099"
"","1.9020","0.7000","0.0100"
"","1.9030","0.7009","0.0100"
"","1.9040","0.7019","0.0100"
"","1.9240","0.7202","0.0103"
"","1.9440","0.7311","0.0103"
"","1.9640","0.7308","0.0100"
"","1.9840","0.7198","0.0096"
"","2.0040","0.7004","0.0089"
"","2.0240","0.6798","0.0083"
"","2.0440","0.6599","0.0077"
"","2.0640","0.6420","0.0072"
