Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0009"
"","0.0200","0.0001","0.0009"
"","0.0400","0.0013","0.0009"
"","0.0600","0.0075","0.0010"
"","0.0800","0.0226","0.0011"
"","0.1000","0.0497","0.0014"
"","0.1200","0.0857","0.0016"
"","0.1400","0.1190","0.0018"
"","0.1600","0.1404","0.0019"
"","0.1800","0.1540","0.0020"
"","0.2000","0.1664","0.0021"
"","0.2200","0.1808","0.0022"
"","0.2400","0.1987","0.0023"
"","0.2600","0.2178","0.0024"
"","0.2800","0.2360","0.0026"
"","0.3000","0.2540","0.0027"
"","0.3200","0.2714","0.0028"
"","0.3400","0.2883","0.0029"
"","0.3600","0.3066","0.0030"
"","0.3800","0.3246","0.0032"
"","0.4000","0.3423","0.0033"
"","0.4200","0.3636","0.0035"
"","0.4400","0.3871","0.0036"
"","0.4600","0.4100","0.0038"
"","0.4800","0.4290","0.0039"
"","0.5000","0.4454","0.0041"
"","0.5200","0.4647","0.0042"
"","0.5400","0.4873","0.0044"
"","0.5600","0.5104","0.0046"
"","0.5800","0.5308","0.0047"
"","0.6000","0.5485","0.0048"
"","0.6200","0.5668","0.0050"
"","0.6400","0.5855","0.0051"
"","0.6600","0.6029","0.0052"
"","0.6800","0.6218","0.0053"
"","0.7000","0.6414","0.0054"
"","0.7200","0.6598","0.0055"
"","0.7400","0.6785","0.0056"
"","0.7600","0.6971","0.0057"
"","0.7800","0.7149","0.0058"
"","0.8000","0.7332","0.0059"
"","0.8200","0.7538","0.0061"
"","0.8400","0.7769","0.0063"
"","0.8600","0.7987","0.0064"
"","0.8800","0.8154","0.0066"
"","0.9000","0.8295","0.0067"
"","0.9200","0.8428","0.0068"
"","0.9400","0.8572","0.0070"
"","0.9600","0.8779","0.0072"
"","0.9800","0.9070","0.0075"
"","1.0000","0.9423","0.0078"
"","1.0200","0.9730","0.0080"
"","1.0400","0.9945","0.0081"
"","1.0600","1.0107","0.0082"
"","1.0800","1.0276","0.0084"
"","1.1000","1.0475","0.0085"
"","1.1200","1.0672","0.0086"
"","1.1400","1.0871","0.0088"
"","1.1600","1.1073","0.0089"
"","1.1800","1.1271","0.0090"
"","1.2000","1.1468","0.0092"
"","1.2200","1.1650","0.0093"
"","1.2400","1.1832","0.0094"
"","1.2600","1.2040","0.0095"
"","1.2800","1.2255","0.0096"
"","1.3000","1.2485","0.0098"
"","1.3200","1.2691","0.0098"
"","1.3400","1.2852","0.0099"
"","1.3600","1.3028","0.0100"
"","1.3620","1.3048","0.0100"
"","1.3630","1.3059","0.0100"
"","1.3640","1.3069","0.0100"
"","1.3840","1.3290","0.0101"
"","1.4040","1.3430","0.0101"
"","1.4240","1.3444","0.0099"
"","1.4440","1.3352","0.0096"
"","1.4640","1.3169","0.0091"
"","1.4840","1.2941","0.0086"
"","1.5040","1.2713","0.0081"
"","1.5240","1.2545","0.0078"
"","1.5440","1.2396","0.0075"
"","1.5640","1.2203","0.0071"
"","1.5840","1.1975","0.0068"
"","1.6040","1.1743","0.0064"
"","1.6240","1.1523","0.0060"
"","1.6440","1.1327","0.0057"
"","1.6640","1.1137","0.0054"
"","1.6840","1.0947","0.0052"
"","1.7040","1.0749","0.0049"
"","1.7240","1.0540","0.0046"
"","1.7440","1.0343","0.0044"
"","1.7640","1.0148","0.0042"
"","1.7840","0.9952","0.0039"
"","1.8040","0.9756","0.0037"
"","1.8240","0.9561","0.0035"
"","1.8440","0.9370","0.0033"
"","1.8640","0.9164","0.0031"
"","1.8840","0.8925","0.0028"
"","1.9040","0.8649","0.0026"
"","1.9240","0.8394","0.0024"
"","1.9440","0.8221","0.0023"
"","1.9640","0.8092","0.0022"
"","1.9840","0.7963","0.0021"
"","2.0040","0.7815","0.0020"
"","2.0240","0.7623","0.0018"
"","2.0440","0.7395","0.0017"
"","2.0640","0.7164","0.0015"
"","2.0840","0.6961","0.0014"
"","2.1040","0.6789","0.0013"
"","2.1240","0.6601","0.0012"
"","2.1440","0.6388","0.0011"
"","2.1640","0.6194","0.0010"
