Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0010"
"","0.0200","0.0001","0.0010"
"","0.0400","0.0009","0.0010"
"","0.0600","0.0037","0.0011"
"","0.0800","0.0125","0.0012"
"","0.1000","0.0303","0.0013"
"","0.1200","0.0524","0.0015"
"","0.1400","0.0719","0.0017"
"","0.1600","0.0895","0.0019"
"","0.1800","0.1074","0.0020"
"","0.2000","0.1256","0.0022"
"","0.2200","0.1466","0.0024"
"","0.2400","0.1689","0.0026"
"","0.2600","0.1901","0.0027"
"","0.2800","0.2106","0.0029"
"","0.3000","0.2301","0.0031"
"","0.3200","0.2488","0.0032"
"","0.3400","0.2656","0.0033"
"","0.3600","0.2809","0.0035"
"","0.3800","0.2962","0.0036"
"","0.4000","0.3098","0.0038"
"","0.4200","0.3217","0.0039"
"","0.4400","0.3371","0.0041"
"","0.4600","0.3593","0.0044"
"","0.4800","0.3887","0.0048"
"","0.5000","0.4239","0.0052"
"","0.5200","0.4547","0.0055"
"","0.5400","0.4763","0.0056"
"","0.5600","0.4937","0.0058"
"","0.5800","0.5127","0.0060"
"","0.6000","0.5338","0.0062"
"","0.6200","0.5563","0.0064"
"","0.6400","0.5778","0.0066"
"","0.6600","0.5968","0.0067"
"","0.6800","0.6153","0.0068"
"","0.7000","0.6341","0.0070"
"","0.7200","0.6540","0.0072"
"","0.7400","0.6753","0.0073"
"","0.7600","0.6951","0.0075"
"","0.7800","0.7151","0.0077"
"","0.8000","0.7356","0.0079"
"","0.8200","0.7561","0.0080"
"","0.8400","0.7775","0.0082"
"","0.8600","0.8001","0.0084"
"","0.8800","0.8230","0.0086"
"","0.9000","0.8431","0.0087"
"","0.9200","0.8597","0.0088"
"","0.9400","0.8763","0.0090"
"","0.9600","0.8944","0.0092"
"","0.9800","0.9139","0.0094"
"","1.0000","0.9327","0.0095"
"","1.0200","0.9486","0.0096"
"","1.0400","0.9639","0.0097"
"","1.0600","0.9826","0.0099"
"","1.0730","0.9970","0.0100"
"","1.0740","0.9981","0.0100"
"","1.0750","0.9993","0.0100"
"","1.0950","1.0215","0.0102"
"","1.1150","1.0339","0.0101"
"","1.1350","1.0347","0.0099"
"","1.1550","1.0260","0.0096"
"","1.1750","1.0082","0.0090"
"","1.1950","0.9864","0.0085"
"","1.2150","0.9643","0.0080"
"","1.2350","0.9445","0.0075"
"","1.2550","0.9286","0.0072"
"","1.2750","0.9130","0.0069"
"","1.2950","0.8955","0.0065"
"","1.3150","0.8762","0.0061"
"","1.3350","0.8556","0.0058"
"","1.3550","0.8365","0.0055"
"","1.3750","0.8189","0.0052"
"","1.3950","0.7988","0.0049"
"","1.4150","0.7746","0.0045"
"","1.4350","0.7480","0.0041"
"","1.4550","0.7235","0.0038"
"","1.4750","0.7021","0.0035"
"","1.4950","0.6824","0.0033"
"","1.5150","0.6645","0.0031"
"","1.5350","0.6466","0.0029"
"","1.5550","0.6283","0.0027"
"","1.5750","0.6087","0.0025"
"","1.5950","0.5877","0.0023"
"","1.6150","0.5667","0.0021"
"","1.6350","0.5460","0.0019"
"","1.6550","0.5256","0.0017"
"","1.6750","0.5058","0.0016"
"","1.6950","0.4851","0.0014"
"","1.7150","0.4646","0.0012"
"","1.7350","0.4453","0.0011"
"","1.7550","0.4270","0.0010"
"","1.7750","0.4079","0.0008"
"","1.7950","0.3828","0.0006"
"","1.8150","0.3500","0.0005"
"","1.8350","0.3209","0.0004"
"","1.8510","0.3076","0.0003"
"","1.8520","0.3070","0.0003"
"","1.8530","0.3065","0.0003"
"","1.8730","0.2980","0.0003"
"","1.8930","0.2946","0.0003"
"","1.9130","0.2973","0.0003"
"","1.9330","0.3061","0.0005"
"","1.9530","0.3199","0.0006"
"","1.9730","0.3388","0.0008"
"","1.9930","0.3608","0.0010"
"","2.0130","0.3853","0.0012"
"","2.0330","0.4159","0.0015"
"","2.0530","0.4449","0.0018"
"","2.0730","0.4644","0.0019"
"","2.0930","0.4780","0.0021"
"","2.1130","0.4922","0.0023"
"","2.1330","0.5102","0.0025"
"","2.1530","0.5298","0.0026"
"","2.1730","0.5487","0.0029"
"","2.1930","0.5674","0.0031"
"","2.2130","0.5855","0.0033"
"","2.2330","0.6041","0.0035"
"","2.2530","0.6237","0.0038"
"","2.2730","0.6432","0.0041"
"","2.2930","0.6626","0.0043"
"","2.3130","0.6815","0.0046"
"","2.3330","0.6999","0.0048"
