Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0008"
"","0.0200","0.0001","0.0008"
"","0.0400","0.0014","0.0008"
"","0.0600","0.0056","0.0009"
"","0.0800","0.0163","0.0010"
"","0.1000","0.0358","0.0011"
"","0.1200","0.0594","0.0013"
"","0.1400","0.0810","0.0014"
"","0.1600","0.1000","0.0016"
"","0.1800","0.1189","0.0017"
"","0.2000","0.1382","0.0018"
"","0.2200","0.1585","0.0019"
"","0.2400","0.1787","0.0021"
"","0.2600","0.1984","0.0022"
"","0.2800","0.2187","0.0024"
"","0.3000","0.2383","0.0025"
"","0.3200","0.2582","0.0027"
"","0.3400","0.2780","0.0029"
"","0.3600","0.2961","0.0030"
"","0.3800","0.3144","0.0032"
"","0.4000","0.3343","0.0034"
"","0.4200","0.3557","0.0036"
"","0.4400","0.3792","0.0038"
"","0.4600","0.4014","0.0040"
"","0.4800","0.4237","0.0042"
"","0.5000","0.4460","0.0045"
"","0.5200","0.4644","0.0046"
"","0.5400","0.4814","0.0048"
"","0.5600","0.4986","0.0050"
"","0.5800","0.5159","0.0052"
"","0.6000","0.5346","0.0054"
"","0.6200","0.5536","0.0056"
"","0.6400","0.5733","0.0059"
"","0.6600","0.5949","0.0061"
"","0.6800","0.6161","0.0064"
"","0.7000","0.6362","0.0066"
"","0.7200","0.6545","0.0068"
"","0.7400","0.6723","0.0070"
"","0.7600","0.6903","0.0072"
"","0.7800","0.7064","0.0074"
"","0.8000","0.7214","0.0075"
"","0.8200","0.7367","0.0077"
"","0.8400","0.7523","0.0079"
"","0.8600","0.7695","0.0081"
"","0.8800","0.7912","0.0084"
"","0.9000","0.8204","0.0088"
"","0.9200","0.8568","0.0092"
"","0.9400","0.8879","0.0095"
"","0.9600","0.9082","0.0095"
"","0.9800","0.9237","0.0096"
"","1.0000","0.9410","0.0097"
"","1.0200","0.9596","0.0098"
"","1.0400","0.9776","0.0100"
"","1.0440","0.9813","0.0100"
"","1.0450","0.9822","0.0100"
"","1.0460","0.9831","0.0100"
"","1.0660","1.0020","0.0101"
"","1.0860","1.0133","0.0101"
"","1.1060","1.0140","0.0099"
"","1.1260","1.0062","0.0095"
"","1.1460","0.9890","0.0090"
"","1.1660","0.9662","0.0084"
"","1.1860","0.9453","0.0078"
"","1.2060","0.9268","0.0074"
"","1.2260","0.9079","0.0069"
"","1.2460","0.8885","0.0065"
"","1.2660","0.8690","0.0061"
"","1.2860","0.8499","0.0057"
"","1.3060","0.8287","0.0053"
"","1.3260","0.8011","0.0048"
"","1.3460","0.7702","0.0043"
"","1.3660","0.7459","0.0039"
"","1.3860","0.7304","0.0037"
"","1.4060","0.7175","0.0036"
"","1.4260","0.7043","0.0034"
"","1.4460","0.6905","0.0032"
"","1.4660","0.6749","0.0030"
"","1.4860","0.6567","0.0028"
"","1.5060","0.6377","0.0026"
"","1.5260","0.6183","0.0024"
"","1.5460","0.5986","0.0022"
"","1.5660","0.5784","0.0020"
"","1.5860","0.5560","0.0018"
"","1.6060","0.5341","0.0017"
"","1.6260","0.5140","0.0015"
"","1.6460","0.4954","0.0014"
"","1.6660","0.4782","0.0013"
"","1.6860","0.4596","0.0012"
"","1.7060","0.4412","0.0011"
"","1.7260","0.4235","0.0009"
"","1.7460","0.4010","0.0008"
"","1.7660","0.3745","0.0007"
"","1.7860","0.3485","0.0006"
"","1.8060","0.3248","0.0004"
"","1.8260","0.3036","0.0004"
"","1.8460","0.2845","0.0003"
"","1.8490","0.2819","0.0003"
"","1.8500","0.2810","0.0003"
"","1.8510","0.2802","0.0003"
"","1.8710","0.2640","0.0003"
"","1.8910","0.2550","0.0003"
"","1.9110","0.2551","0.0003"
"","1.9310","0.2631","0.0004"
"","1.9510","0.2794","0.0005"
"","1.9710","0.2992","0.0007"
"","1.9910","0.3198","0.0008"
"","2.0110","0.3404","0.0010"
"","2.0310","0.3620","0.0012"
"","2.0510","0.3851","0.0013"
"","2.0710","0.4066","0.0015"
"","2.0910","0.4292","0.0017"
"","2.1110","0.4504","0.0018"
"","2.1310","0.4676","0.0020"
"","2.1510","0.4845","0.0021"
"","2.1710","0.5014","0.0023"
"","2.1910","0.5187","0.0025"
"","2.2110","0.5378","0.0027"
"","2.2310","0.5571","0.0029"
"","2.2510","0.5774","0.0031"
"","2.2710","0.5993","0.0033"
"","2.2910","0.6204","0.0036"
"","2.3110","0.6400","0.0038"
"","2.3310","0.6579","0.0041"
"","2.3510","0.6759","0.0043"
"","2.3710","0.6938","0.0045"
"","2.3910","0.7095","0.0048"
"","2.4110","0.7245","0.0050"
"","2.4310","0.7402","0.0052"
"","2.4510","0.7562","0.0055"
"","2.4710","0.7744","0.0058"
"","2.4910","0.7979","0.0062"
"","2.5110","0.8297","0.0068"
"","2.5310","0.8659","0.0074"
"","2.5510","0.8936","0.0079"
"","2.5710","0.9116","0.0081"
"","2.5910","0.9272","0.0084"
"","2.6110","0.9453","0.0087"
"","2.6310","0.9639","0.0090"
"","2.6510","0.9823","0.0093"
"","2.6710","1.0021","0.0096"
"","2.6910","1.0220","0.0098"
"","2.7040","1.0349","0.0100"
"","2.7050","1.0359","0.0100"
"","2.7060","1.0369","0.0100"
"","2.7260","1.0563","0.0102"
"","2.7460","1.0671","0.0102"
"","2.7660","1.0674","0.0100"
"","2.7860","1.0594","0.0096"
"","2.8060","1.0424","0.0091"
"","2.8260","1.0199","0.0084"
"","2.8460","0.9985","0.0079"
