condition,trial_file,slip,cycle,energy_mJ
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,1,0.7636949999999842
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,2,0.7012750000000096
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,3,0.6584950000000163
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,4,0.6283750000000055
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,5,0.6059949999999787
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,6,0.5991399999999771
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,7,0.5824849999999913
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,8,0.5664799999999843
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,9,0.54622999999998
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,10,0.544840000000022
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,11,0.5443050000000085
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,12,0.5463349999999991
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,13,0.5409850000000063
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,14,0.533155000000022
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,15,0.539024999999981
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,16,0.5272649999999999
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,17,0.5296450000000164
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,18,0.5356550000000198
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,19,0.5343799999999987
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,20,0.5333650000000034
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,21,0.5219700000000103
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,22,0.5335149999999942
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,23,0.525305000000003
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,24,0.5198950000000195
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,25,0.5246349999999893
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,26,0.5237099999999941
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,27,0.5284049999999638
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,28,0.5287800000000118
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,29,0.5322150000000079
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,30,0.5355849999999975
