condition,trial_file,slip,cycle,gauge_length_mm,area_thick_mm2,area_thin_mm2,E_thick_MPa,E_thin_MPa,E_nominal_MPa,r2_nominal
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,1,26.0,48.705000000000005,39.4,7.605138470304124,9.401225106501586,8.408337079533792,0.9959048822425467
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,30,26.0,48.705000000000005,39.4,8.679110687332866,10.72883467072455,9.595734317610745,0.9973538150753335
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,60,26.0,48.705000000000005,39.4,8.843783711353543,10.932398113235388,9.77779889135632,0.9973789391665815
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,1,28.3,37.44,13.78,13.006753178170776,35.33910297465267,19.014948808696357,0.9952602090075553
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,30,28.3,37.44,13.78,14.855296737421279,40.36156094695593,21.71738812374278,0.9939193968126581
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,60,28.3,37.44,13.78,14.751623925862319,40.07988387404101,21.56582584085456,0.9967810284561528
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,1,26.5,72.303,39.65,5.375070395695889,9.801606931147541,6.942801261600848,0.9983328858299803
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,30,26.5,72.303,39.65,6.381442084503499,11.636756797877842,8.242698400862084,0.9977270974977794
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,60,26.5,72.303,39.65,6.706443897502123,12.229407644920453,8.66249253027781,0.9987072235110681
10% formalin / glycerin,10%formalin-withglycerin_9.14x4.85-7.22x2.45_20260304_161219.is_tcyclic.csv,,1,27.4,44.329,17.689,9.380839227328387,23.508577200985915,13.410404144223929,0.9957936603999362
10% formalin / glycerin,10%formalin-withglycerin_9.14x4.85-7.22x2.45_20260304_161219.is_tcyclic.csv,,30,27.4,44.329,17.689,9.933263245028003,24.89296321944973,14.200123396073606,0.9975675597235273
10% formalin / glycerin,10%formalin-withglycerin_9.14x4.85-7.22x2.45_20260304_161219.is_tcyclic.csv,,60,27.4,44.329,17.689,9.902612234990414,24.816151154100858,14.1563061615947,0.998403597956364
10% formalin / glycerin,10%formalin_withglycerin_13.28x5.3-9x2.820260304_162515.is_tcyclic.csv,,1,27.0,70.384,25.382342736000002,5.586779737369308,15.491868072417686,8.212068954517655,0.996909540613594
10% formalin / glycerin,10%formalin_withglycerin_13.28x5.3-9x2.820260304_162515.is_tcyclic.csv,,30,27.0,70.384,25.382342736000002,6.848958852176953,18.991829275392963,10.067359911206262,0.999065859056281
10% formalin / glycerin,10%formalin_withglycerin_13.28x5.3-9x2.820260304_162515.is_tcyclic.csv,,60,27.0,70.384,25.382342736000002,6.884090884115294,19.08924868863101,10.119000871178281,0.9991468925519507
5% formalin / no glycerin,5%formalin_noglycerin_12.68x4.78-8.9x2.4_20260304_164603.is_tcyclic.csv,,1,28.56,60.6104,21.36,8.697568974343454,24.679922030081762,12.862280397864263,0.9972080725431959
5% formalin / no glycerin,5%formalin_noglycerin_12.68x4.78-8.9x2.4_20260304_164603.is_tcyclic.csv,,30,28.56,60.6104,21.36,9.17193537077138,26.02596777137649,13.563790626777513,0.9973272253124315
5% formalin / no glycerin,5%formalin_noglycerin_12.68x4.78-8.9x2.4_20260304_164603.is_tcyclic.csv,,60,28.56,60.6104,21.36,9.22014710031976,26.162771713914832,13.635087880728184,0.998440420669501
5% formalin / no glycerin,5%formalin_noglycerin_14.1x5.5_20260304_165736_1.csv,,1,29.42,77.55,77.55,7.183807006534306,7.183807006534306,7.183807006534306,0.9992125098007498
5% formalin / no glycerin,5%formalin_noglycerin_14.1x5.5_20260304_165736_1.csv,,30,29.42,77.55,77.55,7.654619003307075,7.654619003307075,7.654619003307075,0.9968036782041495
5% formalin / no glycerin,5%formalin_noglycerin_14.1x5.5_20260304_165736_1.csv,,60,29.42,77.55,77.55,8.48119726403494,8.48119726403494,8.48119726403494,0.999098031022765
5% formalin / glycerin,5%formalin_withglycerin_11x6.5-10.4x3.8_20260304_174144.csv,,1,28.42,71.5,39.519999999999996,4.536859759430832,8.208134433180781,5.8437303692902995,0.997773899562672
5% formalin / glycerin,5%formalin_withglycerin_11x6.5-10.4x3.8_20260304_174144.csv,,30,28.42,71.5,39.519999999999996,4.588284248107114,8.301172159404322,5.90996800107474,0.9955221049249553
5% formalin / glycerin,5%formalin_withglycerin_11x6.5-10.4x3.8_20260304_174144.csv,,60,28.42,71.5,39.519999999999996,4.711741332121934,8.524532015352184,6.068987664325679,0.9950786897421391
5% formalin / glycerin,5%formalin_withglycerine_12.36x5.3-9.92x2.6_20260304_173332.csv,,1,26.68,65.508,25.792,5.707892042744811,14.497231387101701,8.190856340331374,0.9970874872755447
5% formalin / glycerin,5%formalin_withglycerine_12.36x5.3-9.92x2.6_20260304_173332.csv,,30,26.68,65.508,25.792,5.829951550099117,14.80724512034324,8.366012401837741,0.9944670403515984
5% formalin / glycerin,5%formalin_withglycerine_12.36x5.3-9.92x2.6_20260304_173332.csv,,60,26.68,65.508,25.792,6.343456357834736,16.11147406517671,9.102894613122407,0.9948945740372758
5% formalin / glycerin,5%formalin_withglycerine_12.56x5.5-10.32x3.7_20260304_171853.is_tcyclic.csv,,1,25.66,69.08,38.184000000000005,4.794396479599618,8.673709114046238,6.175360024066633,0.9916944012174664
5% formalin / glycerin,5%formalin_withglycerine_12.56x5.5-10.32x3.7_20260304_171853.is_tcyclic.csv,,30,25.66,69.08,38.184000000000005,5.42780203262709,9.819625089406017,6.991209807836355,0.9948870451424074
5% formalin / glycerin,5%formalin_withglycerine_12.56x5.5-10.32x3.7_20260304_171853.is_tcyclic.csv,,60,25.66,69.08,38.184000000000005,5.476377653007859,9.90750493059352,7.053777003836942,0.9974977331923057
