Condition,Cycle,Estimate,N,Mean (MPa),Std (MPa)
5% formalin / no glycerin,1,E_nominal,2,10.023043702199285,4.015287041796784
5% formalin / no glycerin,1,E_thick,2,7.94068799043888,1.070391352540141
5% formalin / no glycerin,1,E_thin,2,15.931864518308034,12.371621577570236
5% formalin / no glycerin,30,E_nominal,2,10.609204815042293,4.178415326151066
5% formalin / no glycerin,30,E_thick,2,8.413277187039228,1.072904692639349
5% formalin / no glycerin,30,E_thin,2,16.84029338734178,12.990505293445008
5% formalin / no glycerin,60,E_nominal,2,11.058142572381563,3.6443510045575103
5% formalin / no glycerin,60,E_thick,2,8.85067218217735,0.5225164401936859
5% formalin / no glycerin,60,E_thin,2,17.321984488974884,12.50276119556487
5% formalin / glycerin,1,E_nominal,3,6.736648911229435,1.270249578674687
5% formalin / glycerin,1,E_thick,3,5.01304942725842,0.6153746710588602
5% formalin / glycerin,1,E_thin,3,10.45969164477624,3.50435234016343
5% formalin / glycerin,30,E_nominal,3,7.089063403582945,1.230942735987432
5% formalin / glycerin,30,E_thick,3,5.282012610277774,0.6335418999251236
5% formalin / glycerin,30,E_thin,3,10.976014123051193,3.4036999046796472
5% formalin / glycerin,60,E_nominal,3,7.408553093761675,1.5477556005312922
5% formalin / glycerin,60,E_thick,3,5.51052511432151,0.8163932986740261
5% formalin / glycerin,60,E_thin,3,11.514503670374138,4.040699955340816
10% formalin / no glycerin,1,E_nominal,2,13.711642944115074,7.5000070791036215
10% formalin / no glycerin,1,E_thick,2,10.30594582423745,3.8195183892895015
10% formalin / no glycerin,1,E_thin,2,22.370164040577126,18.3408493301581
10% formalin / no glycerin,30,E_nominal,2,15.656561220676762,8.571303605511686
10% formalin / no glycerin,30,E_thick,2,11.767203712377071,4.367223037887275
10% formalin / no glycerin,30,E_thin,2,25.545197808840243,20.953501694968
10% formalin / no glycerin,60,E_nominal,2,15.67181236610544,8.335393792799978
10% formalin / no glycerin,60,E_thick,2,11.797703818607932,4.177473877845743
10% formalin / no glycerin,60,E_thin,2,25.506140993638198,20.61038483600399
10% formalin / glycerin,1,E_nominal,3,9.521758120114145,3.4269426672603114
10% formalin / glycerin,1,E_thick,3,6.780896453464528,2.254103376481017
10% formalin / glycerin,1,E_thin,3,16.267350734850382,6.886311677114139
10% formalin / glycerin,30,E_nominal,3,10.836727236047317,3.052322509793577
10% formalin / glycerin,30,E_thick,3,7.721221393902819,1.929893739396281
10% formalin / glycerin,30,E_thin,3,18.507183097573513,6.641378893805652
10% formalin / glycerin,60,E_nominal,3,10.97926652101693,2.8461447249094785
10% formalin / glycerin,60,E_thick,3,7.831049005535944,1.7962238928329788
10% formalin / glycerin,60,E_thin,3,18.711602495884105,6.301864051742622
