trial,length
10%formalin-noglyc-11.3x5.25-8.4x4_20260304_153351.is_tcyclic.csv,27.5
10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,28.3
10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,26
10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,26.5
10%formalin-withglycerin_9.14x4.85-7.22x2.45_20260304_161219.is_tcyclic.csv,27.4
10%formalin_withglycerin_13.28x5.3-9x2.820260304_162515.is_tcyclic.csv,27
5%formalin_noglycerin_10.3x5.5-9.3x4.4[slippedatbeginning]_20260304_163205_1.csv,28.86
5%formalin_noglycerin_12.68x4.78-8.9x2.4_20260304_164603.is_tcyclic.csv,28.56
5%formalin_noglycerin_14.1x5.5_20260304_165736_1.csv,29.42
5%formalin-noglycerin_11.7x6-8.44x3.1_[slippedatend]_20260304_170807_1.csv,29.62
5%formalin_withglycerine_12.56x5.5-10.32x3.7_20260304_171853.is_tcyclic.csv,25.66
5%formalin_withglycerine_12.36x5.3-9.92x2.6_20260304_173332.csv,26.68
5%formalin_withglycerin_11x6.5-10.4x3.8_20260304_174144.csv,28.42


