elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4595,2026-05-22T16:06:06.398722,0.000000,3.421239
0.9513,2026-05-22T16:06:06.890458,0.000000,3.421330
1.4471,2026-05-22T16:06:07.386345,0.000000,3.421190
1.9538,2026-05-22T16:06:07.893004,0.000000,3.421088
2.4581,2026-05-22T16:06:08.397293,0.000000,3.421012
2.9522,2026-05-22T16:06:08.891419,0.000000,3.420882
3.4458,2026-05-22T16:06:09.384989,0.000000,3.421001
3.9162,2026-05-22T16:06:09.855454,0.000000,3.421030
4.4173,2026-05-22T16:06:10.356466,0.000000,3.420934
4.9134,2026-05-22T16:06:10.852567,0.000000,3.420816
5.4074,2026-05-22T16:06:11.346614,0.000000,3.420629
5.9009,2026-05-22T16:06:11.840103,0.000000,3.420500
6.3970,2026-05-22T16:06:12.336239,0.000000,3.420504
6.8987,2026-05-22T16:06:12.837941,0.000000,3.420424
7.3576,2026-05-22T16:06:13.296822,0.000000,3.420364
7.8543,2026-05-22T16:06:13.793525,0.000000,3.420362
8.3579,2026-05-22T16:06:14.297075,0.000000,3.420220
8.8407,2026-05-22T16:06:14.779935,0.000000,3.420150
9.3415,2026-05-22T16:06:15.280746,0.000000,3.420088
9.8370,2026-05-22T16:06:15.776260,0.000000,3.419946
10.3278,2026-05-22T16:06:16.266990,0.000000,3.419968
10.8269,2026-05-22T16:06:16.766137,0.000000,3.419863
11.3047,2026-05-22T16:06:17.243939,0.000000,3.419694
11.8002,2026-05-22T16:06:17.739444,0.000000,3.419563
12.3343,2026-05-22T16:06:18.273519,0.000000,3.419332
12.8254,2026-05-22T16:06:18.764589,0.000000,3.419294
13.3250,2026-05-22T16:06:19.264198,0.000000,3.419109
13.7927,2026-05-22T16:06:19.731940,0.000000,3.418973
14.2563,2026-05-22T16:06:20.195491,0.000000,3.418840
14.7215,2026-05-22T16:06:20.660731,0.000000,3.418679
15.1842,2026-05-22T16:06:21.123375,0.000000,3.418551
15.6499,2026-05-22T16:06:21.589147,0.000000,3.418466
16.1479,2026-05-22T16:06:22.087106,0.000000,3.418340
16.6505,2026-05-22T16:06:22.589729,0.000000,3.418258
17.1332,2026-05-22T16:06:23.072422,0.000000,3.418340
17.6345,2026-05-22T16:06:23.573671,0.000000,3.418343
18.1699,2026-05-22T16:06:24.109095,0.000000,3.418378
18.6681,2026-05-22T16:06:24.607345,0.000000,3.418408
19.1618,2026-05-22T16:06:25.100970,0.000000,3.418296
19.6428,2026-05-22T16:06:25.582028,0.000000,3.418153
20.1356,2026-05-22T16:06:26.074774,0.000000,3.418031
20.6696,2026-05-22T16:06:26.608774,0.000000,3.417806
21.1612,2026-05-22T16:06:27.100430,0.000000,3.417704
21.6439,2026-05-22T16:06:27.583143,0.000000,3.417653
22.1417,2026-05-22T16:06:28.080877,0.000000,3.417646
22.6401,2026-05-22T16:06:28.579338,0.000000,3.417662
23.1326,2026-05-22T16:06:29.071845,0.000000,3.417640
23.6372,2026-05-22T16:06:29.576435,0.000000,3.417526
24.1367,2026-05-22T16:06:30.075942,0.000000,3.417294
24.6323,2026-05-22T16:06:30.571520,0.000000,3.417133
25.1212,2026-05-22T16:06:31.060432,0.000000,3.417056
25.6181,2026-05-22T16:06:31.557309,0.000000,3.416890
26.1088,2026-05-22T16:06:32.048044,0.000000,3.416803
26.6089,2026-05-22T16:06:32.548090,0.000000,3.416690
27.1019,2026-05-22T16:06:33.041091,0.000000,3.416638
27.6028,2026-05-22T16:06:33.542054,0.000000,3.416634
28.1028,2026-05-22T16:06:34.042004,0.000000,3.416610
28.6377,2026-05-22T16:06:34.576914,0.000000,3.416501
29.1371,2026-05-22T16:06:35.076257,0.000000,3.416230
29.6382,2026-05-22T16:06:35.577372,0.000000,3.416004
30.0972,2026-05-22T16:06:36.036410,0.000000,3.415797
30.5825,2026-05-22T16:06:36.521666,0.000000,3.415538
31.0572,2026-05-22T16:06:36.996399,0.000000,3.415441
31.5487,2026-05-22T16:06:37.487891,0.000000,3.415266
32.0493,2026-05-22T16:06:37.988521,0.000000,3.415110
32.5339,2026-05-22T16:06:38.473098,0.000000,3.415154
33.0506,2026-05-22T16:06:38.989794,0.000000,3.415020
33.5245,2026-05-22T16:06:39.463709,0.000000,3.414874
34.0114,2026-05-22T16:06:39.950626,0.000000,3.414696
34.4921,2026-05-22T16:06:40.431330,0.000000,3.414422
34.9661,2026-05-22T16:06:40.905288,0.000000,3.414174
35.4596,2026-05-22T16:06:41.398778,0.000000,3.414020
35.9389,2026-05-22T16:06:41.878090,0.000000,3.413881
36.3940,2026-05-22T16:06:42.333207,0.000000,3.413770
36.8842,2026-05-22T16:06:42.823442,0.000000,3.413710
37.3654,2026-05-22T16:06:43.304607,0.000000,3.413578
37.8458,2026-05-22T16:06:43.785008,0.000000,3.413428
38.3306,2026-05-22T16:06:44.269853,0.000000,3.413265
38.8075,2026-05-22T16:06:44.746730,0.000000,3.413002
39.2798,2026-05-22T16:06:45.218960,0.000000,3.412887
39.7502,2026-05-22T16:06:45.689448,0.000000,3.412787
40.2309,2026-05-22T16:06:46.170122,0.000000,3.412773
40.7269,2026-05-22T16:06:46.666066,0.000000,3.412804
41.2260,2026-05-22T16:06:47.165214,0.000000,3.412735
41.7132,2026-05-22T16:06:47.652361,0.000000,3.412729
42.1922,2026-05-22T16:06:48.131455,0.000000,3.412606
42.6863,2026-05-22T16:06:48.625472,0.000000,3.412525
43.1855,2026-05-22T16:06:49.124733,0.000000,3.412413
43.6822,2026-05-22T16:06:49.621422,0.000000,3.412280
44.1864,2026-05-22T16:06:50.125564,0.000000,3.412075
44.6784,2026-05-22T16:06:50.617588,0.000000,3.411922
45.1734,2026-05-22T16:06:51.112611,0.000000,3.411829
45.6779,2026-05-22T16:06:51.617116,0.000000,3.411617
46.1596,2026-05-22T16:06:52.098753,0.000000,3.411355
46.6447,2026-05-22T16:06:52.583910,0.000000,3.411048
47.1242,2026-05-22T16:06:53.063450,0.000000,3.410670
47.6255,2026-05-22T16:06:53.564738,0.000000,3.410321
48.1201,2026-05-22T16:06:54.059346,0.000000,3.410018
48.6167,2026-05-22T16:06:54.555929,0.000000,3.409947
49.1145,2026-05-22T16:06:55.053658,0.000000,3.409849
49.6198,2026-05-22T16:06:55.558992,0.000000,3.409806
50.0971,2026-05-22T16:06:56.036287,0.000000,3.409705
50.5639,2026-05-22T16:06:56.503095,0.000000,3.409476
51.0281,2026-05-22T16:06:56.967312,0.000000,3.409109
51.5248,2026-05-22T16:06:57.464002,0.000000,3.408923
52.0018,2026-05-22T16:06:57.941000,0.000000,3.408787
52.4642,2026-05-22T16:06:58.403408,0.000000,3.408669
