elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4565,2026-06-03T14:12:24.808779,0.000000,3.647688
0.9524,2026-06-03T14:12:25.304712,0.000000,3.646300
1.4403,2026-06-03T14:12:25.792623,0.000000,3.644660
1.9077,2026-06-03T14:12:26.259975,0.000000,3.642972
2.4093,2026-06-03T14:12:26.761576,0.000000,3.641300
2.8946,2026-06-03T14:12:27.246862,0.000000,3.639976
3.4144,2026-06-03T14:12:27.766677,0.000000,3.638520
3.9039,2026-06-03T14:12:28.256193,0.000000,3.637036
4.4102,2026-06-03T14:12:28.762473,0.000000,3.636044
4.8957,2026-06-03T14:12:29.247979,0.000000,3.634676
5.3974,2026-06-03T14:12:29.749666,0.000000,3.633808
5.8864,2026-06-03T14:12:30.238668,0.000000,3.633164
6.3901,2026-06-03T14:12:30.742376,0.000000,3.632196
6.8457,2026-06-03T14:12:31.198007,0.000000,3.630976
7.3470,2026-06-03T14:12:31.699269,0.000000,3.629816
7.8140,2026-06-03T14:12:32.166313,0.000000,3.628272
8.2962,2026-06-03T14:12:32.648463,0.000000,3.627284
8.7745,2026-06-03T14:12:33.126801,0.000000,3.626580
9.2619,2026-06-03T14:12:33.614206,0.000000,3.625896
9.7588,2026-06-03T14:12:34.111067,0.000000,3.625300
10.2426,2026-06-03T14:12:34.594902,0.000000,3.624908
10.7052,2026-06-03T14:12:35.057533,0.000000,3.624216
11.2016,2026-06-03T14:12:35.553929,0.000000,3.623580
11.6667,2026-06-03T14:12:36.018953,0.000000,3.623100
12.1653,2026-06-03T14:12:36.517622,0.000000,3.622532
12.6560,2026-06-03T14:12:37.008310,0.000000,3.621536
13.1610,2026-06-03T14:12:37.513326,0.000000,3.620688
13.6564,2026-06-03T14:12:38.008653,0.000000,3.619712
14.1608,2026-06-03T14:12:38.513057,0.000000,3.618656
14.6602,2026-06-03T14:12:39.012465,0.000000,3.618096
15.1481,2026-06-03T14:12:39.500399,0.000000,3.617452
15.6187,2026-06-03T14:12:39.971005,0.000000,3.617192
16.1136,2026-06-03T14:12:40.465927,0.000000,3.616716
16.6183,2026-06-03T14:12:40.970534,0.000000,3.616468
17.1357,2026-06-03T14:12:41.488015,0.000000,3.616336
17.6457,2026-06-03T14:12:41.997976,0.000000,3.615692
18.1463,2026-06-03T14:12:42.498622,0.000000,3.615376
18.6245,2026-06-03T14:12:42.976798,0.000000,3.615056
19.1242,2026-06-03T14:12:43.476457,0.000000,3.614368
19.6299,2026-06-03T14:12:43.982187,0.000000,3.613988
20.1214,2026-06-03T14:12:44.473679,0.000000,3.613280
20.6268,2026-06-03T14:12:44.979062,0.000000,3.612528
21.1538,2026-06-03T14:12:45.506049,0.000000,3.611964
21.6700,2026-06-03T14:12:46.022261,0.000000,3.611328
22.1688,2026-06-03T14:12:46.521077,0.000000,3.610764
22.6746,2026-06-03T14:12:47.026876,0.000000,3.610088
23.1943,2026-06-03T14:12:47.546563,0.000000,3.609408
23.6801,2026-06-03T14:12:48.032407,0.000000,3.608460
24.1454,2026-06-03T14:12:48.497714,0.000000,3.607592
24.6364,2026-06-03T14:12:48.988662,0.000000,3.606756
25.1240,2026-06-03T14:12:49.476312,0.000000,3.605888
25.6185,2026-06-03T14:12:49.970815,0.000000,3.605032
26.1149,2026-06-03T14:12:50.467150,0.000000,3.604332
26.6130,2026-06-03T14:12:50.965285,0.000000,3.603828
27.1225,2026-06-03T14:12:51.474815,0.000000,3.603084
27.6144,2026-06-03T14:12:51.966732,0.000000,3.602656
28.1189,2026-06-03T14:12:52.471165,0.000000,3.601976
28.6330,2026-06-03T14:12:52.985303,0.000000,3.601384
29.1127,2026-06-03T14:12:53.464981,0.000000,3.600652
29.6062,2026-06-03T14:12:53.958497,0.000000,3.600204
30.1031,2026-06-03T14:12:54.455406,0.000000,3.599932
30.5772,2026-06-03T14:12:54.929468,0.000000,3.599456
31.0792,2026-06-03T14:12:55.431484,0.000000,3.599208
31.5748,2026-06-03T14:12:55.927068,0.000000,3.598592
32.0712,2026-06-03T14:12:56.423497,0.000000,3.598016
32.5910,2026-06-03T14:12:56.943275,0.000000,3.597428
33.0907,2026-06-03T14:12:57.442968,0.000000,3.596772
33.5904,2026-06-03T14:12:57.942700,0.000000,3.596480
34.0813,2026-06-03T14:12:58.433625,0.000000,3.595716
34.5802,2026-06-03T14:12:58.932537,0.000000,3.595112
35.1119,2026-06-03T14:12:59.464176,0.000000,3.594240
35.5877,2026-06-03T14:12:59.940012,0.000000,3.593016
36.0870,2026-06-03T14:13:00.439247,0.000000,3.592080
36.5783,2026-06-03T14:13:00.930569,0.000000,3.591020
37.0690,2026-06-03T14:13:01.421339,0.000000,3.590400
37.5610,2026-06-03T14:13:01.913294,0.000000,3.589888
38.0592,2026-06-03T14:13:02.411497,0.000000,3.590076
38.5634,2026-06-03T14:13:02.915692,0.000000,3.590192
39.0093,2026-06-03T14:13:03.361585,0.000000,3.589796
39.5127,2026-06-03T14:13:03.864946,0.000000,3.589296
40.0105,2026-06-03T14:13:04.362796,0.000000,3.588160
40.4996,2026-06-03T14:13:04.851860,0.000000,3.587440
41.0103,2026-06-03T14:13:05.362561,0.000000,3.587380
41.5069,2026-06-03T14:13:05.859150,0.000000,3.587388
41.9799,2026-06-03T14:13:06.332213,0.000000,3.587700
42.4909,2026-06-03T14:13:06.843200,0.000000,3.587412
42.9692,2026-06-03T14:13:07.321529,0.000000,3.586832
43.4702,2026-06-03T14:13:07.822511,0.000000,3.586184
43.9666,2026-06-03T14:13:08.318856,0.000000,3.585520
44.4781,2026-06-03T14:13:08.830438,0.000000,3.584584
44.9792,2026-06-03T14:13:09.331476,0.000000,3.584220
45.4864,2026-06-03T14:13:09.838696,0.000000,3.583428
45.9819,2026-06-03T14:13:10.334222,0.000000,3.582756
46.4813,2026-06-03T14:13:10.833591,0.000000,3.582716
47.0031,2026-06-03T14:13:11.355378,0.000000,3.581932
47.5032,2026-06-03T14:13:11.855448,0.000000,3.581388
48.0030,2026-06-03T14:13:12.355232,0.000000,3.580488
48.4911,2026-06-03T14:13:12.843368,0.000000,3.580124
48.9910,2026-06-03T14:13:13.343317,0.000000,3.579744
49.4890,2026-06-03T14:13:13.841300,0.000000,3.579140
49.9862,2026-06-03T14:13:14.338436,0.000000,3.578536
50.4503,2026-06-03T14:13:14.802603,0.000000,3.577680
50.9437,2026-06-03T14:13:15.295989,0.000000,3.576808
51.4353,2026-06-03T14:13:15.787625,0.000000,3.576400
51.8943,2026-06-03T14:13:16.246533,0.000000,3.576216
52.3868,2026-06-03T14:13:16.739090,0.000000,3.575776
52.8739,2026-06-03T14:13:17.226197,0.000000,3.575336
