elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4963,2026-06-15T13:45:04.836112,0.000000,3.802184
0.9898,2026-06-15T13:45:05.329606,0.000000,3.802312
1.4944,2026-06-15T13:45:05.834237,0.000000,3.801920
1.9829,2026-06-15T13:45:06.322695,0.000000,3.801648
2.4773,2026-06-15T13:45:06.817103,0.000000,3.801208
2.9350,2026-06-15T13:45:07.274887,0.000000,3.801048
3.4355,2026-06-15T13:45:07.775334,0.000000,3.800960
3.9228,2026-06-15T13:45:08.262667,0.000000,3.800904
4.3959,2026-06-15T13:45:08.735708,0.000000,3.800864
4.8900,2026-06-15T13:45:09.229830,0.000000,3.800744
5.4035,2026-06-15T13:45:09.743389,0.000000,3.800728
5.8574,2026-06-15T13:45:10.197265,0.000000,3.800608
6.3221,2026-06-15T13:45:10.661896,0.000000,3.800536
6.8214,2026-06-15T13:45:11.161268,0.000000,3.800416
7.3142,2026-06-15T13:45:11.654056,0.000000,3.800280
7.7959,2026-06-15T13:45:12.135723,0.000000,3.800344
8.2900,2026-06-15T13:45:12.629827,0.000000,3.800368
8.7620,2026-06-15T13:45:13.101808,0.000000,3.800368
9.2299,2026-06-15T13:45:13.569761,0.000000,3.800368
9.7282,2026-06-15T13:45:14.068005,0.000000,3.800360
10.2272,2026-06-15T13:45:14.567075,0.000000,3.800328
10.7483,2026-06-15T13:45:15.088151,0.000000,3.800312
11.2348,2026-06-15T13:45:15.574614,0.000000,3.800248
11.7412,2026-06-15T13:45:16.081021,0.000000,3.800184
12.2371,2026-06-15T13:45:16.576936,0.000000,3.800176
12.7453,2026-06-15T13:45:17.085181,0.000000,3.800152
13.2393,2026-06-15T13:45:17.579173,0.000000,3.800160
13.7675,2026-06-15T13:45:18.107377,0.000000,3.800120
14.2407,2026-06-15T13:45:18.580517,0.000000,3.799968
14.7433,2026-06-15T13:45:19.083155,0.000000,3.799856
15.2347,2026-06-15T13:45:19.574541,0.000000,3.799664
15.7277,2026-06-15T13:45:20.067567,0.000000,3.799056
16.2306,2026-06-15T13:45:20.570419,0.000000,3.798368
16.7295,2026-06-15T13:45:21.069297,0.000000,3.797472
17.2215,2026-06-15T13:45:21.561368,0.000000,3.796304
17.7334,2026-06-15T13:45:22.073243,0.000000,3.795480
18.2233,2026-06-15T13:45:22.563144,0.000000,3.794888
18.7192,2026-06-15T13:45:23.059025,0.000000,3.794248
19.2013,2026-06-15T13:45:23.541163,0.000000,3.793880
19.6983,2026-06-15T13:45:24.038104,0.000000,3.793848
20.1860,2026-06-15T13:45:24.525885,0.000000,3.793416
20.6634,2026-06-15T13:45:25.003237,0.000000,3.793016
21.1360,2026-06-15T13:45:25.475833,0.000000,3.792784
21.6336,2026-06-15T13:45:25.973421,0.000000,3.792360
22.1369,2026-06-15T13:45:26.476786,0.000000,3.792176
22.6378,2026-06-15T13:45:26.977669,0.000000,3.792016
23.1148,2026-06-15T13:45:27.454642,0.000000,3.790584
23.6172,2026-06-15T13:45:27.957044,0.000000,3.789136
24.1278,2026-06-15T13:45:28.467600,0.000000,3.788232
24.6240,2026-06-15T13:45:28.963846,0.000000,3.787736
25.0859,2026-06-15T13:45:29.425774,0.000000,3.787632
25.5753,2026-06-15T13:45:29.915179,0.000000,3.788016
26.0472,2026-06-15T13:45:30.387023,0.000000,3.787952
26.5455,2026-06-15T13:45:30.885305,0.000000,3.787640
27.0688,2026-06-15T13:45:31.408672,0.000000,3.787280
27.5509,2026-06-15T13:45:31.890757,0.000000,3.786608
28.0602,2026-06-15T13:45:32.400063,0.000000,3.785728
28.5565,2026-06-15T13:45:32.896290,0.000000,3.785032
29.0240,2026-06-15T13:45:33.363846,0.000000,3.784952
29.5257,2026-06-15T13:45:33.865506,0.000000,3.784744
30.0217,2026-06-15T13:45:34.361495,0.000000,3.784784
30.5143,2026-06-15T13:45:34.854177,0.000000,3.784880
31.0127,2026-06-15T13:45:35.352496,0.000000,3.784568
31.5180,2026-06-15T13:45:35.857819,0.000000,3.784448
32.0144,2026-06-15T13:45:36.354264,0.000000,3.783672
32.5139,2026-06-15T13:45:36.853724,0.000000,3.783160
33.0099,2026-06-15T13:45:37.349698,0.000000,3.782696
33.5081,2026-06-15T13:45:37.847916,0.000000,3.782624
33.9971,2026-06-15T13:45:38.336958,0.000000,3.781896
34.4908,2026-06-15T13:45:38.830651,0.000000,3.780600
34.9762,2026-06-15T13:45:39.316070,0.000000,3.780192
35.4955,2026-06-15T13:45:39.835382,0.000000,3.779056
35.9984,2026-06-15T13:45:40.338201,0.000000,3.778560
36.5008,2026-06-15T13:45:40.840653,0.000000,3.778808
36.9921,2026-06-15T13:45:41.331972,0.000000,3.778184
37.4553,2026-06-15T13:45:41.795120,0.000000,3.778192
37.9448,2026-06-15T13:45:42.284652,0.000000,3.778488
38.4221,2026-06-15T13:45:42.761978,0.000000,3.777832
38.9181,2026-06-15T13:45:43.257971,0.000000,3.776832
39.4462,2026-06-15T13:45:43.786066,0.000000,3.776056
39.9431,2026-06-15T13:45:44.282967,0.000000,3.775376
40.4406,2026-06-15T13:45:44.780438,0.000000,3.775128
40.9179,2026-06-15T13:45:45.257768,0.000000,3.775096
41.4178,2026-06-15T13:45:45.757605,0.000000,3.774464
41.9168,2026-06-15T13:45:46.256658,0.000000,3.773808
42.4217,2026-06-15T13:45:46.761500,0.000000,3.773120
42.9530,2026-06-15T13:45:47.292877,0.000000,3.772776
43.4372,2026-06-15T13:45:47.777058,0.000000,3.772720
43.9285,2026-06-15T13:45:48.268326,0.000000,3.772048
44.3971,2026-06-15T13:45:48.736900,0.000000,3.771616
44.8933,2026-06-15T13:45:49.233099,0.000000,3.771272
45.3893,2026-06-15T13:45:49.729170,0.000000,3.771320
45.8889,2026-06-15T13:45:50.228729,0.000000,3.771280
46.3812,2026-06-15T13:45:50.721021,0.000000,3.770960
46.9035,2026-06-15T13:45:51.243389,0.000000,3.770568
47.4046,2026-06-15T13:45:51.744483,0.000000,3.768872
47.8843,2026-06-15T13:45:52.224187,0.000000,3.767464
48.3842,2026-06-15T13:45:52.724057,0.000000,3.766344
48.8763,2026-06-15T13:45:53.216180,0.000000,3.764904
49.3770,2026-06-15T13:45:53.716859,0.000000,3.764584
49.8431,2026-06-15T13:45:54.182919,0.000000,3.764504
50.3166,2026-06-15T13:45:54.656424,0.000000,3.764072
50.8059,2026-06-15T13:45:55.145705,0.000000,3.763800
51.3185,2026-06-15T13:45:55.658336,0.000000,3.763560
51.8068,2026-06-15T13:45:56.146662,0.000000,3.762872
52.3081,2026-06-15T13:45:56.647935,0.000000,3.762560
52.7996,2026-06-15T13:45:57.139400,0.000000,3.762152
53.2849,2026-06-15T13:45:57.624778,0.000000,3.761904
53.7670,2026-06-15T13:45:58.106807,0.000000,3.761768
54.2678,2026-06-15T13:45:58.607672,0.000000,3.761752
54.7705,2026-06-15T13:45:59.110313,0.000000,3.761824
55.2891,2026-06-15T13:45:59.628980,0.000000,3.761736
55.7938,2026-06-15T13:46:00.133643,0.000000,3.761592
56.2884,2026-06-15T13:46:00.628208,0.000000,3.761360
56.7925,2026-06-15T13:46:01.132357,0.000000,3.761272
57.2947,2026-06-15T13:46:01.634556,0.000000,3.761112
57.7685,2026-06-15T13:46:02.108385,0.000000,3.761016
58.2651,2026-06-15T13:46:02.604989,0.000000,3.761104
58.7638,2026-06-15T13:46:03.103607,0.000000,3.760888
59.2825,2026-06-15T13:46:03.622304,0.000000,3.760888
59.7695,2026-06-15T13:46:04.109357,0.000000,3.760888
60.2776,2026-06-15T13:46:04.617406,0.000000,3.760864
60.7685,2026-06-15T13:46:05.108314,0.000000,3.760920
61.2738,2026-06-15T13:46:05.613665,0.000000,3.761000
61.7666,2026-06-15T13:46:06.106431,0.000000,3.761056
62.3007,2026-06-15T13:46:06.640550,0.000000,3.761152
62.7876,2026-06-15T13:46:07.127432,0.000000,3.761264
63.2941,2026-06-15T13:46:07.633917,0.000000,3.761168
63.7716,2026-06-15T13:46:08.111419,0.000000,3.761120
64.2732,2026-06-15T13:46:08.613011,0.000000,3.760896
64.7697,2026-06-15T13:46:09.109541,0.000000,3.760712
65.2682,2026-06-15T13:46:09.608016,0.000000,3.760632
65.7722,2026-06-15T13:46:10.112028,0.000000,3.760576
66.2830,2026-06-15T13:46:10.622853,0.000000,3.760568
66.7857,2026-06-15T13:46:11.125493,0.000000,3.760608
67.2883,2026-06-15T13:46:11.628169,0.000000,3.760752
67.7721,2026-06-15T13:46:12.111936,0.000000,3.760848
68.2637,2026-06-15T13:46:12.603521,0.000000,3.760912
68.7544,2026-06-15T13:46:13.094278,0.000000,3.761016
69.2768,2026-06-15T13:46:13.616631,0.000000,3.760936
69.7735,2026-06-15T13:46:14.113314,0.000000,3.760792
70.2710,2026-06-15T13:46:14.610815,0.000000,3.760712
70.7780,2026-06-15T13:46:15.117802,0.000000,3.760640
71.2824,2026-06-15T13:46:15.622229,0.000000,3.760504
71.7746,2026-06-15T13:46:16.114444,0.000000,3.760360
72.2639,2026-06-15T13:46:16.603776,0.000000,3.760208
72.7922,2026-06-15T13:46:17.132002,0.000000,3.760168
73.2858,2026-06-15T13:46:17.625606,0.000000,3.760192
73.7752,2026-06-15T13:46:18.114997,0.000000,3.760144
74.2635,2026-06-15T13:46:18.603378,0.000000,3.760184
74.7636,2026-06-15T13:46:19.103469,0.000000,3.760176
75.2347,2026-06-15T13:46:19.574576,0.000000,3.760144
75.7379,2026-06-15T13:46:20.077765,0.000000,3.760224
76.2371,2026-06-15T13:46:20.576970,0.000000,3.760184
76.7577,2026-06-15T13:46:21.097564,0.000000,3.760104
77.2387,2026-06-15T13:46:21.578571,0.000000,3.759912
77.7232,2026-06-15T13:46:22.063068,0.000000,3.759864
78.2251,2026-06-15T13:46:22.564936,0.000000,3.759896
78.7206,2026-06-15T13:46:23.060412,0.000000,3.759832
79.2131,2026-06-15T13:46:23.552962,0.000000,3.759864
79.7136,2026-06-15T13:46:24.053404,0.000000,3.759856
80.1852,2026-06-15T13:46:24.525084,0.000000,3.759624
80.6831,2026-06-15T13:46:25.022967,0.000000,3.759680
81.1863,2026-06-15T13:46:25.526185,0.000000,3.759704
81.6842,2026-06-15T13:46:26.024007,0.000000,3.759792
82.1872,2026-06-15T13:46:26.527051,0.000000,3.759888
82.6892,2026-06-15T13:46:27.029047,0.000000,3.759832
83.1652,2026-06-15T13:46:27.505041,0.000000,3.759832
83.6695,2026-06-15T13:46:28.009291,0.000000,3.759568
84.1683,2026-06-15T13:46:28.508167,0.000000,3.759520
84.6580,2026-06-15T13:46:28.997796,0.000000,3.759248
85.1793,2026-06-15T13:46:29.519126,0.000000,3.758904
85.6765,2026-06-15T13:46:30.016360,0.000000,3.758832
86.1675,2026-06-15T13:46:30.507352,0.000000,3.758808
86.6733,2026-06-15T13:46:31.013176,0.000000,3.758728
87.1813,2026-06-15T13:46:31.521173,0.000000,3.758784
87.6538,2026-06-15T13:46:31.993662,0.000000,3.758744
88.1539,2026-06-15T13:46:32.493702,0.000000,3.758264
88.6643,2026-06-15T13:46:33.004147,0.000000,3.758368
89.1550,2026-06-15T13:46:33.494791,0.000000,3.758544
89.6555,2026-06-15T13:46:33.995321,0.000000,3.758400
90.1635,2026-06-15T13:46:34.503323,0.000000,3.758680
90.6568,2026-06-15T13:46:34.996668,0.000000,3.758560
91.1337,2026-06-15T13:46:35.473489,0.000000,3.758432
91.6295,2026-06-15T13:46:35.969300,0.000000,3.758672
92.1176,2026-06-15T13:46:36.457475,0.000000,3.758896
92.6316,2026-06-15T13:46:36.971426,0.000000,3.758832
93.1171,2026-06-15T13:46:37.456927,0.000000,3.758480
93.5866,2026-06-15T13:46:37.926491,0.000000,3.757904
94.0835,2026-06-15T13:46:38.423352,0.000000,3.757304
94.5656,2026-06-15T13:46:38.905495,0.000000,3.757048
95.0658,2026-06-15T13:46:39.405624,0.000000,3.757312
95.5723,2026-06-15T13:46:39.912105,0.000000,3.757040
96.0675,2026-06-15T13:46:40.407391,0.000000,3.757424
96.5984,2026-06-15T13:46:40.938238,0.000000,3.757544
97.0923,2026-06-15T13:46:41.432182,0.000000,3.757696
97.5853,2026-06-15T13:46:41.925095,0.000000,3.758256
98.0705,2026-06-15T13:46:42.410341,0.000000,3.758136
98.5698,2026-06-15T13:46:42.909648,0.000000,3.758072
99.0702,2026-06-15T13:46:43.410008,0.000000,3.757896
99.6044,2026-06-15T13:46:43.944237,0.000000,3.757576
100.0788,2026-06-15T13:46:44.418634,0.000000,3.757400
100.5632,2026-06-15T13:46:44.903070,0.000000,3.757248
101.0582,2026-06-15T13:46:45.398029,0.000000,3.757200
101.5628,2026-06-15T13:46:45.902617,0.000000,3.757176
102.0423,2026-06-15T13:46:46.382127,0.000000,3.757264
102.5378,2026-06-15T13:46:46.877607,0.000000,3.757376
103.0315,2026-06-15T13:46:47.371338,0.000000,3.757504
103.5499,2026-06-15T13:46:47.889701,0.000000,3.757928
104.0439,2026-06-15T13:46:48.383765,0.000000,3.757728
104.5366,2026-06-15T13:46:48.876412,0.000000,3.757704
104.9923,2026-06-15T13:46:49.332126,0.000000,3.757704
105.4956,2026-06-15T13:46:49.835433,0.000000,3.757192
105.9970,2026-06-15T13:46:50.336874,0.000000,3.757008
106.4941,2026-06-15T13:46:50.833935,0.000000,3.756672
106.9961,2026-06-15T13:46:51.335977,0.000000,3.756424
107.5173,2026-06-15T13:46:51.857093,0.000000,3.756424
108.0234,2026-06-15T13:46:52.363267,0.000000,3.756448
108.4933,2026-06-15T13:46:52.833170,0.000000,3.756832
108.9885,2026-06-15T13:46:53.328319,0.000000,3.756144
109.4880,2026-06-15T13:46:53.827867,0.000000,3.755648
109.9973,2026-06-15T13:46:54.337122,0.000000,3.755584
110.4484,2026-06-15T13:46:54.788239,0.000000,3.754976
110.9466,2026-06-15T13:46:55.286487,0.000000,3.754896
111.4507,2026-06-15T13:46:55.790574,0.000000,3.754920
111.9654,2026-06-15T13:46:56.305206,0.000000,3.755032
112.4531,2026-06-15T13:46:56.792988,0.000000,3.755336
112.9534,2026-06-15T13:46:57.293275,0.000000,3.756080
113.4558,2026-06-15T13:46:57.795653,0.000000,3.755752
113.9520,2026-06-15T13:46:58.291872,0.000000,3.755192
114.3981,2026-06-15T13:46:58.738027,0.000000,3.754784
114.8756,2026-06-15T13:46:59.215423,0.000000,3.754328
115.3237,2026-06-15T13:46:59.663570,0.000000,3.754520
115.7953,2026-06-15T13:47:00.135180,0.000000,3.755008
116.2972,2026-06-15T13:47:00.637061,0.000000,3.755624
116.8288,2026-06-15T13:47:01.168693,0.000000,3.756448
117.3285,2026-06-15T13:47:01.668329,0.000000,3.757144
117.8484,2026-06-15T13:47:02.188269,0.000000,3.756408
118.3308,2026-06-15T13:47:02.670646,0.000000,3.755808
118.7916,2026-06-15T13:47:03.131446,0.000000,3.754824
119.3001,2026-06-15T13:47:03.639933,0.000000,3.754120
119.7967,2026-06-15T13:47:04.136517,0.000000,3.754360
120.2969,2026-06-15T13:47:04.636758,0.000000,3.754720
120.7921,2026-06-15T13:47:05.131995,0.000000,3.755344
121.2788,2026-06-15T13:47:05.618626,0.000000,3.756056
121.7710,2026-06-15T13:47:06.110896,0.000000,3.756216
122.2973,2026-06-15T13:47:06.637115,0.000000,3.756632
122.7766,2026-06-15T13:47:07.116430,0.000000,3.756896
123.2831,2026-06-15T13:47:07.622917,0.000000,3.756992
123.7846,2026-06-15T13:47:08.124419,0.000000,3.757480
124.2780,2026-06-15T13:47:08.617790,0.000000,3.757224
124.7633,2026-06-15T13:47:09.103137,0.000000,3.757152
125.2630,2026-06-15T13:47:09.602861,0.000000,3.756992
125.7832,2026-06-15T13:47:10.123095,0.000000,3.756568
126.2828,2026-06-15T13:47:10.622637,0.000000,3.756560
126.7760,2026-06-15T13:47:11.115847,0.000000,3.756040
127.2810,2026-06-15T13:47:11.620807,0.000000,3.755680
127.7778,2026-06-15T13:47:12.117636,0.000000,3.755880
128.2810,2026-06-15T13:47:12.620836,0.000000,3.756168
128.7647,2026-06-15T13:47:13.104541,0.000000,3.756704
129.2915,2026-06-15T13:47:13.631381,0.000000,3.757016
129.7905,2026-06-15T13:47:14.130382,0.000000,3.756920
130.2918,2026-06-15T13:47:14.631629,0.000000,3.756544
130.7883,2026-06-15T13:47:15.128121,0.000000,3.755824
131.2831,2026-06-15T13:47:15.622961,0.000000,3.755640
131.7858,2026-06-15T13:47:16.125687,0.000000,3.756144
132.2915,2026-06-15T13:47:16.631329,0.000000,3.756320
132.8082,2026-06-15T13:47:17.148019,0.000000,3.757096
133.3090,2026-06-15T13:47:17.648849,0.000000,3.757168
133.8013,2026-06-15T13:47:18.141178,0.000000,3.756600
134.2915,2026-06-15T13:47:18.631315,0.000000,3.756000
134.7769,2026-06-15T13:47:19.116724,0.000000,3.755624
135.2773,2026-06-15T13:47:19.617165,0.000000,3.755640
135.8023,2026-06-15T13:47:20.142170,0.000000,3.755528
136.3034,2026-06-15T13:47:20.643218,0.000000,3.755888
136.8054,2026-06-15T13:47:21.145215,0.000000,3.755928
137.3089,2026-06-15T13:47:21.648775,0.000000,3.755944
137.8034,2026-06-15T13:47:22.143231,0.000000,3.756568
138.2948,2026-06-15T13:47:22.634618,0.000000,3.756960
138.7924,2026-06-15T13:47:23.132259,0.000000,3.757480
139.3173,2026-06-15T13:47:23.657123,0.000000,3.757768
139.8039,2026-06-15T13:47:24.143755,0.000000,3.757656
140.3038,2026-06-15T13:47:24.643621,0.000000,3.757504
140.7976,2026-06-15T13:47:25.137465,0.000000,3.757368
141.2862,2026-06-15T13:47:25.626019,0.000000,3.757056
141.7909,2026-06-15T13:47:26.130698,0.000000,3.757424
142.3253,2026-06-15T13:47:26.665132,0.000000,3.757728
142.8001,2026-06-15T13:47:27.139954,0.000000,3.757712
