elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.056,2026-05-06T15:24:36.074796,-0.8,0.0
0.511,2026-05-06T15:24:36.529419,-0.799,0.0
0.765,2026-05-06T15:24:36.784090,-0.799,0.0
1.021,2026-05-06T15:24:37.039250,-0.8,0.0
1.276,2026-05-06T15:24:37.294313,-0.8,0.0
1.528,2026-05-06T15:24:37.547059,-0.801,0.0
1.783,2026-05-06T15:24:37.802008,-0.801,0.0
2.039,2026-05-06T15:24:38.057491,-0.8,0.0
2.293,2026-05-06T15:24:38.312115,-0.8,0.0
2.549,2026-05-06T15:24:38.567837,-0.801,0.0
2.803,2026-05-06T15:24:38.822144,-0.801,0.0
3.058,2026-05-06T15:24:39.077200,-0.796,0.0
3.314,2026-05-06T15:24:39.332605,-0.796,0.0
3.564,2026-05-06T15:24:39.582467,-0.797,0.0
3.819,2026-05-06T15:24:39.837476,-0.797,0.0
4.074,2026-05-06T15:24:40.092469,-0.797,0.0
4.329,2026-05-06T15:24:40.347419,-0.797,0.0
4.579,2026-05-06T15:24:40.597611,-0.799,0.0
4.834,2026-05-06T15:24:40.852854,-0.799,0.0
5.087,2026-05-06T15:24:41.105278,-0.797,0.0
5.342,2026-05-06T15:24:41.360823,-0.797,0.0
5.595,2026-05-06T15:24:41.614203,-0.797,0.0
5.847,2026-05-06T15:24:41.865406,-0.797,0.0
6.098,2026-05-06T15:24:42.117099,-0.797,0.0
6.351,2026-05-06T15:24:42.369745,-0.797,0.0
6.602,2026-05-06T15:24:42.621187,-0.797,0.0
6.854,2026-05-06T15:24:42.872954,-0.797,0.0
7.108,2026-05-06T15:24:43.126379,-0.797,0.0
7.363,2026-05-06T15:24:43.382002,-0.797,0.0
7.618,2026-05-06T15:24:43.636311,-0.797,0.0
7.868,2026-05-06T15:24:43.887197,-0.797,0.0
8.123,2026-05-06T15:24:44.141740,-0.797,0.0
8.375,2026-05-06T15:24:44.393315,-0.797,0.0
8.625,2026-05-06T15:24:44.643466,-0.797,0.0
8.879,2026-05-06T15:24:44.898137,-0.798,0.0
9.134,2026-05-06T15:24:45.152628,-0.798,0.0
9.388,2026-05-06T15:24:45.406638,-0.797,0.0
9.641,2026-05-06T15:24:45.660088,-0.797,0.0
9.897,2026-05-06T15:24:45.915341,-0.797,0.0
10.151,2026-05-06T15:24:46.169527,-0.797,0.0
10.406,2026-05-06T15:24:46.424671,-0.798,0.0
10.658,2026-05-06T15:24:46.676841,-0.798,0.0
10.911,2026-05-06T15:24:46.930202,-0.798,0.0
11.166,2026-05-06T15:24:47.184413,-0.798,0.0
11.422,2026-05-06T15:24:47.440386,-0.798,0.0
11.675,2026-05-06T15:24:47.693444,-0.798,0.0
11.930,2026-05-06T15:24:47.948278,-0.798,0.0
12.184,2026-05-06T15:24:48.202697,-0.798,0.0
12.439,2026-05-06T15:24:48.457856,-0.799,0.0
12.694,2026-05-06T15:24:48.712283,-0.799,0.0
12.944,2026-05-06T15:24:48.962808,-0.799,0.0
