elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.000,2026-05-06T17:16:17.759230,0.0,5.88
0.257,2026-05-06T17:16:18.015503,0.0,5.88
0.511,2026-05-06T17:16:18.270032,0.0,5.87
1.018,2026-05-06T17:16:18.776804,0.0,5.87
1.272,2026-05-06T17:16:19.030479,0.0,5.87
1.524,2026-05-06T17:16:19.282686,0.0,5.88
1.782,2026-05-06T17:16:19.540455,0.0,5.88
2.034,2026-05-06T17:16:19.792747,0.0,5.88
2.287,2026-05-06T17:16:20.045628,0.0,5.87
2.541,2026-05-06T17:16:20.300013,0.0,5.87
2.795,2026-05-06T17:16:20.553931,0.0,5.87
3.049,2026-05-06T17:16:20.807941,0.0,5.87
3.303,2026-05-06T17:16:21.061890,0.0,5.87
3.557,2026-05-06T17:16:21.316166,0.0,5.87
3.811,2026-05-06T17:16:21.569610,0.0,5.87
4.067,2026-05-06T17:16:21.825314,0.0,5.87
4.321,2026-05-06T17:16:22.079969,0.0,5.88
4.574,2026-05-06T17:16:22.332713,0.0,5.88
4.825,2026-05-06T17:16:22.583889,0.0,5.87
5.075,2026-05-06T17:16:22.834189,0.0,5.87
5.331,2026-05-06T17:16:23.090136,0.0,5.87
5.581,2026-05-06T17:16:23.340240,0.0,5.87
5.836,2026-05-06T17:16:23.594765,0.0,5.88
6.086,2026-05-06T17:16:23.844902,0.0,5.88
6.339,2026-05-06T17:16:24.097378,0.0,5.87
6.590,2026-05-06T17:16:24.348850,0.0,5.87
6.843,2026-05-06T17:16:24.601766,0.0,5.87
7.094,2026-05-06T17:16:24.853063,0.0,5.87
7.348,2026-05-06T17:16:25.106501,0.0,5.87
7.603,2026-05-06T17:16:25.361573,0.0,5.87
7.858,2026-05-06T17:16:25.616362,0.0,5.87
8.112,2026-05-06T17:16:25.870923,0.0,5.87
8.367,2026-05-06T17:16:26.126017,0.0,5.87
8.619,2026-05-06T17:16:26.378223,0.0,5.87
8.875,2026-05-06T17:16:26.633367,0.0,5.88
9.127,2026-05-06T17:16:26.885336,0.0,5.88
9.382,2026-05-06T17:16:27.140908,0.0,5.87
9.635,2026-05-06T17:16:27.393959,0.0,5.87
9.888,2026-05-06T17:16:27.646841,0.0,5.87
10.140,2026-05-06T17:16:27.899115,0.0,5.87
10.394,2026-05-06T17:16:28.152375,0.0,5.87
10.647,2026-05-06T17:16:28.405453,0.0,5.87
10.902,2026-05-06T17:16:28.660641,0.0,5.87
