elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.052,2026-05-06T13:57:06.410928,0.0,5.76
0.308,2026-05-06T13:57:06.666935,0.0,5.76
0.560,2026-05-06T13:57:06.918809,0.0,5.76
0.816,2026-05-06T13:57:07.174944,0.0,5.76
1.068,2026-05-06T13:57:07.426793,0.0,5.76
1.324,2026-05-06T13:57:07.682839,0.0,5.76
1.580,2026-05-06T13:57:07.938911,0.0,5.76
1.832,2026-05-06T13:57:08.190738,0.0,5.76
2.104,2026-05-06T13:57:08.463093,0.0,5.76
2.340,2026-05-06T13:57:08.698754,0.0,5.76
2.596,2026-05-06T13:57:08.954705,0.0,5.76
2.848,2026-05-06T13:57:09.206690,0.0,5.76
3.104,2026-05-06T13:57:09.462863,0.0,5.76
3.360,2026-05-06T13:57:09.718827,0.0,5.76
3.612,2026-05-06T13:57:09.970924,0.0,5.76
3.868,2026-05-06T13:57:10.226727,0.0,5.78
4.124,2026-05-06T13:57:10.482960,0.0,5.78
4.376,2026-05-06T13:57:10.734842,0.0,5.77
4.628,2026-05-06T13:57:10.987057,0.0,5.77
4.884,2026-05-06T13:57:11.243001,0.0,5.77
5.156,2026-05-06T13:57:11.514839,0.0,5.77
5.388,2026-05-06T13:57:11.746835,0.0,5.77
5.644,2026-05-06T13:57:12.002990,0.0,5.77
5.892,2026-05-06T13:57:12.250930,0.0,5.77
6.148,2026-05-06T13:57:12.506829,0.0,5.77
6.404,2026-05-06T13:57:12.762985,0.0,5.77
6.660,2026-05-06T13:57:13.018821,0.0,5.77
6.912,2026-05-06T13:57:13.270877,0.0,5.77
7.168,2026-05-06T13:57:13.526854,0.0,5.77
7.420,2026-05-06T13:57:13.778934,0.0,5.77
7.672,2026-05-06T13:57:14.030876,0.0,5.77
7.928,2026-05-06T13:57:14.287306,0.0,5.77
8.200,2026-05-06T13:57:14.559069,0.0,5.77
8.432,2026-05-06T13:57:14.791135,0.0,5.77
8.684,2026-05-06T13:57:15.043090,0.0,5.77
8.936,2026-05-06T13:57:15.295159,0.0,5.77
9.192,2026-05-06T13:57:15.551286,0.0,5.77
9.444,2026-05-06T13:57:15.803202,0.0,5.77
9.692,2026-05-06T13:57:16.050944,0.0,5.77
9.948,2026-05-06T13:57:16.307143,0.0,5.77
10.204,2026-05-06T13:57:16.563224,0.0,5.77
10.456,2026-05-06T13:57:16.815086,0.0,5.77
10.708,2026-05-06T13:57:17.067046,0.0,5.77
10.964,2026-05-06T13:57:17.323041,0.0,5.77
11.236,2026-05-06T13:57:17.595177,0.0,5.77
11.472,2026-05-06T13:57:17.831183,0.0,5.77
11.724,2026-05-06T13:57:18.082930,0.0,5.77
11.980,2026-05-06T13:57:18.339273,0.0,5.77
12.233,2026-05-06T13:57:18.591370,0.0,5.77
12.484,2026-05-06T13:57:18.843182,0.0,5.77
12.740,2026-05-06T13:57:19.099261,0.0,5.77
12.992,2026-05-06T13:57:19.351289,0.0,5.76
13.245,2026-05-06T13:57:19.603337,0.0,5.76
13.500,2026-05-06T13:57:19.859122,0.0,5.76
13.756,2026-05-06T13:57:20.115161,0.0,5.76
14.008,2026-05-06T13:57:20.367093,0.0,5.76
14.284,2026-05-06T13:57:20.643208,0.0,5.76
14.521,2026-05-06T13:57:20.879784,0.0,5.76
14.777,2026-05-06T13:57:21.135391,0.0,5.76
15.029,2026-05-06T13:57:21.387488,0.0,5.76
15.281,2026-05-06T13:57:21.639367,0.0,5.76
15.533,2026-05-06T13:57:21.891307,0.0,5.76
15.788,2026-05-06T13:57:22.147244,0.0,5.76
16.044,2026-05-06T13:57:22.403212,0.0,5.76
16.316,2026-05-06T13:57:22.675295,0.0,5.76
16.553,2026-05-06T13:57:22.911340,0.0,5.76
16.808,2026-05-06T13:57:23.167275,0.0,5.76
17.061,2026-05-06T13:57:23.419372,0.0,5.76
17.332,2026-05-06T13:57:23.691260,0.0,5.76
17.565,2026-05-06T13:57:23.923427,0.0,5.76
17.821,2026-05-06T13:57:24.179324,0.0,5.76
18.072,2026-05-06T13:57:24.431205,0.0,5.76
18.329,2026-05-06T13:57:24.687521,0.0,5.75
18.581,2026-05-06T13:57:24.939561,0.0,5.75
18.837,2026-05-06T13:57:25.195333,0.0,5.76
19.088,2026-05-06T13:57:25.447281,0.0,5.76
19.377,2026-05-06T13:57:25.735481,0.0,5.75
19.600,2026-05-06T13:57:25.959214,0.0,5.75
19.853,2026-05-06T13:57:26.211338,0.0,5.75
20.104,2026-05-06T13:57:26.463259,0.0,5.76
20.361,2026-05-06T13:57:26.719308,0.0,5.76
20.612,2026-05-06T13:57:26.971247,0.0,5.76
20.865,2026-05-06T13:57:27.223484,0.0,5.75
21.121,2026-05-06T13:57:27.479403,0.0,5.75
21.373,2026-05-06T13:57:27.731320,0.0,5.77
21.629,2026-05-06T13:57:27.987665,0.0,5.77
21.885,2026-05-06T13:57:28.243322,0.0,5.77
22.136,2026-05-06T13:57:28.495263,0.0,5.77
22.409,2026-05-06T13:57:28.767335,0.0,5.77
22.645,2026-05-06T13:57:29.003418,0.0,5.77
22.901,2026-05-06T13:57:29.259377,0.0,5.77
23.153,2026-05-06T13:57:29.511437,0.0,5.77
23.405,2026-05-06T13:57:29.763435,0.0,5.77
23.661,2026-05-06T13:57:30.019389,0.0,5.77
23.913,2026-05-06T13:57:30.271353,0.0,5.77
24.165,2026-05-06T13:57:30.523656,0.0,5.77
24.420,2026-05-06T13:57:30.779266,0.0,5.77
24.673,2026-05-06T13:57:31.031438,0.0,5.77
24.933,2026-05-06T13:57:31.291320,0.0,5.77
25.185,2026-05-06T13:57:31.543309,0.0,5.77
25.453,2026-05-06T13:57:31.811497,0.0,5.77
25.697,2026-05-06T13:57:32.055506,0.0,5.77
25.949,2026-05-06T13:57:32.307386,0.0,5.77
26.201,2026-05-06T13:57:32.559429,0.0,5.77
26.457,2026-05-06T13:57:32.815335,0.0,5.77
26.709,2026-05-06T13:57:33.067439,0.0,5.77
26.965,2026-05-06T13:57:33.323661,0.0,5.77
27.221,2026-05-06T13:57:33.579425,0.0,5.77
27.473,2026-05-06T13:57:33.831475,0.0,5.77
27.725,2026-05-06T13:57:34.083471,0.0,5.77
27.981,2026-05-06T13:57:34.339747,0.0,5.77
28.233,2026-05-06T13:57:34.591630,0.0,5.77
28.505,2026-05-06T13:57:34.863538,0.0,5.79
28.745,2026-05-06T13:57:35.103600,0.0,5.79
28.997,2026-05-06T13:57:35.355522,0.0,5.8
29.249,2026-05-06T13:57:35.608045,0.0,5.8
29.505,2026-05-06T13:57:35.863663,0.0,5.82
29.757,2026-05-06T13:57:36.115479,0.0,5.82
30.009,2026-05-06T13:57:36.367583,0.0,5.82
30.269,2026-05-06T13:57:36.627529,0.0,5.82
30.517,2026-05-06T13:57:36.875382,0.0,5.82
30.769,2026-05-06T13:57:37.127435,0.0,5.83
31.025,2026-05-06T13:57:37.383534,0.0,5.83
31.281,2026-05-06T13:57:37.639738,0.0,5.84
31.553,2026-05-06T13:57:37.911572,0.0,5.85
31.785,2026-05-06T13:57:38.143593,0.0,5.85
32.041,2026-05-06T13:57:38.399687,0.0,5.86
32.293,2026-05-06T13:57:38.651715,0.0,5.86
32.549,2026-05-06T13:57:38.907290,0.0,5.87
32.805,2026-05-06T13:57:39.163723,0.0,5.87
33.057,2026-05-06T13:57:39.415514,0.0,5.87
33.309,2026-05-06T13:57:39.667697,0.0,5.87
33.581,2026-05-06T13:57:39.939836,0.0,5.88
33.813,2026-05-06T13:57:40.171538,0.0,5.88
34.069,2026-05-06T13:57:40.427654,0.0,5.88
34.329,2026-05-06T13:57:40.687827,0.0,5.89
34.601,2026-05-06T13:57:40.959468,0.0,5.9
34.829,2026-05-06T13:57:41.187752,0.0,5.9
35.081,2026-05-06T13:57:41.439808,0.0,5.9
35.337,2026-05-06T13:57:41.695638,0.0,5.9
35.593,2026-05-06T13:57:41.951732,0.0,5.91
35.845,2026-05-06T13:57:42.203762,0.0,5.91
36.097,2026-05-06T13:57:42.455710,0.0,5.91
36.353,2026-05-06T13:57:42.711746,0.0,5.91
36.625,2026-05-06T13:57:42.983737,0.0,5.92
36.857,2026-05-06T13:57:43.215599,0.0,5.92
37.113,2026-05-06T13:57:43.471671,0.0,5.92
37.365,2026-05-06T13:57:43.723760,0.0,5.92
37.637,2026-05-06T13:57:43.995684,0.0,5.93
37.873,2026-05-06T13:57:44.231697,0.0,5.93
38.129,2026-05-06T13:57:44.487912,0.0,5.93
38.381,2026-05-06T13:57:44.739965,0.0,5.93
38.637,2026-05-06T13:57:44.995743,0.0,5.93
38.889,2026-05-06T13:57:45.247513,0.0,5.93
39.145,2026-05-06T13:57:45.503770,0.0,5.93
39.401,2026-05-06T13:57:45.759735,0.0,5.93
39.673,2026-05-06T13:57:46.031730,0.0,5.93
39.905,2026-05-06T13:57:46.263867,0.0,5.93
40.161,2026-05-06T13:57:46.519595,0.0,5.94
40.413,2026-05-06T13:57:46.771716,0.0,5.94
40.665,2026-05-06T13:57:47.024116,0.0,5.94
40.917,2026-05-06T13:57:47.275789,0.0,5.94
41.169,2026-05-06T13:57:47.527632,0.0,5.94
41.425,2026-05-06T13:57:47.783825,0.0,5.94
41.677,2026-05-06T13:57:48.035912,0.0,5.94
41.933,2026-05-06T13:57:48.291735,0.0,5.94
42.185,2026-05-06T13:57:48.543766,0.0,5.94
42.441,2026-05-06T13:57:48.799942,0.0,5.94
42.713,2026-05-06T13:57:49.071785,0.0,5.94
42.945,2026-05-06T13:57:49.303648,0.0,5.94
43.201,2026-05-06T13:57:49.559762,0.0,5.94
43.457,2026-05-06T13:57:49.815915,0.0,5.94
43.709,2026-05-06T13:57:50.067852,0.0,5.94
43.961,2026-05-06T13:57:50.319777,0.0,5.94
44.213,2026-05-06T13:57:50.571766,0.0,5.94
44.465,2026-05-06T13:57:50.823960,0.0,5.94
44.721,2026-05-06T13:57:51.079815,0.0,5.95
44.973,2026-05-06T13:57:51.331924,0.0,5.95
45.225,2026-05-06T13:57:51.583689,0.0,5.95
45.481,2026-05-06T13:57:51.839876,0.0,5.95
45.769,2026-05-06T13:57:52.127783,0.0,5.95
45.997,2026-05-06T13:57:52.355866,0.0,5.95
46.245,2026-05-06T13:57:52.604030,0.0,5.95
46.494,2026-05-06T13:57:52.852416,0.0,5.95
46.749,2026-05-06T13:57:53.107809,0.0,5.95
47.005,2026-05-06T13:57:53.364056,0.0,5.95
47.257,2026-05-06T13:57:53.615930,0.0,5.95
47.513,2026-05-06T13:57:53.871907,0.0,5.95
47.765,2026-05-06T13:57:54.124058,0.0,5.95
48.021,2026-05-06T13:57:54.379877,0.0,5.95
48.281,2026-05-06T13:57:54.640112,0.0,5.95
48.529,2026-05-06T13:57:54.888172,0.0,5.96
48.801,2026-05-06T13:57:55.159903,0.0,5.96
49.033,2026-05-06T13:57:55.392015,0.0,5.96
49.285,2026-05-06T13:57:55.643734,0.0,5.96
49.545,2026-05-06T13:57:55.903520,0.0,5.96
49.797,2026-05-06T13:57:56.155849,0.0,5.96
50.049,2026-05-06T13:57:56.407896,0.0,5.96
50.305,2026-05-06T13:57:56.664002,0.0,5.96
50.561,2026-05-06T13:57:56.919988,0.0,5.96
50.813,2026-05-06T13:57:57.171881,0.0,5.96
51.069,2026-05-06T13:57:57.427844,0.0,5.96
51.317,2026-05-06T13:57:57.675815,0.0,5.96
51.573,2026-05-06T13:57:57.931999,0.0,5.96
51.849,2026-05-06T13:57:58.207914,0.0,5.96
52.081,2026-05-06T13:57:58.440197,0.0,5.96
52.337,2026-05-06T13:57:58.695968,0.0,5.96
52.593,2026-05-06T13:57:58.952127,0.0,5.96
52.845,2026-05-06T13:57:59.203884,0.0,5.96
53.097,2026-05-06T13:57:59.456030,0.0,5.96
53.353,2026-05-06T13:57:59.711877,0.0,5.96
53.605,2026-05-06T13:57:59.964115,0.0,5.96
53.861,2026-05-06T13:58:00.219965,0.0,5.96
54.117,2026-05-06T13:58:00.476094,0.0,5.96
54.373,2026-05-06T13:58:00.731962,0.0,5.96
54.621,2026-05-06T13:58:00.980012,0.0,5.96
54.873,2026-05-06T13:58:01.231948,0.0,5.96
55.129,2026-05-06T13:58:01.488250,0.0,5.96
55.381,2026-05-06T13:58:01.740240,0.0,5.96
55.637,2026-05-06T13:58:01.995882,0.0,5.96
55.889,2026-05-06T13:58:02.248019,0.0,5.96
56.145,2026-05-06T13:58:02.504099,0.0,5.96
56.397,2026-05-06T13:58:02.756026,0.0,5.96
56.653,2026-05-06T13:58:03.012108,0.0,5.96
56.905,2026-05-06T13:58:03.264163,0.0,5.96
57.157,2026-05-06T13:58:03.516141,0.0,5.96
57.430,2026-05-06T13:58:03.788887,0.0,5.96
57.665,2026-05-06T13:58:04.024168,0.0,5.96
57.921,2026-05-06T13:58:04.280027,0.0,5.96
58.173,2026-05-06T13:58:04.532167,0.0,5.96
58.430,2026-05-06T13:58:04.788890,0.0,5.96
58.682,2026-05-06T13:58:05.040409,0.0,5.96
58.937,2026-05-06T13:58:05.296119,0.0,5.96
59.194,2026-05-06T13:58:05.552343,0.0,5.96
59.449,2026-05-06T13:58:05.808074,0.0,5.96
59.701,2026-05-06T13:58:06.060005,0.0,5.96
59.957,2026-05-06T13:58:06.316186,0.0,5.96
60.209,2026-05-06T13:58:06.568176,0.0,5.96
60.482,2026-05-06T13:58:06.840306,0.0,5.96
60.717,2026-05-06T13:58:07.076272,0.0,5.96
60.969,2026-05-06T13:58:07.327917,0.0,5.96
61.225,2026-05-06T13:58:07.584256,0.0,5.96
61.478,2026-05-06T13:58:07.836344,0.0,5.96
61.729,2026-05-06T13:58:08.088169,0.0,5.96
61.985,2026-05-06T13:58:08.344209,0.0,5.96
62.242,2026-05-06T13:58:08.601132,0.0,5.96
62.513,2026-05-06T13:58:08.872194,0.0,5.96
62.742,2026-05-06T13:58:09.100352,0.0,5.96
62.997,2026-05-06T13:58:09.356189,0.0,5.96
63.250,2026-05-06T13:58:09.608498,0.0,5.96
63.521,2026-05-06T13:58:09.880208,0.0,5.97
63.757,2026-05-06T13:58:10.116093,0.0,5.97
64.009,2026-05-06T13:58:10.368174,0.0,5.96
64.269,2026-05-06T13:58:10.628157,0.0,5.96
64.521,2026-05-06T13:58:10.880210,0.0,5.96
64.774,2026-05-06T13:58:11.132321,0.0,5.96
65.030,2026-05-06T13:58:11.388486,0.0,5.96
65.282,2026-05-06T13:58:11.640481,0.0,5.96
65.569,2026-05-06T13:58:11.928297,0.0,5.96
65.786,2026-05-06T13:58:12.144326,0.0,5.96
66.037,2026-05-06T13:58:12.396161,0.0,5.96
66.294,2026-05-06T13:58:12.652404,0.0,5.96
66.566,2026-05-06T13:58:12.924435,0.0,5.96
66.802,2026-05-06T13:58:13.160328,0.0,5.96
67.054,2026-05-06T13:58:13.412393,0.0,5.96
67.302,2026-05-06T13:58:13.660326,0.0,5.96
67.558,2026-05-06T13:58:13.916354,0.0,5.96
67.810,2026-05-06T13:58:14.168459,0.0,5.96
68.066,2026-05-06T13:58:14.424291,0.0,5.96
68.322,2026-05-06T13:58:14.680364,0.0,5.96
68.597,2026-05-06T13:58:14.956267,0.0,5.96
68.826,2026-05-06T13:58:15.184401,0.0,5.96
69.082,2026-05-06T13:58:15.440556,0.0,5.96
69.338,2026-05-06T13:58:15.696398,0.0,5.96
69.590,2026-05-06T13:58:15.948401,0.0,5.96
69.842,2026-05-06T13:58:16.200501,0.0,5.96
70.093,2026-05-06T13:58:16.452274,0.0,5.96
70.350,2026-05-06T13:58:16.708385,0.0,5.96
70.602,2026-05-06T13:58:16.960391,0.0,5.96
70.854,2026-05-06T13:58:17.212596,0.0,5.96
71.110,2026-05-06T13:58:17.468404,0.0,5.96
71.362,2026-05-06T13:58:17.720423,0.0,5.96
71.650,2026-05-06T13:58:18.008359,0.0,5.97
71.870,2026-05-06T13:58:18.228437,0.0,5.97
72.125,2026-05-06T13:58:18.484160,0.0,5.96
72.378,2026-05-06T13:58:18.736627,0.0,5.96
72.630,2026-05-06T13:58:18.988617,0.0,5.96
72.886,2026-05-06T13:58:19.244523,0.0,5.96
73.142,2026-05-06T13:58:19.500471,0.0,5.96
73.390,2026-05-06T13:58:19.748387,0.0,5.96
73.646,2026-05-06T13:58:20.004386,0.0,5.96
73.902,2026-05-06T13:58:20.260530,0.0,5.96
74.154,2026-05-06T13:58:20.512686,0.0,5.96
74.406,2026-05-06T13:58:20.764626,0.0,5.96
74.682,2026-05-06T13:58:21.040559,0.0,5.96
74.914,2026-05-06T13:58:21.272376,0.0,5.96
75.170,2026-05-06T13:58:21.528450,0.0,5.96
75.426,2026-05-06T13:58:21.784436,0.0,5.96
75.682,2026-05-06T13:58:22.040684,0.0,5.96
