elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.054,2026-05-07T14:04:19.928263,-0.556,0.0
0.514,2026-05-07T14:04:20.388860,-0.556,0.0
0.764,2026-05-07T14:04:20.638621,-0.556,0.0
1.018,2026-05-07T14:04:20.891983,-0.556,0.0
1.273,2026-05-07T14:04:21.147245,-0.556,0.0
1.525,2026-05-07T14:04:21.399769,-0.556,0.0
1.779,2026-05-07T14:04:21.652930,-0.556,0.0
2.033,2026-05-07T14:04:21.907873,-0.556,0.0
2.285,2026-05-07T14:04:22.159368,-0.556,0.0
2.538,2026-05-07T14:04:22.412286,-0.556,0.0
2.792,2026-05-07T14:04:22.666267,-0.555,0.0
3.047,2026-05-07T14:04:22.921854,-0.555,0.0
3.301,2026-05-07T14:04:23.175388,-0.555,0.0
3.556,2026-05-07T14:04:23.430525,-0.555,0.0
3.811,2026-05-07T14:04:23.685738,-0.555,0.0
4.066,2026-05-07T14:04:23.940542,-0.554,0.0
4.321,2026-05-07T14:04:24.195917,-0.554,0.0
4.576,2026-05-07T14:04:24.450117,-0.554,0.0
4.831,2026-05-07T14:04:24.705650,-0.554,0.0
5.086,2026-05-07T14:04:24.960153,-0.555,0.0
5.340,2026-05-07T14:04:25.214619,-0.554,0.0
5.594,2026-05-07T14:04:25.468015,-0.554,0.0
5.846,2026-05-07T14:04:25.720799,-0.554,0.0
6.100,2026-05-07T14:04:25.974305,-0.554,0.0
6.351,2026-05-07T14:04:26.225488,-0.554,0.0
6.606,2026-05-07T14:04:26.480593,-0.554,0.0
6.861,2026-05-07T14:04:26.735717,-0.554,0.0
7.116,2026-05-07T14:04:26.990631,-0.554,0.0
7.369,2026-05-07T14:04:27.243050,-0.553,0.0
7.624,2026-05-07T14:04:27.498038,-0.553,0.0
7.877,2026-05-07T14:04:27.751217,-0.553,0.0
8.130,2026-05-07T14:04:28.004576,-0.553,0.0
8.385,2026-05-07T14:04:28.259204,-0.553,0.0
8.639,2026-05-07T14:04:28.513676,-0.553,0.0
8.894,2026-05-07T14:04:28.768164,-0.553,0.0
9.147,2026-05-07T14:04:29.021253,-0.553,0.0
9.401,2026-05-07T14:04:29.275778,-0.553,0.0
9.654,2026-05-07T14:04:29.528543,-0.553,0.0
9.910,2026-05-07T14:04:29.784220,-0.553,0.0
10.161,2026-05-07T14:04:30.035071,-0.553,0.0
10.412,2026-05-07T14:04:30.286488,-0.553,0.0
10.667,2026-05-07T14:04:30.541405,-0.553,0.0
10.919,2026-05-07T14:04:30.792932,-0.553,0.0
11.173,2026-05-07T14:04:31.047715,-0.553,0.0
11.423,2026-05-07T14:04:31.297882,-0.553,0.0
11.676,2026-05-07T14:04:31.550704,-0.552,0.0
11.932,2026-05-07T14:04:31.806389,-0.552,0.0
12.185,2026-05-07T14:04:32.059673,-0.552,0.0
12.440,2026-05-07T14:04:32.314537,-0.552,0.0
12.693,2026-05-07T14:04:32.567701,-0.552,0.0
12.947,2026-05-07T14:04:32.821187,-0.552,0.0
13.201,2026-05-07T14:04:33.074976,-0.552,0.0
13.452,2026-05-07T14:04:33.326375,-0.552,0.0
13.703,2026-05-07T14:04:33.577062,-0.552,0.0
13.959,2026-05-07T14:04:33.833040,-0.552,0.0
14.210,2026-05-07T14:04:34.084368,-0.552,0.0
14.462,2026-05-07T14:04:34.336340,-0.553,0.0
14.713,2026-05-07T14:04:34.587654,-0.553,0.0
14.967,2026-05-07T14:04:34.841925,-0.553,0.0
15.220,2026-05-07T14:04:35.094467,-0.553,0.0
15.475,2026-05-07T14:04:35.349323,-0.553,0.0
15.729,2026-05-07T14:04:35.603731,-0.553,0.0
15.979,2026-05-07T14:04:35.853646,-0.553,0.0
16.235,2026-05-07T14:04:36.109187,-0.553,0.0
16.490,2026-05-07T14:04:36.364011,-0.553,0.0
16.744,2026-05-07T14:04:36.618660,-0.553,0.0
16.999,2026-05-07T14:04:36.873706,-0.552,0.0
17.254,2026-05-07T14:04:37.128072,-0.552,0.0
17.509,2026-05-07T14:04:37.383391,-0.552,0.0
17.764,2026-05-07T14:04:37.638009,-0.552,0.0
18.017,2026-05-07T14:04:37.891583,-0.552,0.0
18.273,2026-05-07T14:04:38.147480,-0.552,0.0
18.526,2026-05-07T14:04:38.400898,-0.552,0.0
18.782,2026-05-07T14:04:38.656608,-0.552,0.0
19.036,2026-05-07T14:04:38.910053,-0.552,0.0
19.291,2026-05-07T14:04:39.165185,-0.552,0.0
19.545,2026-05-07T14:04:39.419895,-0.552,0.0
19.800,2026-05-07T14:04:39.674177,-0.552,0.0
20.054,2026-05-07T14:04:39.928362,-0.552,0.0
20.310,2026-05-07T14:04:40.184549,-0.553,0.0
20.565,2026-05-07T14:04:40.439447,-0.553,0.0
20.819,2026-05-07T14:04:40.693747,-0.553,0.0
21.073,2026-05-07T14:04:40.947132,-0.553,0.0
21.326,2026-05-07T14:04:41.200736,-0.553,0.0
21.581,2026-05-07T14:04:41.455675,-0.553,0.0
21.835,2026-05-07T14:04:41.709026,-0.553,0.0
22.084,2026-05-07T14:04:41.958722,-0.552,0.0
22.340,2026-05-07T14:04:42.214224,-0.552,0.0
22.595,2026-05-07T14:04:42.469331,-0.552,0.0
22.847,2026-05-07T14:04:42.721728,-0.552,0.0
23.103,2026-05-07T14:04:42.977132,-0.552,0.0
23.355,2026-05-07T14:04:43.229696,-0.552,0.0
23.609,2026-05-07T14:04:43.483291,-0.552,0.0
23.862,2026-05-07T14:04:43.736903,-0.552,0.0
24.113,2026-05-07T14:04:43.986949,-0.552,0.0
24.362,2026-05-07T14:04:44.236570,-0.552,0.0
24.618,2026-05-07T14:04:44.492075,-0.551,0.0
24.872,2026-05-07T14:04:44.746363,-0.551,0.0
25.126,2026-05-07T14:04:45.000557,-0.551,0.0
25.383,2026-05-07T14:04:45.257093,-0.551,0.0
25.632,2026-05-07T14:04:45.506010,-0.551,0.0
25.885,2026-05-07T14:04:45.758956,-0.551,0.0
26.139,2026-05-07T14:04:46.013854,-0.551,0.0
26.393,2026-05-07T14:04:46.267491,-0.551,0.0
26.649,2026-05-07T14:04:46.522967,-0.551,0.0
26.902,2026-05-07T14:04:46.776694,-0.551,0.0
27.153,2026-05-07T14:04:47.027416,-0.551,0.0
27.408,2026-05-07T14:04:47.282877,-0.551,0.0
27.660,2026-05-07T14:04:47.534121,-0.551,0.0
27.915,2026-05-07T14:04:47.788963,-0.551,0.0
28.169,2026-05-07T14:04:48.043117,-0.551,0.0
28.423,2026-05-07T14:04:48.297069,-0.551,0.0
28.678,2026-05-07T14:04:48.552762,-0.551,0.0
28.931,2026-05-07T14:04:48.805648,-0.551,0.0
29.185,2026-05-07T14:04:49.059625,-0.551,0.0
29.439,2026-05-07T14:04:49.313089,-0.551,0.0
29.692,2026-05-07T14:04:49.566151,-0.55,0.0
29.943,2026-05-07T14:04:49.817438,-0.55,0.0
30.197,2026-05-07T14:04:50.071836,-0.55,0.0
30.451,2026-05-07T14:04:50.325902,-0.55,0.0
30.707,2026-05-07T14:04:50.581923,-0.55,0.0
30.962,2026-05-07T14:04:50.836290,-0.55,0.0
31.214,2026-05-07T14:04:51.088486,-0.55,0.0
31.466,2026-05-07T14:04:51.340650,-0.551,0.0
31.720,2026-05-07T14:04:51.594666,-0.551,0.0
31.974,2026-05-07T14:04:51.847991,-0.551,0.0
32.228,2026-05-07T14:04:52.102127,-0.551,0.0
32.479,2026-05-07T14:04:52.353912,-0.551,0.0
32.734,2026-05-07T14:04:52.608159,-0.551,0.0
32.989,2026-05-07T14:04:52.863197,-0.551,0.0
33.241,2026-05-07T14:04:53.115486,-0.551,0.0
33.494,2026-05-07T14:04:53.368311,-0.55,0.0
33.747,2026-05-07T14:04:53.621422,-0.55,0.0
33.999,2026-05-07T14:04:53.873625,-0.55,0.0
34.252,2026-05-07T14:04:54.126729,-0.55,0.0
34.504,2026-05-07T14:04:54.378285,-0.55,0.0
34.758,2026-05-07T14:04:54.632783,-0.549,0.0
35.014,2026-05-07T14:04:54.888474,-0.549,0.0
35.265,2026-05-07T14:04:55.139648,-0.549,0.0
35.518,2026-05-07T14:04:55.392854,-0.549,0.0
35.772,2026-05-07T14:04:55.646244,-0.549,0.0
36.027,2026-05-07T14:04:55.901844,-0.549,0.0
36.282,2026-05-07T14:04:56.156156,-0.549,0.0
36.537,2026-05-07T14:04:56.411175,-0.548,0.0
36.791,2026-05-07T14:04:56.664948,-0.548,0.0
37.046,2026-05-07T14:04:56.920675,-0.548,0.0
37.301,2026-05-07T14:04:57.175334,-0.548,0.0
37.559,2026-05-07T14:04:57.433686,-0.548,0.0
37.809,2026-05-07T14:04:57.683182,-0.547,0.0
38.064,2026-05-07T14:04:57.938096,-0.547,0.0
38.318,2026-05-07T14:04:58.192053,-0.547,0.0
38.571,2026-05-07T14:04:58.445743,-0.547,0.0
38.824,2026-05-07T14:04:58.698488,-0.547,0.0
39.080,2026-05-07T14:04:58.954025,-0.547,0.0
39.330,2026-05-07T14:04:59.204378,-0.547,0.0
39.585,2026-05-07T14:04:59.459578,-0.547,0.0
39.838,2026-05-07T14:04:59.712737,-0.547,0.0
40.092,2026-05-07T14:04:59.966342,-0.547,0.0
40.347,2026-05-07T14:05:00.221320,-0.547,0.0
40.597,2026-05-07T14:05:00.471466,-0.547,0.0
40.848,2026-05-07T14:05:00.722458,-0.547,0.0
41.104,2026-05-07T14:05:00.978115,-0.547,0.0
41.359,2026-05-07T14:05:01.233024,-0.547,0.0
41.612,2026-05-07T14:05:01.486607,-0.547,0.0
41.867,2026-05-07T14:05:01.741542,-0.547,0.0
42.119,2026-05-07T14:05:01.993588,-0.547,0.0
42.374,2026-05-07T14:05:02.248567,-0.547,0.0
42.629,2026-05-07T14:05:02.503456,-0.547,0.0
42.880,2026-05-07T14:05:02.754864,-0.547,0.0
43.133,2026-05-07T14:05:03.007880,-0.547,0.0
43.389,2026-05-07T14:05:03.263373,-0.547,0.0
43.640,2026-05-07T14:05:03.514641,-0.546,0.0
43.891,2026-05-07T14:05:03.765216,-0.547,0.0
44.146,2026-05-07T14:05:04.020271,-0.547,0.0
44.397,2026-05-07T14:05:04.271246,-0.547,0.0
44.648,2026-05-07T14:05:04.522640,-0.547,0.0
44.902,2026-05-07T14:05:04.776562,-0.547,0.0
45.152,2026-05-07T14:05:05.026557,-0.547,0.0
45.408,2026-05-07T14:05:05.282308,-0.547,0.0
45.660,2026-05-07T14:05:05.534455,-0.547,0.0
45.915,2026-05-07T14:05:05.789307,-0.547,0.0
46.167,2026-05-07T14:05:06.041386,-0.547,0.0
46.421,2026-05-07T14:05:06.295064,-0.547,0.0
46.671,2026-05-07T14:05:06.545426,-0.547,0.0
46.924,2026-05-07T14:05:06.798360,-0.547,0.0
47.178,2026-05-07T14:05:07.052816,-0.546,0.0
47.434,2026-05-07T14:05:07.308670,-0.546,0.0
47.689,2026-05-07T14:05:07.563084,-0.546,0.0
47.942,2026-05-07T14:05:07.816857,-0.546,0.0
48.197,2026-05-07T14:05:08.071358,-0.546,0.0
48.451,2026-05-07T14:05:08.325926,-0.546,0.0
48.705,2026-05-07T14:05:08.579914,-0.546,0.0
48.956,2026-05-07T14:05:08.830710,-0.546,0.0
49.210,2026-05-07T14:05:09.084604,-0.546,0.0
49.466,2026-05-07T14:05:09.340465,-0.546,0.0
49.718,2026-05-07T14:05:09.592270,-0.546,0.0
49.972,2026-05-07T14:05:09.845955,-0.546,0.0
50.231,2026-05-07T14:05:10.105332,-0.546,0.0
50.480,2026-05-07T14:05:10.354799,-0.546,0.0
50.731,2026-05-07T14:05:10.605136,-0.546,0.0
50.986,2026-05-07T14:05:10.860090,-0.546,0.0
51.238,2026-05-07T14:05:11.112383,-0.546,0.0
51.494,2026-05-07T14:05:11.368121,-0.546,0.0
51.746,2026-05-07T14:05:11.620108,-0.545,0.0
52.001,2026-05-07T14:05:11.875739,-0.545,0.0
52.255,2026-05-07T14:05:12.128983,-0.545,0.0
52.509,2026-05-07T14:05:12.383549,-0.545,0.0
52.763,2026-05-07T14:05:12.637182,-0.546,0.0
53.019,2026-05-07T14:05:12.893040,-0.546,0.0
53.273,2026-05-07T14:05:13.147469,-0.546,0.0
53.528,2026-05-07T14:05:13.402155,-0.546,0.0
53.783,2026-05-07T14:05:13.657621,-0.546,0.0
54.034,2026-05-07T14:05:13.908878,-0.546,0.0
54.286,2026-05-07T14:05:14.160217,-0.546,0.0
54.539,2026-05-07T14:05:14.413904,-0.546,0.0
54.794,2026-05-07T14:05:14.668660,-0.547,0.0
55.049,2026-05-07T14:05:14.923215,-0.547,0.0
55.301,2026-05-07T14:05:15.175643,-0.547,0.0
55.553,2026-05-07T14:05:15.427838,-0.547,0.0
55.809,2026-05-07T14:05:15.683556,-0.547,0.0
56.062,2026-05-07T14:05:15.936715,-0.547,0.0
56.317,2026-05-07T14:05:16.191647,-0.547,0.0
56.572,2026-05-07T14:05:16.446333,-0.547,0.0
56.826,2026-05-07T14:05:16.700609,-0.547,0.0
57.079,2026-05-07T14:05:16.953553,-0.546,0.0
57.331,2026-05-07T14:05:17.204931,-0.546,0.0
57.585,2026-05-07T14:05:17.459556,-0.546,0.0
57.841,2026-05-07T14:05:17.715265,-0.546,0.0
58.096,2026-05-07T14:05:17.969979,-0.546,0.0
58.350,2026-05-07T14:05:18.224586,-0.546,0.0
58.605,2026-05-07T14:05:18.479501,-0.546,0.0
58.859,2026-05-07T14:05:18.732990,-0.546,0.0
59.110,2026-05-07T14:05:18.984174,-0.546,0.0
59.364,2026-05-07T14:05:19.238685,-0.546,0.0
59.617,2026-05-07T14:05:19.491565,-0.546,0.0
59.873,2026-05-07T14:05:19.747307,-0.547,0.0
60.126,2026-05-07T14:05:20.000619,-0.546,0.0
60.378,2026-05-07T14:05:20.252458,-0.546,0.0
60.632,2026-05-07T14:05:20.506402,-0.546,0.0
60.884,2026-05-07T14:05:20.758217,-0.546,0.0
61.143,2026-05-07T14:05:21.017852,-0.546,0.0
61.393,2026-05-07T14:05:21.267530,-0.546,0.0
61.644,2026-05-07T14:05:21.518887,-0.546,0.0
61.900,2026-05-07T14:05:21.774308,-0.546,0.0
62.151,2026-05-07T14:05:22.025491,-0.546,0.0
62.402,2026-05-07T14:05:22.275947,-0.546,0.0
62.657,2026-05-07T14:05:22.531273,-0.546,0.0
62.911,2026-05-07T14:05:22.785687,-0.546,0.0
63.163,2026-05-07T14:05:23.037404,-0.546,0.0
63.417,2026-05-07T14:05:23.291222,-0.546,0.0
63.672,2026-05-07T14:05:23.546396,-0.546,0.0
63.924,2026-05-07T14:05:23.798100,-0.546,0.0
64.179,2026-05-07T14:05:24.053809,-0.546,0.0
64.433,2026-05-07T14:05:24.307346,-0.546,0.0
64.689,2026-05-07T14:05:24.563315,-0.546,0.0
64.939,2026-05-07T14:05:24.813256,-0.546,0.0
65.194,2026-05-07T14:05:25.068536,-0.546,0.0
65.447,2026-05-07T14:05:25.321692,-0.546,0.0
65.701,2026-05-07T14:05:25.575924,-0.546,0.0
65.951,2026-05-07T14:05:25.825233,-0.546,0.0
66.207,2026-05-07T14:05:26.081141,-0.546,0.0
66.459,2026-05-07T14:05:26.333792,-0.546,0.0
66.715,2026-05-07T14:05:26.589110,-0.546,0.0
66.969,2026-05-07T14:05:26.843483,-0.546,0.0
67.224,2026-05-07T14:05:27.098448,-0.546,0.0
67.478,2026-05-07T14:05:27.352712,-0.545,0.0
67.731,2026-05-07T14:05:27.605895,-0.545,0.0
67.982,2026-05-07T14:05:27.856648,-0.545,0.0
68.238,2026-05-07T14:05:28.112466,-0.545,0.0
68.492,2026-05-07T14:05:28.366329,-0.545,0.0
68.744,2026-05-07T14:05:28.618670,-0.545,0.0
68.998,2026-05-07T14:05:28.872049,-0.545,0.0
69.254,2026-05-07T14:05:29.128098,-0.545,0.0
69.508,2026-05-07T14:05:29.382417,-0.545,0.0
69.761,2026-05-07T14:05:29.635071,-0.545,0.0
70.015,2026-05-07T14:05:29.889346,-0.545,0.0
70.270,2026-05-07T14:05:30.144873,-0.545,0.0
70.524,2026-05-07T14:05:30.397964,-0.545,0.0
70.777,2026-05-07T14:05:30.651743,-0.545,0.0
71.031,2026-05-07T14:05:30.905563,-0.545,0.0
71.285,2026-05-07T14:05:31.158985,-0.545,0.0
71.536,2026-05-07T14:05:31.410535,-0.545,0.0
71.787,2026-05-07T14:05:31.661637,-0.545,0.0
72.042,2026-05-07T14:05:31.916539,-0.545,0.0
72.292,2026-05-07T14:05:32.166891,-0.545,0.0
72.547,2026-05-07T14:05:32.421210,-0.545,0.0
72.799,2026-05-07T14:05:32.673813,-0.545,0.0
73.053,2026-05-07T14:05:32.927739,-0.545,0.0
73.308,2026-05-07T14:05:33.182810,-0.545,0.0
73.560,2026-05-07T14:05:33.434082,-0.545,0.0
73.814,2026-05-07T14:05:33.688880,-0.545,0.0
74.065,2026-05-07T14:05:33.939774,-0.545,0.0
74.318,2026-05-07T14:05:34.192884,-0.545,0.0
74.574,2026-05-07T14:05:34.448483,-0.545,0.0
74.829,2026-05-07T14:05:34.703336,-0.545,0.0
75.083,2026-05-07T14:05:34.957848,-0.545,0.0
75.335,2026-05-07T14:05:35.209921,-0.545,0.0
75.589,2026-05-07T14:05:35.463371,-0.545,0.0
75.843,2026-05-07T14:05:35.717483,-0.545,0.0
76.097,2026-05-07T14:05:35.971881,-0.545,0.0
76.348,2026-05-07T14:05:36.222067,-0.545,0.0
76.604,2026-05-07T14:05:36.477978,-0.545,0.0
76.856,2026-05-07T14:05:36.730403,-0.545,0.0
77.109,2026-05-07T14:05:36.983827,-0.545,0.0
77.364,2026-05-07T14:05:37.238096,-0.545,0.0
77.618,2026-05-07T14:05:37.492400,-0.545,0.0
77.873,2026-05-07T14:05:37.746958,-0.545,0.0
78.126,2026-05-07T14:05:38.000022,-0.545,0.0
78.380,2026-05-07T14:05:38.253996,-0.545,0.0
78.636,2026-05-07T14:05:38.509984,-0.545,0.0
78.889,2026-05-07T14:05:38.763062,-0.545,0.0
79.143,2026-05-07T14:05:39.017035,-0.545,0.0
79.396,2026-05-07T14:05:39.270804,-0.545,0.0
79.651,2026-05-07T14:05:39.525712,-0.545,0.0
79.905,2026-05-07T14:05:39.779841,-0.545,0.0
80.160,2026-05-07T14:05:40.034373,-0.545,0.0
80.414,2026-05-07T14:05:40.288177,-0.545,0.0
80.670,2026-05-07T14:05:40.543931,-0.545,0.0
