elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.4658,2026-05-19T17:05:34.201122,0.000000,2.908250
0.9451,2026-05-19T17:05:34.680493,0.000000,2.908225
1.4314,2026-05-19T17:05:35.166734,0.000000,2.908134
1.9117,2026-05-19T17:05:35.647019,0.000000,2.908100
2.4177,2026-05-19T17:05:36.153068,0.000000,2.908166
2.8828,2026-05-19T17:05:36.618118,0.000000,2.908192
3.3780,2026-05-19T17:05:37.113367,0.000000,2.908174
3.8778,2026-05-19T17:05:37.613118,0.000000,2.908169
4.3568,2026-05-19T17:05:38.092205,0.000000,2.908008
4.8829,2026-05-19T17:05:38.618259,0.000000,2.908004
5.3614,2026-05-19T17:05:39.096730,0.000000,2.908094
5.8767,2026-05-19T17:05:39.612067,0.000000,2.908135
6.3641,2026-05-19T17:05:40.099482,0.000000,2.908282
6.8133,2026-05-19T17:05:40.548639,0.000000,2.908340
7.2841,2026-05-19T17:05:41.019451,0.000000,2.908440
7.7499,2026-05-19T17:05:41.485260,0.000000,2.908542
8.2088,2026-05-19T17:05:41.944176,0.000000,2.908664
8.6830,2026-05-19T17:05:42.418318,0.000000,2.908782
9.1815,2026-05-19T17:05:42.916888,0.000000,2.908769
9.6775,2026-05-19T17:05:43.412839,0.000000,2.908828
10.1620,2026-05-19T17:05:43.897335,0.000000,2.908977
10.6650,2026-05-19T17:05:44.400382,0.000000,2.909221
11.1582,2026-05-19T17:05:44.893514,0.000000,2.909531
11.6979,2026-05-19T17:05:45.433263,0.000000,2.909762
12.1757,2026-05-19T17:05:45.911071,0.000000,2.909896
12.6433,2026-05-19T17:05:46.378669,0.000000,2.909782
13.1053,2026-05-19T17:05:46.840665,0.000000,2.909734
13.5996,2026-05-19T17:05:47.334932,0.000000,2.909570
14.0944,2026-05-19T17:05:47.829723,0.000000,2.909364
14.5947,2026-05-19T17:05:48.330091,0.000000,2.909303
15.1008,2026-05-19T17:05:48.836118,0.000000,2.909196
15.6215,2026-05-19T17:05:49.356824,0.000000,2.909227
16.1352,2026-05-19T17:05:49.870610,0.000000,2.909179
16.6249,2026-05-19T17:05:50.360257,0.000000,2.909195
17.1172,2026-05-19T17:05:50.852589,0.000000,2.909037
17.6183,2026-05-19T17:05:51.353648,0.000000,2.908969
18.1252,2026-05-19T17:05:51.860592,0.000000,2.908890
18.6055,2026-05-19T17:05:52.340843,0.000000,2.908790
19.1001,2026-05-19T17:05:52.835423,0.000000,2.908841
19.5994,2026-05-19T17:05:53.334798,0.000000,2.908799
20.1110,2026-05-19T17:05:53.846374,0.000000,2.908915
20.6085,2026-05-19T17:05:54.343867,0.000000,2.908820
21.1113,2026-05-19T17:05:54.846643,0.000000,2.908922
21.6088,2026-05-19T17:05:55.344134,0.000000,2.909195
22.1529,2026-05-19T17:05:55.888298,0.000000,2.909368
22.6492,2026-05-19T17:05:56.384594,0.000000,2.909709
23.1529,2026-05-19T17:05:56.888244,0.000000,2.909754
23.6411,2026-05-19T17:05:57.376505,0.000000,2.909752
24.1459,2026-05-19T17:05:57.881257,0.000000,2.909851
