time_s,force_V
0.0,11.816
0.5,11.818
1.0,11.819
1.5,11.815
2.0,11.8165
2.5,11.818
3.0,11.818
3.5,11.818
4.0,11.818
4.5,11.815666666666667
5.0,11.813333333333333
5.5,11.811
6.0,11.818
6.5,11.815
7.0,11.811
7.5,11.818
8.0,11.82
8.5,11.813
9.0,11.814
9.5,11.816500000000001
10.0,11.819
10.5,11.815
11.0,11.815
11.5,11.815
12.0,11.812999999999999
12.5,11.811
13.0,11.813
13.5,11.819
14.0,11.813
14.5,11.815
15.0,11.816
15.5,11.817
16.0,11.818
16.5,11.814499999999999
17.0,11.811
17.5,11.812
18.0,11.815
18.5,11.815
19.0,11.814
19.5,11.818
20.0,11.817
20.5,11.816
21.0,11.813
21.5,11.814
22.0,11.815999999999999
22.5,11.818
23.0,11.815
23.5,11.816
24.0,11.811
24.5,11.813
25.0,11.815
25.5,11.815
26.0,11.815
26.5,11.813
27.0,11.814
27.5,11.815
28.0,11.815
28.5,11.815
29.0,11.813
29.5,11.813
30.0,11.813
30.5,11.813
31.0,11.813
31.5,11.812
32.0,11.816
32.5,11.812
33.0,11.812
33.5,11.815
34.0,11.814
34.5,11.814
35.0,11.814
35.5,11.814
36.0,11.815
36.5,11.813
37.0,11.813
37.5,11.813
38.0,11.813
38.5,11.814
39.0,11.813500000000001
39.5,11.813
40.0,11.814
40.5,11.815
41.0,11.813
41.5,11.813
42.0,11.812
42.5,11.815
43.0,11.814
43.5,11.813
44.0,11.813
44.5,11.814
45.0,11.815
45.5,11.814
46.0,11.813
46.5,11.813
47.0,11.81
47.5,11.812
48.0,11.812
48.5,11.812
49.0,11.8125
49.5,11.813
50.0,11.81
50.5,11.813
51.0,11.8125
51.5,11.812
52.0,11.812
52.5,11.81
53.0,11.408
53.5,11.801
54.0,11.809
54.5,11.801
55.0,11.805
55.5,11.808
56.0,11.803
56.5,11.804
57.0,11.808
57.5,11.805
58.0,11.81
58.5,11.809
59.0,11.808
59.5,11.806
60.0,11.806
60.5,11.8095
61.0,11.813
61.5,11.8125
62.0,11.812
62.5,11.8135
63.0,11.815
63.5,11.809
64.0,11.809
64.5,11.809
65.0,11.809
65.5,11.804
66.0,11.808
66.5,11.807
67.0,11.81
67.5,11.81
68.0,11.808
68.5,11.805
69.0,11.809
69.5,11.804
70.0,11.807
70.5,11.807666666666666
71.0,11.808333333333334
71.5,11.809
72.0,11.806
72.5,11.806
73.0,11.805
73.5,11.806
74.0,11.806
74.5,11.805
75.0,11.806
75.5,11.805
76.0,11.807
76.5,11.801
77.0,11.801
77.5,11.805
78.0,11.801
78.5,11.805
79.0,11.806
79.5,11.804
80.0,11.801
80.5,11.801
81.0,11.801
81.5,11.806
82.0,11.805
82.5,11.806
83.0,11.806
83.5,11.805
84.0,11.806
84.5,11.806
85.0,11.806
85.5,11.806
86.0,11.807
86.5,11.806
87.0,11.806
87.5,11.801
88.0,11.806
88.5,11.806
89.0,11.806
89.5,11.806
90.0,11.805
90.5,11.804
91.0,11.803
91.5,11.805
92.0,11.804
92.5,11.807
93.0,11.804
93.5,11.801
94.0,11.806
94.5,11.805
95.0,11.804
95.5,11.803
96.0,11.802
96.5,11.802
97.0,11.805
97.5,11.8035
98.0,11.802
98.5,11.805
99.0,11.804
99.5,11.804
100.0,11.802
100.5,11.802
101.0,11.802
101.5,11.803
102.0,11.804
102.5,11.803
103.0,11.803
103.5,11.804
104.0,11.803
104.5,11.802
105.0,11.8025
105.5,11.803
106.0,11.803
106.5,11.803
107.0,11.801666666666668
107.5,11.800333333333333
108.0,11.799
108.5,11.799666666666667
109.0,11.800333333333333
109.5,11.801
110.0,11.801666666666668
110.5,11.802333333333333
111.0,11.803
111.5,11.882
112.0,11.840499999999999
112.5,11.799
113.0,11.799
113.5,11.7985
114.0,11.798
114.5,11.799
115.0,11.799
115.5,11.802
116.0,11.799
116.5,11.8005
117.0,11.802
117.5,11.799
118.0,11.798
118.5,11.799
119.0,11.799
119.5,11.799
120.0,11.798
120.5,11.798
121.0,11.798
121.5,11.808
122.0,11.804
122.5,11.8
123.0,11.805
123.5,11.804499999999999
124.0,11.804
124.5,11.8035
125.0,11.802999999999999
125.5,11.8025
126.0,11.802
126.5,11.798
127.0,11.798
127.5,11.798
128.0,11.798
128.5,11.798
129.0,11.798
129.5,11.796
130.0,11.797
130.5,11.796
131.0,11.797
131.5,11.798
132.0,11.197
132.5,11.1975
133.0,11.198
133.5,11.799
134.0,11.798
134.5,11.882
135.0,11.854
135.5,11.826
136.0,11.798
136.5,11.197
137.0,11.497499999999999
137.5,11.798
138.0,11.799
138.5,11.7985
139.0,11.798
139.5,11.797
140.0,11.796
140.5,11.799
141.0,11.799
141.5,11.197
142.0,11.796
142.5,11.7955
143.0,11.795
143.5,11.7965
144.0,11.798
144.5,11.796
145.0,11.796999999999999
145.5,11.798
146.0,11.799
146.5,11.799
147.0,11.798
147.5,11.795
148.0,11.797
148.5,11.794
149.0,11.799
149.5,11.798
150.0,11.796
150.5,11.796
151.0,11.796
151.5,11.798
152.0,11.797
152.5,11.798
153.0,11.799
153.5,11.195
154.0,11.193999999999999
154.5,11.193
155.0,11.195
155.5,11.794
156.0,11.799
156.5,11.798
157.0,11.796
157.5,11.796
158.0,11.798
158.5,11.795
159.0,11.795
159.5,11.797
160.0,11.794
160.5,11.797
161.0,11.794
161.5,11.796
162.0,11.194
162.5,11.794
163.0,11.793
163.5,11.793
164.0,11.797
164.5,11.794
165.0,11.794
165.5,11.798
166.0,11.792
166.5,11.795
167.0,11.795
167.5,11.796
168.0,11.795
168.5,11.195
169.0,11.194
169.5,11.794
170.0,11.795
170.5,11.798
171.0,11.195
171.5,11.796
172.0,11.794
172.5,11.795
173.0,11.179
173.5,11.797
174.0,11.793
174.5,11.796
175.0,11.793
175.5,11.795
176.0,11.797
176.5,11.792
177.0,11.194
177.5,11.793
178.0,11.792
178.5,11.794
179.0,11.179
179.5,11.196
180.0,11.794
180.5,11.788
181.0,11.793
181.5,11.19
182.0,11.792
182.5,11.794
183.0,11.179
183.5,11.195
184.0,11.793
184.5,11.179
185.0,11.792
185.5,11.789
186.0,11.792
186.5,11.179
187.0,11.793
187.5,11.79
188.0,11.795
188.5,11.119
189.0,11.179
189.5,11.794
190.0,11.79
190.5,11.792
191.0,11.789
191.5,11.788
192.0,11.789
192.5,11.189
193.0,11.792
193.5,11.491
194.0,11.19
194.5,11.179
195.0,11.792
195.5,11.179
196.0,11.794
196.5,11.789
197.0,11.179
197.5,11.793
198.0,11.794
198.5,11.793
199.0,11.793
199.5,11.792
200.0,11.179
200.5,11.179
201.0,11.789
201.5,11.19
202.0,11.789
202.5,11.191
203.0,11.79
203.5,11.79
204.0,11.787
204.5,11.79
205.0,11.788
205.5,11.787
206.0,11.789
206.5,11.79
207.0,11.789
207.5,11.188
208.0,11.488
208.5,11.788
209.0,11.186
209.5,11.789
210.0,11.188
210.5,11.186
211.0,11.185500000000001
211.5,11.185
212.0,11.788
212.5,11.188
213.0,11.787
213.5,11.189
214.0,11.186
214.5,11.789
215.0,11.789
215.5,11.185
216.0,11.189
216.5,11.188
217.0,11.788
217.5,11.185
218.0,11.186
218.5,11.186
219.0,11.784
219.5,11.788
220.0,11.184
220.5,11.788
221.0,11.784
221.5,11.185
222.0,11.186
222.5,11.786
223.0,11.185
223.5,11.187
224.0,11.789
224.5,11.185
225.0,11.785
225.5,11.785
226.0,11.786
226.5,11.184
227.0,11.784
227.5,11.784
228.0,11.784
228.5,11.783
229.0,11.784
229.5,11.782
230.0,11.187
