time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
0.0,5039.95,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
0.1,5065.22,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
0.2,5091.45,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
0.3,5113.38,0.8,11.818,2.3632,134.58424,0.17731783926218708
0.4,5133.41,0.8,11.818,2.3632,134.58424,0.17731783926218708
0.5,5151.05,0.8,11.818,2.3632,134.58424,0.17731783926218708
0.6,5166.79,0.8,11.818,2.3632,134.58424,0.17731783926218708
0.7,5182.05,0.8,11.818,2.3632,134.58424,0.17731783926218708
0.8,5193.49,0.8,11.819,2.3634,134.59563,0.17733284584980236
0.9,5206.84,0.8,11.819,2.3634,134.59563,0.17733284584980236
1.0,5216.86,0.8,11.819,2.3634,134.59563,0.17733284584980236
1.1,5226.87,0.8,11.819,2.3634,134.59563,0.17733284584980236
1.2,5237.36,0.8,11.819,2.3634,134.59563,0.17733284584980236
1.3,5251.19,0.8,11.815,2.3634,134.59563,0.17733284584980236
1.4,5258.82,0.8,11.815,2.3634,134.59563,0.17733284584980236
1.5,5270.74,0.8,11.815,2.3634,134.59563,0.17733284584980236
1.6,5277.41,0.8,11.815,2.3634,134.59563,0.17733284584980236
1.7,5286.0,0.8,11.815,2.3634,134.59563,0.17733284584980236
1.8,5291.72,0.8,11.817,2.3634,134.59563,0.17733284584980236
1.9,5300.78,0.8,11.817,2.3634,134.59563,0.17733284584980236
2.0,5312.22,0.8,11.817,2.3634,134.59563,0.17733284584980236
2.1,5320.33,0.8,11.817,2.3634,134.59563,0.17733284584980236
2.2,5332.25,0.8,11.817,2.3634,134.59563,0.17733284584980236
2.3,5343.22,0.8,11.818,2.3634,134.59563,0.17733284584980236
2.4,5352.28,0.8,11.818,2.3634,134.59563,0.17733284584980236
2.5,5360.38,0.8,11.818,2.3634,134.59563,0.17733284584980236
2.6,5371.35,0.8,11.818,2.3634,134.59563,0.17733284584980236
2.7,5376.12,0.8,11.818,2.3634,134.59563,0.17733284584980236
2.8,5384.23,0.8,11.818,2.3634,134.59563,0.17733284584980236
2.9,5393.29,0.8,11.818,2.3634,134.59563,0.17733284584980236
3.0,5400.44,0.8,11.818,2.3634,134.59563,0.17733284584980236
3.1,5411.41,0.8,11.818,2.3634,134.59563,0.17733284584980236
3.2,5421.42,0.8,11.818,2.3634,134.59563,0.17733284584980236
3.3,5424.76,0.8,11.817,2.3634,134.59563,0.17733284584980236
3.4,5433.34,0.8,11.817,2.3634,134.59563,0.17733284584980236
3.5,5436.68,0.8,11.817,2.3634,134.59563,0.17733284584980236
3.6,5447.17,0.8,11.817,2.3634,134.59563,0.17733284584980236
3.7,5450.98,0.8,11.817,2.3634,134.59563,0.17733284584980236
3.8,5461.0,0.8,11.818,2.3634,134.59563,0.17733284584980236
3.9,5463.86,0.8,11.818,2.3634,134.59563,0.17733284584980236
4.0,5476.26,0.8,11.818,2.3634,134.59563,0.17733284584980236
4.1,5481.02,0.8,11.818,2.3634,134.59563,0.17733284584980236
4.2,5491.04,0.8,11.818,2.3634,134.59563,0.17733284584980236
4.3,5494.38,0.8,11.817,2.3634,134.59563,0.17733284584980236
4.4,5502.96,0.8,11.817,2.3634,134.59563,0.17733284584980236
4.5,5508.68,0.8,11.817,2.3634,134.59563,0.17733284584980236
4.6,5514.4,0.8,11.817,2.3634,134.59563,0.17733284584980236
4.7,5521.56,0.8,11.817,2.3634,134.59563,0.17733284584980236
4.8,5530.61,0.8,11.817,2.3634,134.59563,0.17733284584980236
4.9,5535.38,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.0,5541.58,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.1,5547.3,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.2,5549.69,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.3,5553.98,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.4,5560.66,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.5,5567.33,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.6,5570.67,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.7,5577.34,0.8,11.817,2.3634,134.59563,0.17733284584980236
5.8,5583.54,0.8,11.818,2.3634,134.59563,0.17733284584980236
5.9,5586.88,0.8,11.818,2.3634,134.59563,0.17733284584980236
6.0,5595.46,0.8,11.818,2.3634,134.59563,0.17733284584980236
6.1,5601.66,0.8,11.818,2.3634,134.59563,0.17733284584980236
6.2,5613.11,0.8,11.818,2.3634,134.59563,0.17733284584980236
6.3,5614.54,0.8,11.815,2.3634,134.59563,0.17733284584980236
6.4,5624.07,0.8,11.815,2.3634,134.59563,0.17733284584980236
6.5,5623.6,0.8,11.815,2.3634,134.59563,0.17733284584980236
6.6,5635.05,0.8,11.815,2.3634,134.59563,0.17733284584980236
6.7,5635.05,0.8,11.815,2.3634,134.59563,0.17733284584980236
6.8,5644.58,0.8,11.817,2.3634,134.59563,0.17733284584980236
6.9,5644.58,0.8,11.817,2.3634,134.59563,0.17733284584980236
7.0,5651.74,0.8,11.817,2.3634,134.59563,0.17733284584980236
7.1,5652.69,0.8,11.817,2.3634,134.59563,0.17733284584980236
7.2,5660.32,0.8,11.817,2.3634,134.59563,0.17733284584980236
7.3,5664.13,0.8,11.818,2.3634,134.59563,0.17733284584980236
7.4,5669.38,0.8,11.818,2.3634,134.59563,0.17733284584980236
7.5,5675.1,0.8,11.818,2.3634,134.59563,0.17733284584980236
7.6,5682.25,0.8,11.818,2.3634,134.59563,0.17733284584980236
7.7,5687.02,0.8,11.818,2.3634,134.59563,0.17733284584980236
7.8,5689.41,0.8,11.82,2.3634,134.59563,0.17733284584980236
7.9,5692.27,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.0,5698.47,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.1,5703.71,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.2,5706.57,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.3,5711.82,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.4,5717.06,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.5,5720.88,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.6,5720.4,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.7,5724.69,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.8,5727.55,0.8,11.814,2.3634,134.59563,0.17733284584980236
8.9,5731.37,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.0,5736.14,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.1,5739.0,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.2,5740.9,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.3,5751.87,0.8,11.817,2.3634,134.59563,0.17733284584980236
