time_s,force_V,confident,digits
0.0,3.512,True,"[0, 3, 5, 1, 2]"
0.5,3.517,True,"[0, 3, 5, 1, 7]"
1.0,3.512,True,"[0, 3, 5, 1, 2]"
1.5,3.512,True,"[0, 3, 5, 1, 2]"
2.0,3.517,True,"[0, 3, 5, 1, 7]"
2.5,3.517,True,"[0, 3, 5, 1, 7]"
3.0,3.517,True,"[0, 3, 5, 1, 7]"
3.5,3.512,True,"[0, 3, 5, 1, 2]"
4.0,3.517,True,"[0, 3, 5, 1, 7]"
4.5,3.517,True,"[0, 3, 5, 1, 7]"
5.0,3.517,True,"[0, 3, 5, 1, 7]"
5.5,3.517,True,"[0, 3, 5, 1, 7]"
6.0,3.517,True,"[0, 3, 5, 1, 7]"
6.5,3.517,True,"[0, 3, 5, 1, 7]"
7.0,3.517,True,"[0, 3, 5, 1, 7]"
7.5,3.517,True,"[0, 3, 5, 1, 7]"
8.0,3.518,True,"[0, 3, 5, 1, 8]"
8.5,3.517,True,"[0, 3, 5, 1, 7]"
9.0,3.517,True,"[0, 3, 5, 1, 7]"
9.5,3.517,True,"[0, 3, 5, 1, 7]"
10.0,3.517,True,"[0, 3, 5, 1, 7]"
10.5,3.517,True,"[0, 3, 5, 1, 7]"
11.0,3.518,True,"[0, 3, 5, 1, 8]"
11.5,3.518,True,"[0, 3, 5, 1, 8]"
12.0,3.518,True,"[0, 3, 5, 1, 8]"
12.5,3.518,True,"[0, 3, 5, 1, 8]"
13.0,3.585,True,"[0, 3, 5, 8, 5]"
13.5,3.585,True,"[0, 3, 5, 8, 5]"
14.0,3.588,True,"[0, 3, 5, 8, 8]"
14.5,3.588,True,"[0, 3, 5, 8, 8]"
15.0,3.587,True,"[0, 3, 5, 8, 7]"
15.5,3.587,True,"[0, 3, 5, 8, 7]"
16.0,3.587,True,"[0, 3, 5, 8, 7]"
16.5,3.588,True,"[0, 3, 5, 8, 8]"
17.0,3.588,True,"[0, 3, 5, 8, 8]"
17.5,3.588,True,"[0, 3, 5, 8, 8]"
18.0,3.588,True,"[0, 3, 5, 8, 8]"
18.5,3.565,True,"[0, 3, 5, 6, 5]"
19.0,3.585,True,"[0, 3, 5, 8, 5]"
19.5,3.584,True,"[0, 3, 5, 8, 4]"
20.0,3.585,True,"[0, 3, 5, 8, 5]"
20.5,3.584,True,"[0, 3, 5, 8, 4]"
21.0,3.565,True,"[0, 3, 5, 6, 5]"
21.5,3.585,True,"[0, 3, 5, 8, 5]"
22.0,3.584,True,"[0, 3, 5, 8, 4]"
22.5,3.584,True,"[0, 3, 5, 8, 4]"
23.0,3.564,True,"[0, 3, 5, 6, 4]"
23.5,3.584,True,"[0, 3, 5, 8, 4]"
24.0,3.584,True,"[0, 3, 5, 8, 4]"
24.5,3.584,True,"[0, 3, 5, 8, 4]"
25.0,3.584,True,"[0, 3, 5, 8, 4]"
25.5,3.588,True,"[0, 3, 5, 8, 8]"
26.0,3.588,True,"[0, 3, 5, 8, 8]"
26.5,3.588,True,"[0, 3, 5, 8, 8]"
27.0,3.582,True,"[0, 3, 5, 8, 2]"
27.5,3.582,True,"[0, 3, 5, 8, 2]"
28.0,3.582,True,"[0, 3, 5, 8, 2]"
28.5,3.582,True,"[0, 3, 5, 8, 2]"
29.0,3.562,True,"[0, 3, 5, 6, 2]"
29.5,3.582,True,"[0, 3, 5, 8, 2]"
30.0,3.587,True,"[0, 3, 5, 8, 7]"
30.5,3.582,True,"[0, 3, 5, 8, 2]"
31.0,3.587,True,"[0, 3, 5, 8, 7]"
31.5,3.587,True,"[0, 3, 5, 8, 7]"
32.0,3.568,True,"[0, 3, 5, 6, 8]"
32.5,3.568,True,"[0, 3, 5, 6, 8]"
33.0,3.588,True,"[0, 3, 5, 8, 8]"
33.5,3.588,True,"[0, 3, 5, 8, 8]"
34.0,3.588,True,"[0, 3, 5, 8, 8]"
34.5,3.588,True,"[0, 3, 5, 8, 8]"
35.0,3.495,True,"[0, 3, 4, 9, 5]"
35.5,3.495,True,"[0, 3, 4, 9, 5]"
36.0,3.495,True,"[0, 3, 4, 9, 5]"
36.5,3.495,True,"[0, 3, 4, 9, 5]"
37.0,3.495,True,"[0, 3, 4, 9, 5]"
37.5,3.495,True,"[0, 3, 4, 9, 5]"
38.0,3.495,True,"[0, 3, 4, 9, 5]"
38.5,3.495,True,"[0, 3, 4, 9, 5]"
39.0,3.495,True,"[0, 3, 4, 9, 5]"
39.5,3.495,True,"[0, 3, 4, 9, 5]"
40.0,3.498,True,"[0, 3, 4, 9, 8]"
40.5,3.498,True,"[0, 3, 4, 9, 8]"
41.0,3.498,True,"[0, 3, 4, 9, 8]"
41.5,3.497,True,"[0, 3, 4, 9, 7]"
42.0,3.497,True,"[0, 3, 4, 9, 7]"
42.5,3.497,True,"[0, 3, 4, 9, 7]"
43.0,3.498,True,"[0, 3, 4, 9, 8]"
43.5,3.495,True,"[0, 3, 4, 9, 5]"
44.0,3.495,True,"[0, 3, 4, 9, 5]"
44.5,3.495,True,"[0, 3, 4, 9, 5]"
45.0,3.495,True,"[0, 3, 4, 9, 5]"
