time_s,current_uA,applied_V,force_V,confident,force_mN
0.0,5886.82,0.8,3.512,True,196.672
0.1,5799.56,0.8,3.512,True,196.672
0.2,5760.46,0.8,3.512,True,196.672
0.3,5743.77,0.8,3.517,True,196.952
0.4,5735.18,0.8,3.517,True,196.952
0.5,5731.37,0.8,3.517,True,196.952
0.6,5728.03,0.8,3.517,True,196.952
0.7,5728.51,0.8,3.517,True,196.952
0.8,5730.41,0.8,3.512,True,196.672
0.9,5727.55,0.8,3.512,True,196.672
1.0,5732.32,0.8,3.512,True,196.672
1.1,5736.61,0.8,3.512,True,196.672
1.2,5739.95,0.8,3.512,True,196.672
1.3,5749.96,0.8,3.512,True,196.672
1.4,5756.16,0.8,3.512,True,196.672
1.5,5759.02,0.8,3.512,True,196.672
1.6,5760.46,0.8,3.512,True,196.672
1.7,5760.93,0.8,3.512,True,196.672
1.8,5760.93,0.8,3.517,True,196.952
1.9,5765.22,0.8,3.517,True,196.952
2.0,5769.99,0.8,3.517,True,196.952
2.1,5772.85,0.8,3.517,True,196.952
2.2,5778.1,0.8,3.517,True,196.952
2.3,5788.59,0.8,3.517,True,196.952
2.4,5789.07,0.8,3.517,True,196.952
2.5,5794.31,0.8,3.517,True,196.952
2.6,5794.31,0.8,3.517,True,196.952
2.7,5796.34,0.8,3.517,True,196.952
2.8,5797.17,0.8,3.517,True,196.952
2.9,5799.56,0.8,3.517,True,196.952
3.0,5805.75,0.8,3.517,True,196.952
3.1,5808.62,0.8,3.517,True,196.952
3.2,5814.81,0.8,3.517,True,196.952
3.3,5816.25,0.8,3.512,True,196.672
3.4,5821.97,0.8,3.512,True,196.672
3.5,5825.31,0.8,3.512,True,196.672
3.6,5825.78,0.8,3.512,True,196.672
3.7,5825.54,0.8,3.512,True,196.672
3.8,5824.35,0.8,3.517,True,196.952
3.9,5826.74,0.8,3.517,True,196.952
4.0,5833.89,0.8,3.517,True,196.952
4.1,5845.81,0.8,3.517,True,196.952
4.2,5846.29,0.8,3.517,True,196.952
4.3,5848.43,0.8,3.517,True,196.952
4.4,5850.1,0.8,3.517,True,196.952
4.5,5851.53,0.8,3.517,True,196.952
4.6,5856.3,0.8,3.517,True,196.952
4.7,5857.73,0.8,3.517,True,196.952
4.8,5864.41,0.8,3.517,True,196.952
4.9,5864.41,0.8,3.517,True,196.952
5.0,5866.79,0.8,3.517,True,196.952
5.1,5865.84,0.8,3.517,True,196.952
5.2,5868.22,0.8,3.517,True,196.952
5.3,5872.51,0.8,3.517,True,196.952
5.4,5872.04,0.8,3.517,True,196.952
5.5,5870.6,0.8,3.517,True,196.952
5.6,5870.6,0.8,3.517,True,196.952
5.7,5872.99,0.8,3.517,True,196.952
5.8,5880.14,0.8,3.517,True,196.952
5.9,5877.28,0.8,3.517,True,196.952
6.0,5882.05,0.8,3.517,True,196.952
6.1,5888.72,0.8,3.517,True,196.952
6.2,5891.11,0.8,3.517,True,196.952
6.3,5885.39,0.8,3.517,True,196.952
6.4,5893.97,0.8,3.517,True,196.952
6.5,5898.26,0.8,3.517,True,196.952
6.6,5900.65,0.8,3.517,True,196.952
6.7,5902.08,0.8,3.517,True,196.952
6.8,5907.8,0.8,3.517,True,196.952
6.9,5907.8,0.8,3.517,True,196.952
7.0,5910.18,0.8,3.517,True,196.952
7.1,5913.04,0.8,3.517,True,196.952
7.2,5907.32,0.8,3.517,True,196.952
7.3,5916.86,0.8,3.517,True,196.952
7.4,5914.95,0.8,3.517,True,196.952
7.5,5915.9,0.8,3.517,True,196.952
7.6,5911.14,0.8,3.517,True,196.952
7.7,5911.14,0.8,3.517,True,196.952
7.8,5911.14,0.8,3.518,True,197.00799999999998
7.9,5917.81,0.8,3.518,True,197.00799999999998
8.0,5918.29,0.8,3.518,True,197.00799999999998
8.1,5926.87,0.8,3.518,True,197.00799999999998
8.2,5929.26,0.8,3.518,True,197.00799999999998
8.3,5930.21,0.8,3.517,True,196.952
8.4,5936.41,0.8,3.517,True,196.952
8.5,5941.65,0.8,3.517,True,196.952
8.6,5941.65,0.8,3.517,True,196.952
8.7,5943.44,0.8,3.517,True,196.952
8.8,5944.99,0.8,3.517,True,196.952
8.9,5945.47,0.8,3.517,True,196.952
9.0,5947.02,0.8,3.517,True,196.952
9.1,5948.81,0.8,3.517,True,196.952
9.2,5948.81,0.8,3.517,True,196.952
9.3,5954.05,0.8,3.517,True,196.952
9.4,5954.05,0.8,3.517,True,196.952
9.5,5955.48,0.8,3.517,True,196.952
9.6,5956.44,0.8,3.517,True,196.952
9.7,5959.77,0.8,3.517,True,196.952
9.8,5961.68,0.8,3.517,True,196.952
9.9,5958.82,0.8,3.517,True,196.952
10.0,5959.3,0.8,3.517,True,196.952
10.1,5958.82,0.8,3.517,True,196.952
10.2,5957.39,0.8,3.517,True,196.952
10.3,5959.77,0.8,3.517,True,196.952
10.4,5964.54,0.8,3.517,True,196.952
10.5,5963.11,0.8,3.517,True,196.952
10.6,5970.74,0.8,3.517,True,196.952
10.7,5968.83,0.8,3.517,True,196.952
10.8,5973.6,0.8,3.518,True,197.00799999999998
10.9,5968.36,0.8,3.518,True,197.00799999999998
11.0,5979.8,0.8,3.518,True,197.00799999999998
11.1,5976.94,0.8,3.518,True,197.00799999999998
11.2,5976.94,0.8,3.518,True,197.00799999999998
11.3,5976.94,0.8,3.518,True,197.00799999999998
11.4,5976.94,0.8,3.518,True,197.00799999999998
11.5,5980.75,0.8,3.518,True,197.00799999999998
11.6,5981.71,0.8,3.518,True,197.00799999999998
11.7,5986.0,0.8,3.518,True,197.00799999999998
11.8,5987.91,0.8,3.518,True,197.00799999999998
11.9,5986.48,0.8,3.518,True,197.00799999999998
12.0,5989.34,0.8,3.518,True,197.00799999999998
12.1,5991.72,0.8,3.518,True,197.00799999999998
12.2,5987.43,0.8,3.518,True,197.00799999999998
12.3,5990.29,0.8,3.518,True,197.00799999999998
12.4,5990.77,0.8,3.518,True,197.00799999999998
12.5,5996.49,0.8,3.518,True,197.00799999999998
12.6,5996.97,0.8,3.518,True,197.00799999999998
12.7,5998.4,0.8,3.518,True,197.00799999999998
12.8,5997.92,0.8,3.585,True,200.76
12.9,6000.3,0.8,3.585,True,200.76
13.0,6003.64,0.8,3.585,True,200.76
