time_s,force_V_raw,force_V
0.0,3.195,3.194
0.5,3.195,3.194
1.0,3.195,3.194
1.5,3.195,3.194
2.0,3.195,3.194
2.5,3.194,3.194
3.0,3.194,3.194
3.5,3.195,3.194
4.0,3.195,3.194
4.5,3.195,3.194
5.0,3.194,3.194
5.5,3.194,3.194
6.0,3.194,3.194
6.5,3.194,3.194
7.0,3.194,3.194
7.5,3.194,3.194
8.0,3.194,3.194
8.5,3.194,3.194
9.0,3.194,3.194
9.5,3.193,3.194
10.0,3.193,3.194
10.5,3.194,3.194
11.0,3.193,3.194
11.5,3.194,3.193
12.0,3.193,3.193
12.5,3.193,3.193
13.0,3.193,3.193
13.5,3.193,3.193
14.0,3.193,3.193
14.5,3.194,3.193
15.0,3.194,3.193
15.5,3.193,3.193
16.0,3.193,3.193
16.5,3.193,3.193
17.0,3.193,3.193
17.5,3.193,3.193
18.0,3.193,3.193
18.5,3.193,3.193
19.0,3.193,3.193
19.5,3.192,3.193
20.0,3.193,3.193
20.5,3.193,3.193
21.0,3.193,3.193
21.5,3.193,3.193
22.0,3.192,3.193
22.5,3.192,3.192
23.0,3.193,3.192
23.5,3.193,3.192
24.0,3.192,3.192
24.5,3.192,3.192
25.0,3.192,3.192
25.5,3.192,3.192
26.0,3.192,3.192
26.5,3.192,3.192
27.0,3.192,3.192
27.5,3.192,3.192
28.0,3.192,3.192
28.5,3.192,3.192
29.0,3.192,3.192
29.5,3.192,3.192
30.0,3.192,3.192
30.5,3.192,3.192
31.0,3.191,3.192
31.5,3.191,3.192
32.0,3.192,3.192
32.5,3.192,3.192
33.0,3.191,3.192
33.5,3.192,3.192
34.0,3.192,3.192
34.5,3.192,3.192
35.0,3.192,3.191
35.5,3.191,3.191
36.0,3.191,3.191
36.5,3.191,3.191
37.0,3.191,3.191
37.5,3.192,3.191
38.0,3.192,3.191
38.5,3.191,3.191
39.0,3.191,3.191
39.5,3.191,3.191
40.0,3.191,3.191
40.5,3.191,3.191
41.0,3.191,3.191
41.5,3.191,3.191
42.0,3.191,3.191
42.5,3.191,3.191
43.0,3.191,3.191
43.5,3.191,3.191
44.0,3.191,3.191
44.5,3.191,3.191
45.0,3.191,3.191
45.5,3.191,3.191
46.0,3.191,3.191
46.5,3.19,3.191
47.0,3.19,3.19
47.5,3.19,3.19
48.0,3.19,3.19
48.5,3.19,3.19
49.0,3.191,3.19
49.5,3.19,3.19
50.0,3.19,3.19
50.5,3.19,3.19
51.0,3.19,3.19
51.5,3.19,3.19
52.0,3.19,3.19
52.5,3.19,3.19
53.0,3.19,3.19
53.5,3.19,3.19
54.0,3.19,3.19
54.5,3.19,3.19
55.0,3.19,3.19
55.5,3.189,3.19
56.0,3.189,3.19
56.5,3.19,3.19
57.0,3.189,3.19
57.5,3.189,3.19
58.0,3.19,3.19
58.5,3.19,3.189
59.0,3.189,3.189
59.5,3.19,3.189
60.0,3.189,3.189
60.5,3.189,3.189
61.0,3.189,3.189
61.5,3.19,3.189
62.0,3.19,3.189
62.5,3.189,3.189
63.0,3.189,3.189
63.5,3.189,3.189
64.0,3.189,3.189
64.5,3.189,3.189
65.0,3.188,3.189
65.5,3.189,3.189
66.0,3.189,3.188
66.5,3.188,3.188
67.0,3.188,3.188
67.5,3.188,3.188
68.0,3.188,3.188
68.5,3.188,3.188
69.0,3.188,3.188
69.5,3.188,3.188
70.0,3.188,3.188
70.5,3.188,3.188
71.0,3.188,3.188
71.5,3.187,3.188
72.0,3.188,3.188
72.5,3.187,3.187
73.0,3.187,3.187
73.5,3.188,3.187
74.0,3.187,3.187
74.5,3.187,3.187
75.0,3.187,3.187
75.5,3.187,3.187
76.0,3.187,3.187
76.5,3.187,3.187
77.0,3.187,3.187
77.5,3.187,3.187
78.0,3.187,3.187
78.5,3.187,3.187
79.0,3.187,3.187
79.5,3.187,3.187
80.0,3.187,3.187
80.5,3.187,3.187
81.0,3.187,3.187
81.5,3.187,3.187
82.0,3.187,3.187
82.5,3.187,3.187
83.0,3.187,3.187
83.5,3.187,3.187
84.0,3.187,3.187
84.5,3.186,3.186
85.0,3.186,3.186
85.5,3.186,3.186
86.0,3.186,3.186
86.5,3.186,3.186
87.0,3.186,3.186
87.5,3.186,3.186
88.0,3.186,3.186
88.5,3.186,3.186
89.0,3.186,3.186
89.5,3.186,3.186
90.0,3.186,3.186
90.5,3.186,3.186
91.0,3.185,3.186
91.5,3.186,3.186
92.0,3.185,3.186
92.5,3.186,3.186
93.0,3.185,3.185
93.5,3.185,3.185
94.0,3.186,3.185
94.5,3.185,3.185
95.0,3.185,3.185
95.5,3.185,3.185
96.0,3.185,3.185
96.5,3.185,3.185
97.0,3.186,3.185
97.5,3.185,3.185
98.0,3.185,3.185
98.5,3.185,3.185
99.0,3.185,3.185
99.5,3.185,3.185
100.0,3.185,3.185
100.5,3.185,3.185
101.0,3.185,3.185
101.5,3.185,3.185
102.0,3.185,3.185
102.5,3.185,3.185
103.0,3.185,3.185
103.5,3.185,3.185
104.0,3.185,3.185
104.5,3.185,3.185
105.0,3.185,3.185
105.5,3.185,3.185
106.0,3.185,3.185
106.5,3.185,3.185
107.0,3.185,3.185
107.5,3.185,3.185
108.0,3.185,3.185
108.5,3.185,3.185
109.0,3.185,3.185
109.5,3.185,3.185
110.0,3.185,3.185
110.5,3.185,3.185
111.0,3.185,3.185
111.5,3.184,3.185
112.0,3.185,3.185
112.5,3.184,3.185
113.0,3.185,3.185
113.5,3.185,3.185
114.0,3.185,3.185
114.5,3.184,3.185
115.0,3.185,3.185
115.5,3.184,3.185
116.0,3.185,3.185
116.5,3.185,3.185
117.0,3.185,3.185
117.5,3.185,3.185
118.0,3.184,3.185
118.5,3.185,3.185
119.0,3.185,3.185
119.5,3.185,3.185
120.0,3.185,3.185
120.5,3.185,3.185
121.0,3.185,3.185
121.5,3.185,3.185
122.0,3.184,3.184
122.5,3.184,3.184
123.0,3.185,3.184
123.5,3.184,3.184
124.0,3.184,3.184
124.5,3.184,3.184
125.0,3.184,3.184
125.5,3.184,3.184
126.0,3.184,3.184
126.5,3.184,3.184
127.0,3.184,3.184
127.5,3.184,3.184
128.0,3.184,3.184
128.5,3.183,3.184
129.0,3.184,3.184
129.5,3.183,3.184
130.0,3.183,3.184
130.5,3.184,3.184
131.0,3.183,3.184
131.5,3.184,3.183
132.0,3.184,3.183
132.5,3.184,3.183
133.0,3.184,3.183
133.5,3.183,3.183
134.0,3.183,3.183
134.5,3.183,3.183
135.0,3.183,3.183
135.5,3.183,3.183
136.0,3.183,3.183
136.5,3.183,3.183
137.0,3.183,3.183
137.5,3.183,3.183
138.0,3.183,3.183
138.5,3.183,3.183
139.0,3.183,3.183
139.5,3.183,3.183
140.0,3.183,3.183
140.5,3.183,3.183
141.0,3.183,3.183
141.5,3.183,3.183
142.0,3.183,3.183
142.5,3.183,3.183
143.0,3.183,3.183
143.5,3.183,3.183
144.0,3.183,3.183
144.5,3.183,3.183
145.0,3.183,3.183
145.5,3.182,3.183
146.0,3.183,3.182
146.5,3.182,3.182
147.0,3.182,3.182
147.5,3.182,3.182
148.0,3.182,3.182
