time_s,force_V,confident,digits
0.0,3.157,True,"[0, 3, 1, 5, 7]"
0.5,3.157,True,"[0, 3, 1, 5, 7]"
1.0,3.157,True,"[0, 3, 1, 5, 7]"
1.5,3.157,True,"[0, 3, 1, 5, 7]"
2.0,3.157,True,"[0, 3, 1, 5, 7]"
2.5,3.147,True,"[0, 3, 1, 4, 7]"
3.0,3.157,True,"[0, 3, 1, 5, 7]"
3.5,3.157,True,"[0, 3, 1, 5, 7]"
4.0,3.157,True,"[0, 3, 1, 5, 7]"
4.5,3.157,True,"[0, 3, 1, 5, 7]"
5.0,3.157,True,"[0, 3, 1, 5, 7]"
5.5,3.177,True,"[0, 3, 1, 7, 7]"
6.0,3.157,True,"[0, 3, 1, 5, 7]"
6.5,3.157,True,"[0, 3, 1, 5, 7]"
7.0,3.147,True,"[0, 3, 1, 4, 7]"
7.5,3.157,True,"[0, 3, 1, 5, 7]"
8.0,3.157,True,"[0, 3, 1, 5, 7]"
8.5,3.157,True,"[0, 3, 1, 5, 7]"
9.0,3.157,True,"[0, 3, 1, 5, 7]"
9.5,3.187,True,"[0, 3, 1, 8, 7]"
10.0,3.187,True,"[0, 3, 1, 8, 7]"
10.5,3.157,True,"[0, 3, 1, 5, 7]"
11.0,3.187,True,"[0, 3, 1, 8, 7]"
11.5,3.157,True,"[0, 3, 1, 5, 7]"
12.0,3.187,True,"[0, 3, 1, 8, 7]"
12.5,3.187,True,"[0, 3, 1, 8, 7]"
13.0,3.187,True,"[0, 3, 1, 8, 7]"
13.5,3.187,True,"[0, 3, 1, 8, 7]"
14.0,3.187,True,"[0, 3, 1, 8, 7]"
14.5,3.157,True,"[0, 3, 1, 5, 7]"
15.0,3.157,True,"[0, 3, 1, 5, 7]"
15.5,3.187,True,"[0, 3, 1, 8, 7]"
16.0,3.187,True,"[0, 3, 1, 8, 7]"
16.5,3.187,True,"[0, 3, 1, 8, 7]"
17.0,3.187,True,"[0, 3, 1, 8, 7]"
17.5,3.187,True,"[0, 3, 1, 8, 7]"
18.0,3.187,True,"[0, 3, 1, 8, 7]"
18.5,3.187,True,"[0, 3, 1, 8, 7]"
19.0,3.187,True,"[0, 3, 1, 8, 7]"
19.5,3.177,True,"[0, 3, 1, 7, 7]"
20.0,3.187,True,"[0, 3, 1, 8, 7]"
20.5,3.187,True,"[0, 3, 1, 8, 7]"
21.0,3.187,True,"[0, 3, 1, 8, 7]"
21.5,3.187,True,"[0, 3, 1, 8, 7]"
22.0,3.177,True,"[0, 3, 1, 7, 7]"
22.5,3.177,True,"[0, 3, 1, 7, 7]"
23.0,3.187,True,"[0, 3, 1, 8, 7]"
23.5,3.187,True,"[0, 3, 1, 8, 7]"
24.0,3.177,True,"[0, 3, 1, 7, 7]"
24.5,3.177,True,"[0, 3, 1, 7, 7]"
25.0,3.177,True,"[0, 3, 1, 7, 7]"
25.5,3.177,True,"[0, 3, 1, 7, 7]"
26.0,3.177,True,"[0, 3, 1, 7, 7]"
26.5,3.177,True,"[0, 3, 1, 7, 7]"
27.0,3.177,True,"[0, 3, 1, 7, 7]"
27.5,3.177,True,"[0, 3, 1, 7, 7]"
28.0,3.177,True,"[0, 3, 1, 7, 7]"
28.5,3.177,True,"[0, 3, 1, 7, 7]"
29.0,3.177,True,"[0, 3, 1, 7, 7]"
29.5,3.177,True,"[0, 3, 1, 7, 7]"
30.0,3.177,True,"[0, 3, 1, 7, 7]"
30.5,3.177,True,"[0, 3, 1, 7, 7]"
31.0,3.187,True,"[0, 3, 1, 8, 7]"
