time_s,current_uA,applied_V,force_V,confident,force_mN
0.0,3641.38,0.8,3.157,True,176.792
0.1,3520.74,0.8,3.157,True,176.792
0.2,3472.58,0.8,3.157,True,176.792
0.3,3453.51,0.8,3.157,True,176.792
0.4,3444.92,0.8,3.157,True,176.792
0.5,3446.35,0.8,3.157,True,176.792
0.6,3448.74,0.8,3.157,True,176.792
0.7,3453.51,0.8,3.157,True,176.792
0.8,3457.8,0.8,3.157,True,176.792
0.9,3466.38,0.8,3.157,True,176.792
1.0,3471.15,0.8,3.157,True,176.792
1.1,3479.26,0.8,3.157,True,176.792
1.2,3488.79,0.8,3.157,True,176.792
1.3,3493.56,0.8,3.157,True,176.792
1.4,3500.71,0.8,3.157,True,176.792
1.5,3507.87,0.8,3.157,True,176.792
1.6,3514.54,0.8,3.157,True,176.792
1.7,3525.03,0.8,3.157,True,176.792
1.8,3530.28,0.8,3.157,True,176.792
1.9,3538.86,0.8,3.157,True,176.792
2.0,3544.58,0.8,3.157,True,176.792
2.1,3550.78,0.8,3.157,True,176.792
2.2,3558.89,0.8,3.157,True,176.792
2.3,3564.13,0.8,3.147,True,176.232
2.4,3568.9,0.8,3.147,True,176.232
2.5,3576.05,0.8,3.147,True,176.232
2.6,3585.59,0.8,3.147,True,176.232
2.7,3591.31,0.8,3.147,True,176.232
2.8,3597.51,0.8,3.157,True,176.792
2.9,3606.1,0.8,3.157,True,176.792
3.0,3610.86,0.8,3.157,True,176.792
3.1,3613.72,0.8,3.157,True,176.792
3.2,3624.22,0.8,3.157,True,176.792
3.3,3626.12,0.8,3.157,True,176.792
3.4,3630.89,0.8,3.157,True,176.792
3.5,3639.95,0.8,3.157,True,176.792
3.6,3642.33,0.8,3.157,True,176.792
3.7,3649.49,0.8,3.157,True,176.792
3.8,3657.12,0.8,3.157,True,176.792
3.9,3659.5,0.8,3.157,True,176.792
4.0,3660.45,0.8,3.157,True,176.792
4.1,3669.04,0.8,3.157,True,176.792
4.2,3673.81,0.8,3.157,True,176.792
4.3,3673.33,0.8,3.157,True,176.792
4.4,3679.05,0.8,3.157,True,176.792
