time_s,force_V_raw,force_V
0.0,7.631,1.5256
0.5,7.63,1.5256
1.0,7.631,1.526
1.5,7.63,1.526
2.0,7.628,1.5262
2.5,7.632,1.5262
3.0,7.628,1.5264
3.5,7.632,1.5264
4.0,7.634,1.5266
4.5,7.634,1.5268000000000002
5.0,7.633,1.5268000000000002
5.5,7.637,1.5273999999999999
6.0,7.638,1.5276
6.5,7.639,1.5278
7.0,7.641,1.5282
7.5,7.642,1.5282
8.0,7.641,1.5284
8.5,7.646,1.5284
9.0,7.644,1.5284
9.5,7.645,1.5284
10.0,7.643,1.5286
10.5,7.646,1.5286
11.0,7.643,1.5286
11.5,7.643,1.5286
12.0,7.642,1.5286
12.5,7.643,1.5286
13.0,7.642,1.5286
13.5,7.642,1.5286
14.0,7.643,1.5286
14.5,7.644,1.5286
15.0,7.643,1.5286
15.5,7.643,1.5288
16.0,7.645,1.5288
16.5,7.646,1.5288
17.0,7.643,1.5288
17.5,7.647,1.5288
18.0,7.644,1.5288
18.5,7.645,1.529
19.0,7.645,1.529
19.5,7.644,1.529
20.0,7.646,1.529
20.5,7.644,1.529
21.0,7.647,1.529
21.5,7.646,1.529
22.0,7.644,1.529
22.5,7.645,1.529
23.0,7.646,1.529
23.5,7.646,1.529
24.0,7.646,1.529
24.5,7.645,1.529
25.0,7.645,1.529
25.5,7.645,1.529
26.0,7.645,1.529
26.5,7.646,1.529
27.0,7.644,1.529
27.5,7.647,1.529
28.0,7.644,1.529
28.5,7.646,1.529
29.0,7.645,1.529
29.5,7.644,1.529
30.0,7.644,1.529
30.5,7.646,1.529
31.0,7.644,1.529
31.5,7.644,1.529
32.0,7.646,1.5288
32.5,7.645,1.529
33.0,7.646,1.5288
33.5,7.642,1.5288
34.0,7.645,1.5288
34.5,7.645,1.5288
35.0,7.643,1.529
35.5,7.643,1.529
36.0,7.642,1.529
36.5,7.645,1.529
37.0,7.643,1.529
37.5,7.645,1.529
38.0,7.643,1.529
38.5,7.642,1.529
39.0,7.646,1.529
39.5,7.646,1.529
40.0,7.645,1.529
40.5,7.644,1.529
41.0,7.646,1.529
41.5,7.647,1.529
42.0,7.646,1.529
42.5,7.642,1.529
43.0,7.646,1.529
43.5,7.647,1.5292
44.0,7.645,1.5292
44.5,7.646,1.529
45.0,7.646,1.529
45.5,7.643,1.529
46.0,7.644,1.529
46.5,7.644,1.529
47.0,7.644,1.529
47.5,7.644,1.529
48.0,7.646,1.529
48.5,7.646,1.5288
49.0,7.642,1.5288
49.5,7.645,1.5288
50.0,7.646,1.5288
50.5,7.644,1.5288
51.0,7.645,1.5288
51.5,7.642,1.5288
52.0,7.646,1.5288
52.5,7.644,1.5288
53.0,7.642,1.5288
53.5,7.643,1.5288
54.0,7.644,1.5288
54.5,7.644,1.5288
55.0,7.646,1.5288
55.5,7.642,1.5288
56.0,7.643,1.5288
56.5,7.643,1.5288
57.0,7.644,1.5288
57.5,7.644,1.5286
58.0,7.643,1.5286
58.5,7.645,1.5286
59.0,7.646,1.5288
59.5,7.643,1.5286
60.0,7.643,1.5286
60.5,7.645,1.5286
61.0,7.643,1.5286
61.5,7.644,1.5286
62.0,7.643,1.5286
62.5,7.641,1.5286
63.0,7.645,1.5286
63.5,7.641,1.5286
64.0,7.646,1.5286
64.5,7.643,1.5286
65.0,7.644,1.5286
65.5,7.64,1.5286
66.0,7.642,1.5286
66.5,7.641,1.5286
67.0,7.643,1.5286
67.5,7.644,1.5286
68.0,7.644,1.5286
68.5,7.643,1.5286
69.0,7.643,1.5286
69.5,7.642,1.5286
70.0,7.644,1.5284
70.5,7.643,1.5284
71.0,7.642,1.5284
71.5,7.643,1.5284
72.0,7.642,1.5284
72.5,7.641,1.5284
73.0,7.645,1.5284
73.5,7.641,1.5284
74.0,7.641,1.5284
74.5,7.638,1.5284
75.0,7.642,1.5284
75.5,7.642,1.5284
76.0,7.642,1.5284
76.5,7.642,1.5284
77.0,7.642,1.5284
77.5,7.638,1.5284
78.0,7.643,1.5284
78.5,7.645,1.5284
79.0,7.642,1.5284
79.5,7.644,1.5284
80.0,7.643,1.5284
80.5,7.645,1.5284
81.0,7.641,1.5284
81.5,7.646,1.5284
82.0,7.644,1.5284
82.5,7.646,1.5284
83.0,7.643,1.5284
83.5,7.645,1.5284
84.0,7.642,1.5284
84.5,7.638,1.5284
85.0,7.64,1.5284
85.5,7.642,1.5284
86.0,7.642,1.5284
86.5,7.638,1.5284
87.0,7.641,1.5284
87.5,7.642,1.5284
88.0,7.64,1.5284
88.5,7.643,1.5284
89.0,7.642,1.5284
89.5,7.646,1.5284
90.0,7.642,1.5284
90.5,7.642,1.5284
91.0,7.641,1.5284
91.5,7.642,1.5284
92.0,7.638,1.5284
92.5,7.642,1.5284
93.0,7.642,1.5284
93.5,7.641,1.5284
94.0,7.643,1.5284
94.5,7.641,1.5284
95.0,7.641,1.5284
95.5,7.641,1.5284
96.0,7.643,1.5284
96.5,7.643,1.5284
97.0,7.642,1.5284
97.5,7.642,1.5284
98.0,7.645,1.5284
98.5,7.643,1.5284
99.0,7.644,1.5286
99.5,7.638,1.5284
100.0,7.64,1.5286
100.5,7.643,1.5286
101.0,7.641,1.5286
101.5,7.644,1.5284
102.0,7.642,1.5284
102.5,7.642,1.5284
103.0,7.643,1.5284
103.5,7.643,1.5284
104.0,7.643,1.5284
104.5,7.641,1.5284
105.0,7.643,1.5284
105.5,7.642,1.5284
106.0,7.642,1.5284
106.5,7.642,1.5284
107.0,7.638,1.5284
107.5,7.64,1.5284
108.0,7.642,1.5284
108.5,7.637,1.5284
109.0,7.638,1.5284
109.5,7.642,1.5282
110.0,7.64,1.5282
110.5,7.642,1.528
111.0,7.642,1.528
111.5,7.644,1.528
112.0,7.641,1.528
112.5,7.644,1.528
113.0,7.64,1.5282
113.5,7.64,1.5282
114.0,7.638,1.5282
114.5,7.637,1.5282
115.0,7.64,1.5282
115.5,7.638,1.5282
116.0,7.64,1.5282
116.5,7.641,1.5282
117.0,7.642,1.5282
117.5,7.643,1.5282
118.0,7.641,1.5282
118.5,7.642,1.5282
119.0,7.637,1.5282
119.5,7.642,1.5282
120.0,7.641,1.5282
120.5,7.641,1.5282
121.0,7.643,1.5282
121.5,7.64,1.5282
122.0,7.643,1.5282
122.5,7.644,1.5282
123.0,7.641,1.528
123.5,7.643,1.528
124.0,7.64,1.5276
124.5,7.638,1.5276
125.0,7.638,1.5276
125.5,7.636,1.5272000000000001
126.0,7.632,1.527
126.5,7.631,1.5264
127.0,7.635,1.5262
127.5,7.626,1.5256
128.0,7.627,1.5253999999999999
128.5,7.628,1.5253999999999999
129.0,7.624,1.5252000000000001
129.5,7.627,1.5252000000000001
130.0,7.624,1.5248
130.5,7.624,1.5248
131.0,7.623,1.5248
131.5,7.626,1.5246
132.0,7.623,1.5246
132.5,7.622,1.5244
133.0,7.619,1.5244
133.5,7.618,1.5238
134.0,7.622,1.5238
134.5,7.617,1.5236
135.0,7.617,1.5236
135.5,7.618,1.5236
136.0,7.616,1.5234
136.5,7.617,1.5234
137.0,7.618,1.5234
137.5,7.619,1.5231999999999999
138.0,7.616,1.5231999999999999
138.5,7.615,1.5230000000000001
139.0,7.613,1.5230000000000001
139.5,7.613,1.5228
140.0,7.613,1.5228
140.5,7.615,1.5226000000000002
141.0,7.614,1.5226000000000002
141.5,7.613,1.5226000000000002
142.0,7.613,1.5226000000000002
142.5,7.613,1.5226000000000002
143.0,7.612,1.5226000000000002
143.5,7.61,1.5226000000000002
144.0,7.612,1.5226000000000002
144.5,7.61,1.5226000000000002
145.0,7.616,1.5224
145.5,7.611,1.5224
146.0,7.608,1.5224
146.5,7.611,1.5224
147.0,7.614,1.5224
147.5,7.614,1.5224
148.0,7.613,1.5222
148.5,7.61,1.5222
149.0,7.608,1.5222
149.5,7.608,1.5222
150.0,7.612,1.5222
150.5,7.612,1.5222
151.0,7.611,1.5222
151.5,7.613,1.5222
152.0,7.612,1.5222
152.5,7.608,1.5222
153.0,7.607,1.522
153.5,7.612,1.522
154.0,7.607,1.5218
154.5,7.611,1.5218
155.0,7.612,1.5218
155.5,7.611,1.5215999999999998
156.0,7.61,1.5215999999999998
156.5,7.609,1.5215999999999998
157.0,7.608,1.5214
157.5,7.604,1.5214
158.0,7.607,1.5214
158.5,7.605,1.5214
159.0,7.608,1.5214
159.5,7.604,1.5214
160.0,7.605,1.5214
160.5,7.604,1.5211999999999999
161.0,7.605,1.5211999999999999
161.5,7.605,1.5211999999999999
162.0,7.606,1.5211999999999999
162.5,7.606,1.5211999999999999
163.0,7.607,1.5211999999999999
163.5,7.607,1.5211999999999999
164.0,7.608,1.5211999999999999
164.5,7.608,1.5210000000000001
165.0,7.606,1.5211999999999999
165.5,7.604,1.5211999999999999
166.0,7.606,1.5211999999999999
166.5,7.602,1.5211999999999999
167.0,7.604,1.5211999999999999
167.5,7.606,1.5211999999999999
168.0,7.605,1.5210000000000001
168.5,7.606,1.5210000000000001
169.0,7.602,1.5210000000000001
169.5,7.605,1.5210000000000001
170.0,7.606,1.5210000000000001
170.5,7.606,1.5208
171.0,7.604,1.5208
171.5,7.605,1.5208
172.0,7.604,1.5208
172.5,7.605,1.5208
173.0,7.604,1.5208
173.5,7.606,1.5208
174.0,7.603,1.5208
174.5,7.602,1.5208
175.0,7.603,1.5208
175.5,7.603,1.5206
176.0,7.604,1.5206
176.5,7.606,1.5206
177.0,7.602,1.5206
177.5,7.602,1.5206
178.0,7.603,1.5206
178.5,7.603,1.5206
179.0,7.603,1.5206
179.5,7.605,1.5206
180.0,7.601,1.5206
180.5,7.602,1.5206
181.0,7.604,1.5206
181.5,7.602,1.5206
182.0,7.601,1.5206
182.5,7.604,1.5206
183.0,7.604,1.5206
183.5,7.602,1.5206
184.0,7.601,1.5206
184.5,7.602,1.5206
185.0,7.603,1.5206
185.5,7.603,1.5206
186.0,7.605,1.5206
186.5,7.604,1.5206
187.0,7.605,1.5206
187.5,7.603,1.5206
188.0,7.602,1.5206
188.5,7.603,1.5206
189.0,7.602,1.5206
189.5,7.602,1.5206
190.0,7.604,1.5206
190.5,7.603,1.5206
191.0,7.602,1.5206
191.5,7.602,1.5206
192.0,7.603,1.5204
192.5,7.602,1.5204
193.0,7.603,1.5204
193.5,7.601,1.5204
194.0,7.604,1.5204
194.5,7.601,1.5204
195.0,7.603,1.5204
195.5,7.598,1.5204
196.0,7.602,1.5204
196.5,7.605,1.5204
197.0,7.6,1.5204
197.5,7.602,1.5204
198.0,7.601,1.5202
198.5,7.601,1.5202
199.0,7.602,1.5202
199.5,7.602,1.5202
200.0,7.6,1.5202
200.5,7.603,1.5202
201.0,7.598,1.5202
