time_s,force_V,confident,digits
0.0,7.716,True,"[0, 7, 7, 1, 6]"
0.5,7.725,True,"[0, 7, 7, 2, 5]"
1.0,7.715,True,"[0, 7, 7, 1, 5]"
1.5,7.725,True,"[0, 7, 7, 2, 5]"
2.0,7.623,True,"[0, 7, 6, 2, 3]"
2.5,7.725,True,"[0, 7, 7, 2, 5]"
3.0,7.625,True,"[0, 7, 6, 2, 5]"
3.5,7.726,True,"[0, 7, 7, 2, 6]"
4.0,7.725,True,"[0, 7, 7, 2, 5]"
4.5,7.726,True,"[0, 7, 7, 2, 6]"
5.0,7.726,True,"[0, 7, 7, 2, 6]"
5.5,7.775,True,"[0, 7, 7, 7, 5]"
6.0,7.725,True,"[0, 7, 7, 2, 5]"
6.5,7.725,True,"[0, 7, 7, 2, 5]"
7.0,7.616,True,"[0, 7, 6, 1, 6]"
7.5,7.623,True,"[0, 7, 6, 2, 3]"
8.0,7.616,True,"[0, 7, 6, 1, 6]"
8.5,7.646,True,"[0, 7, 6, 4, 6]"
9.0,7.625,True,"[0, 7, 6, 2, 5]"
9.5,7.645,True,"[0, 7, 6, 4, 5]"
10.0,7.626,True,"[0, 7, 6, 2, 6]"
10.5,7.646,True,"[0, 7, 6, 4, 6]"
11.0,7.625,True,"[0, 7, 6, 2, 5]"
11.5,7.626,True,"[0, 7, 6, 2, 6]"
12.0,7.626,True,"[0, 7, 6, 2, 6]"
12.5,7.626,True,"[0, 7, 6, 2, 6]"
13.0,7.626,True,"[0, 7, 6, 2, 6]"
13.5,7.626,True,"[0, 7, 6, 2, 6]"
14.0,7.626,True,"[0, 7, 6, 2, 6]"
14.5,7.685,True,"[0, 7, 6, 8, 5]"
15.0,7.625,True,"[0, 7, 6, 2, 5]"
15.5,7.626,True,"[0, 7, 6, 2, 6]"
16.0,7.643,True,"[0, 7, 6, 4, 3]"
16.5,7.645,True,"[0, 7, 6, 4, 5]"
17.0,7.625,True,"[0, 7, 6, 2, 5]"
17.5,7.675,True,"[0, 7, 6, 7, 5]"
18.0,7.626,True,"[0, 7, 6, 2, 6]"
18.5,7.645,True,"[0, 7, 6, 4, 5]"
19.0,7.646,True,"[0, 7, 6, 4, 6]"
19.5,7.625,True,"[0, 7, 6, 2, 5]"
20.0,7.645,True,"[0, 7, 6, 4, 5]"
20.5,7.625,True,"[0, 7, 6, 2, 5]"
21.0,7.675,True,"[0, 7, 6, 7, 5]"
21.5,7.645,True,"[0, 7, 6, 4, 5]"
22.0,7.626,True,"[0, 7, 6, 2, 6]"
22.5,7.646,True,"[0, 7, 6, 4, 6]"
23.0,7.645,True,"[0, 7, 6, 4, 5]"
23.5,7.646,True,"[0, 7, 6, 4, 6]"
24.0,7.646,True,"[0, 7, 6, 4, 6]"
24.5,7.643,True,"[0, 7, 6, 4, 3]"
25.0,7.646,True,"[0, 7, 6, 4, 6]"
25.5,7.645,True,"[0, 7, 6, 4, 5]"
26.0,7.645,True,"[0, 7, 6, 4, 5]"
26.5,7.646,True,"[0, 7, 6, 4, 6]"
27.0,7.626,True,"[0, 7, 6, 2, 6]"
27.5,7.675,True,"[0, 7, 6, 7, 5]"
28.0,7.685,True,"[0, 7, 6, 8, 5]"
28.5,7.645,True,"[0, 7, 6, 4, 5]"
29.0,7.645,True,"[0, 7, 6, 4, 5]"
29.5,7.616,True,"[0, 7, 6, 1, 6]"
30.0,7.685,True,"[0, 7, 6, 8, 5]"
30.5,7.646,True,"[0, 7, 6, 4, 6]"
31.0,7.623,True,"[0, 7, 6, 2, 3]"
31.5,7.626,True,"[0, 7, 6, 2, 6]"
32.0,7.645,True,"[0, 7, 6, 4, 5]"
32.5,7.645,True,"[0, 7, 6, 4, 5]"
33.0,7.645,True,"[0, 7, 6, 4, 5]"
33.5,7.625,True,"[0, 7, 6, 2, 5]"
34.0,7.645,True,"[0, 7, 6, 4, 5]"
34.5,7.645,True,"[0, 7, 6, 4, 5]"
35.0,7.625,True,"[0, 7, 6, 2, 5]"
35.5,7.625,True,"[0, 7, 6, 2, 5]"
36.0,7.626,True,"[0, 7, 6, 2, 6]"
36.5,7.645,True,"[0, 7, 6, 4, 5]"
37.0,7.625,True,"[0, 7, 6, 2, 5]"
37.5,7.646,True,"[0, 7, 6, 4, 6]"
38.0,7.625,True,"[0, 7, 6, 2, 5]"
38.5,7.625,True,"[0, 7, 6, 2, 5]"
39.0,7.645,True,"[0, 7, 6, 4, 5]"
39.5,7.645,True,"[0, 7, 6, 4, 5]"
40.0,7.645,True,"[0, 7, 6, 4, 5]"
40.5,7.626,True,"[0, 7, 6, 2, 6]"
41.0,7.646,True,"[0, 7, 6, 4, 6]"
41.5,7.675,True,"[0, 7, 6, 7, 5]"
42.0,7.645,True,"[0, 7, 6, 4, 5]"
42.5,7.625,True,"[0, 7, 6, 2, 5]"
43.0,7.645,True,"[0, 7, 6, 4, 5]"
43.5,7.675,True,"[0, 7, 6, 7, 5]"
44.0,7.645,True,"[0, 7, 6, 4, 5]"
44.5,7.645,True,"[0, 7, 6, 4, 5]"
45.0,7.645,True,"[0, 7, 6, 4, 5]"
45.5,7.625,True,"[0, 7, 6, 2, 5]"
46.0,7.625,True,"[0, 7, 6, 2, 5]"
46.5,7.615,True,"[0, 7, 6, 1, 5]"
47.0,7.625,True,"[0, 7, 6, 2, 5]"
47.5,7.625,True,"[0, 7, 6, 2, 5]"
48.0,7.645,True,"[0, 7, 6, 4, 5]"
48.5,7.645,True,"[0, 7, 6, 4, 5]"
49.0,7.625,True,"[0, 7, 6, 2, 5]"
49.5,7.645,True,"[0, 7, 6, 4, 5]"
50.0,7.646,True,"[0, 7, 6, 4, 6]"
50.5,7.615,True,"[0, 7, 6, 1, 5]"
51.0,7.645,True,"[0, 7, 6, 4, 5]"
51.5,7.625,True,"[0, 7, 6, 2, 5]"
52.0,7.645,True,"[0, 7, 6, 4, 5]"
52.5,7.615,True,"[0, 7, 6, 1, 5]"
53.0,7.625,True,"[0, 7, 6, 2, 5]"
53.5,7.626,True,"[0, 7, 6, 2, 6]"
54.0,7.625,True,"[0, 7, 6, 2, 5]"
54.5,7.615,True,"[0, 7, 6, 1, 5]"
55.0,7.645,True,"[0, 7, 6, 4, 5]"
55.5,7.625,True,"[0, 7, 6, 2, 5]"
56.0,7.625,True,"[0, 7, 6, 2, 5]"
56.5,7.625,True,"[0, 7, 6, 2, 5]"
57.0,7.625,True,"[0, 7, 6, 2, 5]"
57.5,7.625,True,"[0, 7, 6, 2, 5]"
58.0,7.625,True,"[0, 7, 6, 2, 5]"
58.5,7.646,True,"[0, 7, 6, 4, 6]"
59.0,7.646,True,"[0, 7, 6, 4, 6]"
59.5,7.625,True,"[0, 7, 6, 2, 5]"
60.0,7.623,True,"[0, 7, 6, 2, 3]"
60.5,7.646,True,"[0, 7, 6, 4, 6]"
61.0,7.625,True,"[0, 7, 6, 2, 5]"
61.5,7.625,True,"[0, 7, 6, 2, 5]"
62.0,7.623,True,"[0, 7, 6, 2, 3]"
62.5,7.616,True,"[0, 7, 6, 1, 6]"
63.0,7.643,True,"[0, 7, 6, 4, 3]"
63.5,7.613,True,"[0, 7, 6, 1, 3]"
64.0,7.646,True,"[0, 7, 6, 4, 6]"
64.5,7.626,True,"[0, 7, 6, 2, 6]"
65.0,7.616,True,"[0, 7, 6, 1, 6]"
65.5,7.626,True,"[0, 7, 6, 2, 6]"
66.0,7.625,True,"[0, 7, 6, 2, 5]"
66.5,7.613,True,"[0, 7, 6, 1, 3]"
67.0,7.626,True,"[0, 7, 6, 2, 6]"
67.5,7.625,True,"[0, 7, 6, 2, 5]"
68.0,7.626,True,"[0, 7, 6, 2, 6]"
68.5,7.625,True,"[0, 7, 6, 2, 5]"
69.0,7.626,True,"[0, 7, 6, 2, 6]"
69.5,7.623,True,"[0, 7, 6, 2, 3]"
70.0,7.623,True,"[0, 7, 6, 2, 3]"
70.5,7.625,True,"[0, 7, 6, 2, 5]"
71.0,7.626,True,"[0, 7, 6, 2, 6]"
71.5,7.625,True,"[0, 7, 6, 2, 5]"
72.0,7.625,True,"[0, 7, 6, 2, 5]"
72.5,7.613,True,"[0, 7, 6, 1, 3]"
73.0,7.643,True,"[0, 7, 6, 4, 3]"
73.5,7.616,True,"[0, 7, 6, 1, 6]"
74.0,7.613,True,"[0, 7, 6, 1, 3]"
74.5,7.725,True,"[0, 7, 7, 2, 5]"
75.0,7.626,True,"[0, 7, 6, 2, 6]"
75.5,7.626,True,"[0, 7, 6, 2, 6]"
76.0,7.626,True,"[0, 7, 6, 2, 6]"
76.5,7.626,True,"[0, 7, 6, 2, 6]"
77.0,7.626,True,"[0, 7, 6, 2, 6]"
77.5,7.726,True,"[0, 7, 7, 2, 6]"
78.0,7.623,True,"[0, 7, 6, 2, 3]"
78.5,7.646,True,"[0, 7, 6, 4, 6]"
79.0,7.626,True,"[0, 7, 6, 2, 6]"
79.5,7.626,True,"[0, 7, 6, 2, 6]"
80.0,7.626,True,"[0, 7, 6, 2, 6]"
