time_s,force_V
0.0,7.63
0.5,7.63
1.0,7.63
1.5,7.63
2.0,7.628
2.5,7.632
3.0,7.629
3.5,7.632
4.0,7.634
4.5,7.634
5.0,7.633
5.5,7.637
6.0,7.639
6.5,7.639
7.0,7.641
7.5,7.642
8.0,7.644
8.5,7.646
9.0,7.644
9.5,7.646
10.0,7.643
10.5,7.645
11.0,7.643
11.5,7.643
12.0,7.642
12.5,7.643
13.0,7.642
13.5,7.642
14.0,7.643
14.5,7.644
15.0,7.643
15.5,7.643
16.0,7.645
16.5,7.645
17.0,7.643
17.5,7.647
18.0,7.644
18.5,7.645
19.0,7.645
19.5,7.644
20.0,7.646
20.5,7.644
21.0,7.647
21.5,7.645
22.0,7.644
22.5,7.645
23.0,7.645
23.5,7.645
24.0,7.645
24.5,7.646
25.0,7.645
25.5,7.646
26.0,7.645
26.5,7.645
27.0,7.644
27.5,7.647
28.0,7.644
28.5,7.645
29.0,7.646
29.5,7.644
30.0,7.644
30.5,7.645
31.0,7.644
31.5,7.644
32.0,7.646
32.5,7.646
33.0,7.646
33.5,7.642
34.0,7.645
34.5,7.645
35.0,7.643
35.5,7.643
36.0,7.642
36.5,7.645
37.0,7.643
37.5,7.645
38.0,7.643
38.5,7.642
39.0,7.645
39.5,7.646
40.0,7.646
40.5,7.644
41.0,7.645
41.5,7.647
42.0,7.646
42.5,7.642
43.0,7.646
43.5,7.6455
44.0,7.645
44.5,7.646
45.0,7.646
45.5,7.643
46.0,7.644
46.5,7.644
47.0,7.644
47.5,7.644
48.0,7.645
48.5,7.646
49.0,7.642
49.5,7.645
50.0,7.646
50.5,7.644
51.0,7.645
51.5,7.642
52.0,7.645
52.5,7.644
53.0,7.642
53.5,7.643
54.0,7.644
54.5,7.644
55.0,7.646
55.5,7.642
56.0,7.643
56.5,7.643
57.0,7.644
57.5,7.644
58.0,7.643
58.5,7.645
59.0,7.645
59.5,7.643
60.0,7.643
60.5,7.645
61.0,7.643
61.5,7.644
62.0,7.643
62.5,7.644
63.0,7.645
63.5,7.645
64.0,7.645
64.5,7.643
65.0,7.644
65.5,7.64
66.0,7.642
66.5,7.6425
67.0,7.643
67.5,7.644
68.0,7.644
68.5,7.643
69.0,7.643
69.5,7.642
70.0,7.644
70.5,7.643
71.0,7.642
71.5,7.643
72.0,7.642
72.5,7.644
73.0,7.646
73.5,7.643666666666666
74.0,7.641333333333334
74.5,7.639
75.0,7.642
75.5,7.642
76.0,7.642
76.5,7.642
77.0,7.642
77.5,7.639
78.0,7.643
78.5,7.645
79.0,7.642
79.5,7.644
80.0,7.643
80.5,7.646
81.0,7.6455
81.5,7.645
82.0,7.644
82.5,7.646
83.0,7.643
83.5,7.645
84.0,7.642
84.5,7.639
85.0,7.64
85.5,7.642
86.0,7.642
86.5,7.639
87.0,7.6405
87.5,7.642
88.0,7.64
88.5,7.643
89.0,7.642
89.5,7.646
90.0,7.642
90.5,7.642
91.0,7.641
91.5,7.642
92.0,7.639
92.5,7.642
93.0,7.642
93.5,7.6425
94.0,7.643
94.5,7.6419999999999995
95.0,7.641
95.5,7.641
96.0,7.643
96.5,7.643
97.0,7.642
97.5,7.642
98.0,7.645
98.5,7.643
99.0,7.644
99.5,7.639
100.0,7.64
100.5,7.643
101.0,7.6434999999999995
101.5,7.644
102.0,7.642
102.5,7.642
103.0,7.643
103.5,7.643
104.0,7.643
104.5,7.643
105.0,7.643
105.5,7.642
106.0,7.642
106.5,7.642
107.0,7.639
107.5,7.64
108.0,7.642
108.5,7.637
109.0,7.639
109.5,7.642
110.0,7.64
110.5,7.642
111.0,7.642
111.5,7.644
112.0,7.641
112.5,7.644
113.0,7.64
113.5,7.64
114.0,7.638
114.5,7.637
115.0,7.64
115.5,7.639
116.0,7.64
116.5,7.641
117.0,7.642
117.5,7.648
118.0,7.645
118.5,7.642
119.0,7.637
119.5,7.642
120.0,7.642333333333333
120.5,7.642666666666667
121.0,7.643
121.5,7.64
122.0,7.643
122.5,7.644
123.0,7.6434999999999995
123.5,7.643
124.0,7.64
124.5,7.639
125.0,7.639
125.5,7.636
126.0,7.632
126.5,7.6335
127.0,7.635
127.5,7.626
128.0,7.627
128.5,7.629
129.0,7.624
129.5,7.627
130.0,7.624
130.5,7.624
131.0,7.623
131.5,7.625
132.0,7.623
132.5,7.622
133.0,7.619
133.5,7.619
134.0,7.622
134.5,7.617
135.0,7.617
135.5,7.618
136.0,7.616
136.5,7.617
137.0,7.618
137.5,7.619
138.0,7.617
138.5,7.615
139.0,7.613
139.5,7.613
140.0,7.613
140.5,7.615
141.0,7.614
141.5,7.613
142.0,7.613
142.5,7.613
143.0,7.612
143.5,7.61
144.0,7.612
144.5,7.61
145.0,7.615
145.5,7.611
146.0,7.609
146.5,7.6114999999999995
147.0,7.614
147.5,7.614
148.0,7.613
148.5,7.61
149.0,7.609
149.5,7.609
150.0,7.612
150.5,7.612
151.0,7.612500000000001
151.5,7.613
152.0,7.612
152.5,7.608
153.0,7.607
153.5,7.612
154.0,7.607
154.5,7.609500000000001
155.0,7.612
155.5,7.611
156.0,7.61
156.5,7.609
157.0,7.608
157.5,7.604
158.0,7.607
158.5,7.606
159.0,7.609
159.5,7.604
160.0,7.606
160.5,7.604
161.0,7.606
161.5,7.606
162.0,7.606
162.5,7.605
163.0,7.607
163.5,7.607
164.0,7.609
164.5,7.609
165.0,7.606
165.5,7.604
166.0,7.606
166.5,7.602
167.0,7.604
167.5,7.606
168.0,7.606
168.5,7.606
169.0,7.602
169.5,7.605
170.0,7.605
170.5,7.605
171.0,7.604
171.5,7.605
172.0,7.604
172.5,7.606
173.0,7.604
173.5,7.605
174.0,7.603
174.5,7.602
175.0,7.603
175.5,7.603
176.0,7.604
176.5,7.605
177.0,7.602
177.5,7.602
178.0,7.603
178.5,7.603
179.0,7.603
179.5,7.605
180.0,7.6035
180.5,7.602
181.0,7.604
181.5,7.602
182.0,7.603
182.5,7.604
183.0,7.604
183.5,7.602
184.0,7.602
184.5,7.602
185.0,7.603
185.5,7.603
186.0,7.605
186.5,7.604
187.0,7.605
187.5,7.603
188.0,7.602
188.5,7.603
189.0,7.602
189.5,7.602
190.0,7.604
190.5,7.603
191.0,7.602
191.5,7.602
192.0,7.603
192.5,7.602
193.0,7.603
193.5,7.6035
194.0,7.604
194.5,7.6035
195.0,7.603
195.5,7.599
196.0,7.602
196.5,7.605
197.0,7.6035
197.5,7.602
198.0,7.602
198.5,7.602
199.0,7.602
199.5,7.602
200.0,7.6
200.5,7.603
201.0,7.599
201.5,7.602
202.0,7.598
202.5,7.599666666666667
203.0,7.601333333333333
203.5,7.603
204.0,7.6
204.5,7.599
205.0,7.6
205.5,7.599
206.0,7.6
206.5,7.602
207.0,7.599
207.5,7.598
208.0,7.599
208.5,7.6
209.0,7.597
209.5,7.598000000000001
210.0,7.599
210.5,7.599
211.0,7.599
211.5,7.598
212.0,7.598
212.5,7.6
213.0,7.598
213.5,7.599
214.0,7.598
214.5,7.6
215.0,7.597
215.5,7.598000000000001
216.0,7.599
216.5,7.603
217.0,7.599
217.5,7.598
218.0,7.596
218.5,7.597
219.0,7.6
219.5,7.599
220.0,7.599
220.5,7.599
221.0,7.599
221.5,7.599
222.0,7.599
222.5,7.5995
223.0,7.6
223.5,7.597
224.0,7.605
224.5,7.6
225.0,7.599
225.5,7.598
226.0,7.598
226.5,7.6
227.0,7.597
227.5,7.599
228.0,7.598
228.5,7.5985
229.0,7.599
229.5,7.6
230.0,7.597
230.5,7.597
231.0,7.598
231.5,7.599
232.0,7.596
232.5,7.594
233.0,7.595
233.5,7.596
234.0,7.594
234.5,7.597
235.0,7.598
235.5,7.596
236.0,7.596
236.5,7.595
237.0,7.599
237.5,7.597
238.0,7.597
238.5,7.596
239.0,7.597
239.5,7.598
240.0,7.597
240.5,7.599
241.0,7.597
241.5,7.598
242.0,7.595
242.5,7.597
243.0,7.596
243.5,7.597
244.0,7.597
244.5,7.597
245.0,7.6
245.5,7.6
246.0,7.604
246.5,7.603
247.0,7.605
247.5,7.606
248.0,7.607
248.5,7.609
249.0,7.605
249.5,7.609
250.0,7.609
250.5,7.606
251.0,7.606
251.5,7.608
252.0,7.607
252.5,7.61
253.0,7.613
253.5,7.6134
254.0,7.6138
254.5,7.6142
255.0,7.6146
255.5,7.615
256.0,7.612
256.5,7.614
257.0,7.615
257.5,7.614
258.0,7.616
258.5,7.612
259.0,7.613
259.5,7.615
260.0,7.613
260.5,7.612
261.0,7.614
261.5,7.614
262.0,7.614
262.5,7.616
263.0,7.614
263.5,7.614
264.0,7.613
264.5,7.615
265.0,7.613
265.5,7.614
266.0,7.616
266.5,7.616
267.0,7.615
267.5,7.615
268.0,7.613
268.5,7.615
269.0,7.614
269.5,7.617
270.0,7.616
270.5,7.615
271.0,7.614
271.5,7.616
272.0,7.616
272.5,7.615
273.0,7.613
273.5,7.615
274.0,7.618
274.5,7.614
275.0,7.615
275.5,7.618
276.0,7.685
276.5,7.616
277.0,7.616
277.5,7.613
278.0,7.612
278.5,7.61
279.0,7.612
279.5,7.616
280.0,7.613
280.5,7.616
281.0,7.614
281.5,7.614
282.0,7.614
282.5,7.618
283.0,7.616
283.5,7.62
284.0,7.615
284.5,7.615
285.0,7.616
285.5,7.616
286.0,7.616
286.5,7.619
287.0,7.618
287.5,7.615
288.0,7.617
288.5,7.618
289.0,7.615
289.5,7.616
290.0,7.619
290.5,7.619
291.0,7.619
291.5,7.6175
292.0,7.616
292.5,7.616
293.0,7.615
293.5,7.615
294.0,7.617
294.5,7.618
295.0,7.617
295.5,7.615
296.0,7.617
296.5,7.616
297.0,7.618
297.5,7.615
298.0,7.618
298.5,7.617
299.0,7.618
299.5,7.615
300.0,7.615
300.5,7.618
301.0,7.618
301.5,7.617
302.0,7.617
302.5,7.6175
303.0,7.618
303.5,7.616
304.0,7.617
304.5,7.618
305.0,7.614
305.5,7.617
306.0,7.618
306.5,7.617
307.0,7.62
307.5,7.616
308.0,7.618
308.5,7.616
309.0,7.618
309.5,7.617
310.0,7.619
310.5,7.616
311.0,7.618
311.5,7.617
312.0,7.618
312.5,7.618
313.0,7.614
313.5,7.617
314.0,7.615
314.5,7.614
315.0,7.617
315.5,7.623
316.0,7.616
316.5,7.616
317.0,7.615
317.5,7.617
318.0,7.615
318.5,7.617
319.0,7.614
319.5,7.616
320.0,7.615
320.5,7.615
321.0,7.614
321.5,7.617
322.0,7.618
322.5,7.615
323.0,7.613
323.5,7.614
324.0,7.615
324.5,7.6155
325.0,7.616
325.5,7.613
326.0,7.615
326.5,7.612
327.0,7.613
327.5,7.614
328.0,7.616
328.5,7.618
329.0,7.613
329.5,7.614
330.0,7.616
330.5,7.616
331.0,7.615
331.5,7.615
332.0,7.615
332.5,7.617
333.0,7.615
333.5,7.614
334.0,7.615
334.5,7.617
335.0,7.619
335.5,7.618
336.0,7.615
336.5,7.616
337.0,7.615
337.5,7.615
338.0,7.616
338.5,7.617
339.0,7.617
339.5,7.617
340.0,7.617
340.5,7.617
341.0,7.615
341.5,7.616
342.0,7.616
342.5,7.614
343.0,7.615
343.5,7.615
344.0,7.616
344.5,7.614
345.0,7.618
345.5,7.615
346.0,7.615
346.5,7.618
347.0,7.617
347.5,7.616
348.0,7.616
348.5,7.616
349.0,7.613
349.5,7.617
350.0,7.617
350.5,7.615
351.0,7.614
351.5,7.616
352.0,7.615
352.5,7.617
353.0,7.615
353.5,7.615
354.0,7.614
354.5,7.613
355.0,7.614
355.5,7.616
356.0,7.612
356.5,7.617
357.0,7.612
357.5,7.615
358.0,7.615
358.5,7.616
359.0,7.616
359.5,7.617
360.0,7.617
360.5,7.616
361.0,7.615
361.5,7.614
362.0,7.612
362.5,7.612
363.0,7.614
363.5,7.616
364.0,7.613
364.5,7.61
365.0,7.608
365.5,7.605
366.0,7.606
366.5,7.604
367.0,7.602
367.5,7.598
368.0,7.602
368.5,7.599
369.0,7.596
369.5,7.598
370.0,7.594
370.5,7.595
371.0,7.594
371.5,7.594
372.0,7.593
372.5,7.592
373.0,7.59
373.5,7.589666666666667
374.0,7.589333333333333
374.5,7.589
375.0,7.588
375.5,7.589
376.0,7.585
376.5,7.586
377.0,7.584
377.5,7.586
378.0,7.584
378.5,7.586
379.0,7.586
379.5,7.583
380.0,7.583
380.5,7.584
381.0,7.584
381.5,7.585
382.0,7.5845
382.5,7.584
383.0,7.582
383.5,7.582
384.0,7.582
384.5,7.58
385.0,7.58
385.5,7.582
386.0,7.5794999999999995
386.5,7.577
387.0,7.584
387.5,7.5809999999999995
388.0,7.578
388.5,7.578
389.0,7.58
389.5,7.58
390.0,7.579
390.5,7.582
391.0,7.58
391.5,7.582
392.0,7.5809999999999995
392.5,7.58
393.0,7.58
393.5,7.577
394.0,7.578
394.5,7.579
395.0,7.58
395.5,7.579
396.0,7.579
396.5,7.58
397.0,7.576
397.5,7.576
398.0,7.576
398.5,7.577
399.0,7.577
399.5,7.579
400.0,7.577
400.5,7.58
401.0,7.578
401.5,7.577
402.0,7.579
402.5,7.579
403.0,7.582
403.5,7.576
404.0,7.574
404.5,7.577
405.0,7.578
405.5,7.576
406.0,7.577
406.5,7.577
407.0,7.579
407.5,7.578
408.0,7.578
408.5,7.576
409.0,7.58
409.5,7.574
410.0,7.576
410.5,7.578
411.0,7.578
411.5,7.575
412.0,7.576
412.5,7.576
413.0,7.574999999999999
413.5,7.574
414.0,7.576
414.5,7.578
415.0,7.579
415.5,7.576
416.0,7.575
416.5,7.575
417.0,7.578
417.5,7.575
418.0,7.575
418.5,7.576
419.0,7.577
419.5,7.577
420.0,7.576
420.5,7.575
421.0,7.578
421.5,7.579
422.0,7.576
422.5,7.579
423.0,7.577
423.5,7.577
424.0,7.578
424.5,7.575
425.0,7.575
425.5,7.574
426.0,7.575
426.5,7.577
427.0,7.577
427.5,7.574
428.0,7.575
428.5,7.576
429.0,7.575
429.5,7.576
430.0,7.575
430.5,7.576
431.0,7.575
431.5,7.575
432.0,7.574
432.5,7.576
433.0,7.577
433.5,7.574
434.0,7.576
434.5,7.576
435.0,7.576
435.5,7.577
436.0,7.574
436.5,7.574
437.0,7.573
437.5,7.573
438.0,7.575
438.5,7.574
439.0,7.573
439.5,7.573
440.0,7.512
440.5,7.574
441.0,7.575
441.5,7.575
442.0,7.574
442.5,7.512
443.0,7.574
443.5,7.574
444.0,7.512
444.5,7.542999999999999
445.0,7.574
445.5,7.512
446.0,7.574
446.5,7.575
447.0,7.574
447.5,7.574
448.0,7.573
448.5,7.574
449.0,7.57
449.5,7.512
450.0,7.573
450.5,7.575
451.0,7.573
451.5,7.575
452.0,7.569
452.5,7.569
453.0,7.512
453.5,7.574
454.0,7.57
454.5,7.57
455.0,7.569
455.5,7.569
456.0,7.568
456.5,7.57
457.0,7.541
457.5,7.512
458.0,7.512
458.5,7.573
459.0,7.57
459.5,7.569
460.0,7.568
460.5,7.567
461.0,7.568
461.5,7.569
462.0,7.566
462.5,7.568
463.0,7.569
463.5,7.569
464.0,7.566
464.5,7.566
465.0,7.568
465.5,7.57
466.0,7.566
466.5,7.566
467.0,7.567
467.5,7.566
468.0,7.569
468.5,7.568
469.0,7.567
469.5,7.569
470.0,7.565
470.5,7.565
471.0,7.567
471.5,7.567
472.0,7.566
472.5,7.567
473.0,7.569
473.5,7.566
474.0,7.566
474.5,7.565
475.0,7.566
475.5,7.566
476.0,7.565
476.5,7.564
477.0,7.566
477.5,7.566
478.0,7.564
478.5,7.566
479.0,7.566
479.5,7.564
480.0,7.566
480.5,7.564
481.0,7.565
481.5,7.566
482.0,7.562
482.5,7.564
483.0,7.566
483.5,7.565
484.0,7.565
484.5,7.567
485.0,7.574
485.5,7.574
486.0,7.574
486.5,7.576
487.0,7.579
487.5,7.578
488.0,7.58
488.5,7.582
489.0,7.579
489.5,7.5805
490.0,7.582
490.5,7.58
491.0,7.578
491.5,7.582
492.0,7.58
492.5,7.58
493.0,7.5815
493.5,7.583
494.0,7.584
494.5,7.585
495.0,7.582
495.5,7.583
496.0,7.584
496.5,7.585
497.0,7.58
497.5,7.584
498.0,7.582
498.5,7.58
499.0,7.580666666666667
499.5,7.581333333333333
500.0,7.582
500.5,7.582
501.0,7.583
501.5,7.583
502.0,7.583
502.5,7.585
503.0,7.585
503.5,7.583
504.0,7.584
504.5,7.584
505.0,7.585
505.5,7.586
506.0,7.584
506.5,7.584
507.0,7.583
507.5,7.584
508.0,7.585
508.5,7.58
509.0,7.5815
509.5,7.583
510.0,7.583
510.5,7.5835
511.0,7.584
511.5,7.583
512.0,7.58
512.5,7.58
513.0,7.582
513.5,7.583
514.0,7.583
514.5,7.582
515.0,7.583
515.5,7.584
516.0,7.582
516.5,7.583
517.0,7.585
517.5,7.583
518.0,7.586
518.5,7.584
519.0,7.586
519.5,7.586
520.0,7.586
520.5,7.584
521.0,7.587
521.5,7.586
522.0,7.586
522.5,7.586
523.0,7.586
523.5,7.585
524.0,7.587
524.5,7.586
525.0,7.587
525.5,7.586
526.0,7.586
526.5,7.585
527.0,7.584
527.5,7.586
528.0,7.587
528.5,7.586
529.0,7.584
529.5,7.583
530.0,7.585
530.5,7.585
531.0,7.585
531.5,7.586
532.0,7.585
532.5,7.586
533.0,7.586
533.5,7.587
534.0,7.587
534.5,7.587
535.0,7.588
535.5,7.584
536.0,7.586
536.5,7.586
537.0,7.584
537.5,7.59
538.0,7.588
538.5,7.586
539.0,7.585
539.5,7.585
540.0,7.586
540.5,7.585
541.0,7.586
541.5,7.586
542.0,7.582
542.5,7.588
543.0,7.5875
543.5,7.587
544.0,7.589
544.5,7.588
545.0,7.587
545.5,7.589
546.0,7.586
546.5,7.586
547.0,7.59
547.5,7.587
548.0,7.5875
548.5,7.588
549.0,7.584
549.5,7.585
550.0,7.585
550.5,7.584
551.0,7.585
551.5,7.583
552.0,7.583
552.5,7.586
553.0,7.584
553.5,7.586
554.0,7.583
554.5,7.585
555.0,7.586
555.5,7.584
556.0,7.585
556.5,7.586
557.0,7.588
557.5,7.585
558.0,7.584
558.5,7.588
559.0,7.5885
559.5,7.589
560.0,7.586
560.5,7.585
561.0,7.586
561.5,7.586
562.0,7.583
562.5,7.585
563.0,7.587
563.5,7.587
564.0,7.588
564.5,7.586
565.0,7.584
565.5,7.583
566.0,7.585
566.5,7.582
567.0,7.585
567.5,7.585
568.0,7.586
568.5,7.583
569.0,7.58
569.5,7.583
570.0,7.582
570.5,7.582
571.0,7.583
571.5,7.584
572.0,7.583
572.5,7.584
573.0,7.585
573.5,7.584
574.0,7.583
574.5,7.583
575.0,7.584
575.5,7.583
576.0,7.586
576.5,7.583
577.0,7.582
577.5,7.584
578.0,7.584
578.5,7.583
579.0,7.585
