time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
0.0,6250.0,0.8,7.631,1.5256,86.88292000000001,0.7331891983122365
0.1,6250.0,0.8,7.631,1.5256,86.88292000000001,0.7331891983122365
0.2,6250.0,0.8,7.631,1.5256,86.88292000000001,0.7331891983122365
0.3,6250.0,0.8,7.63,1.5256,86.88292000000001,0.7331891983122365
0.4,6250.0,0.8,7.63,1.5256,86.88292000000001,0.7331891983122365
0.5,6250.0,0.8,7.63,1.5256,86.88292000000001,0.7331891983122365
0.6,6250.0,0.8,7.63,1.5256,86.88292000000001,0.7331891983122365
0.7,6250.0,0.8,7.63,1.5256,86.88292000000001,0.7331891983122365
0.8,6250.0,0.8,7.631,1.526,86.90570000000001,0.7333814345991563
0.9,6250.0,0.8,7.631,1.526,86.90570000000001,0.7333814345991563
1.0,6250.0,0.8,7.631,1.526,86.90570000000001,0.7333814345991563
1.1,6250.0,0.8,7.631,1.526,86.90570000000001,0.7333814345991563
1.2,6250.0,0.8,7.631,1.526,86.90570000000001,0.7333814345991563
1.3,6250.0,0.8,7.63,1.526,86.90570000000001,0.7333814345991563
1.4,6250.0,0.8,7.63,1.526,86.90570000000001,0.7333814345991563
1.5,6250.0,0.8,7.63,1.526,86.90570000000001,0.7333814345991563
1.6,6250.0,0.8,7.63,1.526,86.90570000000001,0.7333814345991563
1.7,6250.0,0.8,7.63,1.526,86.90570000000001,0.7333814345991563
1.8,6250.0,0.8,7.628,1.5262,86.91709,0.7334775527426161
1.9,6250.0,0.8,7.628,1.5262,86.91709,0.7334775527426161
2.0,6250.0,0.8,7.628,1.5262,86.91709,0.7334775527426161
2.1,6250.0,0.8,7.628,1.5262,86.91709,0.7334775527426161
2.2,6250.0,0.8,7.628,1.5262,86.91709,0.7334775527426161
2.3,6250.0,0.8,7.632,1.5262,86.91709,0.7334775527426161
2.4,6250.0,0.8,7.632,1.5262,86.91709,0.7334775527426161
2.5,6250.0,0.8,7.632,1.5262,86.91709,0.7334775527426161
2.6,6250.0,0.8,7.632,1.5262,86.91709,0.7334775527426161
2.7,6250.0,0.8,7.632,1.5262,86.91709,0.7334775527426161
2.8,6250.0,0.8,7.628,1.5264,86.92848000000001,0.7335736708860761
2.9,6250.0,0.8,7.628,1.5264,86.92848000000001,0.7335736708860761
3.0,6250.0,0.8,7.628,1.5264,86.92848000000001,0.7335736708860761
3.1,6250.0,0.8,7.628,1.5264,86.92848000000001,0.7335736708860761
3.2,6250.0,0.8,7.628,1.5264,86.92848000000001,0.7335736708860761
3.3,6250.0,0.8,7.632,1.5264,86.92848000000001,0.7335736708860761
3.4,6250.0,0.8,7.632,1.5264,86.92848000000001,0.7335736708860761
3.5,6250.0,0.8,7.632,1.5264,86.92848000000001,0.7335736708860761
3.6,6250.0,0.8,7.632,1.5264,86.92848000000001,0.7335736708860761
3.7,6250.0,0.8,7.632,1.5264,86.92848000000001,0.7335736708860761
3.8,6250.0,0.8,7.634,1.5266,86.93987,0.733669789029536
3.9,6250.0,0.8,7.634,1.5266,86.93987,0.733669789029536
4.0,6250.0,0.8,7.634,1.5266,86.93987,0.733669789029536
4.1,6250.0,0.8,7.634,1.5266,86.93987,0.733669789029536
4.2,6250.0,0.8,7.634,1.5266,86.93987,0.733669789029536
4.3,6250.0,0.8,7.634,1.5268000000000002,86.95126000000002,0.733765907172996
4.4,6250.0,0.8,7.634,1.5268000000000002,86.95126000000002,0.733765907172996
4.5,6250.0,0.8,7.634,1.5268000000000002,86.95126000000002,0.733765907172996
4.6,6250.0,0.8,7.634,1.5268000000000002,86.95126000000002,0.733765907172996
4.7,6250.0,0.8,7.634,1.5268000000000002,86.95126000000002,0.733765907172996
4.8,6250.0,0.8,7.633,1.5268000000000002,86.95126000000002,0.733765907172996
4.9,6250.0,0.8,7.633,1.5268000000000002,86.95126000000002,0.733765907172996
5.0,6250.0,0.8,7.633,1.5268000000000002,86.95126000000002,0.733765907172996
5.1,6250.0,0.8,7.633,1.5268000000000002,86.95126000000002,0.733765907172996
5.2,6250.0,0.8,7.633,1.5268000000000002,86.95126000000002,0.733765907172996
5.3,6250.0,0.8,7.637,1.5274,86.98543000000001,0.7340542616033757
5.4,6250.0,0.8,7.637,1.5274,86.98543000000001,0.7340542616033757
5.5,6250.0,0.8,7.637,1.5274,86.98543000000001,0.7340542616033757
5.6,6250.0,0.8,7.637,1.5274,86.98543000000001,0.7340542616033757
5.7,6250.0,0.8,7.637,1.5274,86.98543000000001,0.7340542616033757
5.8,6250.0,0.8,7.638,1.5276,86.99682000000001,0.7341503797468356
5.9,6250.0,0.8,7.638,1.5276,86.99682000000001,0.7341503797468356
6.0,6250.0,0.8,7.638,1.5276,86.99682000000001,0.7341503797468356
6.1,6250.0,0.8,7.638,1.5276,86.99682000000001,0.7341503797468356
6.2,6250.0,0.8,7.638,1.5276,86.99682000000001,0.7341503797468356
6.3,6250.0,0.8,7.639,1.5278,87.00821,0.7342464978902954
6.4,6250.0,0.8,7.639,1.5278,87.00821,0.7342464978902954
6.5,6250.0,0.8,7.639,1.5278,87.00821,0.7342464978902954
6.6,6250.0,0.8,7.639,1.5278,87.00821,0.7342464978902954
6.7,6250.0,0.8,7.639,1.5278,87.00821,0.7342464978902954
6.8,6250.0,0.8,7.641,1.5282,87.03099,0.7344387341772153
6.9,6250.0,0.8,7.641,1.5282,87.03099,0.7344387341772153
7.0,6250.0,0.8,7.641,1.5282,87.03099,0.7344387341772153
7.1,6250.0,0.8,7.641,1.5282,87.03099,0.7344387341772153
7.2,6250.0,0.8,7.641,1.5282,87.03099,0.7344387341772153
7.3,6250.0,0.8,7.642,1.5282,87.03099,0.7344387341772153
7.4,6250.0,0.8,7.642,1.5282,87.03099,0.7344387341772153
7.5,6250.0,0.8,7.642,1.5282,87.03099,0.7344387341772153
7.6,6250.0,0.8,7.642,1.5282,87.03099,0.7344387341772153
7.7,6250.0,0.8,7.642,1.5282,87.03099,0.7344387341772153
7.8,6250.0,0.8,7.641,1.5284,87.04238000000001,0.7345348523206753
7.9,6250.0,0.8,7.641,1.5284,87.04238000000001,0.7345348523206753
8.0,6250.0,0.8,7.641,1.5284,87.04238000000001,0.7345348523206753
8.1,6250.0,0.8,7.641,1.5284,87.04238000000001,0.7345348523206753
8.2,6250.0,0.8,7.641,1.5284,87.04238000000001,0.7345348523206753
8.3,6250.0,0.8,7.646,1.5284,87.04238000000001,0.7345348523206753
8.4,6250.0,0.8,7.646,1.5284,87.04238000000001,0.7345348523206753
8.5,6250.0,0.8,7.646,1.5284,87.04238000000001,0.7345348523206753
8.6,6250.0,0.8,7.646,1.5284,87.04238000000001,0.7345348523206753
8.7,6250.0,0.8,7.646,1.5284,87.04238000000001,0.7345348523206753
8.8,6250.0,0.8,7.644,1.5284,87.04238000000001,0.7345348523206753
8.9,6250.0,0.8,7.644,1.5284,87.04238000000001,0.7345348523206753
9.0,6250.0,0.8,7.644,1.5284,87.04238000000001,0.7345348523206753
9.1,6250.0,0.8,7.644,1.5284,87.04238000000001,0.7345348523206753
9.2,6250.0,0.8,7.644,1.5284,87.04238000000001,0.7345348523206753
9.3,6250.0,0.8,7.645,1.5284,87.04238000000001,0.7345348523206753
9.4,6250.0,0.8,7.645,1.5284,87.04238000000001,0.7345348523206753
9.5,6250.0,0.8,7.645,1.5284,87.04238000000001,0.7345348523206753
9.6,6250.0,0.8,7.645,1.5284,87.04238000000001,0.7345348523206753
9.7,6250.0,0.8,7.645,1.5284,87.04238000000001,0.7345348523206753
9.8,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
9.9,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
10.0,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
10.1,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
10.2,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
10.3,6250.0,0.8,7.646,1.5286,87.05377,0.7346309704641351
10.4,6250.0,0.8,7.646,1.5286,87.05377,0.7346309704641351
10.5,6250.0,0.8,7.646,1.5286,87.05377,0.7346309704641351
10.6,6250.0,0.8,7.646,1.5286,87.05377,0.7346309704641351
10.7,6250.0,0.8,7.646,1.5286,87.05377,0.7346309704641351
10.8,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
10.9,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.0,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.1,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.2,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.3,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.4,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.5,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.6,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.7,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
11.8,6250.0,0.8,7.642,1.5286,87.05377,0.7346309704641351
11.9,6250.0,0.8,7.642,1.5286,87.05377,0.7346309704641351
12.0,6250.0,0.8,7.642,1.5286,87.05377,0.7346309704641351
12.1,6250.0,0.8,7.642,1.5286,87.05377,0.7346309704641351
12.2,6250.0,0.8,7.642,1.5286,87.05377,0.7346309704641351
12.3,6250.0,0.8,7.643,1.5286,87.05377,0.7346309704641351
