time_s,current_uA,applied_V,force_V,confident,force_mN
0.0,6250.0,0.8,7.716,True,432.096
0.1,6250.0,0.8,7.716,True,432.096
0.2,6250.0,0.8,7.716,True,432.096
0.3,6250.0,0.8,7.725,True,432.59999999999997
0.4,6250.0,0.8,7.725,True,432.59999999999997
0.5,6250.0,0.8,7.725,True,432.59999999999997
0.6,6250.0,0.8,7.725,True,432.59999999999997
0.7,6250.0,0.8,7.725,True,432.59999999999997
0.8,6250.0,0.8,7.715,True,432.03999999999996
0.9,6250.0,0.8,7.715,True,432.03999999999996
1.0,6250.0,0.8,7.715,True,432.03999999999996
1.1,6250.0,0.8,7.715,True,432.03999999999996
1.2,6250.0,0.8,7.715,True,432.03999999999996
1.3,6250.0,0.8,7.725,True,432.59999999999997
1.4,6250.0,0.8,7.725,True,432.59999999999997
1.5,6250.0,0.8,7.725,True,432.59999999999997
1.6,6250.0,0.8,7.725,True,432.59999999999997
1.7,6250.0,0.8,7.725,True,432.59999999999997
1.8,6250.0,0.8,7.623,True,426.88800000000003
1.9,6250.0,0.8,7.623,True,426.88800000000003
2.0,6250.0,0.8,7.623,True,426.88800000000003
2.1,6250.0,0.8,7.623,True,426.88800000000003
2.2,6250.0,0.8,7.623,True,426.88800000000003
2.3,6250.0,0.8,7.725,True,432.59999999999997
2.4,6250.0,0.8,7.725,True,432.59999999999997
2.5,6250.0,0.8,7.725,True,432.59999999999997
2.6,6250.0,0.8,7.725,True,432.59999999999997
2.7,6250.0,0.8,7.725,True,432.59999999999997
2.8,6250.0,0.8,7.625,True,427.0
2.9,6250.0,0.8,7.625,True,427.0
3.0,6250.0,0.8,7.625,True,427.0
3.1,6250.0,0.8,7.625,True,427.0
3.2,6250.0,0.8,7.625,True,427.0
3.3,6250.0,0.8,7.726,True,432.656
3.4,6250.0,0.8,7.726,True,432.656
3.5,6250.0,0.8,7.726,True,432.656
3.6,6250.0,0.8,7.726,True,432.656
3.7,6250.0,0.8,7.726,True,432.656
3.8,6250.0,0.8,7.725,True,432.59999999999997
3.9,6250.0,0.8,7.725,True,432.59999999999997
4.0,6250.0,0.8,7.725,True,432.59999999999997
4.1,6250.0,0.8,7.725,True,432.59999999999997
4.2,6250.0,0.8,7.725,True,432.59999999999997
4.3,6250.0,0.8,7.726,True,432.656
4.4,6250.0,0.8,7.726,True,432.656
4.5,6250.0,0.8,7.726,True,432.656
4.6,6250.0,0.8,7.726,True,432.656
4.7,6250.0,0.8,7.726,True,432.656
4.8,6250.0,0.8,7.726,True,432.656
4.9,6250.0,0.8,7.726,True,432.656
5.0,6250.0,0.8,7.726,True,432.656
5.1,6250.0,0.8,7.726,True,432.656
5.2,6250.0,0.8,7.726,True,432.656
5.3,6250.0,0.8,7.775,True,435.40000000000003
5.4,6250.0,0.8,7.775,True,435.40000000000003
5.5,6250.0,0.8,7.775,True,435.40000000000003
5.6,6250.0,0.8,7.775,True,435.40000000000003
5.7,6250.0,0.8,7.775,True,435.40000000000003
5.8,6250.0,0.8,7.725,True,432.59999999999997
5.9,6250.0,0.8,7.725,True,432.59999999999997
6.0,6250.0,0.8,7.725,True,432.59999999999997
6.1,6250.0,0.8,7.725,True,432.59999999999997
6.2,6250.0,0.8,7.725,True,432.59999999999997
6.3,6250.0,0.8,7.725,True,432.59999999999997
6.4,6250.0,0.8,7.725,True,432.59999999999997
6.5,6250.0,0.8,7.725,True,432.59999999999997
6.6,6250.0,0.8,7.725,True,432.59999999999997
6.7,6250.0,0.8,7.725,True,432.59999999999997
6.8,6250.0,0.8,7.616,True,426.496
6.9,6250.0,0.8,7.616,True,426.496
7.0,6250.0,0.8,7.616,True,426.496
7.1,6250.0,0.8,7.616,True,426.496
7.2,6250.0,0.8,7.616,True,426.496
7.3,6250.0,0.8,7.623,True,426.88800000000003
7.4,6250.0,0.8,7.623,True,426.88800000000003
7.5,6250.0,0.8,7.623,True,426.88800000000003
7.6,6250.0,0.8,7.623,True,426.88800000000003
7.7,6250.0,0.8,7.623,True,426.88800000000003
7.8,6250.0,0.8,7.616,True,426.496
7.9,6250.0,0.8,7.616,True,426.496
8.0,6250.0,0.8,7.616,True,426.496
8.1,6250.0,0.8,7.616,True,426.496
8.2,6250.0,0.8,7.616,True,426.496
8.3,6250.0,0.8,7.646,True,428.176
8.4,6250.0,0.8,7.646,True,428.176
8.5,6250.0,0.8,7.646,True,428.176
8.6,6250.0,0.8,7.646,True,428.176
8.7,6250.0,0.8,7.646,True,428.176
8.8,6250.0,0.8,7.625,True,427.0
8.9,6250.0,0.8,7.625,True,427.0
9.0,6250.0,0.8,7.625,True,427.0
9.1,6250.0,0.8,7.625,True,427.0
9.2,6250.0,0.8,7.625,True,427.0
9.3,6250.0,0.8,7.645,True,428.12
9.4,6250.0,0.8,7.645,True,428.12
9.5,6250.0,0.8,7.645,True,428.12
9.6,6250.0,0.8,7.645,True,428.12
9.7,6250.0,0.8,7.645,True,428.12
9.8,6250.0,0.8,7.626,True,427.05600000000004
9.9,6250.0,0.8,7.626,True,427.05600000000004
10.0,6250.0,0.8,7.626,True,427.05600000000004
10.1,6250.0,0.8,7.626,True,427.05600000000004
10.2,6250.0,0.8,7.626,True,427.05600000000004
10.3,6250.0,0.8,7.646,True,428.176
10.4,6250.0,0.8,7.646,True,428.176
10.5,6250.0,0.8,7.646,True,428.176
10.6,6250.0,0.8,7.646,True,428.176
10.7,6250.0,0.8,7.646,True,428.176
10.8,6250.0,0.8,7.625,True,427.0
10.9,6250.0,0.8,7.625,True,427.0
11.0,6250.0,0.8,7.625,True,427.0
11.1,6250.0,0.8,7.625,True,427.0
11.2,6250.0,0.8,7.625,True,427.0
11.3,6250.0,0.8,7.626,True,427.05600000000004
11.4,6250.0,0.8,7.626,True,427.05600000000004
11.5,6250.0,0.8,7.626,True,427.05600000000004
11.6,6250.0,0.8,7.626,True,427.05600000000004
11.7,6250.0,0.8,7.626,True,427.05600000000004
11.8,6250.0,0.8,7.626,True,427.05600000000004
11.9,6250.0,0.8,7.626,True,427.05600000000004
12.0,6250.0,0.8,7.626,True,427.05600000000004
12.1,6250.0,0.8,7.626,True,427.05600000000004
12.2,6250.0,0.8,7.626,True,427.05600000000004
12.3,6250.0,0.8,7.626,True,427.05600000000004
12.4,6250.0,0.8,7.626,True,427.05600000000004
12.5,6250.0,0.8,7.626,True,427.05600000000004
12.6,6250.0,0.8,7.626,True,427.05600000000004
12.7,6250.0,0.8,7.626,True,427.05600000000004
12.8,6250.0,0.8,7.626,True,427.05600000000004
12.9,6250.0,0.8,7.626,True,427.05600000000004
13.0,6250.0,0.8,7.626,True,427.05600000000004
13.1,6250.0,0.8,7.626,True,427.05600000000004
