time_s,force_V_raw,force_V
0.0,9.933,1.9866
0.5,9.933,1.9866
1.0,9.933,1.9866
1.5,9.934,1.9868
2.0,9.935,1.987
2.5,9.935,1.987
3.0,9.939,1.987
3.5,9.935,1.9873999999999998
4.0,9.937,1.9878
4.5,9.94,1.9878
5.0,9.941,1.988
5.5,9.944,1.9882000000000002
6.0,9.941,1.9882000000000002
6.5,9.939,1.9882000000000002
7.0,9.941,1.9884
7.5,9.942,1.9886
8.0,9.944,1.9886
8.5,9.944,1.9886
9.0,9.943,1.9888000000000001
9.5,9.945,1.9888000000000001
10.0,9.945,1.9888000000000001
10.5,9.945,1.989
11.0,9.945,1.989
11.5,9.945,1.989
12.0,9.943,1.989
12.5,9.945,1.989
13.0,9.943,1.989
13.5,9.951,1.9902000000000002
14.0,9.951,1.9902000000000002
14.5,9.951,1.9902000000000002
15.0,9.951,1.9902000000000002
15.5,9.952,1.9904
16.0,9.952,1.9904
16.5,9.952,1.9904
17.0,9.952,1.9904
17.5,9.954,1.9906
18.0,9.953,1.9906
18.5,9.955,1.9906
19.0,9.955,1.9906
19.5,9.957,1.9906
20.0,9.957,1.9908000000000001
20.5,9.953,1.9908000000000001
21.0,9.96,1.991
21.5,9.953,1.991
22.0,9.955,1.991
22.5,9.953,1.9914
23.0,9.957,1.9914
23.5,9.957,1.9914
24.0,9.953,1.9914
24.5,9.959,1.9918
25.0,9.959,1.9918
25.5,9.953,1.9920000000000002
26.0,9.961,1.9920000000000002
26.5,9.962,1.9920000000000002
27.0,9.96,1.9920000000000002
27.5,9.961,1.9922
28.0,9.962,1.9922
28.5,9.96,1.9922
29.0,9.96,1.9922
29.5,9.961,1.9924
30.0,9.964,1.9924
30.5,9.965,1.9924
31.0,9.963,1.9924
31.5,9.964,1.9926
32.0,9.962,1.9926
32.5,9.963,1.9926
33.0,9.961,1.9926
33.5,9.962,1.9926
34.0,9.964,1.9926
34.5,9.963,1.9928000000000001
35.0,9.965,1.9928000000000001
35.5,9.967,1.9928000000000001
36.0,9.963,1.9928000000000001
36.5,9.965,1.9929999999999999
