time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
0.0,3079.66,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.1,3020.06,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.2,2987.63,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.3,2966.65,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.4,2953.78,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.5,2944.24,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.6,2934.7,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.7,2927.55,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.8,2924.69,0.8,9.933,1.9866,113.13687,0.13852080808080808
0.9,2920.88,0.8,9.933,1.9866,113.13687,0.13852080808080808
1.0,2918.49,0.8,9.933,1.9866,113.13687,0.13852080808080808
1.1,2916.58,0.8,9.933,1.9866,113.13687,0.13852080808080808
1.2,2916.11,0.8,9.933,1.9866,113.13687,0.13852080808080808
1.3,2915.63,0.8,9.934,1.9868,113.14826,0.13853475359657177
1.4,2915.15,0.8,9.934,1.9868,113.14826,0.13853475359657177
1.5,2917.06,0.8,9.934,1.9868,113.14826,0.13853475359657177
1.6,2918.01,0.8,9.934,1.9868,113.14826,0.13853475359657177
1.7,2916.58,0.8,9.934,1.9868,113.14826,0.13853475359657177
1.8,2917.54,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
1.9,2918.97,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.0,2920.4,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.1,2921.35,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.2,2922.31,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.3,2925.17,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.4,2926.12,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.5,2928.5,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.6,2928.98,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.7,2929.94,0.8,9.935,1.987,113.15965000000001,0.1385486991123355
2.8,2931.84,0.8,9.939,1.987,113.15965000000001,0.1385486991123355
2.9,2933.75,0.8,9.939,1.987,113.15965000000001,0.1385486991123355
3.0,2935.66,0.8,9.939,1.987,113.15965000000001,0.1385486991123355
3.1,2938.52,0.8,9.939,1.987,113.15965000000001,0.1385486991123355
3.2,2939.95,0.8,9.939,1.987,113.15965000000001,0.1385486991123355
3.3,2941.38,0.8,9.935,1.9873999999999998,113.18243,0.13857659014386287
3.4,2943.76,0.8,9.935,1.9873999999999998,113.18243,0.13857659014386287
3.5,2947.1,0.8,9.935,1.9873999999999998,113.18243,0.13857659014386287
3.6,2948.06,0.8,9.935,1.9873999999999998,113.18243,0.13857659014386287
3.7,2949.01,0.8,9.935,1.9873999999999998,113.18243,0.13857659014386287
3.8,2954.25,0.8,9.937,1.9878,113.20521000000001,0.1386044811753903
3.9,2956.64,0.8,9.937,1.9878,113.20521000000001,0.1386044811753903
4.0,2957.59,0.8,9.937,1.9878,113.20521000000001,0.1386044811753903
4.1,2959.02,0.8,9.937,1.9878,113.20521000000001,0.1386044811753903
4.2,2961.88,0.8,9.937,1.9878,113.20521000000001,0.1386044811753903
4.3,2963.79,0.8,9.94,1.9878,113.20521000000001,0.1386044811753903
4.4,2965.7,0.8,9.94,1.9878,113.20521000000001,0.1386044811753903
4.5,2968.56,0.8,9.94,1.9878,113.20521000000001,0.1386044811753903
4.6,2970.47,0.8,9.94,1.9878,113.20521000000001,0.1386044811753903
4.7,2972.85,0.8,9.94,1.9878,113.20521000000001,0.1386044811753903
4.8,2974.28,0.8,9.941,1.988,113.2166,0.13861842669115396
4.9,2977.14,0.8,9.941,1.988,113.2166,0.13861842669115396
5.0,2980.0,0.8,9.941,1.988,113.2166,0.13861842669115396
5.1,2981.91,0.8,9.941,1.988,113.2166,0.13861842669115396
5.2,2985.25,0.8,9.941,1.988,113.2166,0.13861842669115396
5.3,2986.68,0.8,9.944,1.9882000000000002,113.22799000000002,0.1386323722069177
5.4,2989.06,0.8,9.944,1.9882000000000002,113.22799000000002,0.1386323722069177
5.5,2990.97,0.8,9.944,1.9882000000000002,113.22799000000002,0.1386323722069177
5.6,2995.74,0.8,9.944,1.9882000000000002,113.22799000000002,0.1386323722069177
5.7,2995.74,0.8,9.944,1.9882000000000002,113.22799000000002,0.1386323722069177
5.8,2997.17,0.8,9.941,1.9882000000000002,113.22799000000002,0.1386323722069177
5.9,3000.51,0.8,9.941,1.9882000000000002,113.22799000000002,0.1386323722069177
6.0,3004.32,0.8,9.941,1.9882000000000002,113.22799000000002,0.1386323722069177
6.1,3007.66,0.8,9.941,1.9882000000000002,113.22799000000002,0.1386323722069177
6.2,3011.47,0.8,9.941,1.9882000000000002,113.22799000000002,0.1386323722069177
6.3,3010.52,0.8,9.939,1.9882000000000002,113.22799000000002,0.1386323722069177
6.4,3011.95,0.8,9.939,1.9882000000000002,113.22799000000002,0.1386323722069177
6.5,3014.81,0.8,9.939,1.9882000000000002,113.22799000000002,0.1386323722069177
6.6,3019.58,0.8,9.939,1.9882000000000002,113.22799000000002,0.1386323722069177
6.7,3021.97,0.8,9.939,1.9882000000000002,113.22799000000002,0.1386323722069177
6.8,3023.87,0.8,9.941,1.9884,113.23938,0.13864631772268135
6.9,3026.26,0.8,9.941,1.9884,113.23938,0.13864631772268135
7.0,3027.69,0.8,9.941,1.9884,113.23938,0.13864631772268135
7.1,3031.98,0.8,9.941,1.9884,113.23938,0.13864631772268135
7.2,3034.36,0.8,9.941,1.9884,113.23938,0.13864631772268135
7.3,3034.36,0.8,9.942,1.9886,113.25077,0.13866026323844508
7.4,3038.65,0.8,9.942,1.9886,113.25077,0.13866026323844508
7.5,3039.61,0.8,9.942,1.9886,113.25077,0.13866026323844508
7.6,3042.47,0.8,9.942,1.9886,113.25077,0.13866026323844508
7.7,3046.28,0.8,9.942,1.9886,113.25077,0.13866026323844508
7.8,3049.14,0.8,9.944,1.9886,113.25077,0.13866026323844508
7.9,3052.48,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.0,3054.39,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.1,3055.34,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.2,3058.68,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.3,3060.11,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.4,3062.02,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.5,3067.26,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.6,3068.7,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.7,3071.56,0.8,9.944,1.9886,113.25077,0.13866026323844508
8.8,3073.94,0.8,9.943,1.9888000000000001,113.26216000000001,0.13867420875420877
8.9,3074.89,0.8,9.943,1.9888000000000001,113.26216000000001,0.13867420875420877
9.0,3078.71,0.8,9.943,1.9888000000000001,113.26216000000001,0.13867420875420877
9.1,3081.09,0.8,9.943,1.9888000000000001,113.26216000000001,0.13867420875420877
9.2,3083.48,0.8,9.943,1.9888000000000001,113.26216000000001,0.13867420875420877
9.3,3086.34,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
9.4,3086.81,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
9.5,3087.29,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
9.6,3091.11,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
9.7,3093.49,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
9.8,3096.83,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
9.9,3100.17,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
10.0,3101.12,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
10.1,3106.84,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
10.2,3107.32,0.8,9.945,1.9888000000000001,113.26216000000001,0.13867420875420877
10.3,3110.18,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
10.4,3113.52,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
10.5,3115.9,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
10.6,3118.76,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
10.7,3119.24,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
10.8,3122.58,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
10.9,3124.01,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.0,3125.92,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.1,3128.78,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.2,3130.69,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.3,3134.5,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.4,3135.93,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.5,3138.79,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.6,3140.7,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.7,3143.09,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
11.8,3144.52,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
11.9,3145.95,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
12.0,3149.76,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
12.1,3152.62,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
12.2,3156.91,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
12.3,3158.35,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
12.4,3159.78,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
12.5,3161.21,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
12.6,3163.59,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
12.7,3165.97,0.8,9.945,1.989,113.27355000000001,0.13868815426997247
12.8,3169.31,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
12.9,3172.17,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
13.0,3171.7,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
13.1,3175.51,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
13.2,3177.9,0.8,9.943,1.989,113.27355000000001,0.13868815426997247
13.3,3179.8,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
13.4,3182.66,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
13.5,3182.66,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
13.6,3185.52,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
13.7,3188.86,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
13.8,3190.29,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
13.9,3191.72,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.0,3195.54,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.1,3194.58,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.2,3198.88,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.3,3201.74,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.4,3203.64,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.5,3205.55,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.6,3206.03,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.7,3209.84,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.8,3211.75,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
14.9,3213.66,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
15.0,3216.52,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
15.1,3217.95,0.8,9.951,1.9902000000000002,113.34189000000002,0.13877182736455468
