elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.048,2026-05-01T15:23:26.546013,-0.594,0.0
0.256,2026-05-01T15:23:26.753413,-0.594,0.0
0.511,2026-05-01T15:23:27.008789,-0.594,0.0
0.766,2026-05-01T15:23:27.263819,-0.594,0.0
1.016,2026-05-01T15:23:27.513901,-0.594,0.0
1.272,2026-05-01T15:23:27.769493,-0.594,0.0
1.525,2026-05-01T15:23:28.022674,-0.594,0.0
1.776,2026-05-01T15:23:28.273750,-0.594,0.0
2.027,2026-05-01T15:23:28.524801,-0.594,0.0
2.278,2026-05-01T15:23:28.776394,-0.594,0.0
2.534,2026-05-01T15:23:29.031605,-0.594,0.0
2.786,2026-05-01T15:23:29.284075,-0.594,0.0
3.041,2026-05-01T15:23:29.538402,-0.594,0.0
3.297,2026-05-01T15:23:29.794528,-0.594,0.0
3.551,2026-05-01T15:23:30.048431,-0.594,0.0
3.806,2026-05-01T15:23:30.303441,-0.594,0.0
4.058,2026-05-01T15:23:30.555599,-0.594,0.0
4.308,2026-05-01T15:23:30.805678,-0.594,0.0
4.563,2026-05-01T15:23:31.060927,-0.594,0.0
4.816,2026-05-01T15:23:31.314262,-0.594,0.0
5.071,2026-05-01T15:23:31.568974,-0.594,0.0
5.326,2026-05-01T15:23:31.824374,-0.594,0.0
5.578,2026-05-01T15:23:32.076154,-0.594,0.0
5.833,2026-05-01T15:23:32.330788,-0.594,0.0
6.088,2026-05-01T15:23:32.585662,-0.594,0.0
6.339,2026-05-01T15:23:32.836665,-0.594,0.0
6.591,2026-05-01T15:23:33.089138,-0.594,0.0
6.846,2026-05-01T15:23:33.343400,-0.594,0.0
7.099,2026-05-01T15:23:33.596595,-0.594,0.0
7.354,2026-05-01T15:23:33.851600,-0.593,0.0
7.864,2026-05-01T15:23:34.361597,-0.594,0.0
8.116,2026-05-01T15:23:34.613946,-0.594,0.0
8.371,2026-05-01T15:23:34.868952,-0.594,0.0
8.626,2026-05-01T15:23:35.123981,-0.594,0.0
8.881,2026-05-01T15:23:35.379240,-0.594,0.0
9.133,2026-05-01T15:23:35.630858,-0.594,0.0
9.388,2026-05-01T15:23:35.885740,-0.594,0.0
9.643,2026-05-01T15:23:36.141080,-0.594,0.0
9.898,2026-05-01T15:23:36.395924,-0.594,0.0
10.150,2026-05-01T15:23:36.648336,-0.594,0.0
10.406,2026-05-01T15:23:36.903587,-0.595,0.0
10.658,2026-05-01T15:23:37.155633,-0.595,0.0
10.913,2026-05-01T15:23:37.410620,-0.595,0.0
11.168,2026-05-01T15:23:37.665670,-0.594,0.0
11.423,2026-05-01T15:23:37.920933,-0.594,0.0
11.674,2026-05-01T15:23:38.172284,-0.594,0.0
11.925,2026-05-01T15:23:38.422601,-0.594,0.0
12.174,2026-05-01T15:23:38.672353,-0.594,0.0
12.430,2026-05-01T15:23:38.927669,-0.595,0.0
12.683,2026-05-01T15:23:39.180921,-0.595,0.0
12.937,2026-05-01T15:23:39.434604,-0.595,0.0
13.189,2026-05-01T15:23:39.687093,-0.595,0.0
13.441,2026-05-01T15:23:39.939088,-0.595,0.0
13.696,2026-05-01T15:23:40.194257,-0.595,0.0
13.950,2026-05-01T15:23:40.447571,-0.595,0.0
14.203,2026-05-01T15:23:40.701377,-0.595,0.0
14.457,2026-05-01T15:23:40.954519,-0.595,0.0
14.707,2026-05-01T15:23:41.204943,-0.596,0.0
14.962,2026-05-01T15:23:41.459927,-0.596,0.0
15.217,2026-05-01T15:23:41.715100,-0.596,0.0
15.472,2026-05-01T15:23:41.970201,-0.596,0.0
15.726,2026-05-01T15:23:42.223769,-0.596,0.0
15.978,2026-05-01T15:23:42.476025,-0.596,0.0
16.233,2026-05-01T15:23:42.730669,-0.596,0.0
16.488,2026-05-01T15:23:42.985781,-0.597,0.0
16.743,2026-05-01T15:23:43.241184,-0.597,0.0
16.995,2026-05-01T15:23:43.493111,-0.596,0.0
17.250,2026-05-01T15:23:43.747715,-0.595,0.0
17.505,2026-05-01T15:23:44.002399,-0.595,0.0
17.756,2026-05-01T15:23:44.254103,-0.595,0.0
18.007,2026-05-01T15:23:44.504838,-0.595,0.0
18.262,2026-05-01T15:23:44.760115,-0.595,0.0
18.517,2026-05-01T15:23:45.014787,-0.595,0.0
18.768,2026-05-01T15:23:45.265980,-0.595,0.0
19.022,2026-05-01T15:23:45.519848,-0.594,0.0
19.277,2026-05-01T15:23:45.774952,-0.594,0.0
19.530,2026-05-01T15:23:46.027493,-0.595,0.0
19.783,2026-05-01T15:23:46.281314,-0.595,0.0
20.036,2026-05-01T15:23:46.533928,-0.595,0.0
20.290,2026-05-01T15:23:46.787581,-0.596,0.0
20.545,2026-05-01T15:23:47.042579,-0.596,0.0
20.800,2026-05-01T15:23:47.298053,-0.596,0.0
21.054,2026-05-01T15:23:47.552076,-0.596,0.0
21.310,2026-05-01T15:23:47.807695,-0.595,0.0
21.561,2026-05-01T15:23:48.058965,-0.595,0.0
21.813,2026-05-01T15:23:48.311214,-0.595,0.0
22.068,2026-05-01T15:23:48.565479,-0.595,0.0
22.323,2026-05-01T15:23:48.820985,-0.595,0.0
22.576,2026-05-01T15:23:49.074232,-0.596,0.0
22.831,2026-05-01T15:23:49.328721,-0.597,0.0
23.086,2026-05-01T15:23:49.583595,-0.597,0.0
23.341,2026-05-01T15:23:49.838571,-0.597,0.0
23.592,2026-05-01T15:23:50.089808,-0.597,0.0
23.844,2026-05-01T15:23:50.341512,-0.597,0.0
24.095,2026-05-01T15:23:50.593156,-0.597,0.0
24.351,2026-05-01T15:23:50.849356,-0.597,0.0
24.606,2026-05-01T15:23:51.103933,-0.597,0.0
24.858,2026-05-01T15:23:51.356377,-0.597,0.0
25.110,2026-05-01T15:23:51.608124,-0.597,0.0
25.367,2026-05-01T15:23:51.864516,-0.597,0.0
25.620,2026-05-01T15:23:52.117468,-0.596,0.0
25.872,2026-05-01T15:23:52.369506,-0.597,0.0
26.124,2026-05-01T15:23:52.622368,-0.597,0.0
26.382,2026-05-01T15:23:52.879546,-0.597,0.0
26.631,2026-05-01T15:23:53.128680,-0.597,0.0
26.883,2026-05-01T15:23:53.381319,-0.597,0.0
27.135,2026-05-01T15:23:53.633134,-0.597,0.0
27.390,2026-05-01T15:23:53.887758,-0.597,0.0
27.642,2026-05-01T15:23:54.140294,-0.597,0.0
27.894,2026-05-01T15:23:54.392270,-0.597,0.0
28.145,2026-05-01T15:23:54.642857,-0.597,0.0
28.400,2026-05-01T15:23:54.897527,-0.597,0.0
28.653,2026-05-01T15:23:55.151059,-0.598,0.0
28.909,2026-05-01T15:23:55.406504,-0.598,0.0
29.159,2026-05-01T15:23:55.657040,-0.598,0.0
29.411,2026-05-01T15:23:55.908474,-0.598,0.0
29.663,2026-05-01T15:23:56.160461,-0.598,0.0
