elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.116,2026-05-01T14:26:04.421938,-0.0598,9.03
0.376,2026-05-01T14:26:04.681940,-0.06,9.0
0.620,2026-05-01T14:26:04.925740,-0.0596,9.04
0.900,2026-05-01T14:26:05.205772,-0.06,9.03
1.148,2026-05-01T14:26:05.453692,-0.06,9.02
1.404,2026-05-01T14:26:05.709873,-0.0597,8.98
1.656,2026-05-01T14:26:05.961701,-0.0599,9.02
1.892,2026-05-01T14:26:06.197694,-0.0597,8.97
2.148,2026-05-01T14:26:06.453760,-0.0598,9.04
2.404,2026-05-01T14:26:06.709710,-0.0601,9.03
2.656,2026-05-01T14:26:06.961627,-0.0599,9.01
2.912,2026-05-01T14:26:07.217788,-0.0599,9.02
3.168,2026-05-01T14:26:07.473618,-0.06,9.04
3.420,2026-05-01T14:26:07.725704,-0.0599,9.02
3.680,2026-05-01T14:26:07.985809,-0.0597,9.04
3.960,2026-05-01T14:26:08.265899,-0.06,9.03
4.216,2026-05-01T14:26:08.522127,-0.06,9.03
4.448,2026-05-01T14:26:08.754182,-0.0594,8.95
4.692,2026-05-01T14:26:08.997909,-0.0591,9.0
4.948,2026-05-01T14:26:09.254207,-0.0578,9.0
5.196,2026-05-01T14:26:09.501920,-0.0596,8.92
5.452,2026-05-01T14:26:09.758164,-0.0595,8.96
5.704,2026-05-01T14:26:10.009706,-0.0595,8.96
5.964,2026-05-01T14:26:10.270084,-0.0576,8.94
6.220,2026-05-01T14:26:10.526030,-0.0583,8.95
6.480,2026-05-01T14:26:10.785922,-0.0592,8.92
6.748,2026-05-01T14:26:11.053934,-0.0593,8.93
7.020,2026-05-01T14:26:11.326016,-0.057,8.99
7.244,2026-05-01T14:26:11.549949,-0.0589,8.95
7.496,2026-05-01T14:26:11.801933,-0.059,8.97
7.744,2026-05-01T14:26:12.049771,-0.0577,8.97
8.000,2026-05-01T14:26:12.306091,-0.0584,8.96
8.248,2026-05-01T14:26:12.554022,-0.0554,8.94
8.504,2026-05-01T14:26:12.809994,-0.0583,9.0
8.760,2026-05-01T14:26:13.065929,-0.0574,8.94
9.020,2026-05-01T14:26:13.326067,-0.0571,8.95
9.264,2026-05-01T14:26:13.570212,-0.0585,9.0
9.549,2026-05-01T14:26:13.854590,-0.0583,9.02
9.804,2026-05-01T14:26:14.109927,-0.0575,8.98
10.048,2026-05-01T14:26:14.353978,-0.0581,9.02
10.296,2026-05-01T14:26:14.602052,-0.0587,8.95
10.532,2026-05-01T14:26:14.838061,-0.056,8.96
10.784,2026-05-01T14:26:15.090018,-0.0566,9.04
11.040,2026-05-01T14:26:15.346158,-0.0583,9.0
11.296,2026-05-01T14:26:15.602021,-0.0577,8.99
11.552,2026-05-01T14:26:15.858274,-0.0594,8.92
11.800,2026-05-01T14:26:16.106232,-0.0594,8.97
12.060,2026-05-01T14:26:16.365924,-0.0592,9.02
12.328,2026-05-01T14:26:16.634162,-0.058,8.91
12.572,2026-05-01T14:26:16.878056,-0.0592,9.0
12.832,2026-05-01T14:26:17.138264,-0.0574,8.95
13.104,2026-05-01T14:26:17.410042,-0.0588,8.95
13.324,2026-05-01T14:26:17.630131,-0.0554,8.91
13.580,2026-05-01T14:26:17.886059,-0.0575,8.93
13.820,2026-05-01T14:26:18.126236,-0.0581,8.91
14.084,2026-05-01T14:26:18.390059,-0.0574,8.9
14.336,2026-05-01T14:26:18.642279,-0.058,8.95
14.584,2026-05-01T14:26:18.890274,-0.0568,8.9
14.840,2026-05-01T14:26:19.146266,-0.0583,8.92
15.096,2026-05-01T14:26:19.402178,-0.0595,8.91
15.372,2026-05-01T14:26:19.678231,-0.0557,8.91
15.620,2026-05-01T14:26:19.926233,-0.0595,8.93
15.872,2026-05-01T14:26:20.178179,-0.0587,8.93
16.124,2026-05-01T14:26:20.430074,-0.0576,8.94
16.360,2026-05-01T14:26:20.666259,-0.0576,8.92
16.617,2026-05-01T14:26:20.922353,-0.0592,8.92
16.868,2026-05-01T14:26:21.174185,-0.0598,8.99
17.117,2026-05-01T14:26:21.422385,-0.0587,8.9
17.377,2026-05-01T14:26:21.682324,-0.059,8.91
17.624,2026-05-01T14:26:21.930242,-0.0578,8.91
17.880,2026-05-01T14:26:22.186206,-0.0586,8.91
18.153,2026-05-01T14:26:22.458300,-0.0598,8.91
18.405,2026-05-01T14:26:22.710334,-0.0594,8.92
18.656,2026-05-01T14:26:22.962244,-0.0597,8.9
18.924,2026-05-01T14:26:23.230154,-0.0604,8.93
19.165,2026-05-01T14:26:23.470474,-0.06,8.92
19.401,2026-05-01T14:26:23.706543,-0.0599,8.94
19.656,2026-05-01T14:26:23.962261,-0.059,8.94
19.913,2026-05-01T14:26:24.218488,-0.0581,8.91
20.168,2026-05-01T14:26:24.474274,-0.0592,8.91
20.421,2026-05-01T14:26:24.726322,-0.0592,8.93
20.665,2026-05-01T14:26:24.970472,-0.0566,8.97
20.924,2026-05-01T14:26:25.230284,-0.0581,8.91
21.201,2026-05-01T14:26:25.506383,-0.0576,8.94
21.453,2026-05-01T14:26:25.758538,-0.0575,8.9
21.704,2026-05-01T14:26:26.010281,-0.0571,8.93
21.973,2026-05-01T14:26:26.278500,-0.06,8.93
22.201,2026-05-01T14:26:26.506429,-0.0584,8.97
22.449,2026-05-01T14:26:26.754331,-0.0594,8.94
22.701,2026-05-01T14:26:27.006475,-0.0589,8.92
22.957,2026-05-01T14:26:27.262340,-0.0597,8.95
23.213,2026-05-01T14:26:27.518432,-0.061,8.92
23.469,2026-05-01T14:26:27.774388,-0.0584,8.92
23.717,2026-05-01T14:26:28.022631,-0.0597,8.92
23.993,2026-05-01T14:26:28.298642,-0.0583,8.92
24.245,2026-05-01T14:26:28.550489,-0.0595,8.93
24.497,2026-05-01T14:26:28.802347,-0.0589,8.94
24.753,2026-05-01T14:26:29.058364,-0.0592,8.92
24.989,2026-05-01T14:26:29.294562,-0.0591,8.93
25.245,2026-05-01T14:26:29.550383,-0.0589,8.92
25.497,2026-05-01T14:26:29.802424,-0.0595,8.9
25.749,2026-05-01T14:26:30.054312,-0.0588,8.92
26.001,2026-05-01T14:26:30.306604,-0.0565,8.92
26.257,2026-05-01T14:26:30.562335,-0.0588,8.95
26.509,2026-05-01T14:26:30.814394,-0.0586,8.92
26.757,2026-05-01T14:26:31.062461,-0.0581,8.92
27.037,2026-05-01T14:26:31.342515,-0.0588,8.92
27.269,2026-05-01T14:26:31.574418,-0.0598,8.93
27.557,2026-05-01T14:26:31.862394,-0.0591,8.96
27.809,2026-05-01T14:26:32.114471,-0.0589,8.92
28.025,2026-05-01T14:26:32.330514,-0.0594,8.91
28.281,2026-05-01T14:26:32.586613,-0.0588,8.91
28.532,2026-05-01T14:26:32.838283,-0.0599,8.92
28.789,2026-05-01T14:26:33.094654,-0.0597,8.93
29.049,2026-05-01T14:26:33.354482,-0.0588,8.94
29.305,2026-05-01T14:26:33.610487,-0.0595,8.91
29.557,2026-05-01T14:26:33.862458,-0.0599,8.92
29.809,2026-05-01T14:26:34.114475,-0.0573,8.95
30.081,2026-05-01T14:26:34.386596,-0.0599,8.95
30.321,2026-05-01T14:26:34.626591,-0.0558,8.93
30.581,2026-05-01T14:26:34.886354,-0.0576,8.91
30.837,2026-05-01T14:26:35.142556,-0.0554,8.93
