elapsed_s,ch1_MEAN_V,ch1_filtered,ch2_MEAN_V,ch2_filtered,time_since_cycle_start
23.728,1.67,1.69,2.1,2.1,0.0
23.984,1.69,1.69,2.1,2.1,0.2560000000000002
24.224,1.67,1.69,2.1,2.1,0.49599999999999866
24.476,1.69,1.69,2.1,2.1,0.7479999999999976
24.764,1.68,1.69,2.11,2.1,1.0359999999999978
25.0,1.7,1.69,2.1,2.1,1.2719999999999985
25.244,1.69,1.69,2.1,2.1,1.5159999999999982
25.484,1.69,1.69,2.1,2.1,1.7560000000000002
25.776,1.7,1.69,2.11,2.1,2.0479999999999983
26.02,1.69,1.69,2.1,2.1,2.291999999999998
26.264,1.68,1.69,2.1,2.1,2.535999999999998
26.516,1.68,1.69,2.1,2.1,2.7879999999999967
26.772,1.7,1.69,2.11,2.1,3.043999999999997
27.028,1.7,1.69,2.11,2.1,3.299999999999997
27.28,1.69,1.7,2.11,2.1,3.5519999999999996
27.536,1.7,1.7,2.11,2.1,3.808
27.8,1.7,1.69,2.11,2.1,4.071999999999999
28.056,1.69,1.7,2.1,2.1,4.327999999999999
28.308,1.68,1.7,2.1,2.1,4.579999999999998
28.568,1.7,1.7,2.1,2.1,4.84
28.824,1.7,1.7,2.11,2.1,5.096
29.064,1.7,1.7,2.1,2.1,5.3359999999999985
29.316,1.69,1.7,2.1,2.1,5.587999999999997
29.568,1.68,1.69,2.1,2.1,5.84
29.82,1.7,1.69,2.1,2.1,6.091999999999999
30.072,1.69,1.69,2.1,2.1,6.343999999999998
30.324,1.71,1.69,2.11,2.1,6.596
30.592,1.68,1.69,2.1,2.1,6.863999999999997
30.848,1.7,1.69,2.11,2.1,7.119999999999997
31.08,1.69,1.69,2.1,2.1,7.351999999999997
31.336,1.69,1.69,2.1,2.1,7.607999999999997
31.592,1.7,1.69,2.1,2.1,7.863999999999997
31.852,1.69,1.69,2.1,2.1,8.123999999999999
32.108,1.68,1.69,2.1,2.1,8.379999999999995
32.364,1.69,1.69,2.11,2.1,8.635999999999996
32.604,1.71,1.69,2.1,2.1,8.875999999999998
32.864,1.69,1.69,2.11,2.1,9.135999999999996
33.12,1.69,1.69,2.1,2.11,9.391999999999996
33.368,1.69,1.69,2.1,2.11,9.64
33.632,1.69,1.69,2.11,2.11,9.903999999999996
33.868,1.69,1.69,2.11,2.11,10.14
