elapsed_s,timestamp,ch1_MEAN_V,ch2_MEAN_V
0.136,2026-04-30T16:05:36.241426,1.68,2.11
0.376,2026-04-30T16:05:36.481529,1.69,2.11
0.632,2026-04-30T16:05:36.737632,1.69,2.11
0.884,2026-04-30T16:05:36.989482,1.69,2.11
1.140,2026-04-30T16:05:37.245570,1.69,2.11
1.388,2026-04-30T16:05:37.493459,1.69,2.11
1.676,2026-04-30T16:05:37.781573,1.7,2.12
1.904,2026-04-30T16:05:38.009570,1.69,2.11
2.160,2026-04-30T16:05:38.265535,1.69,2.11
2.408,2026-04-30T16:05:38.513756,1.68,2.11
2.656,2026-04-30T16:05:38.761522,1.7,2.12
2.916,2026-04-30T16:05:39.021273,1.69,2.1
3.164,2026-04-30T16:05:39.269474,1.69,2.11
3.420,2026-04-30T16:05:39.525428,1.69,2.11
3.672,2026-04-30T16:05:39.777278,1.68,2.11
3.928,2026-04-30T16:05:40.033413,1.7,2.11
4.184,2026-04-30T16:05:40.289635,1.69,2.11
4.460,2026-04-30T16:05:40.565501,1.69,2.12
4.708,2026-04-30T16:05:40.813800,1.7,2.11
4.948,2026-04-30T16:05:41.053608,1.68,2.11
5.220,2026-04-30T16:05:41.325661,1.68,2.11
5.452,2026-04-30T16:05:41.557291,1.69,2.11
5.704,2026-04-30T16:05:41.809466,1.69,2.11
5.964,2026-04-30T16:05:42.069609,1.7,2.11
6.220,2026-04-30T16:05:42.325703,1.69,2.11
6.468,2026-04-30T16:05:42.573687,1.69,2.11
6.724,2026-04-30T16:05:42.829517,1.67,2.12
6.980,2026-04-30T16:05:43.085719,1.67,2.11
7.264,2026-04-30T16:05:43.369602,1.69,2.11
7.508,2026-04-30T16:05:43.613777,1.7,2.11
7.744,2026-04-30T16:05:43.849652,1.7,2.11
8.012,2026-04-30T16:05:44.117307,1.7,2.11
8.236,2026-04-30T16:05:44.341607,1.7,2.11
8.529,2026-04-30T16:05:44.634119,1.71,2.11
8.772,2026-04-30T16:05:44.877490,1.7,2.11
9.016,2026-04-30T16:05:45.121538,1.69,2.11
9.268,2026-04-30T16:05:45.373652,1.7,2.1
9.520,2026-04-30T16:05:45.625643,1.67,2.11
9.777,2026-04-30T16:05:45.881900,1.7,2.12
10.036,2026-04-30T16:05:46.141434,1.69,2.12
10.316,2026-04-30T16:05:46.421557,1.69,2.11
10.552,2026-04-30T16:05:46.657522,1.69,2.11
10.808,2026-04-30T16:05:46.913717,1.69,2.11
11.044,2026-04-30T16:05:47.149595,1.7,2.11
11.296,2026-04-30T16:05:47.401548,1.7,2.12
11.556,2026-04-30T16:05:47.661778,1.69,2.11
11.804,2026-04-30T16:05:47.909709,1.69,2.1
12.052,2026-04-30T16:05:48.157533,1.68,2.11
12.304,2026-04-30T16:05:48.409570,1.68,2.1
12.564,2026-04-30T16:05:48.669587,1.7,2.11
12.812,2026-04-30T16:05:48.917547,1.68,2.11
13.084,2026-04-30T16:05:49.189519,1.7,2.11
13.332,2026-04-30T16:05:49.437592,1.69,2.11
13.584,2026-04-30T16:05:49.689303,1.69,2.12
13.832,2026-04-30T16:05:49.937766,1.71,2.11
14.088,2026-04-30T16:05:50.193507,1.69,2.11
14.328,2026-04-30T16:05:50.433447,1.69,2.11
14.584,2026-04-30T16:05:50.689502,1.69,2.12
14.832,2026-04-30T16:05:50.937720,1.7,2.12
15.088,2026-04-30T16:05:51.193615,1.69,2.11
15.340,2026-04-30T16:05:51.445561,1.69,2.12
15.592,2026-04-30T16:05:51.697663,1.71,2.11
15.848,2026-04-30T16:05:51.953612,1.68,2.11
16.124,2026-04-30T16:05:52.229481,1.7,2.11
16.364,2026-04-30T16:05:52.469406,1.69,2.11
16.632,2026-04-30T16:05:52.737697,1.69,2.11
16.852,2026-04-30T16:05:52.957490,1.69,2.11
17.136,2026-04-30T16:05:53.241565,1.69,2.11
17.364,2026-04-30T16:05:53.469403,1.69,2.11
17.632,2026-04-30T16:05:53.737540,1.67,2.1
17.884,2026-04-30T16:05:53.989481,1.69,2.11
18.140,2026-04-30T16:05:54.245396,1.69,2.11
18.392,2026-04-30T16:05:54.497403,1.69,2.11
18.644,2026-04-30T16:05:54.749645,1.69,2.11
18.900,2026-04-30T16:05:55.005491,1.68,2.1
19.176,2026-04-30T16:05:55.281573,1.68,2.11
19.408,2026-04-30T16:05:55.513716,1.69,2.11
19.668,2026-04-30T16:05:55.773677,1.69,2.11
19.928,2026-04-30T16:05:56.033489,1.68,2.11
20.180,2026-04-30T16:05:56.285695,1.69,2.1
20.432,2026-04-30T16:05:56.537520,1.68,2.11
20.684,2026-04-30T16:05:56.789545,1.69,2.12
20.936,2026-04-30T16:05:57.041530,1.68,2.11
21.188,2026-04-30T16:05:57.293566,1.68,2.11
21.444,2026-04-30T16:05:57.549463,1.68,2.11
21.688,2026-04-30T16:05:57.793528,1.69,2.11
21.944,2026-04-30T16:05:58.049572,1.68,2.11
22.216,2026-04-30T16:05:58.321538,1.69,2.11
22.468,2026-04-30T16:05:58.573733,1.69,2.12
22.724,2026-04-30T16:05:58.829490,1.69,2.12
22.980,2026-04-30T16:05:59.085690,1.69,2.11
23.220,2026-04-30T16:05:59.325697,1.69,2.11
23.472,2026-04-30T16:05:59.577535,1.68,2.1
23.728,2026-04-30T16:05:59.833608,1.67,2.1
23.984,2026-04-30T16:06:00.089516,1.69,2.1
24.224,2026-04-30T16:06:00.329702,1.67,2.1
24.476,2026-04-30T16:06:00.581422,1.69,2.1
24.764,2026-04-30T16:06:00.869405,1.68,2.11
25.000,2026-04-30T16:06:01.105485,1.7,2.1
25.244,2026-04-30T16:06:01.349587,1.69,2.1
25.484,2026-04-30T16:06:01.589522,1.69,2.1
25.776,2026-04-30T16:06:01.881550,1.7,2.11
26.020,2026-04-30T16:06:02.125658,1.69,2.1
26.264,2026-04-30T16:06:02.369488,1.68,2.1
26.516,2026-04-30T16:06:02.621519,1.68,2.1
26.772,2026-04-30T16:06:02.877401,1.7,2.11
27.028,2026-04-30T16:06:03.133491,1.7,2.11
27.280,2026-04-30T16:06:03.385583,1.69,2.11
27.536,2026-04-30T16:06:03.641524,1.7,2.11
27.800,2026-04-30T16:06:03.905538,1.7,2.11
28.056,2026-04-30T16:06:04.161831,1.69,2.1
28.308,2026-04-30T16:06:04.413769,1.68,2.1
28.568,2026-04-30T16:06:04.673739,1.7,2.1
28.824,2026-04-30T16:06:04.929387,1.7,2.11
29.064,2026-04-30T16:06:05.169572,1.7,2.1
29.316,2026-04-30T16:06:05.421591,1.69,2.1
29.568,2026-04-30T16:06:05.673703,1.68,2.1
29.820,2026-04-30T16:06:05.925634,1.7,2.1
30.072,2026-04-30T16:06:06.177669,1.69,2.1
30.324,2026-04-30T16:06:06.429563,1.71,2.11
30.592,2026-04-30T16:06:06.697705,1.68,2.1
30.848,2026-04-30T16:06:06.953303,1.7,2.11
31.080,2026-04-30T16:06:07.185476,1.69,2.1
31.336,2026-04-30T16:06:07.441556,1.69,2.1
31.592,2026-04-30T16:06:07.697689,1.7,2.1
31.852,2026-04-30T16:06:07.957603,1.69,2.1
32.108,2026-04-30T16:06:08.213754,1.68,2.1
32.364,2026-04-30T16:06:08.469627,1.69,2.11
32.604,2026-04-30T16:06:08.709403,1.71,2.1
32.864,2026-04-30T16:06:08.969428,1.69,2.11
33.120,2026-04-30T16:06:09.225467,1.69,2.1
33.368,2026-04-30T16:06:09.473649,1.69,2.1
33.632,2026-04-30T16:06:09.737637,1.69,2.11
33.868,2026-04-30T16:06:09.973744,1.69,2.11
34.120,2026-04-30T16:06:10.225657,1.69,2.11
34.408,2026-04-30T16:06:10.513681,1.69,2.11
